[00:00.000 --> 00:22.000]  Another world, another time, In the age of wonder, another world, another time,
[00:22.000 --> 00:32.000]  Slap the screen and look to the return of the crystal fact. If you are receiving this transmission, you are the resistance.
[00:32.000 --> 00:39.000]  Live from Austin, Texas, Broadcasting World Wide, it's Alex Jones.
[00:39.000 --> 00:50.000]  It's Thursday, February 16th, 2017. I'm Alex Jones, your host and you notice that if you're a TV viewer, the background is flamethrower,
[00:50.000 --> 00:59.000]  Radioactive Red. And that's because that's where our world's headed under globalism.
[00:59.000 --> 01:06.000]  You know, I saw quite a few news articles the last week saying that I and Donald Trump and a bunch of other people,
[01:06.000 --> 01:13.000]  like Colonel Shaffer, you name it, are useful idiots of Vladimir Putin. No, let me explain what we are.
[01:13.000 --> 01:21.000]  We're nationalists that want our country back and we don't want to be poor and be under the New World Order and watch families attacked all over the world
[01:21.000 --> 01:30.000]  and the family broken up and go under the technotronic technocracy that the New World Order publicly has put out in thousands of
[01:30.000 --> 01:43.000]  communities, papers, books, statements. And you may have a big giant group of people so dumbed down, they want to be slaves, they want to go along with this, but a large portion of the globe, of every color,
[01:43.000 --> 01:59.000]  of every region, of every religion, understands the existential total complete threat that is the declared war on humanity that is the New World Order.
[01:59.000 --> 02:07.000]  Before I even came in here and saw these articles this morning, I was going to come here and say, world government globalism is treason against humanity
[02:07.000 --> 02:17.000]  and is a war against the nation state and a war against the individual and a total corporate system of dominance of all life on earth, not just people.
[02:17.000 --> 02:27.000]  It is an attempt to become God, but all of us have to fall for you to be God, don't we globalist?
[02:27.000 --> 02:31.000]  And then I looked at the news, Le Pen has come out.
[02:31.000 --> 02:40.000]  Turbo surging in the polls way ahead, even in their polls in France, 5, 10, 15 points ahead, that means she's 30 points ahead.
[02:40.000 --> 02:51.000]  The Islamists are burning cities everywhere and the media won't even say it. They got into central Paris burning cars within hundreds of yards of the Eiffel Tower.
[02:51.000 --> 02:59.000]  And what did Le Pen say? And I've been telling you for decades, when you start hearing this from world leaders, it's the beginning of the end of the New World Order.
[02:59.000 --> 03:07.000]  You have to call it what it is. Le Pen, the euro is a weapon used against EU nation states. The founders of it said that.
[03:07.000 --> 03:11.000]  Le Pen, we will leave the EU to restore sovereignty.
[03:11.000 --> 03:21.000]  The State Department under rebellion and other CIA operatives that are globalist minions are saying she's a Russian agent and trader.
[03:21.000 --> 03:24.000]  No, you are a globalist operative.
[03:24.000 --> 03:40.000]  Evan McMullen, who thought you would steal the electoral votes there in the state of Utah and that you and your little cult inside the CIA was going to dictate the future of this republic.
[03:40.000 --> 03:45.000]  And now they're going into full bully mode everywhere.
[03:45.000 --> 03:56.000]  Facebook, Twitter, Google are all announcing that they're going to turn loose the hate, the calls for killing Trump, the censorship, then we'll only expand against libertarians and conservatives.
[03:56.000 --> 04:05.000]  They're trying to force you out of the fight in cyberspace to give up so they can create the illusion that they're about to overthrow Trump.
[04:05.000 --> 04:17.000]  But let me give you the good news. The American people have seen through it. And even in known cooked polls by Rasmussen and Gallup and others, Trump has surged.
[04:17.000 --> 04:21.000]  Yeah, how many win the election at like 40 points? It was way ahead of that. Always 15 ahead.
[04:21.000 --> 04:26.000]  He has surged to 50 and now 55 today.
[04:26.000 --> 04:30.000]  What has all your bullying done? You've failed.
[04:30.000 --> 04:39.000]  All of you and your armies have scum. You failed and you're going to fail more. Oh, go ahead and kill Trump.
