[00:00:01.000 --> 00:00:16.000]  Intro
[00:00:16.000 --> 00:00:21.000]  InfoWars, the most banned network in the world.
[00:00:21.000 --> 00:00:25.000]  Thousands of former Nazis went to work for the United States government.
[00:00:25.000 --> 00:00:29.000]  A flying disc has been found and is now in the possession of the army.
[00:00:29.000 --> 00:00:31.000]  There is a bulletin from CBS News.
[00:00:31.000 --> 00:00:33.000]  President Kennedy has been shot.
[00:00:33.000 --> 00:00:37.000]  This is a different kind of war.
[00:00:37.000 --> 00:00:41.000]  The USS Liberty had just been attacked by Australian jets and torpedo boats.
[00:00:41.000 --> 00:00:45.000]  The CIA had manipulated the news in the United States.
[00:00:45.000 --> 00:00:49.000]  They took the babies out of incubators and left the children to die on the cold floor.
[00:00:49.000 --> 00:00:53.000]  It was almost as if there were a plan in motion. It just can't end.
[00:00:53.000 --> 00:00:55.000]  We need to go into the capital!
[00:00:55.000 --> 00:00:57.000]  Stop! Stop! Stop!
[00:00:57.000 --> 00:00:59.000]  You will always have conspiracy theories.
[00:00:59.000 --> 00:01:01.000]  They are nothing but distractions.
[00:01:01.000 --> 00:01:03.000]  You guys censored Harvard educated doctors.
[00:01:03.000 --> 00:01:05.000]  You silenced those voices.
[00:01:05.000 --> 00:01:09.000]  What we want to do in Davos is push the reset button.
[00:01:09.000 --> 00:01:12.000]  Soon as we start exposing the Great Reset,
[00:01:12.000 --> 00:01:16.000]  the sooner these globalists start going to prison!
[00:01:21.000 --> 00:01:23.000]  Hello Americans, I'm Paul Harvey.
[00:01:23.000 --> 00:01:25.000]  If I were the devil,
[00:01:25.000 --> 00:01:27.000]  If I were the prince of darkness,
[00:01:27.000 --> 00:01:29.000]  I'd want to engulf the whole world in darkness.
[00:01:29.000 --> 00:01:33.000]  And I'd have a third of its real estate and four-fifths of its population,
[00:01:33.000 --> 00:01:37.000]  but I wouldn't be happy until I had seized the ripest apple on the tree.
[00:01:37.000 --> 00:01:39.000]  Thee.
[00:01:39.000 --> 00:01:42.000]  So I'd set about however necessary to take over the United States.
[00:01:42.000 --> 00:01:46.000]  President Kennedy has been seriously wounded by the shooting.
[00:01:46.000 --> 00:01:48.000]  I'd subvert the churches first.
[00:01:48.000 --> 00:01:50.000]  I'd begin with a campaign of whispers.
[00:01:50.000 --> 00:01:53.000]  With the wisdom of a serpent, I would whisper to you as I whispered to Eve.
[00:01:53.000 --> 00:01:55.000]  Do as you please.
[00:01:55.000 --> 00:01:57.000]  To the young, I would whisper that the Bible is a myth.
[00:01:57.000 --> 00:02:01.000]  I would convince them that man created God instead of the other way around.
[00:02:01.000 --> 00:02:05.000]  I would confide that what's bad is good and what's good is square.
[00:02:05.000 --> 00:02:08.000]  And the old, I would teach to pray after me.
[00:02:08.000 --> 00:02:11.000]  Our father, which art in Washington.
[00:02:11.000 --> 00:02:13.000]  And then I'd get organized.
[00:02:13.000 --> 00:02:16.000]  I'd educate authors in how to make lurid literature exciting
[00:02:16.000 --> 00:02:19.000]  so that anything else would appear dull and uninteresting.
[00:02:19.000 --> 00:02:22.000]  I'd threaten TV with dirtier movies and vice versa.
[00:02:22.000 --> 00:02:24.000]  I'd peddle narcotics to whom I could.
[00:02:24.000 --> 00:02:27.000]  I'd sell alcohol to ladies and gentlemen of distinction.
[00:02:27.000 --> 00:02:30.000]  I'd tranquilize the rest with pills.
[00:02:30.000 --> 00:02:34.000]  If I were the devil, I'd soon have families at war with themselves,
[00:02:34.000 --> 00:02:36.000]  churches at war with themselves,
[00:02:36.000 --> 00:02:38.000]  and nations at war with themselves
[00:02:38.000 --> 00:02:41.000]  until each in its turn was consumed.
[00:02:41.000 --> 00:02:43.000]  And with promises of higher ratings,
