[00:00.000 --> 00:10.000]  Big Brother, mainstream media, government cover-ups.
[00:10.000 --> 00:11.000]  You want answers?
[00:11.000 --> 00:13.000]  Well, so does he.
[00:13.000 --> 00:17.000]  He's Alex Jones on the GCN Radio Network.
[00:17.000 --> 00:30.000]  And now, live from Austin, Texas, Alex Jones.
[00:30.000 --> 00:43.000]  Okay, my friends, here we are live. It's Wednesday, the 14th day of December, 2011, and the news just gets more insane by the day.
[00:43.000 --> 00:53.000]  Congressman Issa, the guy that's now said he's not going to move forward with trying to impeach or prosecute the Attorney General,
[00:53.000 --> 01:03.000]  the Attorney General over law enforcement, federal law enforcement, a total criminal on record, a serial perjurer, a false flagged terrorist
[01:03.000 --> 01:07.000]  who has been caught red-handed shipping guns into Mexico, cocaine back into the country.
[01:07.000 --> 01:14.000]  That's in all the federal court hearings. It's admitted to blame the Second Amendment. That's all public.
[01:14.000 --> 01:21.000]  And Issa said a week ago, I guess a week and a half ago, well, it's up to Obama now if you're going to be fired.
[01:21.000 --> 01:25.000]  I've done my investigation. You lied.
[01:25.000 --> 01:40.000]  And Holder was arrogant in the hearings and didn't care and pointed out that Bush ran similar operations. And so the Republican Party says back off because they're involved in it all as well.
[01:40.000 --> 01:51.000]  And so even if Issa himself isn't involved in all this, the Republican Party says stand down, they stand down, and now the sky is the limit of what Holder can do.
[01:51.000 --> 01:59.000]  You know, they had a big phone takeover drill a few days ago that scared everybody in New Jersey when the government hijacked their phones.
[01:59.000 --> 02:12.000]  They spun it to say, oh, it was just the provider that did it. But now government fear-mongering alerts to go live tomorrow in chess cities like New York where they're going to break in over your phone.
[02:12.000 --> 02:17.000]  And the government said it won't just be text in the future. Your phone, your phone call will be disconnected.
[02:17.000 --> 02:24.000]  Whatever you're doing on your little handheld computer, smart device, and it will be videos of the president or videos of the police chief.
[02:24.000 --> 02:30.000]  And at Walmarts and malls and on street corners, big telescreen saying trust no one but government.
[02:30.000 --> 02:35.000]  I mean, these are already going in at thousands of locations. Only trust your loving government.
[02:35.000 --> 02:45.000]  I mean, it's like they went and got some dystopic science fiction movie of a nightmare police state future and said, let's just have it be outrageous and do it.
[02:45.000 --> 02:57.000]  So here is the daily caller Congressman Issa privacy bill would give Holder broad new powers to police the Internet.
[02:57.000 --> 03:03.000]  Yeah, the Washington Post, the Hill, they all admit it's quote Chinese style model of censorship.
[03:03.000 --> 03:09.000]  Communist Chinese government style. And they admit that it is a free speech kill switch.
[03:09.000 --> 03:17.000]  That's one headline and that there's no due process and the government and private corporations can just shut down anything they want.
[03:17.000 --> 03:24.000]  And they've already admittedly been grabbing sites, many of which that are totally innocent, but are destroyed million dollar sites.
[03:24.000 --> 03:36.000]  Because in a message board, somebody links to a place where there's some copyright music or a copyright article and then none of it's even proven.
[03:36.000 --> 03:43.000]  This is another form of their tyranny. Internet taxes, Internet tracking, all of this is now unfolding.
[03:43.000 --> 03:46.000]  So that's just one of the articles we have.
[03:46.000 --> 03:58.000]  We have a gentleman that comes highly recommended from Oathkeepers, who's a former East German government individual.
[03:58.000 --> 04:06.000]  And he is going to be talking about the parallels with what's happening here in the United States.
[04:06.000 --> 04:14.000]  A member of Texas Healthkeepers was Lieutenant Colonel in the East German Army when communism collapsed and the Berlin Wall came down in 89.
[04:14.000 --> 04:18.000]  So you can tell you all about the Stasi and the rest of it.
[04:18.000 --> 04:21.000]  He's going to be in studio because he lives in Texas.
[04:21.000 --> 04:26.000]  And then of course we have Max Kaiser joining us in 30 minutes.
[04:26.000 --> 04:32.000]  The rats are leaving the sinking ship on the case of MF Global.
[04:32.000 --> 04:33.000]  I'll give you that good news.
[04:33.000 --> 04:38.000]  On the other side, I saw this at Zero Hedge last night up at info wars.com.
[04:38.000 --> 04:39.000]  We had it linked.
[04:39.000 --> 04:42.000]  I saw it this morning in the Financial Times of London.
[04:42.000 --> 04:51.000]  Yesterday, during another one of the congressional testimonies, the head of the CME Group decided to not go down with the ship.
[04:51.000 --> 05:00.000]  And he went ahead and blew the whistle on Mr. Corzine. Stay with us.
[05:00.000 --> 05:07.000]  When you're out on the road, the last place you want to be is on the road.
[05:07.000 --> 05:12.000]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[05:12.000 --> 05:21.000]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[05:21.000 --> 05:29.000]  They so pride in every stitch guarantee you love the way they fit.
[05:29.000 --> 05:34.000]  They put a diamond gusset in the crotch where you need it most.
[05:34.000 --> 05:39.000]  Blue diamond gussets got it. Others don't.
[05:39.000 --> 05:43.000]  We turn jeans inside out. Diamond gusset jeans.
[05:43.000 --> 05:46.000]  Made in the USA with unparalleled quality.
[05:46.000 --> 05:52.000]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection so you can ride all day with confidence.
[05:52.000 --> 05:55.000]  Order yours at gusset.com.
[05:55.000 --> 06:10.000]  Diamond gusset jeans got it. Others don't.
[06:10.000 --> 06:26.000]  The Liberty Blanket is made right here in the USA out of all natural cotton.
[06:26.000 --> 06:41.000]  A phrase that Washington and the founders used often as they announced to the world that their rights and liberties came from a sovereign creator.
[06:41.000 --> 06:57.000]  It's the perfect Christmas gift that helps your friends and family remember our nation's most precious legacy.
[06:57.000 --> 07:12.000]  That's 800-209-1258.
[07:27.000 --> 07:56.000]  That's 800-209-1258.
[07:57.000 --> 08:11.000]  The Genesis Communications Radio Network proudly presents The Alex Jones Show because there's a war on for your mind.
[08:11.000 --> 08:28.000]  Here we are, my friends, defending our republic against enemies, foreign and domestic. It is Wednesday, the 14th day of December 2011.
[08:28.000 --> 08:41.000]  And we have another just incredibly important broadcast lined up. I've tuned into older archives of 3, 4, 5, 6, 7 years ago, 10 years ago, 16 years ago, and I didn't start most broadcasting.
[08:41.000 --> 08:47.000]  A very important transmission today. And I said that sometimes, and it's always important.
[08:47.000 --> 09:01.000]  Now, who can deny the news just gets wilder and crazier every day? World developments are coming so quick. The world is in so much turmoil and upheaval.
[09:01.000 --> 09:13.000]  And on the edge of major multi-region wars, they call those world wars, by the way, that words really cannot describe how amazing what's happening is.
[09:13.000 --> 09:25.000]  Now, let me just mention the news that's coming up. And you know I can never do this. I get into the first article and then basically stall out and start getting into that report.
