[00:00.000 --> 00:10.000]  When I grow up, I want to be a rock star!
[00:30.000 --> 00:36.000]  We now take you live to the Central Texas Command Center in the heart of the Resistance.
[00:36.000 --> 00:40.000]  You're listening to Alex Jones.
[00:40.000 --> 00:48.000]  Welcome to the April 8, 2018 edition of the Alex Jones Show. I'm Mike Adams, the health ranger filling in today for Alex who's traveling.
[00:48.000 --> 00:53.000]  He's going to be hosting a National Press Club event on Tuesday. We'll talk about that more.
[00:53.000 --> 01:02.000]  We've got an incredible show lined up for you here today. This is probably the most important broadcast that I've ever done here at InfoWars by far.
[01:02.000 --> 01:14.000]  Call your friends to tell them to tune in because what I'm about to share with you here is so incredibly profound, important, and dangerous even to our society.
[01:14.000 --> 01:25.000]  We've got the Twitter CEO, Jack Dorsey, now apparently endorsing an article that called for the liberal overthrow of America, the elimination of conservative voices,
[01:25.000 --> 01:38.000]  and that we should all follow California for the model for how America should be run. That's very dangerous, and it shows the bias at Twitter, which is also reflected at YouTube and Google and Facebook.
[01:38.000 --> 01:49.000]  We've got a story on Diamond and Silk who are now being, of course, censored by Facebook. Facebook has called their brand, what is it, unsafe, unsafe to the community.
[01:49.000 --> 01:56.000]  Because if you speak in a way that the tech overlords don't like, then now all of a sudden you are unsafe.
[01:56.000 --> 02:04.000]  This is a very dangerous precedent. They're censoring Diamond and Silk just like they censored me, just like they're censoring InfoWars at every opportunity.
[02:04.000 --> 02:16.000]  The war is on to silence all voices that do not comply with the totalitarian, authoritarian narratives of the left, so we'll be covering that in a lot more detail.
[02:16.000 --> 02:23.000]  We've got the UK disarming its citizens over the last several decades, and now the murder rate is skyrocketing. We'll be talking about that.
[02:23.000 --> 02:35.000]  A woman in Russia has been embalmed live, and she is now dead, sadly. Instead of dripping saline solution into her veins, they dripped an embalming solution.
[02:35.000 --> 02:40.000]  That's in the media right now, but what you're not being told is that it's the same chemical that's used in vaccines.
[02:40.000 --> 02:43.000]  So I'll be talking about that with a vaccine download.
[02:43.000 --> 02:57.000]  Measles is spreading, and today USA Today now admits that one of the people that has been afflicted with measles was vaccinated against measles, just like we've been reporting, and InfoWars has been reporting this entire time.
[02:57.000 --> 03:05.000]  People who are vaccinated against measles can not only catch measles, but they can spread it, and this is now being proven yet again.
[03:05.000 --> 03:19.000]  A hero, a student hero from Parkland. The Parkland shooting has been released. I believe he was shot five times. Anthony Borges, and he is now slamming the Broward County Sheriff's Department, saying that they failed to do their job.
[03:19.000 --> 03:29.000]  We all know that now. Of course, it was called a conspiracy theory at first when we pointed out that they were told to stand down. They stood down outside the school, did not rush in to save the students.
[03:29.000 --> 03:35.000]  This student survived, fortunately, and he has a few words for the Broward County Sheriff's Department.
[03:35.000 --> 03:45.000]  The Washington Post has deleted an article that revealed a Bob Mueller witness to be a pedophile. So they've scrubbed that from their website.
[03:45.000 --> 03:53.000]  Another article down the memory hole because they don't want you to see it. They don't want you to read it. They don't want you to know the truth about what's happening in our world.
[03:53.000 --> 04:02.000]  We're also going to cover an article about how gun control laws that target the mentally ill could be used to disarm people who question authority.
[04:02.000 --> 04:13.000]  So now if you are a defiant person, you can be diagnosed with opposition defiant disorder. It's actually in the DSM-5, the so-called Bible of modern psychiatry.
[04:13.000 --> 04:24.000]  They can use that to say that you're a threat to society. Kind of what they just said to Diamond and Silk. They said they're unsafe for the community. What if Diamond and Silk had their guns taken away?
[04:24.000 --> 04:32.000]  I don't know if they have guns or not, but just theoretically, what if they had their guns taken away because of that? Because they're designated unsafe. Who gets to decide?
[04:32.000 --> 04:44.000]  Our liberties are under attack. Our free speech is under attack. And this is, I have to designate it, the most important, most really an emergency broadcast here on InfoWars Sunday edition.
[04:44.000 --> 04:49.000]  Mike Adams, the Health Ranger, filling in. Stay with us. We'll be right back after this break with much more.
[04:49.000 --> 05:14.000]  Get ready for Alex Jones to invade the swamp. Jones is set to give a speech at the National Press Club in Washington, D.C. on April 10, during which he'll make a statement on the raft of anti-free speech lawsuits targeting his First Amendment rights.
[05:14.000 --> 05:22.000]  Numerous lawsuits have been launched on the premise of attracting media attention and defaming Alex Jones and InfoWars' reputation.
[05:22.000 --> 05:32.000]  Jones will address the left's new tactic of trying to bury InfoWars under a deluge of lawsuits, several of which do not rest on any sound legal basis.
[05:32.000 --> 05:41.000]  While the mainstream media and many on the left routinely celebrate these lawsuits when they're first filed, those same people are noticeably silent when the lawsuits collapse.
[05:41.000 --> 05:47.000]  These lawsuits are yet another attempt to shut down free speech, and they are doomed to fail.
[05:47.000 --> 05:53.000]  Alex Jones will go live at 9 a.m. Eastern from the National Press Club in Washington, D.C.
[05:53.000 --> 05:57.000]  You can find live streams of the press conference at InfoWars.com.
[05:57.000 --> 06:12.000]  Leigh-Anne McAdoo InfoWars.com
[06:12.000 --> 06:20.000]  Big Brother, mainstream media, government cover-ups. You want to stop tyranny? Well, so does he.
[06:20.000 --> 06:26.000]  Live from the InfoWars.com studios, it's Alex Jones.
[06:26.000 --> 06:33.000]  Well, today it's Mike Adams filling in for Alex Jones. Thank you for joining us here on Sunday edition of the InfoWars broadcast.
[06:33.000 --> 06:38.000]  This is the most important broadcast that I can ever remember doing here at InfoWars.
[06:38.000 --> 06:41.000]  I want to thank Alex for inviting me to host the show today.
[06:41.000 --> 06:52.000]  I, along with Alex, am one of the people who is being targeted for censorship and essentially online extermination by the radical tech left-wing overlords
[06:52.000 --> 06:56.000]  that have decided to exterminate all voices that they don't like.
[06:56.000 --> 07:01.000]  Diamond and silk have been targeted. We're going to talk about that. We've got a lot coming up for you today on this show.
[07:01.000 --> 07:06.000]  I want to invite you to call your friends, tweet this out, tell people to join in.
[07:06.000 --> 07:13.000]  This is a very important broadcast. I've done a tremendous amount of research to bring you this information today about the war that is going on
[07:13.000 --> 07:17.000]  and how it has been escalated. Let's start with that right out of the gate.
[07:17.000 --> 07:27.000]  This is our CEO, Jack Dorsey. Apparently, he has endorsed a story, an article, that calls for a civil war and wiping out the GOP
[07:27.000 --> 07:34.000]  and silencing conservatives and making sure that all of America is overrun by Democrats so that it can be operated like California,
[07:34.000 --> 07:42.000]  which is a corrupt, nearly bankrupt, morally bankrupt, police state authoritarian regime that refuses to protect its own borders
[07:42.000 --> 07:48.000]  is a model for the ruination of America. If you ask me, the story from Town Hall says,
[07:48.000 --> 07:54.000]  wait, did Twitter CEO just share a post calling for civil war, wiping out the GOP?
[07:54.000 --> 08:05.000]  And in fact, yes, it seems like he did. And in the story, it talks about how the Twitter CEO wants mob rule to be the rule in America.
[08:05.000 --> 08:15.000]  They want the radical left-wing mob to take over everything that we value and understand that this view is reflected throughout YouTube.
[08:15.000 --> 08:19.000]  Twitter, Google, YouTube and Facebook are doing all the same things.
[08:19.000 --> 08:26.000]  They are now running the gamut of just deleting every conservative voice, every independent media voice,
[08:26.000 --> 08:31.000]  every independent journalist, every libertarian voice that they don't like.
[08:31.000 --> 08:37.000]  If you say something against the LGBT community or if you say something like what I did, I said, hey, there's only two genders.
[08:37.000 --> 08:42.000]  Because I'm a scientist, I understand genetics, I understand chromosomes. There's only two genders.
[08:42.000 --> 08:48.000]  And I was banished from YouTube for citing that. That's how dangerous this has become.
[08:48.000 --> 08:53.000]  And it's way worse than you think because I've done a deep analysis of this issue.
[08:53.000 --> 09:02.000]  And I've come to the conclusion that an order has come down to all the tech giants that they must now immediately silence all free speech on the Internet
[09:02.000 --> 09:11.000]  that disagrees with the radical left-wing narratives, the anti-Trump narratives, the intense hatred, the seething anger, the almost unhinged,
[09:11.000 --> 09:17.000]  almost like vaccine-induced brain damage zombie violence tendencies of the left.
[09:17.000 --> 09:25.000]  It's as if they all went out and smoked these bath salt drugs and now they're turning into actual zombies and they're just running loose
[09:25.000 --> 09:30.000]  across the Internet trying to ban everything that they don't like. That's how dangerous they have become.
[09:30.000 --> 09:36.000]  But they've been ordered to do this. It's clear. They've been ordered to do this before the midterm elections.
[09:36.000 --> 09:43.000]  They want to steal the elections. They want to influence the elections in a fraudulent way to silence those who might be pro-GOP
[09:43.000 --> 09:52.000]  or pro-Trump or anti-Democrat in the elections. They only want one side of every conversation to be heard.
[09:52.000 --> 09:59.000]  They want to control what you see, what you hear, and what you think. This is it. It's an assault on your ability to think.
[09:59.000 --> 10:07.000]  And I'm calling it an online ethnic cleansing. And this is the term that I want to encourage you to share and remember.
[10:07.000 --> 10:13.000]  It's an online ethnic cleansing. This is what's happening right now. They have chosen a targeted group.
[10:13.000 --> 10:20.000]  A group of Christians and conservatives, gun owners, legal firearms owners. They've targeted pro-Trump personalities.
[10:20.000 --> 10:27.000]  They've targeted independent scientists, independent media journalists, real investigators like Cheryl Atkinson, for example.
[10:27.000 --> 10:33.000]  They've targeted them all for online ethnic cleansing. That's what it must be called.
[10:33.000 --> 10:45.000]  I want to encourage you to share that term, use it in your tweets, use it in your podcasts, and understand that this is a violation of the basic human right of self-expression.
[10:45.000 --> 10:53.000]  What Twitter is doing is a violation of human rights. What Google and Facebook are doing in YouTube, it's a violation of your basic human right,
[10:53.000 --> 10:58.000]  the right to express yourself, the right to speak freely, the right to think, the right to question.
[10:58.000 --> 11:04.000]  Because if you can't question the status quo, you are not a free citizen. You are a slave to the system.
[11:04.000 --> 11:10.000]  And that's what the left wants. They want you to be a slave to the system where they feed you what you think, what you eat,
[11:10.000 --> 11:21.000]  what you believe, the myths, the narratives, the falsehoods, the truths. Everything is going to be spoon-fed to you by Twitter and by Facebook and Google and YouTube
[11:21.000 --> 11:30.000]  because they're going to control what you can and cannot see and hear and read and think. It has been escalated to the nuclear level at this point.
[11:30.000 --> 11:36.000]  I mean, let's go to Diamond and Silk here. Now, this, we got a video clip coming up, but the news is, this just happened last night,
[11:36.000 --> 11:46.000]  Diamond and Silk being censored by Facebook and Facebook told them, when they questioned it, Facebook told them that they are unsafe to the community.
[11:46.000 --> 11:56.000]  They have been shadow banned. They are practically being deplatformed. Diamond and Silk, you may recall, rose to fame during the Trump campaign of 2016.
[11:56.000 --> 12:05.000]  And I love this pair. I love them. They're entertaining, but they're also insightful. They're very energized, they're fun to watch, but they're educational at the same time.
[12:05.000 --> 12:12.000]  I think Diamond and Silk are really the perfect expression of what free speech should be in America. They have a point of view.
[12:12.000 --> 12:19.000]  If you don't like it, change the channel. But why should Facebook ban them? Because Facebook doesn't like what they're saying.
[12:19.000 --> 12:26.000]  And how dare Facebook say that they're unsafe to the community? What do you mean unsafe to the community?
[12:26.000 --> 12:34.000]  What about all your people, your radical left-wing people on Facebook who are calling for Trump to be murdered, calling for the execution of conservatives,
[12:34.000 --> 12:43.000]  calling for the country to be overrun by Democrats who despise free market principles and despise basic human rights.
[12:43.000 --> 12:51.000]  You people are unsafe. You tyrants. You censors. You authoritarian tech overlords. You are dangerous to our society.
[12:51.000 --> 12:57.000]  And it's about time that we woke up and we fought back and did something about it to protect our free speech rights.
[12:57.000 --> 13:04.000]  Let's take a listen to Diamond and Silk right now and how they describe this assault on their basic human rights. Go ahead and roll that clip.
[13:04.000 --> 13:28.000]  So what happens next? Do you guys go somewhere else then? Do you put your videos elsewhere, go to YouTube or something?
[13:28.000 --> 13:38.000]  Right. Especially if a privately owned bakery has to go against their Christian values to bake a cake, then Mark Zuckerberg is going to have to suck it up but a cup.
[13:38.000 --> 13:41.000]  That's right. And allow Diamond and Silk to speak our truth.
[13:41.000 --> 13:48.000]  Did you catch that? That was a very important and profound point just made there. I love those two. I love them.
[13:48.000 --> 14:00.000]  I wish I could have been in the studio right here today. She said if a private bakery has to go against their Christian values to bake a cake, then Zuckerberg has to allow us to speak our truth.
[14:00.000 --> 14:17.000]  You see, that's the point. It's a double standard. These liberal mobsters, they want to rush into a bakery in Indiana and they want to force them to say, hey, you have to engage in the creation of art by writing pro-gay slogans on this cake
[14:17.000 --> 14:28.000]  and you have to do it against your own religious beliefs and we're going to force you to do that and we're going to find you and we're going to sue you and the state is going to come down on you
[14:28.000 --> 14:36.000]  because you have to provide this equal opportunity to make a cake slogan for everybody.
[14:36.000 --> 14:43.000]  But then when Diamond and Silk want to go on Facebook and say they support Trump and they know the Democrat Party isn't helping African Americans
[14:43.000 --> 14:50.000]  and they want to exercise their free speech rights, no, all of a sudden Facebook clamps down on them and says, oh, you don't have the right to speak.
[14:50.000 --> 14:59.000]  Wait a minute. You mean to tell me that you can compel speech on Christian bakers against their religious convictions?
[14:59.000 --> 15:06.000]  You can compel them essentially by putting a gun to their head and forcing them to say something that violates their belief system,
[15:06.000 --> 15:15.000]  but you can't even allow Diamond and Silk and other people like that to have a platform to speak their minds when they actually have more truth and more wisdom
[15:15.000 --> 15:21.000]  and more insight than a lot of people today on the left who are bashing these Christians all day long.
[15:21.000 --> 15:26.000]  This is the double standard that's so dangerous and it is only escalating in America.
