[00:00.000 --> 00:24.280]  Infowars, tomorrow's news today.
[00:24.280 --> 00:33.100]  Well, everybody knew it all along, but thanks to Elon Musk and Matt Taibbi and others, we
[00:33.100 --> 00:35.040]  now have the evidence.
[00:35.040 --> 00:42.840]  Yes, the Democrats lied about, well, pretty much everything, but specifically when it
[00:42.840 --> 00:49.680]  comes to the Hunter Biden laptop, specifically when it comes to the source of all of the
[00:49.680 --> 00:52.160]  censorship, we now have the truth.
[00:52.160 --> 01:01.040]  And Democrat voter Matt Taibbi has been one of the journalists exposing this, getting
[01:01.040 --> 01:08.820]  the behind the scenes access from Elon Musk, and he continues to be upset and disturbed
[01:08.820 --> 01:14.920]  about what he's finding behind the scenes with the Democrats' attack on the First Amendment.
[01:14.920 --> 01:19.160]  Here is the latest disturbing developments from Matt Taibbi.
[01:19.760 --> 01:26.680]  We found a whole bunch of communications just recently about in preparation for a hubbub
[01:26.680 --> 01:32.920]  they were all having at the Aspen Institute in 2021, where they were discussing ideas
[01:32.920 --> 01:37.880]  like the RESTRICT Act, which is being proposed in response to TikTok.
[01:37.880 --> 01:43.120]  There's I guess the European Digital Services Act or whatever they call it that they're
[01:43.120 --> 01:45.720]  thinking about for the EU.
[01:45.720 --> 01:50.760]  The ideas in both of these bills are sort of wish lists that have been passed around
[01:50.760 --> 01:52.720]  in this community for a long time.
[01:52.720 --> 02:00.840]  The governments want absolute, full and complete access to all data that these platforms provide.
[02:00.840 --> 02:05.560]  And then they want a couple of other things that are really important.
[02:05.560 --> 02:10.680]  They want to have the authority to come in and moderate, or at least be part of the process
[02:10.680 --> 02:12.960]  of moderation.
[02:12.960 --> 02:18.680]  Then they also want, for people who are called trusted flaggers, that's how it's described
[02:18.680 --> 02:24.920]  in the European law, they want those folks to have access to these platforms as well.
[02:24.920 --> 02:32.240]  What they mean by that are these sort of outside quasi-governmental agencies who tell these
[02:32.240 --> 02:38.760]  platforms what they can and cannot print about things like vaccine safety.
[02:38.760 --> 02:43.360]  And then we found out more about that, where they're openly talking about censoring true
[02:43.360 --> 02:44.360]  information.
[02:44.360 --> 02:48.160]  So, yeah, we're still finding out a lot of stuff about this.
[02:48.160 --> 02:53.200]  And I think there is more to find, unfortunately, which is kind of disturbing.
[02:53.200 --> 03:00.600]  After that, they have people they call trusted partners who are allowed to make determinations
[03:00.600 --> 03:06.400]  about content or whose determinations they will take seriously.
[03:06.400 --> 03:13.280]  So yeah, it's straight out of 1984, all this stuff.
[03:13.280 --> 03:18.720]  If you look at the Digital Services Act, it's a lot like the recommendations of the Aspen
[03:18.720 --> 03:23.960]  Institute, and it's got a lot in common with the RESTRICT Act here in the States.
[03:23.960 --> 03:31.520]  When you look at the sections about giving the government access to data, what they really
[03:31.520 --> 03:39.280]  mean by that is they want everything, every kind of content that's created on the platform
[03:39.280 --> 03:43.520]  has to be done in a format that can be algorithmically searched.
[03:43.520 --> 03:50.380]  So even video or if you have something, a conversational platform, they have to be able
[03:50.380 --> 03:57.960]  to automatically generate a transcript quickly so that whatever AI they're attaching to surveil
[03:57.960 --> 04:04.080]  and monitor people has to be able to look out for keywords quickly.
[04:04.080 --> 04:05.080]  It's funny.
[04:05.080 --> 04:09.320]  We did a thing about this thing called the Morality Project, and one of the things they
[04:09.320 --> 04:13.960]  were upset about when they were reviewing COVID information was that a worldwide freedom
[04:13.960 --> 04:19.000]  rally that was held last year, I think, or two years ago in Europe had been organized
[04:19.000 --> 04:23.600]  on Telegram, where they couldn't search it, where they didn't know it was coming.
[04:23.600 --> 04:26.540]  And so that's part of their thinking.
[04:26.540 --> 04:29.500]  We don't want any more of those spaces where we can't search.
[04:29.500 --> 04:33.040]  We want everything searchable and we want it instantly searchable.
[04:33.040 --> 04:39.980]  So again, that's Democrat and longtime respected journalist, Matt Taibbi, exposes Democrat
[04:39.980 --> 04:47.500]  party corruption, exposes anti-First Amendment activity, testifies to Congress.
[04:47.500 --> 04:51.980]  And then the next day, the Democrats send the IRS to his house to threaten, bully and
[04:51.980 --> 04:54.700]  intimidate him.
[04:54.700 --> 05:00.260]  We all know what's going on, knowing how much longer do we have to put up with this
[05:00.260 --> 05:01.260]  crap?
[05:01.260 --> 05:04.380]  The fight against the New World Order is now the top story in the world.
[05:04.380 --> 05:09.140]  The globalists are in deep trouble, but they're striking back with all their deep state operatives
[05:09.140 --> 05:14.140]  to shut down Infowars and other truth tellers like James O'Keefe and Tucker Carlson and
[05:14.140 --> 05:15.140]  countless others.
[05:15.140 --> 05:19.260]  So please pray for us now more than ever, spread the word about the broadcast and get
[05:19.260 --> 05:22.940]  great products to keep us on air and fund our operation while at the same time enriching
[05:22.940 --> 05:23.940]  your life.
[05:23.940 --> 05:28.740]  We've got three new products available at Infowarsstore.com and a bestseller back at
[05:28.740 --> 05:29.740]  stock.
[05:29.740 --> 05:33.580]  We have the amazing Dr. Jones Naturals turmeric toothpaste, that's so much more.
[05:33.580 --> 05:35.260]  Find out more at Infowarsstore.com.
[05:35.260 --> 05:39.660]  We have the ashwagandha root pills with black powder extract to accelerate your libido,
[05:39.660 --> 05:40.660]  stamina, testosterone.
[05:40.660 --> 05:44.580]  And we have pure ashwagandha gummies at Infowarsstore.com as well.
[05:44.580 --> 05:46.360]  These are all the highest quality products.
[05:46.360 --> 05:48.540]  The prebiotic is now finally back in stock.
[05:48.540 --> 05:52.420]  They're all there at Infowarsstore.com, so please take action now.
[05:52.420 --> 05:55.580]  Attach your life, empower your body, and keep us on air.
[05:55.580 --> 05:56.580]  Please take action now.
[05:56.580 --> 05:57.580]  Infowarsstore.com.
[05:57.580 --> 06:10.580]  You are listening to an Infowars.com frontline report.
[06:10.580 --> 06:15.340]  If you are receiving this transmission, you are the resistance.
[06:15.340 --> 06:18.780]  And now your host, Owen Troyer.
[06:18.780 --> 06:26.380]  Calling in for Alex Jones today, and we've got a loaded guest lineup, Pete Santilli joining
[06:26.380 --> 06:28.380]  us first hour.
[06:28.380 --> 06:33.180]  Talk about a motion he's filed to stop this indictment of Trump, that he's trying to get
[06:33.180 --> 06:35.380]  the word out on.
[06:35.380 --> 06:41.580]  We've got Thomas Renz in the second hour with just devastating news.
[06:41.580 --> 06:45.740]  And we were hoping that we could avoid this, and it had been a major debate.
[06:45.740 --> 06:49.140]  Are they vaccinating our food supply?
[06:49.140 --> 06:56.120]  In other words, are they vaccinating the animals that we're going to eat with the mRNA jabs?
[06:56.120 --> 06:59.820]  And we had farmers on in the past, they said, nope, this isn't happening yet.
[06:59.820 --> 07:03.080]  Well, now it looks like it's happening.
[07:03.080 --> 07:06.260]  And Tom Renz has that breakdown for us in the second hour.
[07:06.260 --> 07:12.240]  And then in the third hour, Dr. Simone Gold, I mean, she can talk about the political persecution
[07:12.240 --> 07:13.820]  that she's endured.
[07:13.820 --> 07:19.480]  She can talk about the medical persecution she's endured.
[07:19.480 --> 07:23.040]  And so we've got news on that as well.
[07:23.040 --> 07:28.660]  But I got to tell you, as I'm getting ready for a long broadcast day today, plenty of
[07:28.660 --> 07:29.660]  news to cover.
[07:29.660 --> 07:31.020]  It's no problem there.
[07:31.020 --> 07:32.180]  I can cover news for eight hours.
