[00:00.000 --> 00:08.160]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[00:08.160 --> 00:11.000]  You're listening to the Alex Jones show.
[00:11.000 --> 00:13.000]  Well, here we are.
[00:13.000 --> 00:21.000]  Seems like 2014 just began and it's already December 25th, 2014, it's Christmas.
[00:21.000 --> 00:25.000]  Yes, they've turned into a giant commercial event.
[00:25.000 --> 00:30.000]  There's record numbers of suicides and car wrecks and DWIs on the state.
[00:30.000 --> 00:35.000]  And it's not the traffic and the long lines that lead up to Christmas I like, but it is.
[00:35.000 --> 00:41.000]  It is the Christmas carols, it's the music of childhood, it's meeting with family.
[00:41.000 --> 00:49.000]  I like Christmas overall and I really like the message of Christ that Christmas is connected to.
[00:49.000 --> 00:56.000]  It's something that the system really tries to distract us from with fad driven hoaxes like Santa Claus.
[00:56.000 --> 00:59.000]  And I'm not against that jolly old elf.
[00:59.000 --> 01:04.000]  It's just that he's only been manufactured in the West in the last 80 years or so.
[01:04.000 --> 01:09.000]  Sure, in the Netherlands and other areas Santa Claus was a jolly old guy.
[01:09.000 --> 01:18.000]  If you go back to the 1700s, Christmas was banned in England for a while because it was a day kind of like Devil's Night in Detroit
[01:18.000 --> 01:21.000]  to go out and burn down buildings and murder people.
[01:21.000 --> 01:32.000]  And Santa Claus was a striped shirted Freddy Krueger type elf who was a patron saint of murdering gangs that were out looting
[01:32.000 --> 01:36.000]  and as I said, raping and burning down buildings.
[01:36.000 --> 01:40.000]  So Christmas is a lot of things to a lot of people.
[01:40.000 --> 01:48.000]  But on this Christmas edition of the global transmission, I just want to say that I'm thankful for all the great listeners out there that put up with me.
[01:48.000 --> 01:50.000]  I'm thankful for my great crew.
[01:50.000 --> 01:53.000]  I'm thankful for my family.
[01:53.000 --> 01:55.000]  I'm thankful for the Providence.
[01:55.000 --> 01:57.000]  You know, God's good graces.
[01:57.000 --> 02:05.000]  Some people call it luck, but I knock on wood and thank the good Lord above for all of the close calls I've had.
[02:05.000 --> 02:11.000]  There's certainly a invisible hand of good working there to shepherd and protect so many of us.
[02:11.000 --> 02:19.000]  And I'm thankful for the amazing fact that I'm alive and conscious and then I can interface with all of you other conscious beings.
[02:19.000 --> 02:20.000]  It's really amazing.
[02:20.000 --> 02:34.000]  And I'm always humbled by the fact that I have an audience that tunes in on record levels even during days like Christmas when most radio shows have almost no listeners.
[02:34.000 --> 02:39.000]  And it's because you're hardcore folks that care about humanity, care about defeating tyranny.
[02:39.000 --> 02:40.000]  You take it personal.
[02:40.000 --> 02:43.000]  You're involved and you're the salt of the earth.
[02:43.000 --> 02:45.000]  So I get grumpy.
[02:45.000 --> 02:48.000]  I get irritable doing three, four hours of radio every day and sometimes I'm a jerk.
[02:48.000 --> 02:57.000]  But in my heart, I really love all of you and I appreciate you and our guest sponsors, affiliates, really everyone that's made the info war possible.
[02:57.000 --> 03:12.000]  And it's seen through all of my foibles, all of my warts, all of my problems and seen that kernel of greatness there that has helped grow the info war so much because Gandhi said that in each of us is the seed of the universe.
[03:12.000 --> 03:18.000]  And just as I saw in Paul Watson and so many other great reporters, I have the seeds of greatness.
[03:18.000 --> 03:20.000]  You have seen that in me as well.
[03:20.000 --> 03:22.000]  And we see that back looking at each other.
[03:22.000 --> 03:30.000]  I mean, Drudge Report has helped us to send hundreds and hundreds of millions of visitors over the years to infowars.com and prismplanet.com.
[03:30.000 --> 03:31.000]  I'm thankful to that.
[03:31.000 --> 03:38.000]  I'm thankful to other real media out there like WorldNet Daily and countless others and mainstream journalists as well.
[03:38.000 --> 03:46.000]  You know, even Esquire last year did a profile and I guess this year seems like last year, seems like it's already 2015 and said Alex Jones is really a pretty good guy.
[03:46.000 --> 03:55.000]  And then they almost didn't publish it and put it at the back, the writer told me, but they said if we don't get a picture of you acting crazy, it really won't go in there.
[03:55.000 --> 03:56.000]  They want to balance it.
[03:56.000 --> 04:03.000]  That was like a famous documentary filmmaker made a big five part documentary with me in it, Joe Belger.
[04:03.000 --> 04:13.000]  And when it went to Discovery Channel, they said it's too positive, make Alex look bad and he refused so they shelved the $5 million project.
[04:13.000 --> 04:17.000]  It was a million dollar budget per piece.
[04:17.000 --> 04:19.000]  And it would have gotten ratings for Discovery.
[04:19.000 --> 04:21.000]  He's the guy that made some kind of monster.
[04:21.000 --> 04:27.000]  You name it with Metallica, Brothers Keeper, just a really famous award-winning guy.
[04:27.000 --> 04:28.000]  I think he won an Academy Award.
[04:28.000 --> 04:29.000]  It was a nomination.
[04:29.000 --> 04:31.000]  The point, I'm not bragging here.
[04:31.000 --> 04:36.000]  The point is, is that there have been so many people out there that resonate for justice and freedom.
[04:36.000 --> 04:39.000]  I know you're out there where brothers and sisters and arms together.
[04:39.000 --> 04:46.000]  So Merry Christmas to all of you, even if you don't like Jesus or anything, you know it's a fun time of year and the lights are pretty.
[04:46.000 --> 04:51.000]  So I love all of you and we'll see you obviously coming up live tomorrow.
[04:51.000 --> 04:57.000]  We've got a powerful retransmission coming up right now with Billy Corrigan and the former head of the NSA and a lot more.
[04:57.000 --> 05:20.000]  Stay with us.
[05:28.000 --> 05:32.000]  The government's Department of Homeland Security is buying up loads of ammo.
[05:32.000 --> 05:36.000]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[05:36.000 --> 05:38.000]  Can you put two and two together?
[05:38.000 --> 05:43.000]  Infidel Body Armor can stop every round, including hollow points and 308 sniper rounds.
[05:43.000 --> 05:46.000]  Is reasonably priced and fully legal.
[05:46.000 --> 05:47.000]  But for how long?
[05:47.000 --> 05:54.000]  Go to infidelbodyarmor.com, spelled I-N-F-I-D-E-L body armor dot com.
[05:54.000 --> 05:59.000]  Infidel Body Armor just won't quit.
[06:24.000 --> 06:26.000]  It's an iodine or DNA force.
[06:26.000 --> 06:32.000]  Super male vitality, super female vitality, lung cleanse, fluoride shield, oxy powder.
[06:32.000 --> 06:40.000]  I believe that all of these products will blow you away like they've done the thousands of other customers that have visited InfoWarsLife.com.
[06:40.000 --> 06:42.000]  There's two.
[06:42.000 --> 06:46.000]  Just amazing what it's able to do to actually detox the body.
[06:46.000 --> 06:47.000]  It's great stuff.
[06:47.000 --> 06:55.000]  Check out InfoWarsLife.com today and the entire line of ground breaking, cutting edge, hard core products.
[07:17.000 --> 07:25.000]  Using super oxygenation, oxy powder, available through InfoWarsLife.com, gently cleanses the body while you sleep with easy capsules.
[07:25.000 --> 07:30.000]  InfoWars Nightly News Director Rob Doe has been using oxy powder with incredible success.
[07:30.000 --> 07:33.000]  Took it that first day and I took it for six more days after that.
[07:33.000 --> 07:36.000]  12 pounds melted off in about a week, I'd say a week, seven days.
[07:36.000 --> 07:38.000]  And I've been able to keep it off too.
[07:38.000 --> 07:40.000]  My wife's like, wow, you look really good.
[07:40.000 --> 07:42.000]  And I'm like, I know, I guess it's this oxy powder.
[07:42.000 --> 07:47.000]  2015 can be different. Diet and exercise are important, but a lot of us have already tried that.
[07:47.000 --> 07:49.000]  Oxy powder flushes it out.
[07:49.000 --> 07:52.000]  Secure your oxy powder at InfoWarsLife.com.
[07:52.000 --> 08:14.000]  If you are receiving this transmission, you are the resistance.
[08:22.000 --> 08:41.000]  You travel very far. You travel far like a star. And you are.
[08:41.000 --> 08:56.000]  SmashingPumpkinsNexus.com is the website, SmashingPumpkinsNexus.com, to find the new album that I just got in and can't wait to listen to the whole thing.
[08:56.000 --> 09:02.000]  Monuments to an LG, want to find out what that means, or LG.
[09:02.000 --> 09:12.000]  Tommy Lee, one of my favorite drummers, of course, of Motley Crue fame, is doing drums on the album.
