[00:00:23.526 --> 00:00:25.907]  It's Friday, November 19th.
[00:00:25.907 --> 00:00:27.588]  The year is 2021.
[00:00:27.588 --> 00:00:36.052]  And I think it's very important just to sit back and let it sink in.
[00:00:36.052 --> 00:00:40.374]  Very slowly, the incredible news.
[00:00:40.374 --> 00:00:42.836]  The US government and the British government
[00:00:43.934 --> 00:00:54.302]  Are both announcing that they are going to announce mandatory booster shots for federal employees, the military and companies over 100 people.
[00:00:54.302 --> 00:01:01.288]  The puppet president and the press secretary of the puppet have said, ignore the federal court.
[00:01:01.288 --> 00:01:03.770]  The mandate goes ahead.
[00:01:03.770 --> 00:01:04.851]  Quote, business as usual.
[00:01:04.851 --> 00:01:09.295]  I have the video of that.
[00:01:09.295 --> 00:01:10.215]  It's just insane.
[00:01:10.215 --> 00:01:11.516]  And the letter went out last night.
[00:01:11.516 --> 00:01:13.258]  I've got the article right here in the actual letter.
[00:01:14.963 --> 00:01:19.744]  Where everybody's going to basically be reprimanded and kicked out of the military.
[00:01:19.744 --> 00:01:22.205]  It's just short of a dishonorable discharge.
[00:01:22.205 --> 00:01:25.906]  But you'll have a bad record if you don't take the shot.
[00:01:25.906 --> 00:01:28.166]  And they're saying it may be 10 shots, it may be 20 shots.
[00:01:28.166 --> 00:01:31.747]  You're just going to take in your body what we want, when we want.
[00:01:31.747 --> 00:01:35.468]  And you add that to the documents even coming out in the Washington Post.
[00:01:35.468 --> 00:01:36.648]  Well, they're very proud of it.
[00:01:36.648 --> 00:01:42.870]  They're like, yeah, Pfizer has secret agreements and runs the media, runs the government, and can even override Congress and the Senate and the President.
[00:01:43.527 --> 00:01:45.929]  Well, you can't sign stuff like that.
[00:01:45.929 --> 00:01:48.952]  I mean, sure, OK, Trump did that.
[00:01:48.952 --> 00:01:50.673]  They put Warp Speed in front of him.
[00:01:50.673 --> 00:01:54.497]  He didn't really know what the thousands of pages of secret agreements are.
[00:01:54.497 --> 00:01:59.642]  But we've got to just move past that and admit Trump screwed the pooch.
[00:01:59.642 --> 00:02:00.783]  And we've got to stop this.
[00:02:02.369 --> 00:02:04.050]  That's how Trump can salvage himself.
[00:02:04.050 --> 00:02:04.690]  We need Trump.
[00:02:04.690 --> 00:02:05.631]  He's a good guy overall.
[00:02:05.631 --> 00:02:08.652]  We need him to get good patriots elected.
[00:02:08.652 --> 00:02:22.100]  But look at this one in Virginia, betraying conservatives, coming out and saying, you know, let them push forced inoculations and lockdowns and masks in the blue cities, which is all the major cities of the great state of Virginia.
[00:02:22.100 --> 00:02:23.180]  So more of the same.
[00:02:23.180 --> 00:02:24.941]  It's just a nightmare scenario.
[00:02:24.941 --> 00:02:27.503]  But look at these headlines.
[00:02:27.503 --> 00:02:29.244]  Official Public Health England
[00:02:30.427 --> 00:02:37.853]  Says COVID infection rates higher in vaxxed than unvaxxed, and there's higher hospitalizations and higher death rates.
[00:02:37.853 --> 00:02:42.956]  And it's got all the graphs and all the numbers linked directly to them on InfoWars.com.
[00:02:42.956 --> 00:02:48.300]  And big articles laying it out again, detailing it.
[00:02:48.300 --> 00:02:51.623]  And then here it is, ladies and gentlemen.
[00:02:51.623 --> 00:02:55.726]  Austria makes COVID vaccine mandatory vows penalties for those who resist.
[00:02:55.726 --> 00:02:58.508]  Thousands arrested for going outside without authorization.
[00:02:59.960 --> 00:03:02.142]  Here's one here in the United States, NBC News.
[00:03:02.142 --> 00:03:06.105]  Hospitalizations rising among fully vaccinated in the U.S., Fauci says.
[00:03:06.105 --> 00:03:10.788]  Yeah, so you're not less likely to get sick and less likely to be hospitalized and less likely to die.
[00:03:10.788 --> 00:03:11.689]  You're more likely to die.
