[00:00:01.380 --> 00:00:06.802]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:00:06.802 --> 00:00:18.425]  Because there's a war on for your mind.
[00:00:18.425 --> 00:00:20.846]  Let me just start the broadcast like this.
[00:00:20.846 --> 00:00:28.268]  Democratic Party platform officially calls for prosecuting man-made global warming skeptics.
[00:00:29.787 --> 00:00:36.629]  So we point out that all these UN heads and people are making massive amounts of money off carbon taxes, and it's all a giant scam.
[00:00:36.629 --> 00:00:39.130]  You point out that the sun is the main driver of climate.
[00:00:39.130 --> 00:00:40.950]  They want you arrested.
[00:00:40.950 --> 00:00:51.493]  We know the Democrats have been pushing that here, they've been pushing it in Europe, but it doesn't matter that we found their emails that got hacked six years ago showing major universities coordinating with the UN to, quote, hide the decline.
[00:00:52.409 --> 00:01:00.432]  None of that really matters, because they just want to arrest those of us that call them out for being the criminals they are.
[00:01:00.432 --> 00:01:08.335]  And the Communist Chinese have come out and announced incredible internet censorship, including of Western companies that don't submit to their guidelines.
[00:01:08.335 --> 00:01:11.676]  And Reuters and others come out and kind of write about it like it's an okay thing.
[00:01:12.978 --> 00:01:14.839]  Because they don't want to be censored in China.
[00:01:14.839 --> 00:01:27.789]  In the past, as bad as our media has been, they wouldn't join with a communist Chinese government that has mobile execution vans in every city killing political dissidents and executing you if they find out you're a closet Buddhist.
[00:01:27.789 --> 00:01:30.251]  Who the Buddhist attacked ever?
[00:01:30.251 --> 00:01:36.335]  So, this is what we're dealing with here, is just incredible totalitarianism galloping.
[00:01:36.335 --> 00:01:42.080]  And by the way, we didn't predict accurately what the EU was going to do if there was a pro-
[00:01:43.703 --> 00:01:46.305]  British exit from the Euro.
[00:01:46.305 --> 00:01:47.726]  We knew what they would do.
[00:01:47.726 --> 00:01:58.635]  They would try to trigger clauses that they have, claiming that if you don't have 75% for an exit, you're not allowed to leave.
[00:01:58.635 --> 00:02:03.579]  The UK never got to vote to enter.
[00:02:03.579 --> 00:02:08.803]  Out of 25 that have entered the EU, only two of them ever had a vote.
[00:02:08.803 --> 00:02:12.186]  Other countries have voted to get out, and when they vote to get out, they're not allowed to get out.
[00:02:13.086 --> 00:02:16.147]  Now, that's called being a prisoner.
[00:02:16.147 --> 00:02:17.788]  England has its own military.
[00:02:17.788 --> 00:02:20.889]  And this is what's incredible about a Zero Hedge story up on InfoWars.com.
[00:02:20.889 --> 00:02:23.931]  We're going to be covering it in detail.
[00:02:23.931 --> 00:02:27.632]  They themselves say their answer is a new super state.
[00:02:27.632 --> 00:02:30.774]  That's what George Soros called for yesterday.
[00:02:30.774 --> 00:02:36.716]  And they're telling members that haven't left yet, we're abolishing your militaries.
[00:02:36.716 --> 00:02:40.598]  And next is your police, the final phase of occupation.
[00:02:42.409 --> 00:02:45.512]  EU response to British exit.
[00:02:45.512 --> 00:02:47.853]  The Brexit totalitarian super state.
