[00:00.000 --> 00:10.000]  Big Brother, mainstream media, government cover-ups.
[00:10.000 --> 00:11.000]  You want answers?
[00:11.000 --> 00:13.000]  Well, so does he.
[00:13.000 --> 00:22.000]  He's Alex Jones on the GCN Radio Network, and now, live from Austin, Texas, Alex Jones.
[00:22.000 --> 00:24.000]  We're live.
[00:24.000 --> 00:34.000]  We have a huge broadcast lined up for you on this 30th of July, 2014, but I was re-watching a report from about two weeks ago that David Knight filed.
[00:34.000 --> 00:45.000]  I was watching it last night, and it's so good, I thought I would air an excerpt of it, Prison Planet of the Apes, with our own co-host, David Knight.
[00:45.000 --> 00:52.000]  This is the type of stuff that airs every night, 7 o'clock central, with info wars, nightly news.
[00:52.000 --> 01:01.000]  There's a new book that's come out. It's called Animal Madness, how anxious dogs, compulsive parrots, and elephants in recovery can help us to understand ourselves.
[01:01.000 --> 01:17.000]  Now, the interesting thing about this book is that rather than looking at drugs being tested on animals, it takes drugs that have, first of all, of course, tested on animals, then used routinely on humans, and now have gone full circle back into the zoo.
[01:17.000 --> 01:24.000]  And so it provides us some interesting insights. And of course, in reviews, people have talked about anthropomorphism.
[01:24.000 --> 01:32.000]  In other words, projecting human characteristics onto animals. I say to speak of mental illness in animals requires a degree of anthropomorphizing.
[01:32.000 --> 01:39.000]  Or this is a humane, insightful, beautifully written book, Animal Madness gives anthropomorphism a good name.
[01:39.000 --> 01:45.000]  What about anthropomorphism in reverse? Yes, are we treating humans like animals?
[01:45.000 --> 01:52.000]  I'll take a look at a couple of the excerpts from the book, but before we do, there's also another school of thought in how we control animals.
[01:52.000 --> 01:59.000]  And of course, is the B.F. Skinner Behavioral Modification School. We use positive, operant conditioning to control the animals.
[01:59.000 --> 02:04.000]  Skinner's techniques are actually a humane way to communicate with and to control animals.
[02:04.000 --> 02:14.000]  The problem arises with the reverse anthropomorphism when Skinner starts to treat humans as animals, devoid of freedom and dignity.
[02:14.000 --> 02:24.000]  Of course, much of our government's interaction with everyone from children in schools to airplane travelers with TSA is based on positive, operant conditioning.
[02:24.000 --> 02:30.000]  In other words, let me touch you wherever I want and I'll reward you with allowing you to get on a plane.
[02:30.000 --> 02:34.000]  Now, of course, the other popular way to control people is with pharmaceuticals.
[02:34.000 --> 02:43.000]  If Mr. McMurphy doesn't want to take his medication orally, I'm sure we can arrange that he can have it some other way.
[02:43.000 --> 02:46.000]  Brightman's book gives us some perspectives on that.
[02:46.000 --> 02:49.000]  Now, Thorazine, of course, was first tested on rats.
[02:49.000 --> 02:58.000]  And what they found was that even though rats could easily climb up a rope to get to some food, once they put them on Thorazine, they couldn't be bothered.
[02:58.000 --> 03:02.000]  Even when they knew a shock was coming on, they would just sit there.
[03:02.000 --> 03:05.000]  What happened when they gave Thorazine to a gorilla in the zoo?
[03:05.000 --> 03:12.000]  This is a gorilla that was going to have to be relocated to a very small cage for a period of six months while his usual habitat was repaired.
[03:12.000 --> 03:17.000]  So what they did to help him cope was what any good psychiatrist would do.
[03:17.000 --> 03:19.000]  They put some Thorazine in his coke.
[03:19.000 --> 03:21.000]  What did that do for him?
[03:21.000 --> 03:24.000]  Well, the zookeeper said he shuffled back and forth across this cage with dulled eyes.
[03:24.000 --> 03:29.000]  It was a little like watching the men in one flew over the cuckoo's nest.
[03:29.000 --> 03:35.000]  Now, a review of her book that's on Wired.com today covers a couple of interesting anecdotes entitled,
[03:35.000 --> 03:38.000]  Even the Gorillas and Bears in Our Zoo are Hooked on Prozac.
[03:38.000 --> 03:43.000]  They look at what happens when we take these drugs that we've now approved for massive use on humans
[03:43.000 --> 03:46.000]  and then turn around and use them on animals in the zoo.
[03:46.000 --> 03:54.000]  Gus, the famous polar bear from the Central Park Zoo, was put on Prozac because he was swimming for 12 hours a day.
[03:54.000 --> 03:57.000]  Now, as an aside, that's what polar bears do.
[03:57.000 --> 03:59.000]  They range over hundreds of miles.
[03:59.000 --> 04:06.000]  And of course, that's why you see all these pictures of polar bears sitting on ice flows looking like they're forworn,
[04:06.000 --> 04:08.000]  like their habitat is melting.
[04:08.000 --> 04:10.000]  No, they range over several hundred miles a day.
[04:10.000 --> 04:13.000]  So this polar bear was swimming 12 hours a day.
[04:13.000 --> 04:19.000]  And they said that that is.0009% of his usual habitat.
[04:19.000 --> 04:23.000]  But of course, instead of giving him a larger habitat, which they couldn't do,
[04:23.000 --> 04:26.000]  they put him on Prozac to try to control his behavior.
[04:26.000 --> 04:31.000]  Now, some of the zookeepers who were using psychopharmaceuticals on these animals
[04:31.000 --> 04:34.000]  were curious if other zoos were doing the same thing.
[04:34.000 --> 04:39.000]  Half of the 31 institutions throughout the U.S. and Canada that responded to their survey
[04:39.000 --> 04:43.000]  had used psychopharmaceuticals on their gorillas.
[04:43.000 --> 04:49.000]  Again, that's just part of the video report that he filed for the nightly news last week.
[04:49.000 --> 04:51.000]  Prison Planet of the Apes.
[04:51.000 --> 04:56.000]  I'm going to retweet it right now from my iPhone during this break at Real Alex Jones.
[04:56.000 --> 05:06.000]  Spread it far and wide.
[05:27.000 --> 05:36.000]  This is not a low-grade formula.
[05:36.000 --> 05:40.000]  We are working with one of the top laboratory manufacturers in the United States
[05:40.000 --> 05:45.000]  to bring you the best form of colloidal silver using electrical processes
[05:45.000 --> 05:49.000]  within a base of deionized water for your preparedness storage.
[05:49.000 --> 05:53.000]  For your home kitchen, purchase your bottle of infowarslife.com,
[05:53.000 --> 05:59.000]  put colloidal silver today, and find other amazing supplements at infowarslife.com.
[05:59.000 --> 06:03.000]  I began to get into iodine a few years ago because it was helping me and my family so much
[06:03.000 --> 06:05.000]  get healthy and detoxify.
[06:05.000 --> 06:10.000]  Most people know that iodine deficiency has been a crisis around the world.
[06:10.000 --> 06:15.000]  Iodine is key to so many of the body's functions, especially the thyroid.
[06:15.000 --> 06:18.000]  I discovered a product being developed by Dr. Group.
[06:18.000 --> 06:23.000]  You know it as survival shield, true nascent iodine that your body can really absorb.
[06:23.000 --> 06:26.000]  Then, about a year ago, he said, listen, if you think this is powerful,
[06:26.000 --> 06:30.000]  I'm going to come out with rare earth, deep earth crystals.
[06:30.000 --> 06:34.000]  And the results that I personally have had have been life changing.
[06:34.000 --> 06:39.000]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
