[00:00.000 --> 00:21.100]  I'm sorry, didn't know you were watching, dumb Americans, did you enjoy the fentanyl
[00:21.100 --> 00:38.460]  show, I'm sorry, did you enjoy the fentanyl show, I'm sorry, didn't know you were watching,
[00:38.460 --> 01:04.420]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[01:04.420 --> 01:33.940]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[01:33.940 --> 02:03.460]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[02:03.460 --> 02:32.980]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[02:32.980 --> 03:02.500]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[03:02.500 --> 03:32.020]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[03:32.020 --> 04:01.540]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[04:01.540 --> 04:31.060]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[04:31.060 --> 05:00.580]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[05:00.580 --> 05:30.100]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[05:30.100 --> 05:59.620]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[05:59.620 --> 06:29.140]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[06:29.140 --> 06:58.660]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[06:58.660 --> 07:28.180]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[07:28.180 --> 07:57.700]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[07:57.700 --> 08:27.220]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[08:27.220 --> 08:56.740]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[08:56.740 --> 09:26.260]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[09:26.260 --> 09:55.780]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[09:55.780 --> 10:25.300]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[10:25.300 --> 10:54.820]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[10:54.820 --> 11:24.340]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[11:24.340 --> 11:53.860]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[11:53.860 --> 12:23.380]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[12:23.380 --> 12:52.900]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[12:52.900 --> 13:22.420]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[13:22.420 --> 13:51.940]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[13:51.940 --> 14:21.460]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[14:21.460 --> 14:50.980]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[14:50.980 --> 15:20.500]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[15:20.500 --> 15:50.020]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[15:50.020 --> 16:19.540]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[16:19.540 --> 16:49.060]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[16:49.060 --> 17:18.580]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[17:18.580 --> 17:48.100]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[17:48.100 --> 18:17.620]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[18:17.620 --> 18:47.140]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[18:47.140 --> 19:16.660]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[19:16.660 --> 19:46.180]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[19:46.180 --> 20:15.700]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[20:15.700 --> 20:45.220]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[20:45.220 --> 21:14.740]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[21:14.740 --> 21:44.260]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[21:44.260 --> 22:13.780]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[22:13.780 --> 22:43.300]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[22:43.300 --> 23:12.820]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[23:12.820 --> 23:42.340]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[23:42.340 --> 24:11.860]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[24:11.860 --> 24:41.380]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[24:41.380 --> 25:10.900]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[25:10.900 --> 25:40.420]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[25:40.420 --> 26:09.940]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[26:09.940 --> 26:39.460]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[26:39.460 --> 27:08.980]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[27:08.980 --> 27:38.500]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[27:38.500 --> 28:08.020]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[28:08.020 --> 28:37.540]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[28:37.540 --> 29:07.060]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[29:07.060 --> 29:36.580]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[29:36.580 --> 30:06.100]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[30:06.100 --> 30:35.620]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[30:35.620 --> 31:05.140]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[31:05.140 --> 31:34.660]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[31:34.660 --> 32:04.180]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[32:04.180 --> 32:33.700]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[32:33.700 --> 33:03.220]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[33:03.220 --> 33:32.740]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[33:32.740 --> 34:02.260]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[34:02.260 --> 34:31.780]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[34:31.780 --> 35:01.300]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[35:01.300 --> 35:30.820]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[35:30.820 --> 36:00.340]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[36:00.340 --> 36:29.860]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[36:29.860 --> 36:59.380]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[36:59.380 --> 37:28.900]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[37:28.900 --> 37:58.420]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[37:58.420 --> 38:27.940]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[38:27.940 --> 38:57.460]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[38:57.460 --> 39:26.980]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[39:26.980 --> 39:56.500]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[39:56.500 --> 40:26.020]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[40:26.020 --> 40:55.540]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[40:55.540 --> 41:25.060]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[41:25.060 --> 41:54.580]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[41:54.580 --> 42:24.100]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[42:24.100 --> 42:53.620]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[42:53.620 --> 43:23.140]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[43:23.140 --> 43:52.660]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[43:52.660 --> 44:22.180]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
[44:22.180 --> 44:51.700]  did you enjoy the fentanyl show, I'm sorry, did you enjoy the fentanyl show, I'm sorry,
