[00:00.000 --> 00:02.000]  We've got it
[00:07.500 --> 00:09.500]  Waging war on corruption
[00:09.500 --> 00:33.500]  It's Alex Jones, coming to you live from the front lines of the Info War
[00:33.500 --> 00:57.500]  Ladies and gentlemen, thank you for joining us on this worldwide Sunday transmission. Events dictate that I'd be absolutely focused, cogent and on target today because undoubtedly we are entering a phase in human civilization that is one of the most dangerous, if not the most dangerous, we have ever faced as a society.
[00:57.500 --> 01:11.500]  We are going to be here for the next two hours as we are every Sunday evening, four to six p.m. central and back of course tomorrow, Lord willing, 11 a.m. central, 12 noon Eastern for the three hour weekday transmission.
[01:11.500 --> 01:37.500]  Obviously on the radar today, QE infinity hyperinflation. Another big ratings agency now lowers we were triple a double a now a minus for the US dollar, Federal Reserve running the Republic into the ground, a foreign banking cartel that has captured this nation to a great extent.
[01:37.500 --> 01:53.500]  They don't have full control. They've got control over monetary and over most of the federal government and the state government. So we've got that information coming up and obviously when you get ready for the big collapse, not this ongoing slide.
[01:53.500 --> 02:10.500]  What do globalists do they start big wars. That's 101 of geopolitical imperial operations. We are now entering that with the whole situation in the Middle East going up in flames. The dead ambassador, the political hyping of all this.
[02:10.500 --> 02:19.500]  Obama's UN ambassador making utterly ridiculous statements today that this was not a coordinated attack on the embassy in Libya.
[02:19.500 --> 02:28.500]  That's like saying the sun didn't come up this morning and all the political back and forth that's happening with that. All of it.
[02:28.500 --> 02:51.500]  Pales and significance quite frankly because we can handle financial degradation. We can handle Muslims burning down cities. What we cannot handle is a nuclear war with Russia or China and many top generals, many top analysts are on records saying this could easily get out of hand and turn into a World War three scenario.
[02:51.500 --> 03:03.500]  The world's much more dangerous than it was at the height of the so called Cold War. That's not just Alex Jones saying that. That's a big Nebrazinski. That's people like Webster Tarpoli. That's countless others.
[03:03.500 --> 03:17.500]  The magnitude of what we're facing. Now you remember two months ago and the videos and articles went viral. I said the preparations are being made for martial law in late October, early September.
[03:17.500 --> 03:26.500]  And you heard the police officers call in breakdown crying and saying we've been told prepare for total breakdown. Prepare to call in Air Force airstrikes and the American people.
[03:26.500 --> 03:34.500]  Prepare to totally cordon and round people up military speaking out army manuals publicly released for reeducation camps.
[03:34.500 --> 03:41.500]  The government is running around like a chicken with their head cut off right out here at the Austin airport, former sack base.
[03:41.500 --> 03:51.500]  They've leased areas all around it with the military. Every city is the same. Every major key strategic city. They're digging in.
[03:51.500 --> 03:59.500]  More than they did at the height of the Cold War in the 50 60 70s. Okay, they're running around like it's the end of the world.
[03:59.500 --> 04:06.500]  Now I've said hey 2012 and I don't believe in the Mayan stuff. That's all a bunch of bull. But the globalist, they believe in stuff like that.
[04:06.500 --> 04:17.500]  They're a bunch of occultist lunatics. All I can tell you is my family's getting ready. This is real.
[04:17.500 --> 04:24.500]  I mean, I've told my crew out there this isn't a game. They know it's not a game. Let me tell you, this is the real deal.
[04:24.500 --> 04:32.500]  Ladies and gentlemen, when our ancestors faced the start of World War One and World War Two, if this thing kicks off will look like a walk in the park.
[04:32.500 --> 04:42.500]  And I'm talking to high level generals, former top spies. You name it, they're scared. They're scared.
[04:42.500 --> 04:49.500]  Okay, this is serious. We're going to be back in 60 seconds. I'm going to lay it all out. Stay with us.
[04:49.500 --> 04:54.500]  We're going to be back in 60 seconds.
[05:20.500 --> 05:28.500]  This film exposes the fraud that Obama is like nothing I've seen. If you want to know who Obama's real daddy is, this is the film for you.
[05:28.500 --> 05:35.500]  Don't forget, your purchase supports our broadcast and our growing media network. You'll also find it in FullWarshop.com.
[05:35.500 --> 05:53.500]  None Dare Call a Conspiracy by Gary Allen, the book that woke me up. We're also carrying behind the green mask, You in Agenda 21 by Rosa Corey. This book is coffin nails to the globalist takeover. The greater good, the most professional and up to date film I've ever seen exposing the scourge that is vaccines.
[05:53.500 --> 06:08.500]  These titles and a lot more are all available at infowarshop.com.
[06:23.500 --> 06:52.500]  I feel like saying a prayer at the beginning of this broadcast. Something I've never done. I don't know how I get people to pay attention. I mean really pay attention.
[06:52.500 --> 07:10.500]  Just how much danger this world is in right now. Just how hardcore this corporate banking world government is and just how sinister they are. They are playing civilizations, nations, groups off against each other.
[07:10.500 --> 07:25.500]  And that is the important thing to know and understand. Again, thank you for joining us on this 16th day of September, 2012. I am your host, Alex Jones. I have, of course, the syndicated broadcast.
[07:25.500 --> 07:43.500]  Carried by XM on 166 weekdays from 12 noon to 3pm Eastern on over 115 AM and FM affiliates. And then we also come back Sundays for the Sunday transmission, 4 to 6pm Central, 5 to 7 Eastern, 2 to 4 Pacific, 3 to 5 Mountain.
[07:43.500 --> 07:56.500]  We are broadcasting worldwide on global shortwave, WWCR and of course on several satellite systems as well as the audio streams at infowars.com and prisonplanet.tv.
[07:56.500 --> 08:19.500]  Okay, you know about the Middle East going up in flames. You know about US troops getting killed all over the Middle East and Africa and Central Asia, Afghanistan, Pakistan. You know about the embassy being attacked in Benghazi and the US ambassador being killed.
[08:19.500 --> 08:28.500]  You know about the announcement by the private Federal Reserve of quantitative easing unlimited or quantitative easing infinity.
[08:28.500 --> 08:42.500]  Obviously, most of you know about the massive domestic arms buildup by the federal government against the American people, the 1.4 billion bullets the last year, the giant armored vehicles by the hundreds ordered every few months.
[08:42.500 --> 08:53.500]  The mobile armored pillboxes, the staging of military supplies including treaded tanks in every major US city by the thousands spread out across the United States.
[08:53.500 --> 09:08.500]  This is a buildup for World War III. But not the type of war our daddies or granddaddies fought. This is a globalist banker directed war against the nation states so they can have us basically battle it out.
[09:08.500 --> 09:21.500]  All controlled and run by the very same global banking system. They brag about this by the way they write books about it. They put out policy papers. It's not hidden. They just think you're so stupid.
[09:21.500 --> 09:32.500]  And only watch you know the television news programs and that you'll never even understand it. That's their arrogance and that may be their undoing. Let's hope.
[09:32.500 --> 09:47.500]  Now we do have Dr. Steve Pachennick, who is the person who helped co-write many of Tom Clancy's books. He is the person that the character of Mr. Ryan is based on from Patriot games.
[09:47.500 --> 09:53.500]  And I'm not going to get into his whole bio, but he's overthrown governments run assassination squads all over the world.
[09:53.500 --> 10:04.500]  And as a psychiatrist and among other things. And we have him on occasionally as you know. He'd been talking to me the last few days quite a bit.
[10:04.500 --> 10:12.500]  And what shocked me is I called up Webster Tarpley. Dr. Tarpley also lives there in D.C. and has his ear to the ground.
[10:12.500 --> 10:24.500]  And the two men basically told me pretty much the same thing, which was what I had also basically from the research understood.
[10:24.500 --> 10:28.500]  So they're going to be joining us coming up about 20 minutes. Dr. Pachennick's going to join us.
[10:28.500 --> 10:36.500]  And then we're going to have Dr. Tarpley on after that to give us his perspective on all this.
[10:36.500 --> 10:46.500]  But you're not going to get just talking points here and mindlessness. So if you're a new listener and you want to really know what's going on in the world, you're going to get it here.
[10:46.500 --> 10:54.500]  Okay. As close as you're going to get to it. Not because I'm that smart. The mainline system lies to you on purpose.
[10:54.500 --> 11:00.500]  Okay. It's not hard to actually know what's going on if you study this stuff.
[11:00.500 --> 11:13.500]  From a historical perspective and actually follow the continuum of developments and read the memoirs of globalists and spies and foreign memoirs and research.
[11:13.500 --> 11:25.500]  Let me just boil it down to you very, very simply. There are six global banks that are above the law that have created 1,500 trillion plus in global derivatives just based on the dollar.
[11:25.500 --> 11:35.500]  It's fraudulent counterfeit money. They've sold it to the Russians, the Chinese, the Americans, to your police pension fund, to the school pension fund, to the private pension funds, everything.
[11:35.500 --> 11:43.500]  It infects everything by design. They have gotten all the governments with their operatives that they've worked for decades to get into place.
[11:43.500 --> 11:52.500]  Shining us onto their debt and the media tells us that it's our debt when over 90% of it is not even national debt or personal debt. It's their debt. It's fake derivatives.
[11:52.500 --> 12:10.500]  It's a black hole of fraud. But when they get you up to the point of bankrupting the world and bringing in a global depression, they have to be in the position of posing as the saviors during the global reorganization like the Marshall Plan after Europe was wrecked.
[12:10.500 --> 12:18.500]  And it's actually the same corporation that's at the top of it, the OECD. They have to be able to reorganize everything after they collapse it.
[12:18.500 --> 12:27.500]  And to do that, they have to have a big war going on because they know now that you know the Federal Reserve is private and part of a foreign European banking cartel.
[12:27.500 --> 12:34.500]  They know now that you're starting to wake up, as Brzezinski just wrote in his book that came out this year, and that the elite are in trouble.
[12:34.500 --> 12:52.500]  So they've always run Al-Qaeda. They created them. They've always run them. I told you they put them in Libya. They put them in Syria. They put them in Africa. And I told you they'd put Afriqam in Africa and then have their operatives. Al-Qaeda works for these banks.
[12:52.500 --> 13:07.500]  And our troops are trained in order to train them and give them weapons. That's all on record, hiding in plain view. And they dump them out to murder Christians, other Muslims, you name it, destroy infrastructure, so the globalists can then come in and carpet bomb the country,
[13:07.500 --> 13:14.500]  thinking you're so stupid you won't remember that just a year and a half ago, they put them in charge in Libya. That's when the whole thing started.
[13:14.500 --> 13:23.500]  And eight months ago, started this new war against Assad in Syria. By the way, Dr. Pacinac was actually arrested by Assad's father.
[13:23.500 --> 13:32.500]  And that's how much globetrotting he's done. But we'll get his take on this whole situation when he comes up here in about 15 minutes.
[13:32.500 --> 13:49.500]  The point is, is that they are gearing up for a giant war with Iran and beyond, not just as an October surprise to control the election or cauterize Obama.
[13:49.500 --> 13:58.500]  At the top, it's the same power group. Sure, they've got political arms that fight with each other. And for the mid-level operatives who think they're at the top, they think there's different camps.
[13:58.500 --> 14:13.500]  But at the very top, they've got a focused group pushing this that wants to cause giant regional wars, bordering on Third World War or major world war,
[14:13.500 --> 14:20.500]  to re-engineer global society and bring in a total police state that's already in place, but they want to fully roll it out.
[14:20.500 --> 14:28.500]  Face scanning to buy and sell, total control, checkpoints at the end of your street. This has all been geared up. You're the target.
