[00:00.000 --> 00:08.000]  From his Central Texas Command Center deep behind enemy lines, the Information War continues.
[00:08.000 --> 00:12.000]  It's Alex Jones and the GCN Radio Network.
[00:15.000 --> 00:21.000]  It is Sunday, the 21st day of March 2010. We are live.
[00:21.000 --> 00:39.000]  In the next two hours, we're going to give you the most detailed, fact-based, reality-based analysis of the government-slash-banking insurance company takeover of one-seventh of the United States economy.
[00:39.000 --> 00:43.000]  That's a conservative estimate, summer one-sixth.
[00:43.000 --> 00:53.000]  We are going to break down this in total detail today. I've been doing deep research the last few years on this.
[00:53.000 --> 01:04.000]  Of course, all of you know that the Democrats say they have the votes and are set to vote tonight or at the latest tomorrow on the bill in the House.
[01:04.000 --> 01:09.000]  Then it will go to the Senate and be directed to President Barack H. Obama.
[01:09.000 --> 01:21.000]  So that is coming up. I wrote a list of issues I want to cover, and each point we have backed up from the bill for mainstream news articles and from statements from Congress.
[01:21.000 --> 01:32.000]  Tom Daschle's quotes, the guy that originally wrote the bill, and this is his bill. Everything he wanted, government-funded abortion, everything is in there.
[01:32.000 --> 01:38.000]  Number one, we are a bankrupt nation. The states are going bankrupt. This is by design for the bankers.
[01:38.000 --> 01:43.000]  The bill is 2,700 pages long. We are going to cover that.
[01:43.000 --> 01:55.000]  The IRS has given incredible new powers to spy on you bi-weekly every time you get paid and to not just take your refund checks but even grab your bank account or garnish your wages.
[01:55.000 --> 02:01.000]  So a massive expansion of the nanny state through the IRS with 16 to 20,000 new employees.
[02:01.000 --> 02:11.000]  The government says 6,000 plus, but it's guaranteed to be more than that. The good news, 38 states are lining up to say no, that it's unconstitutional.
[02:11.000 --> 02:16.000]  The government's claim, the federal government's claim of the Commerce Clause is a fraud.
[02:16.000 --> 02:20.000]  There's massive cuts to Medicare and Medicaid in this. The insurance companies wrote it.
[02:20.000 --> 02:27.000]  The media has been lying saying that the insurance companies are against it. It's like the banker bailout, a huge robbery.
[02:27.000 --> 02:34.000]  There are all these new taxes in it against small businesses, big businesses, private individuals.
[02:34.000 --> 02:40.000]  Also, it has a provision for comparative medicine. That's the death panels.
[02:40.000 --> 02:47.000]  That's where the government decides what doctors and nurses can do and what treatment you can get.
[02:47.000 --> 02:53.000]  We'll get into Tom Daschle on that front. Doctors already aren't taking Medicare and Medicaid all over the country.
[02:53.000 --> 03:00.000]  Walgreens is announcing in many of its stores around the nation. It's not going to take it because they're just not giving compensation to pay for the drugs.
[03:00.000 --> 03:04.000]  They're told just give them out basically for free. There's no free lunch here, folks.
[03:04.000 --> 03:08.000]  The government's only good at one thing, lying and stealing.
[03:08.000 --> 03:12.000]  So we'll talk about how this will lower quality. Oh, yeah, you get universal health care.
[03:12.000 --> 03:17.000]  Like in Cuba, everybody gets to see a doctor. You get an aspirin for a heart attack.
[03:17.000 --> 03:25.000]  And how this is part of the total takeover we've seen of the local police, of the states, of the internet that's happening right now with cybersecurity,
[03:25.000 --> 03:35.000]  the green taxes taking over the factories and industry in our homes, the takeover with the banker bailout, the takeover of the car industry.
[03:35.000 --> 03:44.000]  The total takeover is happening. This is just one part of that as the government and select corporate interest that control it sees the entire nation.
[03:44.000 --> 03:49.000]  We'll get into how this does fund abortion. Obama says you'll sign an executive order.
[03:49.000 --> 03:56.000]  But executive order experts are on record saying that that won't be enforced, that the courts have ruled executive orders.
[03:56.000 --> 04:00.000]  I won't be able to bypass that. And so that this will fund abortion.
[04:00.000 --> 04:07.000]  The law in Congress will trump, because that's constitutional, though the law itself will be unconstitutional.
[04:07.000 --> 04:17.000]  The executive orders are so unconstitutional, it will trump that. And that's why Obama has agreed to sign the executive order restricting abortion funding.
[04:17.000 --> 04:22.000]  We'll also talk about how it was planned, how it was passed, the bribery, the payoffs, the criminality.
[04:22.000 --> 04:33.000]  We'll talk about how it's discriminatory, how unions and other select groups are exempt from the provisions in the legislation itself on so-called Cadillac plans.
[04:33.000 --> 04:44.000]  We'll also get into the Republicans and how they think they've scored a big political victory here, knowing that this will destroy the Democrats in the short term.
[04:44.000 --> 04:51.000]  The problem is the history shows the Republicans won't actually fully repeal this when it comes time, so that's the next big fight.
[04:51.000 --> 04:59.000]  This is the total takeover, ladies and gentlemen. We're going to break it all down straight ahead. Call your friends and family. Tell them to tune in now.
[04:59.000 --> 05:08.000]  Hi, Alex has been encouraging you to get food. Well, here's an unbelievable chance for you to jumpstart your food savings plan from eFoodsDirect.com.
[05:08.000 --> 05:16.000]  Anyone placing food orders on the large-volume production run scheduled for the week of March 22nd can get a lot of food for very little cost.
[05:16.000 --> 05:25.000]  For example, with each pre-production order of three seven-day responders, they'll ship a fourth week of food free. That's buy three, get one free.
[05:25.000 --> 05:36.000]  They'll take orders from now until March 22nd. The following week, they'll produce huge runs of the pre-ordered food passing the savings to you in this buy three, get one free program.
[05:36.000 --> 05:43.000]  Folks, this is the best chance to stock up you'll ever see. Another example, buy nine months worth of food and get three months free.
[05:43.000 --> 06:00.000]  You've got to go to eFoodsDirect.com slash Alex for the food buy of a lifetime or call 800-409-5633. Go to eFoodsDirect.com slash Alex or 800-409-5633.
[06:00.000 --> 06:29.000]  Big Brother. Mainstream media. Government cover-ups. You want answers? Well, so does he. He's Alex Jones on the GCN Radio Network. And now, live from Austin, Texas, Alex Jones.
