[00:00.000 --> 00:06.000]  From the Frontlines of the Information War, it's Alex Jones.
[00:17.000 --> 00:22.000]  Ladies and gentlemen, it's Thursday, the 30th day of November 2017.
[00:22.000 --> 00:26.000]  I'm your host Alex Jones. We're going to be live here for the next four hours.
[00:26.000 --> 00:31.000]  We've got an exclusive interview with James O'Keefe of Project Veritas.
[00:31.000 --> 00:34.000]  He's been breaking some huge news. The media's been trying to spin.
[00:34.000 --> 00:41.000]  But he has the Washington Post editors and others admitting there's no Russia evidence with Trump.
[00:41.000 --> 00:46.000]  They have to make stuff up. They've tried to change the subject, often to one of his other reporters.
[00:46.000 --> 00:52.000]  Investigators infiltrating as a Judge Roy Moore victim.
[00:52.000 --> 00:58.000]  They try to change the subject as if infiltrating is illegal or bad or something's wrong with it.
[00:58.000 --> 01:00.000]  But he's going to be on the transmission.
[01:00.000 --> 01:06.000]  And then we have another guest yesterday who was assaulted and had his speech stolen while he was trying to give a speech.
[01:06.000 --> 01:11.000]  And the media spun it like he had somehow started the whole fight.
[01:11.000 --> 01:20.000]  But before we go there, the frothing anti-white, anti-Western propaganda being deployed by mainstream media,
[01:20.000 --> 01:25.000]  by the Democratic Party and by universities has reached beyond Hitler levels.
[01:25.000 --> 01:30.000]  I mean, it is the most frothing. We're going to kill all the whites.
[01:30.000 --> 01:34.000]  Whites are inherently evil. The Nazis did that in secret.
[01:34.000 --> 01:44.000]  And it was horrible, obviously. This is the most classically genocidal talk I've ever seen or heard.
[01:44.000 --> 01:54.000]  Meanwhile, in seven different African countries and in several other countries that they all have to be Muslim,
[01:54.000 --> 02:02.000]  but seven inside the continent of Africa, they sell men, women and children at slave auctions if they're not Muslims.
[02:02.000 --> 02:06.000]  This is a fact. There's been documentaries and books written the last 50 years.
[02:06.000 --> 02:13.000]  The only place slavery goes on now is in Muslim countries and in Africa where it's Muslim run in areas.
[02:13.000 --> 02:16.000]  But we've already known this a while. We broke this years ago.
[02:16.000 --> 02:23.000]  They're selling their organs and it's black people being sold to slaves, their organs sold.
[02:23.000 --> 02:29.000]  And then I turn around, you can't swing a stick and not run into some black person that's converted to Islam
[02:29.000 --> 02:32.000]  because it's the thing that stands up for black people.
[02:32.000 --> 02:37.000]  And I'm not bashing Muslims who want to be Muslims or blacks that want to be Muslims.
[02:37.000 --> 02:44.000]  I just this anti-Western crap and that the West invented everything evil is total malarkey.
[02:44.000 --> 02:51.000]  And again, we act like whites so the only people who do anything wrong and so everybody else is virtuous.
[02:51.000 --> 02:56.000]  But they've gone out to these minority groups that are the majority worldwide.
[02:56.000 --> 02:58.000]  Whites are about 7% of the world population.
[02:58.000 --> 03:06.000]  You count everybody that identifies as whites, maybe 9%, but probably about 5% of people that you call a true Caucasian.
[03:06.000 --> 03:08.000]  5% to 7%.
[03:08.000 --> 03:12.000]  There are celebrations worldwide calling for the death of white people.
[03:12.000 --> 03:19.000]  And like I said, one of my security guys flew back from Thanksgiving, gets in the Uber and the fellow from Nigeria
[03:19.000 --> 03:24.000]  because he asked him, was just blaring, just rabid anti-white, kill the whites.
[03:24.000 --> 03:26.000]  We're going to kill them. We're going to take over.
[03:26.000 --> 03:33.000]  And I mean, this is just what is going on. This is what has happened.
[03:33.000 --> 03:41.000]  And so right here, right outside Austin, major state-funded university, cover of the newspaper.
[03:41.000 --> 03:47.000]  Your DNA is an abomination. White is over. All the whites will soon be dead.
[03:47.000 --> 03:59.000]  Cover of the newspaper in a major Texas paper, in a major Texas university, Texas State University.
[03:59.000 --> 04:03.000]  I mean, that is a big deal. That's LBJ's alma mater.
