[00:00.000 --> 00:02.000]  We've got it.
[00:02.000 --> 00:04.000]  This transmission is coming to you.
[00:07.000 --> 00:09.000]  Waging war on corruption.
[00:11.000 --> 00:13.000]  It's Alex Jones.
[00:13.000 --> 00:40.000]  Coming to you live from the front lines of the Infowar.
[00:40.000 --> 00:50.000]  Ladies and gentlemen, it is the 24th day of February right now.
[00:50.000 --> 00:55.000]  2013 on this Sunday live edition.
[00:55.000 --> 01:02.000]  And the news is so incredibly grave that I'm probably going to be very, very calm and focused on the broadcast.
[01:02.000 --> 01:04.000]  It's that bad.
[01:04.000 --> 01:12.000]  Only the very worst news confirmed in triplicate can get me to settle down because it's so shocking.
[01:12.000 --> 01:17.000]  My mind tends to race as listeners know.
[01:17.000 --> 01:19.000]  Many of you are victims of it.
[01:19.000 --> 01:25.000]  But it is Sunday and it is the 24th day.
[01:25.000 --> 01:49.000]  And we have a Department of Justice memo by the, quote, research institute within the Justice Department that is officially advising and creating the fake recommendations that we know will be a regurgitation of what the Global Crime Syndicate's done worldwide for the, quote, president to act on.
[01:49.000 --> 02:02.000]  And this is the real basis, the real basis of their plan, just like the UN treaty is open ended, just like Obamacare is open ended.
[02:02.000 --> 02:15.000]  But then they have governing agreements and accords and meetings and understandings that surround the different global governance operations.
[02:15.000 --> 02:32.000]  Remember, the disgraced head of the EPA had to step down a few months ago because she had a double set of books, a double set of files, a double set of names and a separate system to communicate with the giant Environmental Protection Agency.
[02:32.000 --> 02:39.000]  And the major corporations that basically own it and use it to only selectively shut down their competition.
[02:39.000 --> 02:47.000]  Your mom and pop or you're a pro-America pro-liberty operation, you're not an inside globalist, you refuse to sell out for peanuts.
[02:47.000 --> 02:50.000]  They're going to try to come after you.
[02:50.000 --> 02:53.000]  It's the same old story that every society's faced throughout history.
[02:53.000 --> 02:57.000]  Our forebearers, the Revolutionary War was all about the same thing.
[02:57.000 --> 03:02.000]  Monopoly men, combines, insiders.
[03:02.000 --> 03:08.000]  Now, that said, we've got a very clear picture here today of their battle plan.
[03:08.000 --> 03:15.000]  We have the two billion bullets, we have the paper targets ordered by Homeland Security per their request of children and women and old people.
[03:15.000 --> 03:19.000]  All of them white, that's the new threat is the white al-Qaeda.
[03:19.000 --> 03:21.000]  If you're white, you're basically al-Qaeda.
[03:21.000 --> 03:26.000]  And I'm not joking when I say that, I'm going to explain today politically how that works after I cover the gun news.
[03:26.000 --> 03:29.000]  It's invoking racial division.
[03:29.000 --> 03:41.000]  So we're going to describe where that whole system's going because the system's already demonized blacks and others and already basically sold the culture on treating them like they're all criminals.
[03:41.000 --> 03:48.000]  So now they're just going to move on to the main enchilada, the dwindling, dead, dying Western culture.
[03:48.000 --> 03:52.000]  And the system believes it's now time just to bring that down entirely.
[03:52.000 --> 03:55.000]  It's a agenda 21 consolidation operation.
[03:55.000 --> 04:01.000]  So we're going to be covering that news, the veterans.
[04:01.000 --> 04:07.000]  So they bought two billion rounds of ammo for us, hollow point, illegal for warfare.
[04:07.000 --> 04:10.000]  They've got drones operating domestically now, as we told you they would.
[04:10.000 --> 04:13.000]  They've got targets of American general citizens.
[04:13.000 --> 04:16.000]  They're training the military publicly for that with Brigade Homeland.
[04:16.000 --> 04:20.000]  The veterans, by the hundreds of thousands now, it's undoubtedly just...
[04:20.000 --> 04:27.000]  I heard people in a store today talking about how they got the letter before they even knew I was standing behind them.
[04:27.000 --> 04:31.000]  It was at Academy, dying some more ammo.
[04:31.000 --> 04:41.000]  And then you integrate that in with the new news, DOJ memo, outlaw and confiscate all guns.
[04:41.000 --> 04:44.000]  They say in the memo only 30-something people died in mass shootings.
[04:44.000 --> 04:53.000]  That's true. Of 87, only 34, 33 were real, not gang members killing each other.
[04:53.000 --> 04:56.000]  So let's just ban everything. So we're going to come back with that right now.
[05:01.000 --> 05:06.000]  Defending the republic from enemies born and domestic.
[05:06.000 --> 05:17.000]  It's Alex Jones.
[05:17.000 --> 05:26.000]  I hope you are listening carefully on this Sunday edition, the 24th day of February 2013.
[05:26.000 --> 05:31.000]  I'm your host, Alex Jones. We'll be here for the next two hours as we are every Sunday evening.
[05:31.000 --> 05:37.000]  4 to 6 central weekdays, 11 a.m. to 2 p.m. Central Standard Time as well.
[05:37.000 --> 05:43.000]  Coming to you from the heart of the resistance to tyranny, Austin, Texas.
[05:43.000 --> 05:51.000]  Thank you again for joining us worldwide, listening on the satellites, the Internet, the audio streams at Infowars.com.
[05:51.000 --> 05:56.000]  The video streams at prisonplanet.tv and Infowarsnews.com.
[05:56.000 --> 05:59.000]  And of course, over 150 AM and FM affiliates.
[05:59.000 --> 06:04.000]  It's actually more than that. We're compiling an accurate list across the United States.
[06:04.000 --> 06:09.000]  Thank you again for joining us on this Sunday edition.
[06:09.000 --> 06:14.000]  I will tell you, I've got some big surprises coming up this week on the weekday show.
[06:14.000 --> 06:22.000]  In fact, 95 percent chance we're going to break some news this week that will be one of the biggest stories in the country.
