[00:00.000 --> 00:26.060]  Alright.
[00:26.060 --> 00:50.420]  Coming to you live from planet Earth, broadcasting, intergalactic, going interstellar and interdimensional.
[00:50.420 --> 01:01.420]  I am Alex Jones, your host. This is the year 2020, with 294 days left until the historic election.
[01:01.420 --> 01:07.420]  Thank you for joining us on this Monday, January 13th, 2020 transmission.
[01:07.420 --> 01:22.420]  I'm going to be live here for the full four hours.
[01:22.420 --> 01:41.420]  I've tried to do this a thousand times and always fail just to even read the top headlines to you, but I'm going to try it again today.
[01:41.420 --> 01:57.420]  Meanwhile, official textbooks in California teach children how to drink blood in vampire sex rituals in the official textbook Vampirism is a recognized loving group.
[01:57.420 --> 02:08.420]  And of course, we have mega massive news that I should just stop and focus everything on, but I'm not going to until the fourth hour.
[02:08.420 --> 02:16.420]  A two day official UN summit with the director of World Health Organization and the director of science.
[02:16.420 --> 02:30.420]  And there are other sub directors admitting that vaccines are killing people in mass and a giant concerted cover ups of that and that the frontline medical staff doctors and nurses know they're hurting people.
[02:30.420 --> 02:44.420]  The frontline is wobbly and it's not for vaccination at the cover up is collapsing. I mean, how huge is that three reports we filed since Friday, it banned on video on that.
[02:44.420 --> 02:49.420]  And yeah, couple of them got 200,000 views, which is great for independent platform.
[02:49.420 --> 02:54.420]  If we still had our old YouTube channel up that would have like 10 million views right now, we'd really be warning some people.
[02:54.420 --> 03:02.420]  So my greatest frustration is, we've got the money shot. We've got the coup de grace. We've got the kill shot.
[03:02.420 --> 03:15.420]  I mean, we have their asses in their meetings. This is a lot of the activists have seen this. They say this has got to be a deep fake until they follow the link below to 20 hours of it.
[03:15.420 --> 03:18.420]  They did not know this was going to be released.
[03:18.420 --> 03:24.420]  Someone released it on the 20th on the UN website, but hidden.
[03:24.420 --> 03:28.420]  And it got downloaded last week by activist who we've linked to their reports.
[03:28.420 --> 03:33.420]  And it's just incredible that YouTube is taking down the raw video.
[03:33.420 --> 03:36.420]  It's like they take down Jeffrey Epstein information.
[03:36.420 --> 03:47.420]  They are taking down the raw video of the UN heads admitting talk about evil.
[03:47.420 --> 03:53.420]  That's what big tech serves is just absolute complete evil.
[03:53.420 --> 04:00.420]  They are there to make sure no one can expose what's happening and when stuff like this comes out.
[04:00.420 --> 04:05.420]  People are so conditioning. Oh, it's just a deep fake. Yeah, 20 hours of it's a deep fake.
[04:05.420 --> 04:07.420]  There's all the admissions you ever need.
[04:07.420 --> 04:20.420]  We have the head UN scientist, the head of the WHO in TV productions from last year saying save and effective never hurt anybody.
[04:20.420 --> 04:23.420]  So that's coming up.
[04:23.420 --> 04:34.420]  We have the individual that I believe is controlled opposition, Richard Spencer on the show today as well.
[04:34.420 --> 04:40.420]  You know, the okay to punch a Nazi guy. I don't think it's okay to punch anybody who hasn't punched you first.
[04:40.420 --> 04:45.420]  But my guy just reeks of being synthetic. He'll be on with us.
[04:45.420 --> 04:53.420]  And just so much more Congress just woke up to something really big finally that around 90% of our drugs are made by the Chai comms.
[04:53.420 --> 04:59.420]  Oh, you didn't know that. Stay with us.
[04:59.420 --> 05:08.420]  I spend a lot of time reminding the M4s family of listeners and viewers that without you, we won't be on the air.
[05:08.420 --> 05:10.420]  And I spent a lot of time thanking you.
[05:10.420 --> 05:17.420]  But I really think you should thank yourself for keeping us on the air and really changing the world for the better and raising the alarm as modern ball reviewers.
[05:17.420 --> 05:24.420]  But something I should spend more time on is just reminding you that these products are really amazing.
[05:24.420 --> 05:29.420]  You've got that pledge from me, but you've seen the third party test out there, the air filtration, the water filtration.
[05:29.420 --> 05:33.420]  The supplements are all the very best you're going to find out there.
[05:33.420 --> 05:39.420]  And you can't fund an operation anywhere else that's fighting the globalist this hard.
[05:39.420 --> 05:43.420]  So it's not a burden to support info wars.
[05:43.420 --> 05:53.420]  It really is something that is good for everybody that stands for justice and freedom and makes your life and your family's life and your children's life
[05:53.420 --> 05:59.420]  so much better. So visit infowarstore.com today.
[05:59.420 --> 06:19.420]  Music
[06:19.420 --> 06:22.420]  The Strength of Righteousness.
[06:22.420 --> 06:27.420]  Music
[06:27.420 --> 06:36.420]  If you understand the strength of righteousness, that just simply means conforming to God's plan.
[06:36.420 --> 06:46.420]  Then you know why the enemy seeks to corrupt us at every front and trick us by increment to turn loose of common sense that God gave us.
[06:46.420 --> 07:05.420]  Because it's like armor falling away from your soul, from your body, a hedge, a wall of protection, spiritually, interdimensionally, under law, universal law.
[07:05.420 --> 07:21.420]  So that once the walls are gone, once the drawbridge is down, once the main gates have been blown off its hinges, this force in the universe of evil can have its way with you.
[07:21.420 --> 07:26.420]  We have a lot of news and information to obviously cover today.
[07:26.420 --> 07:41.420]  And I also want to be able to open the phones up in the second hour. Richard Spencer, other than David Duke, is one of the most famous white nationalist, white supremacist in the world.
[07:41.420 --> 07:49.420]  And I do not believe David Duke is a fed. I do not believe David Duke is an operative for the deep state.
[07:49.420 --> 08:06.420]  I don't agree with David Duke on a lot of things. But for the media to demonize David Duke and call him the worst person on earth, because he is racially based when all the minority groups are being taught to be just as racist, but that's supposedly acceptable, is a fraud.
[08:06.420 --> 08:13.420]  And I'm not here defending David Duke. David Duke's attacked me before.
[08:13.420 --> 08:24.420]  But with Richard Spencer, the guy is as phony as a $3 bill. And I'll just say that up front, he wants to come on the show.
[08:24.420 --> 08:35.420]  And I'll say it, he acts and looks and behaves and his MO is just like somebody that's controlled opposition.
[08:35.420 --> 08:44.420]  I don't have proof of that anymore that when I'm driving down the street and I see a cowdy running down the side of the road, that's a cowdy.
[08:44.420 --> 08:48.420]  Well, are you an expert? Have you sampled its hair? No, I mean, I know what a damn cowdy looks like, okay?
[08:48.420 --> 08:56.420]  So I don't know how a duck walks. I know how it quacks. I know how it acts. Am I an ornithologist?
[08:56.420 --> 09:02.420]  Am I a scientist of birds to tell you that something's a green-headed mallard and that one's a male?
[09:02.420 --> 09:07.420]  No, I just know it because I read a book on it.
[09:07.420 --> 09:18.420]  But we're going to discuss his attacks on Trump and the view of all places defending Richard Spencer last week.
[09:18.420 --> 09:30.420]  So I hope he shows up. Steve Pacinac wrote a powerful article back a few years ago, controlled opposition behind Charlottesville rally, and it gets into the leader of that.
[09:30.420 --> 09:41.420]  I mean, maybe Spencer isn't an operative. Maybe he just plays right into their hands on so many fronts, but a lot of these white supremacist groups are operatives.
[09:41.420 --> 09:46.420]  So there, I've thrown it out there. I'm not going to sneak attack the guy and I'll let him talk.
[09:46.420 --> 09:49.420]  I'm going to try to shut up and let him have at least half the time.
[09:49.420 --> 10:11.420]  And then I'm going to host the fourth hour today on news that when I saw it up here on Friday evening, I was just dumbfounded.
[10:11.420 --> 10:22.420]  We stayed up here late. Rob Do and I did tend to get that report done. We did another report on Sunday because it's just stunning.
[10:22.420 --> 10:31.420]  And you could take each clip of the seven or eight that we put in our reports and talk for a whole show about it.
[10:31.420 --> 10:35.420]  I mean, normally just one of these people saying what they said would be international news.
[10:35.420 --> 10:43.420]  But of course, this broke on Friday and there's been almost no coverage of it.
[10:43.420 --> 10:53.420]  And it's the head scientist of the UN saying vaccines are killing people. We've been covering it up and none of them are tested and it's getting worse and the people are turning against us.
[10:53.420 --> 11:00.420]  And then it's the head scientist over the world vaccine program saying adjuvants are hurting people.
[11:00.420 --> 11:07.420]  We've got to stop lying about it and we need to take the adjuvants out.
[11:07.420 --> 11:12.420]  And there's no surveillance over what these companies are producing and this is a recipe for disaster.
[11:12.420 --> 11:19.420]  And then they cut to the head scientist in Nigeria who runs the Nigerian program.
[11:19.420 --> 11:24.420]  He talks about all the devastation they're seeing and that this is absolutely two plus two plus four.
