[00:00:30.179 --> 00:00:30.566]  I'll play.
[00:01:15.325 --> 00:01:15.825]  We're good to go.
[00:01:46.101 --> 00:01:48.142]  That's what Hitler was building.
[00:01:48.142 --> 00:01:50.122]  These folks aren't Nazis.
[00:01:50.122 --> 00:01:52.823]  Hitler was a spinoff of their group.
[00:01:52.823 --> 00:01:55.884]  This was Hitler's daddy.
[00:01:55.884 --> 00:02:00.226]  And they snatched him ball-headed like a wicked stepchild.
[00:02:00.226 --> 00:02:04.547]  Now, we're gonna lay it all out today.
[00:02:04.547 --> 00:02:12.530]  But something very interesting happened that really crystallized a lot of things, and I was so busy I didn't notice this happened five days ago.
[00:02:12.530 --> 00:02:14.651]  Melinda Gates went on today
[00:02:16.752 --> 00:02:18.452]  One of the big morning shows.
[00:02:18.452 --> 00:02:22.133]  Wearing an upside-down cross.
[00:02:22.133 --> 00:02:24.793]  Now, Snopes says, well, we don't know it's satanic.
[00:02:24.793 --> 00:02:34.215]  It is an upside-down cross, but that doesn't mean affiliation with the Church of Satan, because they supposedly are the authority, so Snopes checked with them, and they said, is she a Satanist?
[00:02:34.215 --> 00:02:36.415]  I'm not kidding.
[00:02:36.415 --> 00:02:44.657]  And they went, oh, well, an upside-down cross isn't necessarily affiliated with us, and
[00:02:45.782 --> 00:02:46.603]  We've blown it up.
[00:02:46.603 --> 00:02:51.870]  We're going to show you some shots of that coming up in the last segment of this hour.
[00:02:51.870 --> 00:03:00.362]  And it is an upside-down cross, clear as day, with a ring of rubies around it, like a corona.
[00:03:00.362 --> 00:03:03.005]  And I actually said, you know, I've seen that symbol before.
[00:03:03.991 --> 00:03:13.959]  And I went and did some research, and I sent it over to the producer this morning, but that producer is off today, so I didn't see it in my full stack, but I'm going to resend it to the new producer, and I'm going to show you actually where that symbol comes from.
[00:03:13.959 --> 00:03:20.464]  I said, where have I seen an upside-down cross with a red corona around it?
[00:03:20.464 --> 00:03:22.666]  And where I thought I'd seen it, I'd seen it.
[00:03:22.666 --> 00:03:25.148]  Very horrible sign.
[00:03:25.148 --> 00:03:27.410]  Symbolizes the death of the sun.
[00:03:31.863 --> 00:03:33.224]  So it's beyond the pentagram.
[00:03:33.224 --> 00:03:36.646]  It's about as satanic as you can get.
[00:03:36.646 --> 00:03:46.451]  Oh, notice she's wearing the pink sweater.
[00:03:46.451 --> 00:03:48.493]  It's like he wears it, now Zuckerberg wears it.
[00:03:48.493 --> 00:03:51.654]  It's this non-threateningness.
[00:03:51.654 --> 00:03:54.436]  Oh, pink sweaters, all PR.
[00:03:54.436 --> 00:03:59.419]  These are very evil people put in charge by Satan because they are ready to carry out the operation against you and your family.
[00:04:00.592 --> 00:04:07.378]  You know, why just stop with an upside-down cross?
