[00:00.000 --> 00:23.160]  Infowars, tomorrow's news today.
[00:23.160 --> 00:27.560]  Ladies and gentlemen, thank you for joining us on this very special emergency Saturday
[00:27.560 --> 00:29.400]  evening transmission.
[00:29.400 --> 00:40.640]  It is October 30th, 2021, and we have massive news to announce here on air that I was aware
[00:40.640 --> 00:47.440]  of years ago, but I did not know they were actually going operational, and indeed they
[00:47.440 --> 00:48.440]  have gone operational.
[00:48.440 --> 00:53.480]  I learned about this yesterday morning, did some research yesterday and today, and I'm
[00:53.480 --> 00:57.080]  ready to lay it out for you right now.
[00:57.080 --> 01:01.680]  This will just be the first of many reports on this because this isn't something that's
[01:01.680 --> 01:02.680]  around the corner.
[01:02.680 --> 01:07.240]  This is something that is now beginning to happen right now.
[01:07.240 --> 01:12.120]  So if we can, let me go ahead and just lay this out and then we'll hit the other big
[01:12.120 --> 01:13.820]  news as well.
[01:13.820 --> 01:19.200]  The Democrats have been caught engaging in a major false flag in Virginia, a racial false
[01:19.200 --> 01:24.720]  flag in an attempt to start a new Charlottesville like the first one they pulled off four years
[01:24.720 --> 01:31.440]  ago and they got caught red handed and it has blown up in their face.
[01:31.440 --> 01:37.640]  The full report is at Infowars.com false flag confirmed in Virginia governor race, and we
[01:37.640 --> 01:44.020]  have a special video report I just shot before I walked in here to go on air that will be
[01:44.020 --> 01:45.640]  ready to air coming up.
[01:45.640 --> 01:51.000]  I'm told in about 25, 30 minutes, we'll go to that exclusive breakdown.
[01:51.000 --> 01:55.640]  Alex Jones and Tucker Carlson vindicated.
[01:55.640 --> 02:00.220]  Democrats caught in Virginia gubernatorial false flag that is going to be coming up.
[02:00.220 --> 02:06.360]  Now this story isn't just important because it vindicates the information that we reported
[02:06.360 --> 02:12.320]  on four years ago concerning Charlottesville and the fact that there were deep state Democrat
[02:12.320 --> 02:19.420]  political operatives basically leading the right wing white nationalist event and that
[02:19.420 --> 02:23.300]  later came out and was confirmed.
[02:23.300 --> 02:27.180]  That's important, but not as important as the fact that right now there's mass branding
[02:27.180 --> 02:32.500]  all over the corporate news, all over the media, that anyone questioning elections,
[02:32.500 --> 02:36.620]  anyone questioning lockdowns, anyone questioning forced inoculations is a terrorist.
[02:36.620 --> 02:41.620]  Anybody protesting critical race theory at their school board is a terrorist.
[02:41.620 --> 02:46.820]  And they're actually trying to roll this out with the Capitol police departments, federal
[02:46.820 --> 02:53.140]  police departments all over the nation being set up and Homeland security branding a new
[02:53.140 --> 03:00.740]  war with the American people and Biden coming out in June and saying the main threat's not
[03:00.740 --> 03:02.060]  radical Islam.
[03:02.060 --> 03:03.060]  It's not Russia.
[03:03.060 --> 03:04.240]  It's not China.
[03:04.240 --> 03:05.740]  It's now the American people.
[03:05.740 --> 03:09.500]  That's the number one terror threat in America.
[03:09.500 --> 03:14.940]  And you can see on screen right there from even back in June, some of the reports and
[03:14.940 --> 03:17.700]  some of the Homeland security graphics they were putting out about opposition to COVID
[03:17.700 --> 03:22.540]  measures, claims of election fraud, believe Trump can be reinstated, 9-11 anniversary
[03:22.540 --> 03:23.820]  and religious holidays.
[03:23.820 --> 03:31.740]  So just incredible rollout of the Patriot Act and the CIA and the whole police state
[03:31.740 --> 03:36.420]  that's not supposed to be used on citizens under law against us, exactly what I and many
[03:36.420 --> 03:40.460]  other constitutional experts like Jonathan Turley warned of 20 years ago with the Patriot
[03:40.460 --> 03:41.460]  Act.
[03:41.460 --> 03:49.020]  And so they're getting ready to stage a bunch of false flags, violent false flags, Oklahoma
[03:49.020 --> 03:55.460]  city style false flags, not just the provocateur January 6th event that didn't go off as bad
[03:55.460 --> 03:56.460]  as they wanted it to.
[03:56.460 --> 04:00.700]  They wanted it to be really bad, but thank God it fizzled out and wasn't as bad as they
[04:00.700 --> 04:03.420]  were planning it to be.
[04:03.420 --> 04:07.600]  And so now they are in a total hysteria over Tucker Carlson coming out with this new three
[04:07.600 --> 04:11.340]  part documentary series that he's going to be covering all week next week titled the
[04:11.340 --> 04:16.720]  plot against the people, because this is a plot against the people and the American people
[04:16.720 --> 04:20.600]  understand how this is a divide and conquer operation and an attempt at race war.
[04:20.600 --> 04:22.080]  The globalists are launching.
[04:22.080 --> 04:26.840]  We can save our country and also bring the globalist to justice, but that's where we
[04:26.840 --> 04:27.840]  are.
[04:27.840 --> 04:28.840]  That's what's unfolding.
[04:28.840 --> 04:31.500]  And that's what we're facing right now.
[04:31.500 --> 04:36.760]  Now let's get to our top story here on this Saturday evening.
[04:36.760 --> 04:41.680]  And again, the only way this information is going to get out is if you share it.
[04:41.680 --> 04:45.700]  And if you do decide to share it, it's going to have a huge effect that we can stop this
[04:45.700 --> 04:51.720]  nightmare next phase of the great reset and of the transhumanist nanotech takeover of
[04:51.720 --> 04:52.720]  our bodies.
[04:52.720 --> 04:54.360]  And what do I speak of?
[04:54.360 --> 04:58.920]  I remember 20 plus years ago, reading about Bill Gates and press releases, he put out
[04:58.920 --> 05:03.960]  wanting to control the weather, wanting to have particulate added to jet fuel to create
[05:03.960 --> 05:07.800]  nuclei in the atmosphere, to create artificial clouds, to bounce solar radiation back out
[05:07.800 --> 05:09.120]  into space.
[05:09.120 --> 05:16.220]  I remember seeing Bill Gates proposing putting sterilants in vaccines and putting sterilants
[05:16.220 --> 05:23.400]  in mosquitoes so they could deliver sterilant vaccines into third world populations.
[05:23.400 --> 05:28.340]  I remember seeing Bill Gates talking about engineering strawberries and potatoes and
[05:28.340 --> 05:36.140]  tomatoes and bananas and papayas that would have, quote, different vaccines engineered
[05:36.140 --> 05:44.800]  biomechanically bio electrically into the very tissue of the plant where the plant would
[05:44.800 --> 05:47.880]  produce live viruses.
[05:47.880 --> 05:55.000]  And they had actually developed that and actually had it completed in several decades ago.
[05:55.000 --> 05:58.020]  But now they've gone operational with the weather control.
[05:58.020 --> 06:00.140]  Now they've gone operational with the virus release.
[06:00.140 --> 06:05.280]  Now they've got operational with the MRNA, genetic engineering revolution rollout.
[06:05.280 --> 06:09.540]  Now they've gone operational with the nanotech in the Pfizer and Moderna shots, both controlled
[06:09.540 --> 06:12.660]  by Gates and his combine.
[06:12.660 --> 06:19.700]  And so now we're sitting here on the precipice of this in every major Western country saying
[06:19.700 --> 06:23.420]  you will be fired, you won't be able to get on an airplane, you won't be able to travel
[06:23.420 --> 06:27.820]  around the world unless you accept a world medical ID controlled by the UN and the Davos
[06:27.820 --> 06:30.120]  group.
[06:30.120 --> 06:33.660]  It's not coming, it's here.
[06:33.660 --> 06:36.500]  Now you think that's bad enough, right?
[06:36.500 --> 06:42.540]  Well, the Davos group has officially come out in just the last month.
[06:42.540 --> 06:46.380]  This has gotten almost no coverage, but it's been at the UN level and the corporate university
[06:46.380 --> 06:47.380]  level.
[06:47.380 --> 06:51.860]  I've got a stack of news right here I'm about to show you and stated that they've engineered
[06:51.860 --> 06:58.460]  all of these nanoparticles that are microchips, microscopic microchips, some of what you can
[06:58.460 --> 07:06.260]  see with the naked eye, some of what you can't, that they spray onto all of the food to quote
[07:06.260 --> 07:08.020]  track it and make sure it's safe.
[07:08.020 --> 07:12.140]  So to make sure it's safe and not contaminated, they contaminate it.
[07:12.140 --> 07:17.100]  Remember the documents that came out a month ago or more, the plan by Peter Daszak and
[07:17.100 --> 07:23.820]  Fauci and Gates to spray live nanotech, open air China on the population to quote, give
[07:23.820 --> 07:27.060]  them COVID-19, remember that?
[07:27.060 --> 07:31.020]  And that's beyond gain of function, that's synthetic viruses.
[07:31.020 --> 07:33.860]  This is what's really going on.
[07:33.860 --> 07:39.660]  And the whole revolution is what they've been calling for over 20 years, smart dirt.
[07:39.660 --> 07:45.500]  You probably saw that transhumanist propaganda with Johnny Depp, transcendence, where he
[07:45.500 --> 07:53.380]  becomes the supercomputer and dissolves into dust that then goes into the atmosphere and
[07:53.380 --> 07:57.740]  impregnates all human bodies, all plants, all animals, and that the entire planet is
[07:57.740 --> 08:02.380]  now an AI dust and he is a guardian that will save the earth.
[08:02.380 --> 08:07.620]  That is Silicon Valley's Antichrist statement to you.
[08:07.620 --> 08:12.060]  So here it is, ladies and gentlemen, the rollout.
[08:12.060 --> 08:18.220]  If you think they're violating your bodily rights, if you think they're raping you with
