[00:00.000 --> 00:18.600]  son
[00:18.600 --> 00:48.580]  Ladies and gentlemen, we're broad testing worldwide on this Wednesday.
[00:48.580 --> 00:56.380]  August 21st, 2019 transmission. And all hell is continuing to break loose. We've got three of our
[00:56.380 --> 01:06.160]  intrepid reporters, Gregory Savannah, Hernandez and others on the ground right now in Hong Kong,
[01:06.160 --> 01:12.120]  where hundreds of thousands of Chinese troops are threatening to invade. They're gonna be on
[01:12.120 --> 01:17.400]  with us coming up in about 15 minutes. Then Carpe Donkton, one of the top memors in the planet,
[01:17.400 --> 01:23.160]  goes and visits Trump at the White House. He launches memeworld.com, starts getting banned on
[01:23.160 --> 01:30.900]  Facebook and other platforms within hours. All part of election meddling, 2020. And Trump's
[01:30.900 --> 01:35.380]  aware of it. And speaking out against it, but he needs to take action. Speaking of Carpe Donkton,
[01:35.380 --> 01:39.640]  here's a nice little three and a half minute trailer that got him in so much trouble.
[01:39.640 --> 01:54.240]  I just came outside to try to process all this. I want you to create the best memes the world has
[01:54.240 --> 02:24.080]  ever seen. With your help, we are going to make America great again.
[02:24.080 --> 02:36.200]  Carpe Donkton!
[02:36.200 --> 02:38.200]  Summer air
[02:38.200 --> 02:41.200]  It's beautiful, it's lovely
[02:41.200 --> 02:45.200]  Yeah, you, yeah, you're beautiful
[02:45.200 --> 02:49.200]  It's beautiful, it's lovely
[02:49.200 --> 02:52.200]  Yeah, you, yeah, you're beautiful
[02:52.200 --> 02:56.200]  Let's go all the way from now on
[03:00.200 --> 03:02.200]  Oppa Gangnam Style
[03:02.200 --> 03:04.200]  Oppa Gangnam Style
[03:04.200 --> 03:06.200]  Oppa Gangnam Style
[03:06.200 --> 03:08.200]  Oppa Gangnam Style
[03:08.200 --> 03:10.200]  Watch this
[03:10.200 --> 03:12.200]  Oh my god, what's gonna happen?
[03:12.200 --> 03:14.200]  Oh my god, what's gonna happen?
[03:14.200 --> 03:16.200]  Oh my god!
[03:16.200 --> 03:45.200]  The fake media tried to stop us from going to the White House, but I'm president and
[03:45.200 --> 03:47.200]  they're not
[03:47.200 --> 04:03.200]  Go home to mommy, go home, bye
[04:47.200 --> 05:03.200]  It's not only that you have a unique voice in the public arena in the public square.
[05:03.200 --> 05:11.200]  The other thing that's unique about Info Wars is it isn't the only network of this reach that is not backed by a corporate donor or corporate sugar daddy.
[05:11.200 --> 05:15.200]  That's not backed by some billionaire. That's not being funded by a secret foreign government.
[05:15.200 --> 05:17.200]  It is completely independent of all that.
[05:17.200 --> 05:27.200]  It is an old school American 1776 style experiment in the expression of the freedom of press and freedom of speech that in fact the founders were so concerned with at the beginning of the country.
[05:27.200 --> 05:33.200]  They actually tried to support and subsidize organizations just like this because this was the kind of press they wanted.
[05:33.200 --> 05:41.200]  And then ultimately we now live in an era where they've mostly been co-opted by big corporations or billionaire sugar daddies who've been able to control and manipulate what news it views,
[05:41.200 --> 05:46.200]  view a person's allowed to have or express or hear. And the Info Wars audience has broken through that.
[05:46.200 --> 05:51.200]  They are the bridge from the founding to the modern age ultimate American democracy and freedom.
[05:51.200 --> 06:11.200]  And that's why there's been an unprecedented onslaught of the platforming, defamation, lawfare and libel targeting youth.
[06:11.200 --> 06:33.200]  On the front lines of the information war, it's Alex Jones.
[06:33.200 --> 06:42.200]  August 21, 2019 on this Wednesday edition of the transmission. I'm here.
[06:42.200 --> 06:45.200]  Well, we've got a full raft of guests.
[06:45.200 --> 06:52.200]  We've got three of our reporters and camera crew in Hong Kong where the Chai comms have already sent in paramilitary police.
[06:52.200 --> 06:56.200]  They've had over a million people protest. That's one seventh of the island.
[06:56.200 --> 07:10.200]  They've had huge demonstrations coming up this weekend and the Chinese military is massing hundreds of thousands of troops, tanks, armored vehicles threatening to invade Hong Kong over the bridge the Chinese built in the last few years.
[07:10.200 --> 07:15.200]  They said for commerce, but now it's all known that's for the invasion.
[07:15.200 --> 07:29.200]  So Savannah Hernandez, Greg Reese and others reporting from there. Carpe Dongdom was banned. He was banned by Facebook two hours after he officially launched memeworld.com.
[07:29.200 --> 07:31.200]  Last time I was talking to him.
[07:31.200 --> 07:45.200]  All fair during the break, he said, Hey, in a few months, we're going to launch a big meme site because the Reddit Donald been frozen still frozen. All these other meme sites are getting taken down on Facebook off Twitter.
[07:45.200 --> 07:55.200]  200 million users just a few weeks ago on Twitter and on Facebook and a bunch of the platforms like Instagram got taken down in just one day or two days.
[07:55.200 --> 08:03.200]  So it's just huge the way they're just exterminating human communication. If you're a Christian, if you're a conservative, if you're a nationalist.
[08:03.200 --> 08:18.200]  And it's exactly the same stuff that communist China is using against its people, not letting them share emojis of Winnie the Pooh, not letting them share emojis of the Taiwanese flag or the Hong Kong Independence Party.
[08:18.200 --> 08:26.200]  And Big Tech works hand in glove with them to carry all of that out. So the global Chinese social credit score is now here.
[08:26.200 --> 08:43.200]  And they're already using it to affect millions and millions of people in China and they're out face scanning the people in Taiwan and in Hong Kong if they're at the demonstrations and then they're learning that they can't buy and sell on the Chinese controlled systems.
[08:43.200 --> 08:54.200]  So that's why we need real independence and banking real independence and computing because this police state system was marketing the big system is unfolding worldwide.
[08:54.200 --> 09:05.200]  And then we've got Zach Voorhees, the Google engineer, the Ed Snowden of whistleblowers as others have described him from inside Google.
[09:05.200 --> 09:18.200]  He's going to be in studio for two hours with us. And then we also have another guest joining us from the UK. And that's Jada Franson, one of the main leaders,
[09:18.200 --> 09:38.200]  resisting the globalist, very well-spoken, lovely lady. She'll be joining us coming up for part of the fourth hour as well that I will be hosting because Paul Joseph Watson is getting ready to also go on another trip to report from another hot bed location.
[09:38.200 --> 09:52.200]  I'll leave it at that. And that's going to be kicking off starting Friday. So a lot of surprises, a lot of interesting curveballs to get thrown at the globalist that are going to be coming up and they're going to be unfolding here in the next few days.
[09:52.200 --> 09:55.200]  Let me get into some of the other news.
[09:55.200 --> 10:10.200]  You'll remember I had Ted Nugent on about two weeks ago and he said, look, you need to trust President Trump. He's not going to sign expanded background checks. And Trump announced that that shelved.
[10:10.200 --> 10:14.200]  Yes, Ivanka is running around pushing it.
[10:14.200 --> 10:25.200]  She's never touched a gun. And that's all politics, hoping that that takes heat off Trump. It's the wrong thing to do. They need to come out and say it's mental illness. It's people on Prozac type drugs that cause you to do this.
[10:25.200 --> 10:37.200]  The inserts admit it. It's the fact that almost all these shooters were already telling people they were going to go kill, whether it was Parkland with the scumbag crews or this other individual up in Ohio.
[10:37.200 --> 10:46.200]  They said that they were antifa. They were devil worshipers. They said what they were going to do. But now the article just went live on info wars.com. We have the quotes here.
[10:46.200 --> 11:02.200]  The NRA and Trump have said that he thought maybe expanded background checks that he learned that wouldn't have helped because these people all passed background checks or it was never computerized that they'd already been in a mental institution.
[11:02.200 --> 11:16.200]  They'd already been adjudicated not to be able to own firearms. So Trump's cement stance on wide ranging background checks and call the NRA CNN is very unhappy to have to report that that is not going forward with the unconstitutional red flag law.
[11:16.200 --> 11:31.200]  So good job, folks, putting major heat on Trump so that he would not listen to the Koch brothers faction of Republicans that are inside his administration and are trying to undermine him.
[11:31.200 --> 11:41.200]  Speaking of trying to undermine scaramucci is totally completely sold out. He was probably a mole from the beginning of the establishment.
[11:41.200 --> 11:49.200]  But now he's trying to organize and lead the opposition to take down President Trump.
[11:49.200 --> 12:06.200]  And it turns out the mooch betrays the president and America joined Clintons and the Rothschilds at Martha's Vineyard last weekend. So it's a Clinton scheme to cook up a way to take down the president.
[12:06.200 --> 12:19.200]  We're going to be getting into that as well here today. And then something I think is a great idea to spur the economy because the Federal Reserve raised interest rates all those times to hurt the economy.
[12:19.200 --> 12:28.200]  And the Democrats admit they're trying to kill the economy to stop the populist awakening from firmly cementing itself.
[12:28.200 --> 12:37.200]  Well, we now hear that Trump wants to cut the payroll tax a day after the White House denies it.
[12:37.200 --> 12:48.200]  And it's now confirmed that they want to cut some of the payroll tax. The average worker has matching money taken out and then employers have to put money in there.
[12:48.200 --> 12:57.200]  But then instead of the federal government on top of everything, and if you want to spur the economy, you cut part of that payroll tax.
[12:57.200 --> 13:05.200]  China has 0% taxes on corporations. Trump got our stuff from 40 to 15.
[13:05.200 --> 13:13.200]  Again, people say, oh, you're trying to make corporations more money. They wrote the laws to keep the jobs over in China to make it one side of the screw is over.
[13:13.200 --> 13:29.200]  Look at the Washington Post's very revealing article. Xi's choice, destroy Trump or save him and weaken America. Oh, Xi is the savior of America if he can only defeat Trump.
[13:29.200 --> 13:35.200]  Wow, sick. But that's like Debo's two and a half years ago where he came and said, I'll defeat Trump. We'll defeat their economy.
[13:35.200 --> 13:43.200]  And now there's the rebranding that China's good. And now I'm going to tell you the rest of the story about this situation.
[13:43.200 --> 13:53.200]  I was talking to one of my longtime crew members. He's worked with me for 16, 17 years. He didn't want to say his name. He didn't want to go on air.
[13:53.200 --> 14:09.200]  His sister lives in Minnesota and is a big leftist. And his sister will not even talk to his mother. And they've always had a good relationship because she's a Trump supporter.
[14:09.200 --> 14:24.200]  And she barely talks to her brother because he's a Trump supporter, but she's withholding the children. And when this crew member saw her last, she's gotten more radicalized.
[14:24.200 --> 14:33.200]  She was saying China is the hero and will defeat the evil America and that white people are inherently bad.
[14:33.200 --> 14:46.200]  And that white people are the problem and that white people are the enemy. Now, these folks are blonde haired blue-eyed, you know, Norwegian, German stock, like a lot of Minnesotans are.
[14:46.200 --> 15:02.200]  And so I want that to sink in, that this is someone I've known actually 17 years, friend of mine, met his family before, and the family's being torn apart because the sister is so brainwashed.
[15:02.200 --> 15:20.200]  So brainwashed, and his dad died a few years ago, so brainwashed that she won't even let the grandchildren see the grandmother and believes that whites need to basically be gotten rid of.
[15:20.200 --> 15:38.200]  Now, I can't even put these clips together anymore because there's so many every day. But I'm going to go back and ask some of the crew to try to just get the last few weeks of seeing an MSNBC saying whites are inherently evil, whites are inherently bad, and it's going to be great once whites are gone.
[15:38.200 --> 15:52.200]  I mean, just Anderson Cooper said it last week, there's two new clips today that it's just, it is the most hitlerian ideology, but inverted onto white people. The left is pure evil. Stay with us, ladies and gentlemen, infowars.com, newswars.com.
[15:52.200 --> 16:08.200]  The only way the articles get out is you. Please help us, help yourself.
[16:22.200 --> 16:27.200]  That's Danpilla.com, Danpilla.com.
[16:53.200 --> 17:05.200]  Because of the flooding, we've had to move a lot of our inventory to a temporary location, and rather than move it back to the warehouse, we thought we'd offer the system at a price that might seem unbelievable if you didn't know the floodwater's back story.
[17:05.200 --> 17:17.200]  So here's what you should do right now. Check out the PPX microgrid system at myownpowergrid.com. That's myownpowergrid.com. Over $1,000 in great off-the-grid gear and a ton of bonuses too.
[17:17.200 --> 17:27.200]  In the best part, you're not going to pay $750 or $500 or even $200. Go to myownpowergrid.com to learn more. That's myownpowergrid.com.
[17:47.200 --> 18:02.200]  Let's talk to Marcus in New York. Marcus, you're on the air. Thanks for holding.
[18:02.200 --> 18:11.200]  Hey, Alex. Yeah, I just want to say, your show's a breath of fresh air. I talk to a lot of people here out in New York City, and one thing I can tell you is that almost nobody agrees with these wars.
[18:11.200 --> 18:21.200]  I think that the Neocons are trying desperately to get Trump to go to a war because they know that that's the only way that they could defeat him in the eyes of the public approaching 2020.
[18:21.200 --> 18:28.200]  That's it. I mean, if Trump buys into this, it'll be the end of his presidency. It's the only way I think he could be defeated other than assassinating him. It's a time to be praying, my friend.
[18:28.200 --> 18:34.200]  I agree entirely. And the last thing I just want to say, Alex, is I know they're trying to shut you down, but the reinforcements have arrived, man.
[18:34.200 --> 18:44.200]  I would love to see you on air until you're 80 years old. I would love to see what you're talking about when you're 80. But if they do shut you down, no, you've gone into this war. You've won a lot of battles.
[18:44.200 --> 18:50.200]  And there are a lot of people like myself and many others who are going to continue. We're going to keep fighting in the input war.
[18:50.200 --> 18:56.200]  And even if something does happen to you or your show, know for a fact that you've gotten a lot of people fired up for liberty.
[18:56.200 --> 19:05.200]  Thank you, sir, for calling.
[19:26.200 --> 19:36.200]  Americans aren't going to be bullied and we aren't going to back down. So to the walking cruises and the Hillary Clinton's, the world that want to intimidate people and tell us to back down.
[19:36.200 --> 19:44.200]  We're never going to give up. And all you've done is a wake of the human spirit and the human spirit lives at info wars.com and news wars.com.
[19:44.200 --> 20:01.200]  And I'm asking listeners, whatever you do, spread those links because we are the light, the dark of the night. We are the resistance. We are 1776 worldwide.
[20:14.200 --> 20:29.200]  We are the resistance.
[20:29.200 --> 20:45.200]  We are the resistance.
[20:45.200 --> 20:52.200]  The Zuhai Macal Bridge. That's where they're going to be going tomorrow. It's one of the biggest bridges in the world.
[20:52.200 --> 21:01.200]  They were building it for commerce, but others warned the bridge was being built so they could invade Hong Kong and take it over.
[21:01.200 --> 21:10.200]  That's where everybody ran in 1949 when Mao Zedong took over the country and began killing tens of millions of people.
[21:10.200 --> 21:25.200]  When they were all done, over 115 million people were dead. We're going to put on screen for you images of that bridge so you can get an idea of all of this and that there are massing,
[21:25.200 --> 21:32.200]  massing hundreds of thousands of Chinese troops and armored vehicles and tanks. That's on the news.
[21:32.200 --> 21:40.200]  They've already sent in thousands of men on motorcycles to beat and attack men, women and children with metal rods, with metal poles.
