[00:00.000 --> 00:02.000]  We've got it
[00:07.400 --> 00:09.520]  Waging war on corruption
[00:11.360 --> 00:17.440]  It's Alex Jones coming to you live from the front lines of the info war
[00:17.440 --> 00:32.080]  We only value liberty and freedom when it's under assault when we're losing it that's the old cliche
[00:32.080 --> 00:38.560]  you don't know what you've got until it's gone and so the good news is there are many different
[00:38.560 --> 00:45.800]  tracks in human history the good the bad the ugly and many others there are different competing
[00:45.800 --> 00:57.040]  forces in this world the problem is evil so often is very highly organized but over the weekend and
[00:57.040 --> 01:04.960]  it's been a process we talked about this some on Friday I I had more epiphanies and more deep
[01:04.960 --> 01:13.440]  understanding of how the entire system works to the point of almost not even being able to come
[01:13.440 --> 01:21.320]  into this radio show my point is is that I can't just get up here and rattle off facts and
[01:21.320 --> 01:27.760]  statistics and tell you my point of view on this or that we need to have a fundamental discussion
[01:27.760 --> 01:36.720]  about the fact that the real world is verifiable and what's really going on is hiding in the living
[01:36.720 --> 01:46.320]  room like a 10 trillion pound elephant and that so many people that hear about corruption and
[01:46.320 --> 01:52.720]  evil they're prideful they don't want to believe they've been enslaved or they're prideful and say
[01:52.720 --> 01:58.600]  so what there's nothing you can do about it and and think that gives them control over it and I
[01:58.600 --> 02:05.080]  guess it's part of the decadence of the society because we've had it so good for so long but it
[02:05.080 --> 02:16.440]  really hit me this morning and this afternoon harder than anything's ever hit me because the
[02:16.440 --> 02:26.280]  shadows are getting long night is falling over our society and so undoubtedly myself and many of you
[02:26.280 --> 02:39.200]  are gonna get more focused more serious reality and danger has a way of doing that but I had a
[02:39.200 --> 02:44.880]  realization this morning and when I had the realization I knew that I'd always known this
[02:44.880 --> 02:51.600]  and then all of you know this and that when I say this you're gonna say that's no revelation at all
[02:51.600 --> 03:01.400]  but it is a revelation because it's not figurative and it's not a term I would just use to describe
[03:01.400 --> 03:10.000]  something like calling an extremely fat man an elephant or a hippo this is not like calling
[03:10.000 --> 03:16.640]  something something it's not because it describes it this is the thing this thing I will call out
[03:16.640 --> 03:25.120]  is the elephant not the fat man not the freak show it is the elephant it is the bona fide
[03:25.120 --> 03:31.480]  with the tusk and the ears and the big trunk a little tail and it can step on you and it's a
[03:31.480 --> 03:46.400]  very psychotic elephant and what I'm speaking of is royalty royalty and the real discrimination
[03:46.400 --> 03:54.120]  that's going on in our world and the system consciously knows this and is building this
[03:54.120 --> 04:03.440]  and as soon as I had this realization I began to search engine statements and treaties and globalist
[04:03.440 --> 04:09.400]  and I knew what I was going to be able to find before I entered it even though I had never read
[04:09.400 --> 04:17.760]  them saying it and they admit they are consciously building a world government where the ruling class
[04:17.760 --> 04:25.080]  is royal and is exempt from the laws they put us under and they themselves call it the new royalty
[04:28.680 --> 04:34.320]  and that's why they divide and conquer black white old young northern southerner Christian
[04:34.320 --> 04:46.320]  Muslim Jew this that gay straight on and on and on they do that because they are scientifically
[04:46.320 --> 04:51.360]  dividing and conquering and again I know you know that but the point is they are building a world
[04:51.360 --> 04:57.760]  where they are the royalty and I'm gonna break it down coming up with all the latest news stay with
[04:57.760 --> 05:04.120]  us we're live you prepare by purchasing gold food and firearms but if you don't have a home security
[05:04.120 --> 05:09.400]  system then you're missing a critical weapon in your arsenal for home protection when you're
[05:09.400 --> 05:14.960]  sleeping or away from home who's watching out for intruders check out simply safe it's a new
[05:14.960 --> 05:21.040]  do-it-yourself home security system that is completely wireless go to get simply safe comm
[05:21.040 --> 05:26.960]  simply safe is independent and off the grid it runs on battery power so even if the grid goes
[05:26.960 --> 05:32.760]  down you're protected it's completely customizable so you can use it in your home business boat
[05:32.760 --> 05:40.560]  trailer storage unit or shed get simply safe comm simply safe is also ridiculously easy to install
[05:40.560 --> 05:45.920]  yourself in under 20 minutes so there's no need to let a stranger into your home if you move or
[05:45.920 --> 05:50.360]  need to relocate you can take the system with you wherever you go you aren't always at home
[05:50.360 --> 05:56.560]  but simply safe will stand guard protecting your property 24 hours a day seven days a week again
[05:56.560 --> 06:13.080]  that's get simply safe comm we now take you live to the Central Texas command center and the heart
[06:13.080 --> 06:36.640]  of the resistance rallying Patriots worldwide you're listening to the Alex Jones ladies and
[06:36.640 --> 06:42.320]  gentlemen thank you for joining us live it is Sunday the 27th day of January
[06:42.320 --> 06:50.080]  2013 and we will be here for the next two hours roughly Lord willing I of course will
[06:50.080 --> 06:57.600]  also return weekdays weekdays live noon to 3 p.m. Eastern and carry by over 140 stations
[06:57.600 --> 07:06.840]  live or tape delayed also XM 166 again thank you so much for joining us for this important broadcast
[07:06.840 --> 07:13.600]  okay here is what is coming up I'm gonna go over some of the headlines here and then I'm gonna get
[07:13.600 --> 07:22.360]  to the biggest realization and epiphany that I have ever had and again when I go over this
[07:22.360 --> 07:32.640]  awakening this realization wife is a is a roadmap of awakenings or people who live in delusion it is
[07:32.640 --> 07:39.760]  a bottomless pit of ignorance and when I cover this awakening I've had many of you are gonna say
[07:39.760 --> 07:49.360]  tell me something I didn't know and that is in itself the awakening that is in itself the
[07:49.360 --> 07:58.920]  awakening that I already knew this but it hit me and and I can see the social engineers I've
[07:58.920 --> 08:05.960]  read their writings at nauseum read them here on air but I understand the globalist and the social
[08:05.960 --> 08:11.560]  engineers to such a level because I've been intimately studying them for 20 years on air
[08:11.560 --> 08:21.880]  for 17 that I know more I can clearly say than that even most of their top technocrats because
[08:21.880 --> 08:28.880]  most of their technocrats are worldly they're sold out they've used their knowledge to basically just
[08:28.880 --> 08:38.240]  gain power so they are lazy in their research in fact in a way I realized my broadcast is almost a
[08:38.240 --> 08:45.120]  college for people who want to go out and do bad things and be evil that was another a huge
[08:45.120 --> 08:50.840]  awakening I had this weekend because I learned more all the time I learned more in a month now
[08:50.840 --> 08:59.840]  that I learned previously in a year 15 16 years ago my mind has just been burning with understanding
[08:59.840 --> 09:06.160]  the last few months and it is exhausting at a certain level but it's also a great exaltation
[09:06.160 --> 09:14.320]  to be dedicated to something and to and to begin to become a master and as you become a master you
[09:14.320 --> 09:20.400]  realize you're nothing but a first-grade pupil but the universe is just opening up and it is
[09:20.400 --> 09:28.760]  my goal it is my goal to try to really articulate what I know and then to go show you the research
[09:28.760 --> 09:35.400]  I've done and again much of it you're gonna say I already knew that that is really the biggest
[09:35.400 --> 09:43.240]  sector of this constellation of great understandings epiphanies whatever you want to call them
