[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[00:30.000 --> 00:45.000]  Well, ladies and gentlemen, it's supposedly 19 days until the world ends. December 21st is 19 days away.
[00:45.000 --> 00:54.000]  And I've got a bunch of articles here where people are freaking out, not sleeping, not paying their bills, not going to work.
[00:54.000 --> 01:09.000]  Quite a few people think Planet X, Nabooru, will be hitting the earth. Of course, there are hundreds of thousands of amateur astronomers who can find tiny asteroids millions of miles away.
[01:09.000 --> 01:24.000]  But we here are to believe that Nabooru is going to be smashing into us because the Mayans said so. By the way, the Mayans did not say so.
[01:24.000 --> 01:34.000]  And that this huge planet is very close to us in the solar system. In fact, it's already closer than Mars and it's going to kill all of us.
[01:34.000 --> 01:43.000]  So I guess that's it. 19 days to live. Chayannara, as they say, Planetary Shepaku is in the offing.
[01:43.000 --> 01:50.000]  Okay, let's get serious here. We're going to be breaking down the so-called fiscal cliff. Excuse me, I said 19 days.
[01:50.000 --> 01:55.000]  It's 18 days. I guess because they're going on the other side of the world with the day start.
[01:55.000 --> 02:07.000]  I guess in other parts of the world, it is 18 days. It's 19. 18 days, one hour, 58 minutes. And we're all dead. Boom, you're dead.
[02:07.000 --> 02:23.000]  The evil, it's one of my favorite things, will be killing us. Just like you're dead. Boom, you're dead if you don't give Al Gore all of your money through the carbon taxes.
[02:23.000 --> 02:41.000]  Okay, so we're going to be going over some of that today. But seriously, more of this humor is just gallows jest because I saw this about a week ago at drudgereport.com.
[02:41.000 --> 02:54.000]  We wrote articles about it at infowars.com, show to the New American magazine, show to the weekly standard. And it's all documented that the end of the free Internet as we know it is here.
[02:54.000 --> 03:03.000]  In fact, guys, I forgot to print this because I saw this in the stack and it reminded me that this is coming to a head and then we printed a couple articles.
[03:03.000 --> 03:19.000]  But will you print me the CNET because that CBS, the Declan McCullough, there's a bunch of them, breaking down that the Cyber Security Act is basically a Russian style or Chinese style censorship.
[03:19.000 --> 03:30.000]  And then they go bullet point by bullet point. Just so you know, it's not Alex Jones saying it. I mean, I've been telling you this for over a decade because I was actually reading what Internet two conferences were saying, meeting around the world.
[03:30.000 --> 03:44.000]  I was actually reading what the UN was saying. But now it's here. They're going to try to implement web taxes, web IDs, web tracking, automatic killing your computer if they claim you've downloaded something that is copyright.
[03:44.000 --> 04:07.000]  And we've seen massive abuse of that out there. And Politico has written an attack piece on Matt Drudge and DrudgeReport.com acting like it's just Matt Drudge saying this or that Matt Drudge is saying this in a vacuum when all Matt Drudge is doing is linking to the even mainstream media documenting this.
[04:07.000 --> 04:18.000]  But pro-globalist, you've got to say Politico is that to a great extent. They always have to act like none of this is happening. Oh, you think there's a mega banking takeover happening.
[04:18.000 --> 04:27.000]  You think there's a world government being announced, you crazy people. Yeah, that Alex Jones he believes in Bilderberg and other imaginary things, you know, stuff like this.
[04:27.000 --> 04:38.000]  And that's why you've become passe. More and more people like Politico try to pose like their alternative or new media. No, they're not. It's like Newsweek with the Daily Beast.
[04:38.000 --> 04:49.000]  So we've got that report. I want to get into what the fiscal cliff really means. Obama wants retroactive tax increases and he wanted to be given dictatorial power over that process.
[04:49.000 --> 04:59.000]  And so we'll tell you how they're going to hold us all hostage coming up. We got a bunch of special reports. We're going to premiere here as well. Stay with us. Tell your friends and family tune in.
[04:59.000 --> 05:10.000]  Millions of people are going to get sick this winter from colds, flu and other illnesses. Don't be one of them. Protect yourself with Supernatural Silver, a revolutionary new broad spectrum antibacterial solution.
[05:10.000 --> 05:20.000]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria, viruses, mold and food poisoning and help improve wound healing.
