[00:00.000 --> 00:06.560]  It's Wednesday, September 15, 2021.
[00:06.560 --> 00:10.600]  The globalist deep state coup against America has now been exposed.
[00:10.600 --> 00:15.000]  Treason has been committed.
[00:15.000 --> 00:27.000]  Infowars, the most banned network in the world.
[00:27.000 --> 00:33.000]  According to the newly released book, Peril by Bob Woodward and Robert Costa,
[00:33.000 --> 00:37.400]  General Mark Milley of the Joint Chiefs of Staff committed treason.
[00:37.400 --> 00:44.500]  On October 30th of 2020, he made a top secret phone call to General Lee of the Communist Chinese Party,
[00:44.500 --> 00:48.600]  assuring him that the U.S. was not going to attack China.
[00:48.600 --> 00:53.300]  And if they ever planned to, he would call ahead of time and let them know.
[00:53.300 --> 00:58.200]  Milley made a second top secret call on January 8th of 2021,
[00:58.200 --> 01:05.200]  telling his Communist handlers that Trump was unstable and made assurances that nothing would happen.
[01:05.200 --> 01:10.000]  That same day, Milley called a secret emergency meeting at the Pentagon,
[01:10.000 --> 01:17.900]  ordering his subordinates to disobey any orders from the President of the United States without his presence.
[01:17.900 --> 01:22.500]  This is a U.S. general at one of the highest levels of our military.
[01:22.500 --> 01:30.100]  Working secretly with the Communist Chinese to undermine the lawfully elected President of the United States.
[01:30.100 --> 01:38.000]  Working secretly with the CCP, a regime that runs death camps and genocides its own people.
[01:38.000 --> 01:44.100]  Now there is no doubt why he pushes critical race theory, a CCP subversion technique,
[01:44.100 --> 01:46.400]  and plans on purging the military.
[01:46.400 --> 01:48.900]  He works for the Communist Chinese.
[01:48.900 --> 01:54.500]  This is treason at the highest level in a reasonable world, punishable by death.
[01:54.500 --> 01:58.300]  And there is no shortage of domestic enemies in America today.
[01:58.300 --> 02:01.700]  I would call General Milley a hero.
[02:01.700 --> 02:04.000]  He behaved in a heroic manner.
[02:04.000 --> 02:07.900]  But what he did was ensure that guardrails were in place.
[02:07.900 --> 02:12.000]  So I give him high marks for this based on what's described in the book.
[02:12.000 --> 02:17.300]  I think Milley felt ill-used by the episode on Lafayette Square when he was used as a prop.
[02:17.300 --> 02:20.000]  So one can understand Milley's anxieties.
[02:20.000 --> 02:23.300]  We were in a period of extraordinary danger.
[02:23.300 --> 02:27.800]  I think General Milley is going to be treated very favorably by history.
[02:27.800 --> 02:36.100]  And just weeks ago, China was unlawfully sending battleships, including their most lethal, off the coast of Alaska.
[02:36.100 --> 02:40.200]  Will anyone be warning the U.S. of a CCP invasion?
[02:40.200 --> 02:43.200]  Are there any patriots left in the Pentagon?
[02:43.200 --> 02:51.500]  Former Navy Intelligence Officer Jack Pasobic claims that several Pentagon officers who were present in Milley's secret meeting
[02:51.500 --> 02:55.000]  are now willing to testify against him under oath.
[02:55.000 --> 03:02.500]  If there is to be any purge of the military, it is only fitting that it should begin with General Mark Milley.
[03:02.500 --> 03:21.700]  For Infowars.com, this is Greg Rees.
[03:21.700 --> 03:26.800]  Even among Democrats, watch these statements from just a few months ago.
[03:26.800 --> 03:31.700]  I don't think it should be mandatory. I wouldn't demand to be mandatory, but I would do everything in my power.
[03:31.700 --> 03:35.200]  It's like I don't think masks have to be made mandatory nationwide.
[03:35.200 --> 03:41.600]  Can we mandate vaccines across the country? No, that's not a role that the federal government I think even has the power to make.
[03:41.600 --> 03:48.000]  We cannot require someone to be vaccinated. That's just not what we can do.
[03:48.000 --> 03:51.600]  It is a matter of privacy to know who is or who isn't.
[03:51.600 --> 03:57.800]  No, definitely not. You don't want to mandate and try and force anyone to take a vaccine. We've never done that.
[03:57.800 --> 04:02.100]  We don't want to be mandating from the federal government to the general population.
[04:02.100 --> 04:05.700]  It would be unenforceable and not appropriate.
[04:05.700 --> 04:11.600]  So things are changing so quickly that the population is becoming numb to what state of affairs was just the other day.
[04:11.600 --> 04:17.600]  For a quick recap, a year ago, they were telling you maybe you shouldn't take the vaccine because Trump created it.
[04:17.600 --> 04:24.700]  A few months ago, they were assuring you. Nancy Pelosi in April assured you we're never going to require vaccines because we can't do that.
[04:24.700 --> 04:30.500]  We don't have the power. Your medical status is a matter, a sacred matter of privacy.
[04:30.500 --> 04:36.200]  Again, that was in April. On Thursday, they required vaccines. Here's where we are today.
[04:36.200 --> 04:41.300]  I would support that if you want to get on a plane and travel with other people that you should be vaccinated.
[04:41.300 --> 04:44.200]  Flying on an airplane remains a hazard.
[04:44.200 --> 04:49.800]  No one knows the vaccination status of any of the fellow passengers you're locked in this tube.
[04:49.800 --> 04:52.500]  And it's a privilege to travel.
[04:52.500 --> 05:01.200]  There's more mandates I wish you would have given. I think mandating vaccines for air travel, train travel or interstate.
[05:01.200 --> 05:08.600]  It's only been in the last 60 years that we've had satellites that can decently measure what's happening in the atmosphere.
[05:08.600 --> 05:13.800]  But if you look at all the different studies and reports about NASA and other governments and other agencies,
[05:13.800 --> 05:16.500]  they all disagree on what's really happening with the climate.
[05:16.500 --> 05:22.000]  The only constant, the only great truth is change is the only constant.
[05:22.000 --> 05:24.800]  So yes, climate change is totally real.
[05:24.800 --> 05:29.600]  But notice, first they called it global freezing back in the 70s and 80s, and then it's going to be global warming,
[05:29.600 --> 05:31.600]  and when that didn't really happen the way they wanted it to.
[05:31.600 --> 05:33.700]  Okay, now it's just climate change.
[05:33.700 --> 05:43.100]  But did you know that man-made climate change is a real thing when it comes to the United Nations and the Department of Energy and Bill Gates and the UN?
[05:43.100 --> 05:50.000]  They have weather control trees from 1979. Bill Gates has been manipulating the weather for a very long time.
[05:50.000 --> 05:57.000]  In fact, back in 1994, two scientists won a Nobel Prize for an idea of spraying different particles out of jet engines to control the weather.
[05:57.000 --> 06:21.000]  Yes, man-made climate change is real.
[06:21.000 --> 06:28.000]  These are the main media, the mainstream media, government cover-ups. You want to stop tyranny? Well, so does he.
[06:28.000 --> 06:49.000]  Live from the Infowars.com studios, it's Alex Jones.
[06:49.000 --> 06:57.000]  Ladies and gentlemen, we are live, at least for the time being, on this Wednesday, September 15 worldwide transmission.
[06:57.000 --> 07:00.000]  I am your host, Alex Jones.
[07:00.000 --> 07:09.000]  Again, with incredible frustration, we are the only people that know exactly what happened with General Milley and laid it out already,
[07:09.000 --> 07:16.000]  because this was already in the news and already developed. We already had sources back at the time of January 6.
[07:16.000 --> 07:25.000]  And so I'm sitting here, as all of this unfolds, watching our country already under a globalist coup.
[07:25.000 --> 07:34.000]  It wasn't that Milley was trying to carry out a coup. There was already a coup where they wouldn't follow what Trump said they would throw away as executive orders.
[07:34.000 --> 07:46.000]  They refused to pull troops out of Syria and out of Afghanistan and everywhere else.
[07:46.000 --> 07:52.000]  And this is a bureaucracy that's run in the country, in the ground, that's already sold the nation out.
[07:52.000 --> 07:58.000]  So I'm too angry at this point to do the show. It's not a dramatic effect. I just got to restart the show.
[07:58.000 --> 08:08.000]  So we're going to go to some tapes. I may not even come back. I mean, it's just, we're not a serious people.
[08:08.000 --> 08:18.000]  We don't understand what we're up against, and that's why we're getting destroyed, and we're seeing the worst scum of the earth taking control of the country.
[08:18.000 --> 08:24.000]  I'm going to restart the show at the next segment. Don't worry, we've got a lot of important special reports, but I've got to just clear my mind,
[08:24.000 --> 08:34.000]  because this stuff is so big, so earth-shattering, so important, so over the top, that it just can't be done half-ass.
[08:34.000 --> 08:43.000]  It's got to be done with exact precision. And so I'm going to do the best job I can when we come back to do it.
[08:43.000 --> 08:56.000]  We've got a lot of really important doctors and scientists and people that need to be heard from on the whole COVID martial law takeover as well.
[08:56.000 --> 09:01.000]  And so we're going to air some of those reports here.
[09:01.000 --> 09:07.000]  You know, maybe I should just leave today. Maybe I should just leave today.
[09:07.000 --> 09:17.000]  Not to walk off the show, but just to note how serious things are, because your government walked off a long time ago and is run by foreign criminals that are actually waging war against us,
[09:17.000 --> 09:22.000]  and literally killing everybody. I've got reports here that I've confirmed in the statistics.
[09:22.000 --> 09:33.000]  I looked it up for two hours last night, an hour this morning, that all over the country, cancers being reported are up more than 10 times.
[09:33.000 --> 09:38.000]  And so maybe that's my problem. Maybe I'm over-preparing.
[09:38.000 --> 09:46.000]  But you understand that the people running our government, running the Pentagon, are in a running big pharma, are in a war.
[09:46.000 --> 09:52.000]  It's only Australia, New Zealand, Canada, Europe, and the U.S. being hit with these mRNA poison shots.
[09:52.000 --> 09:56.000]  Everybody else gets a regular vaccine. They have their problems, but nothing like this.
[09:56.000 --> 10:03.000]  I mean, you understand that? You understand, they're killing you. They see you as their enemy.
[10:03.000 --> 10:09.000]  I wonder if that clips on here. I know I sent it. Here, let's just read the headlines.
[10:09.000 --> 10:15.000]  There's over 750,000 sex offenders in the U.S., and none of them have to show any proof of being registered,
[10:15.000 --> 10:20.000]  but you're going to have to show one to go to a bar or hospital or get on a plane.
[10:20.000 --> 10:26.000]  That's pretty big. We've got Andrew Reed, Evan, Pew, Professor of Biology and Epidemiology,
[10:26.000 --> 10:31.000]  at Penn State on Merix disease, which I've been saying is a huge deal,
[10:31.000 --> 10:36.000]  and it's creating like a Merix-like effect in humans. We're going to get to that clip. It's incredibly important.
[10:36.000 --> 10:43.000]  We've got Merix disease part two. That's really important.
[10:43.000 --> 10:48.000]  And we've just got dozens and dozens of these clips I sent over to the crew here,
[10:48.000 --> 10:53.000]  just listing how they're doing it to us, and I didn't have time today. I got here late.
[10:53.000 --> 10:59.000]  I didn't have time to know if I had to clip with the scientist. It's a live site news, front page, infowars.com.
[10:59.000 --> 11:04.000]  20-plus times more likely to get cancer in those that got the injection.
[11:04.000 --> 11:09.000]  Let's just read all the list here. We'll do it that way.
[11:09.000 --> 11:16.000]  My vitamins don't work if you don't take yours, just like my vaccine doesn't work if you don't take yours.
[11:16.000 --> 11:27.000]  Greatest professor sounds off on Pfizer, paying out biggest find in history for bribing doctors. That's really big.
[11:27.000 --> 11:33.000]  Doctors refuse to carry out a COVID antibody test, because they're just saying natural immunity doesn't exist now.
[11:33.000 --> 11:38.000]  Total lots of things. The sun doesn't exist. Former President Trump reacts to new reports about General Milley.
[11:38.000 --> 11:41.000]  That's really important. We'll be getting to that early.
[11:41.000 --> 11:46.000]  Senator Reich questions Blinken on who's controlling Biden and how they keep turning his mic off.
[11:46.000 --> 11:49.000]  He just lies to him and denies it.
[11:49.000 --> 11:58.000]  Another huge statement by top doctor in Israel on national TV saying that they're seeing way more people sick and sick longer and dying than have had the vaccine.
[11:58.000 --> 12:02.000]  That's on national TV. That's clip 22.
[12:02.000 --> 12:13.000]  And it goes on and on and on and on and on and on and on and on and on here.
[12:13.000 --> 12:17.000]  But the one I wanted is not on there. Let me show you.
[12:17.000 --> 12:34.000]  It's on info wars.com. There's an article on info wars.com. Doctor reports 20 plus fold increasing cancer in his patients. He has a major diagnostics lab that goes in and does the biopsies and does the test.
[12:34.000 --> 12:40.000]  And they've got more business than they could ever have. You know what? We won't get to Milley.
[12:40.000 --> 12:46.000]  We're going to get to that when we come back here today.
[12:46.000 --> 12:58.000]  But we're really settling in here now in America, aren't we to be murdered and killed and learning that generals call the Chinese and say Trump's crazy.
[12:58.000 --> 13:05.000]  He tried over the government two days ago, but don't worry, we'll protect you trying to self and grandize themselves with the Chinese Communist.
[13:05.000 --> 13:12.000]  All that did was made him hate us and not trust us and think what type of dishonorable criminals run the United States.
[13:12.000 --> 13:25.000]  So now they've been invading all over and threatening to invade and having ships sell off our coast and threatening to Nukes because they know it's a bunch of sycophantic criminals running the government that would undermine a president that tried to build the nation up.
[13:25.000 --> 13:34.000]  Trump was popular in China. The communists respected him, by the way, but they don't respect the likes of Joe Biden and all these criminals.
[13:34.000 --> 13:39.000]  So these little sellouts that stole the government, they think they're all powerful. They think they're all super cool.
[13:39.000 --> 13:45.000]  They think everybody thinks they're really great, but ever the whole world hates them.
[13:45.000 --> 13:56.000]  No one wants to be associated with that. No one wants to be around that. No one wants to have to sit there and deal with people like that.
[13:56.000 --> 14:09.000]  These are dishonorable trash that have taken over our country and who see the people they stole the nation from as their enemy because we are the rightful heirs to this republic.
[14:09.000 --> 14:17.000]  We the people who they're poisoning with cancer causing shots that don't worry, you're not going to have to wait a year to get cancer from your COVID shots.
[14:17.000 --> 14:26.000]  A lot of people are getting cancer within weeks, and that's what the diagnostic labs that are doing the biopsies are seeing.
[14:26.000 --> 14:32.000]  So we've got that. And so that's what we've got here.
[14:32.000 --> 14:40.000]  This whole Millie thing, maybe we can put the show headline up from the broadcast from infowars.com, the show headline for the show today.
[14:40.000 --> 14:53.000]  And if you pull it up on infowars.com, you just go to infowars.com and it says global exclusive. General Millie was part of a larger who operation being prepared by the deep state against Trump.
[14:53.000 --> 15:06.000]  Nancy Pelosi has confirmed that top Democrats working with traders in the Pentagon had prepared a plan to remove Trump from office if he didn't step down.
[15:06.000 --> 15:25.000]  Millie was developing the fake pretext with the false story that Trump was preparing to attack China with no evidence of that was to the contrary to operate the cover of the coup they were setting up.
[15:25.000 --> 15:36.000]  Is it that a big deal? And did you know yesterday when I saw this break towards the end of the show, I went, wait a minute, I remember Pelosi talking about, don't worry, the nukes are safe. I talked to Millie on TV on January 8th.
[15:36.000 --> 15:46.000]  I'm sure his hell was in CNN. And then now the media is like, oh, it's true. He's a hero. They made that all up that Trump was about to launch nuclear war with no evidence.
[15:46.000 --> 15:52.000]  So in case they had to go take him out, that was going to be their cover that they saved the world when they're the ones endangering the whole world.
[15:52.000 --> 15:58.000]  They're the ones that are treasonous maggots. They're all a bunch of pedophiles. I mean, that's, give me a break.
[15:58.000 --> 16:08.000]  If you're concerned about the power grid and want to generate your own supply of off-grid electricity, this will be the most important message you'll hear this year. Here's why.
[16:08.000 --> 16:17.000]  We now have a small number of solar generators back in stock. These emergency backup systems provide life-saving backup power when you need it most.
[16:17.000 --> 16:26.000]  And unlike gas generators, solar generators run quietly, emit no dangerous fumes, and produce an endless supply of free electricity from the sun.
[16:26.000 --> 16:35.000]  Whether it's wildfires, dangerous weather, power grid issues, or just getting off the grid, you'll never have to suffer through painful power outages again.
[16:35.000 --> 16:47.000]  Even better, all this week, radio listeners get over $700 in free off-the-grid bonuses too. Go to mysolarbackup.com to learn more and check availability. That's mysolarbackup.com.
[16:47.000 --> 17:08.000]  Look for the free report, Crisis Cooling, how to make absolutely sure your meat, milk, and medicines stay safe and cool in any power outage. Yours free at mysolarbackup.com.
