[00:00:07.176 --> 00:00:09.377]  It's Monday, November 9th.
[00:00:09.377 --> 00:00:10.357]  The year is 2020.
[00:00:10.357 --> 00:00:12.338]  I am your host, Alex Jones.
[00:00:12.338 --> 00:00:20.101]  And I have the exact globalist battle plan to throw Trump out of office and overthrow the Republic and put us on permanent lockdown.
[00:00:20.101 --> 00:00:22.962]  I also know how to stop them.
[00:00:22.962 --> 00:00:24.783]  And we've proven that we know what we're talking about here.
[00:00:24.783 --> 00:00:27.944]  I'm going to lay it all out at the start of the next segment.
[00:00:27.944 --> 00:00:32.186]  What I need you to do is to take action now and spread the word about this broadcast.
[00:00:33.643 --> 00:00:46.590]  The fourth estate really did a number on this country, churning out useful idiots with a steady stream of brainwashing, covering up the most heinous act of massive election fraud ever waged on the United States.
[00:00:46.590 --> 00:00:55.154]  I've been thinking about how difficult this year has been for so many Americans, and it hasn't been felt evenly in this country.
[00:00:55.154 --> 00:01:02.598]  There are millions of Americans who were disproportionately hurt by this president's failure to deal with
[00:01:03.358 --> 00:01:04.919]  This coronavirus crisis.
[00:01:04.919 --> 00:01:07.361]  They were devastated economically.
[00:01:07.361 --> 00:01:14.945]  They were dying at disproportionate rates, getting disease and sickness at disproportionate rates.
[00:01:14.945 --> 00:01:18.988]  And I do think that they voted in their interest.
[00:01:18.988 --> 00:01:20.809]  They voted for their lives.
[00:01:21.109 --> 00:01:45.299]  Ricari, as I was watching earlier, listening to the President of the United States talking about these cities that are, that have big black populations, calling them fraudulent and the process fraudulent and that they're trying to steal it from them, I thought it was an insult to the people whose ancestors, even many of them died for the right to vote just because they're showing up to the polls does not make it fraudulent.
[00:01:45.299 --> 00:01:46.179]  That was an insult to me.
[00:01:46.690 --> 00:01:51.194]  I do think at the same time we should all recognize that there is election denialism going on.
[00:01:51.194 --> 00:01:55.638]  There are crazy conspiracy theories out there being read by millions of people.
[00:01:55.638 --> 00:01:59.662]  Tens of millions of people are seeing this stuff on Fox News about voter fraud.
[00:01:59.662 --> 00:02:00.943]  And it is real.
[00:02:00.943 --> 00:02:02.765]  And election denialism is real.
[00:02:02.765 --> 00:02:03.866]  And it has to be called out.
[00:02:04.406 --> 00:02:06.628]  Although I understand why the Biden campaign is trying to move past it.
[00:02:34.606 --> 00:02:41.852]  Regardless of the evidence, the sycophantic morons were overjoyed with stupidity to call the election for Joe Biden.
[00:02:41.852 --> 00:02:45.255]  It's also just a lesson for people out there watching.
[00:02:45.255 --> 00:02:45.976]  Don't give up.
[00:02:45.976 --> 00:02:47.778]  Don't give up if you believe in yourself.
[00:02:47.778 --> 00:02:53.082]  You can actually achieve what you want to achieve, despite all odds.
[00:02:53.082 --> 00:02:54.103]  It's an incredible moment.
[00:02:54.103 --> 00:03:00.829]  His path to victory has been long, arduous, and painful, and decades long, by the way.
[00:03:01.309 --> 00:03:18.044]  I would like to note that if they are confused by the honking going on behind you, that is a mark of the new COVID era, where Joe Biden would have drive-in rallies and instead of applauding and cheering, people would honk.
[00:03:18.772 --> 00:03:19.312]  Right.
[00:03:19.312 --> 00:03:22.033]  And they just can't contain themselves.
[00:03:22.033 --> 00:03:27.034]  On one hand, self-righteously condemning Trump for his tweets and bully pulpit.
[00:03:27.034 --> 00:03:35.397]  Philadelphia, a city that Donald Trump has been attacking unfairly for a long time.
[00:03:35.397 --> 00:03:41.359]  He even got into a fight with the Philadelphia Eagles in 2018 after the Eagles won the Super Bowl.
[00:03:41.359 --> 00:03:45.840]  And on the other, bullying Trump and his supporters with insults and threats.
[00:03:46.400 --> 00:03:48.862]  A concession is not necessary under the U.S.
[00:03:48.862 --> 00:03:49.242]  Constitution.
[00:03:49.242 --> 00:03:50.644]  That's what I mean, it doesn't make it any less real.
[00:03:50.644 --> 00:03:52.305]  It's not necessary.
[00:03:52.305 --> 00:04:06.957]  Whether or not Donald Trump acts like an adult, if Joe Biden becomes the next president, Joe Biden will become the next president and Donald Trump will be, if it comes down to it, physically escorted from the building.
[00:04:06.957 --> 00:04:14.643]  While Minority Senate Leader Chuck Schumer already had his claws out after the announcement to tear America to shreds.
[00:04:15.728 --> 00:04:24.335]  Now we take Georgia, and then we change the world!
[00:04:24.335 --> 00:04:28.178]  Now we take Georgia, and then we change America!
[00:04:28.178 --> 00:04:33.522]  Will these mindless sycophants still be gloating if the election is possibly turned over?
[00:04:33.522 --> 00:04:44.331]  And furthermore, if Joe Biden gets away with his deception, will they still support Joe Biden after he turns the country over to the globalist hellscape on the horizon?
[00:04:44.331 --> 00:04:45.492]  John Bowne reporting.
[00:04:58.366 --> 00:04:59.406]  DNA Force Plus.
[00:04:59.406 --> 00:05:03.688]  If you did one thing for your immune system, it would be get all the essential things.
[00:05:03.688 --> 00:05:06.030]  And that's the clean iodine, X2 or X3.
[00:05:06.030 --> 00:05:07.650]  That's the biotrichoselenium.
[00:05:07.650 --> 00:05:09.171]  That is the vitamin D3.
[00:05:09.171 --> 00:05:11.032]  That is the C. That is the zinc.
[00:05:11.032 --> 00:05:12.673]  There's 13 vitamins and minerals that are essential.
[00:05:12.673 --> 00:05:13.273]  Without them, you die.
[00:05:13.273 --> 00:05:14.734]  And studies show you really need the other ones, too.
[00:05:15.034 --> 00:05:16.335]  But DNA Force goes beyond that.
[00:05:16.335 --> 00:05:27.882]  It helps get all that in the cells and out the cells with PQQ and CoQ10 of the highest quality sources with other ingredients that clean out the cells, that unclog them so all that stuff can get in.
[00:05:27.882 --> 00:05:28.943]  Viruses don't get in.
[00:05:28.943 --> 00:05:29.983]  The good stuff gets in.
[00:05:29.983 --> 00:05:34.006]  As the NIH website says, if you have all the proper things, they can't replicate like they could.
[00:05:34.306 --> 00:05:35.667]  I do this because it's essential.
[00:05:35.667 --> 00:05:36.727]  Like oxygen, like water.
[00:05:36.727 --> 00:05:38.869]  DNA Force sold out for months.
[00:05:38.869 --> 00:05:40.029]  50% off out of the gates.
[00:05:40.029 --> 00:05:41.070]  Triple Patriot Points.
[00:05:41.070 --> 00:05:41.930]  Free shipping.
[00:05:41.930 --> 00:05:43.351]  Infowarsstore.com.
[00:05:43.351 --> 00:05:44.832]  DNA Force Election Special.
[00:05:44.832 --> 00:05:45.792]  That's going to have to end in a week.
[00:05:45.792 --> 00:05:48.654]  We've got a limited supply and it was very hard to get the PQQ this time.
[00:05:48.654 --> 00:05:50.155]  A lot of our stuff can't get anymore.
[00:05:50.155 --> 00:05:52.196]  A lot of our products because the supply chain's broken down.
[00:05:52.196 --> 00:05:53.256]  That's part of the Global's plan.
[00:05:53.256 --> 00:05:55.097]  Infowarsstore.com or 888-253-3139.
[00:05:55.097 --> 00:05:56.318]  I want to thank you all for tuning in.
[00:06:02.015 --> 00:06:03.718]  Big Brother.
[00:06:03.718 --> 00:06:06.041]  Mainstream media.
[00:06:06.041 --> 00:06:07.844]  Government cover-ups.
[00:06:07.844 --> 00:06:09.907]  You want to stop tyranny?
[00:06:09.907 --> 00:06:12.070]  Well, so does he.
[00:06:12.070 --> 00:06:16.637]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:19.403 --> 00:06:22.724]  So the top general, the chairman of their Joint Chiefs of Staff came out over the weekend.
[00:06:22.724 --> 00:06:38.649]  He said the COVID-19 lockdown has already starved millions to death and it's going to trigger a new world war because the third world is totally collapsing and giant conflicts have exploded everywhere and the numbers of deaths from this is hundreds of times what COVID is already.
[00:06:38.649 --> 00:06:39.990]  We'll be covering that coming up.
[00:06:39.990 --> 00:06:48.773]  The UN came out a month ago and said there shouldn't be lockdown twos because it's going to cause massive starvation of hundreds of millions of people that are already on the edge of death.
[00:06:51.072 --> 00:06:51.672]  And what happened?
[00:06:51.672 --> 00:07:06.636]  They're expanding the lockdowns from Australia to the United Kingdom and Europe and now Biden is set to announce his own lockdown in the next 48 hours and demand Trump implement it or Trump's quote behind new COVID deaths.
[00:07:06.636 --> 00:07:10.797]  I'm going to explain the psychological warfare system and how to stop them.
[00:07:10.797 --> 00:07:19.800]  What I'm going to lay out here today is the heart and the key and the center to everything.
