[00:00.000 --> 00:16.520]  He aligns himself with the truth and it's time for you to choose a side you're listening
[00:16.520 --> 00:45.320]  to Alex Jones.
[00:45.320 --> 00:51.160]  The media and Clinton campaign cover up of sick Hillary's medical emergency has kicked
[00:51.160 --> 00:52.520]  into high gear.
[00:52.520 --> 00:56.880]  Look at this footage of Hillary leaving an event in New York, leaning against a pillar
[00:56.880 --> 00:58.920]  her aides hold her up.
[00:58.920 --> 01:02.560]  Again, they tried to keep the press away but someone got it on tape.
[01:02.560 --> 01:07.160]  She's falling over, she's swaying, more people come in try to hold her up.
[01:07.160 --> 01:11.760]  She clearly falls to the ground as they help her into the van.
[01:11.760 --> 01:13.120]  Here's a clip from another angle.
[01:13.120 --> 01:20.040]  Again, you see Hillary leaning against a pillar, she's swaying, she can barely stand up, falls
[01:20.040 --> 01:26.160]  off the curb, more people have to come in to help her, there she falls down before she's
[01:26.160 --> 01:27.840]  helped into the van.
[01:27.840 --> 01:32.280]  And here's yet more close up footage of the incident.
[01:32.280 --> 01:35.000]  Does this look presidential to you?
[01:35.000 --> 01:40.600]  And almost immediately the Clinton campaign and the media swung into high gear with the
[01:40.600 --> 01:42.000]  cover up.
[01:42.000 --> 01:48.440]  This was the headline from CNN, Hillary Clinton not feeling well, leaves 9-11 event early.
[01:48.440 --> 01:52.480]  And they just regurgitate what the Clinton campaign told them.
[01:52.480 --> 01:58.080]  During the ceremony she felt overheated, so departed to go to her daughter's apartment
[01:58.080 --> 02:00.080]  and is feeling much better.
[02:00.080 --> 02:03.400]  They report secret service agents helped her into the van.
[02:03.400 --> 02:08.960]  They don't even mention the fact that as you can clearly see in the video, and we thankfully
[02:08.960 --> 02:14.240]  got this from citizens there on the ground, they kept the mainstream media away from the
[02:14.240 --> 02:15.240]  incident.
[02:15.240 --> 02:20.800]  You can clearly see from the video, she's swaying, she's leaning against a pillar, even
[02:20.800 --> 02:27.160]  though she's being held up by two or three people, she still falls over, yet nowhere
[02:27.160 --> 02:31.400]  is that information contained in this CNN report.
[02:31.400 --> 02:35.440]  Then again, they just blithely quote Clinton as saying she was feeling great.
[02:35.440 --> 02:39.760]  Yeah, doesn't look like she's feeling very good to me.
[02:39.760 --> 02:46.800]  They then go on to quote Michael Morel, former CIA deputy director who told CNN's Jake Tapper
[02:46.800 --> 02:50.520]  that Clinton looked fantastic and had high energy.
[02:50.520 --> 02:54.960]  Really, does this look like high energy to you?
[02:54.960 --> 03:02.320]  This is the BS where being fed by CNN, by the mainstream media in the aftermath of what
[03:02.320 --> 03:07.480]  is clearly a medical emergency, a fainting event.
[03:07.480 --> 03:11.240]  And they say, oh, she just felt a little unwell.
