[00:00.000 --> 00:01.000]  Come on, man.
[00:01.000 --> 00:03.760]  And with the local D.B.C. news,
[00:03.760 --> 00:06.400]  Evan Kujen with a chance to come back.
[00:06.400 --> 00:09.400]  For a solo performance, but tonight.
[00:09.400 --> 00:11.400]  Don't call it a comeback.
[00:11.400 --> 00:12.600]  I've been here for years,
[00:12.600 --> 00:13.600]  I'm rocking my peers,
[00:13.600 --> 00:15.000]  What's up with the fear?
[00:15.000 --> 00:18.000]  Making the tears rain down like a monsoon.
[00:18.000 --> 00:21.000]  Listen to the bass go boom, explosion.
[00:21.000 --> 00:23.600]  Overpowering, over the competition,
[00:23.600 --> 00:25.600]  I'm touring wreckage shop.
[00:25.600 --> 00:27.000]  When I drop these lyrics,
[00:27.000 --> 00:28.000]  that'll make you warm.
[00:28.000 --> 00:30.000]  Ladies and gentlemen, I'm here because
[00:30.000 --> 00:32.000]  it's time to take on the globalist.
[00:32.000 --> 00:35.000]  It's time to politically knock them out.
[00:35.000 --> 00:38.000]  Because, like LLKJ said,
[00:38.000 --> 00:40.000]  Mama said, knock you out.
[00:42.000 --> 00:44.000]  So I'm going to knock you out.
[00:44.000 --> 00:46.000]  I'm doing the best job I can, folks,
[00:46.000 --> 00:47.000]  to fight these globalists.
[00:47.000 --> 00:48.000]  And I come in there every day,
[00:48.000 --> 00:50.000]  and I look at all the things they're doing.
[00:50.000 --> 00:52.000]  They admit they're doing.
[00:52.000 --> 00:55.000]  And I just want to raise the alarm
[00:55.000 --> 00:57.000]  and get people to not put up with it.
[00:57.000 --> 00:58.000]  They want us to submit.
[00:58.000 --> 00:59.000]  They want to break our will.
[00:59.000 --> 01:01.000]  I want us to resist and break through.
[01:01.000 --> 01:03.000]  Because if you submit to tyranny,
[01:03.000 --> 01:04.000]  you become weak.
[01:04.000 --> 01:06.000]  If you fight tyranny, you become strong.
[01:06.000 --> 01:07.000]  That's just a fact.
[01:07.000 --> 01:11.000]  That's why I coined the term resistance is victory.
[01:11.000 --> 01:13.000]  Because you resist and you know you're resisting,
[01:13.000 --> 01:15.000]  and you've got right on your side.
[01:15.000 --> 01:18.000]  Long term, the idea is invincible.
[01:18.000 --> 01:22.000]  What Vyfer Vendetta quote from the writers is absolutely true.
[01:22.000 --> 01:26.000]  Ideas are bulletproof.
[01:26.000 --> 01:29.000]  I asked Darren McBreen, who's a great researcher,
[01:29.000 --> 01:31.000]  a great newsman yesterday.
[01:31.000 --> 01:33.000]  I said, hey, get me some of the clips
[01:33.000 --> 01:36.000]  of people celebrating killing their babies in abortion.
[01:36.000 --> 01:39.000]  And he came in this morning, he said, hey,
[01:39.000 --> 01:42.000]  I know you said you only want this five, six minutes long.
[01:42.000 --> 01:45.000]  But he said, there's hundreds of these.
[01:45.000 --> 01:47.000]  And I said, well, what are you talking about?
[01:47.000 --> 01:49.000]  And I got here a little bit early this morning.
[01:49.000 --> 01:50.000]  So we sat there for a while,
[01:50.000 --> 01:55.000]  and he played me a bunch of clips I'd never seen before.
[01:55.000 --> 01:58.000]  And it just convicted my heart to come on air and say,
[01:58.000 --> 01:59.000]  that's why I'm so angry.
[01:59.000 --> 02:00.000]  That's why I'm so aggressive.
[02:00.000 --> 02:01.000]  That's why I don't want to lose.
[02:01.000 --> 02:05.000]  Because these people get off on the power trip
[02:05.000 --> 02:09.000]  of rubbing out a little baby and its whole potential
[02:09.000 --> 02:10.000]  and celebrating that.
[02:10.000 --> 02:12.000]  And there's nothing more satanic.
