[00:00:14.235 --> 00:00:15.837]  ReadyReserveFoods.com.
[00:00:15.837 --> 00:00:16.799]  Factory Direct.
[00:00:16.799 --> 00:00:19.042]  Wholesale pricing from Ready Reserve Foods.
[00:00:19.042 --> 00:00:19.823]  Call us at 1-800-453-2202.
[00:00:36.600 --> 00:00:39.601]  IRN USA Radio News, I'm Jody Jordan.
[00:00:39.601 --> 00:00:44.302]  Defense Secretary Robert Gates is warning North Korea not to do anything that threatens the U.S.
[00:00:44.302 --> 00:00:45.702]  or its allies.
[00:00:45.702 --> 00:00:50.724]  He says he doesn't consider the North's nuclear program to be a direct military threat to the U.S.
[00:00:50.724 --> 00:00:51.844]  so far.
[00:00:51.844 --> 00:00:56.965]  Ambassador Wendy Sherman was a former Clinton administration advisor on North Korean policy.
[00:00:56.965 --> 00:01:02.687]  This particular moment is fundamentally different than other moments with North Korea.
[00:01:02.887 --> 00:01:04.988]  North Korea has always been belligerent.
[00:01:04.988 --> 00:01:07.630]  Their rhetoric is always bellicose.
[00:01:07.630 --> 00:01:13.993]  They really have only one reason for being in terms of the leadership, and that is the survival of the regime.
[00:01:13.993 --> 00:01:22.778]  And Pakistan's official news agency says one of the campaign offices of President Mahmoud Ahmadinejad was attacked by gunmen who wounded three people.
[00:01:22.778 --> 00:01:29.342]  The attack happened a day after a bombing in a Shiite mosque in the same city that killed 25 people.
[00:01:29.342 --> 00:01:31.623]  This is IRN USA Radio News.
[00:01:33.007 --> 00:01:37.488]  If you've been watching the news lately, you've been hearing a lot about the obstacles in our economy.
[00:01:37.488 --> 00:01:46.791]  If you'll listen for just a few seconds, I'll share the opportunities that this economic downturn is offering to those with the energy, courage, and know-how to take advantage of it.
[00:01:46.791 --> 00:01:48.772]  Hi, how in the world are you anyway?
[00:01:48.772 --> 00:01:51.973]  I'm Andy Willoughby with the Three Step Plan Home Business System.
[00:01:52.413 --> 00:01:57.194]  The three-step plan helps people feel better, look better, and make more money.
[00:01:57.194 --> 00:02:01.815]  History has shown that our product line actually grows during an economic slowdown.
[00:02:01.815 --> 00:02:09.636]  Our newest product category actually grew 21% during the last 12 months, while most business categories were dropping like a rock.
[00:02:09.636 --> 00:02:18.778]  With the three-step plan, you can help yourself and others develop another stream of income to survive and prosper in today's uncertain business climate.
[00:02:18.778 --> 00:02:20.318]  Don't wait for things to get worse.
[00:02:20.717 --> 00:02:22.939]  Check out the three-step plan today.
[00:02:22.939 --> 00:02:30.245]  Go to 3stepplan.com or call 800-480-2102.
[00:02:30.245 --> 00:02:30.825]  800-480-2102.
[00:02:30.825 --> 00:02:38.892]  A judge's decision that could have Chrysler out of bankruptcy within weeks is now expected Monday.
[00:02:38.892 --> 00:02:43.515]  The judge says that's when he'll rule whether Fiat can buy much of the company.
[00:02:43.515 --> 00:02:49.160]  Chrysler fears some state pension and construction funds would appeal the ruling, jeopardizing the deal.
[00:02:49.784 --> 00:02:56.605]  Chrysler dealer owner Colleen McDonald says her objection is not just about the carmaker's treatment of her dealerships.
[00:02:56.605 --> 00:03:01.407]  If this can happen to me, a profitable business owner for 30 years, it can happen to anyone.
[00:03:01.407 --> 00:03:07.488]  And a standing ovation for comedian Jay Leno as he began his final Tonight Show after 17 years.
[00:03:07.488 --> 00:03:10.769]  He says he wanted to thank all the people who made it possible.
[00:03:10.769 --> 00:03:14.189]  Michael Jackson, Monica Lewinsky, and Bill Clinton.
[00:03:14.189 --> 00:03:17.590]  Joliet Harger was lucky enough to get a ticket to the final taping.
[00:03:19.531 --> 00:03:22.875]  Conan O'Brien takes over the Tonight Show on Monday.
[00:03:22.875 --> 00:03:26.660]  Leno's moving to NBC's primetime schedule this fall.
[00:03:26.660 --> 00:03:31.566]  For the latest news and analysis, log on to IRNUSANews.com.
[00:03:32.995 --> 00:03:36.736]  You could be financially independent and never have to worry about money again.
[00:03:36.736 --> 00:03:38.917]  Hi, how in the world are you anyway?
[00:03:38.917 --> 00:03:42.018]  This is Andy Willoughby speaking for The Three Step Plan.
[00:03:42.018 --> 00:03:47.020]  The Three Step Plan is a business system designed to help families start their own home-based business.
[00:03:47.020 --> 00:03:51.942]  If you like working with people with similar family values, you'll love The Three Step Plan.
[00:03:51.942 --> 00:03:54.363]  Go to 3stepplan.com or call 800-879-5819.
[00:03:54.363 --> 00:03:54.403]  800-879-5819.
[00:04:03.413 --> 00:04:11.521]  Recording legend Phil Spector has been sentenced in Los Angeles to 19 years to life for the murder of actress Lena Clarkson.
[00:04:11.521 --> 00:04:13.143]  It happened more than six years ago.
[00:04:13.143 --> 00:04:20.150]  A prosecutor says the case shows that neither fame nor wealth will protect someone from prosecution.
[00:04:20.150 --> 00:04:21.091]  Here's Linda Deutsch.
[00:04:21.838 --> 00:04:23.860]  The inspector showed absolutely no reaction.
[00:04:23.860 --> 00:04:26.142]  He sat really stone still.
[00:04:26.142 --> 00:04:29.384]  He knew it was coming, so it was not a huge surprise.
[00:04:29.384 --> 00:04:32.967]  A corruption investigation is heating up on Capitol Hill.
[00:04:32.967 --> 00:04:34.188]  Here's Ed Donohue.
[00:04:34.188 --> 00:04:42.134]  Indiana Congressman Pete Visclosky says a grand jury wants documents from his office as well as from some employees and his campaign committees.
[00:04:42.134 --> 00:04:45.457]  The focus is on the now defunct lobbying group PMA Group.
[00:04:45.877 --> 00:04:54.579]  It specialized in getting federal contracts for defense companies from Visclosky and others in a house subcommittee chaired by Pennsylvania's John Murtha.
[00:04:54.579 --> 00:05:04.001]  Record show Visclosky collected more than a million dollars in campaign contributions from PMA's lobbyist and the companies the firm has represented since 1989.
[00:05:04.001 --> 00:05:06.122]  Murtha collected more than two million.
[00:05:06.122 --> 00:05:06.982]  Ed Donahue, Washington.
[00:05:07.462 --> 00:05:16.407]  And more on Jay Leno's farewell, where Conan O'Brien says he's consistently being measured up against Jay Leno, and Leno tries to encourage him.
[00:05:16.407 --> 00:05:20.589]  All I keep hearing over and over again, which is a compliment to this man, big shoes to fill!
[00:05:20.589 --> 00:05:21.349]  You got big shoes to fill!
[00:05:21.349 --> 00:05:21.889]  Big shoes over and over!
[00:05:21.889 --> 00:05:26.131]  But you have big shoes, look!
[00:05:26.131 --> 00:05:27.312]  You have big shoes!
[00:05:27.312 --> 00:05:28.492]  Those are big shoes!
[00:05:28.492 --> 00:05:31.494]  I'm Jody Jordan for IRN USA Radio News.
[00:05:33.028 --> 00:05:40.371]  Due to recent events related to the H1N1 virus, the Center for Disease Control has issued a public health emergency across the United States.
[00:05:40.371 --> 00:05:43.413]  What can you do to prepare yourself for potential airborne threats?
[00:05:43.413 --> 00:05:49.095]  Using patented technology developed for NASA, ZeroFlu.com offers you the very best in air purifiers.
[00:05:49.275 --> 00:05:51.557]  With no filters to replace ever, you save money!
[00:06:19.215 --> 00:06:21.537]  Prepare yourself for a talk radio experience.
[00:06:42.592 --> 00:06:45.373]  He stands for truth.
[00:06:45.373 --> 00:06:48.574]  He stands for justice.
[00:06:48.574 --> 00:06:51.035]  He stands for what's right.
[00:06:51.035 --> 00:06:54.336]  This is the Alex Jones Show.
[00:06:54.336 --> 00:06:57.157]  Call Alex now, toll free at 877-590-5525.
[00:07:02.699 --> 00:07:08.443]  Now live from Austin, Texas, here's Alex Jones.
[00:07:08.443 --> 00:07:10.684]  Alright folks, we are live.
[00:07:10.684 --> 00:07:13.886]  I'm not Alex Jones, I'm Jason Burmas sitting in.
[00:07:13.886 --> 00:07:20.150]  And folks, if you missed the news this week, there's so much to discuss over at InfoWars.com and PrisonPlanet.tv right now.
[00:07:20.150 --> 00:07:26.353]  We have made a big issue out of this EMT assault by a police officer.
