[00:00.000 --> 00:02.000]  We've got it
[00:07.440 --> 00:09.440]  Waging war on corruption
[00:11.480 --> 00:17.520]  It's Alex Jones coming to you live from the front lines of the info war
[00:17.520 --> 00:19.520]  Oh
[00:26.960 --> 00:30.800]  It is Sunday the 25th day of November
[00:32.360 --> 00:35.200]  2012 I am your host Alex Jones
[00:36.400 --> 00:42.680]  And we have got an incredibly important transmission lined up for you yet again today on
[00:43.680 --> 00:45.680]  a host of
[00:45.680 --> 00:48.520]  Of issues across the board here
[00:49.200 --> 00:51.200]  we're going to be getting into
[00:51.680 --> 00:53.680]  The cyber security
[00:53.840 --> 00:59.960]  Directive that Obama signed a week and a half ago, which Congress I was reading an article last night has
[01:00.760 --> 01:02.760]  Complained they're not allowed to see
[01:03.760 --> 01:09.160]  How is it that Congress that's co-equal to the executive in the judicial?
[01:09.160 --> 01:11.160]  How
[01:13.320 --> 01:17.920]  Can the legislative that's co-equal to the executive and the judicial
[01:18.360 --> 01:25.960]  How can it not be privy to the president's secret order see Congress wouldn't give Obama what he wanted on cyber security?
[01:26.360 --> 01:30.120]  In hands control the internet over to globalist over the UN and others and
[01:31.360 --> 01:36.760]  So it was really hitting me last night that he said he'd do a executive order to just do it
[01:36.760 --> 01:43.080]  But still that executive order would be public. So he just said I just signed another order and by the way it's secret and
[01:44.160 --> 01:46.920]  Whereas the internet's a double-edged sword you can use it
[01:47.720 --> 01:51.560]  To reach incredible amounts of people the system knows how to game it
[01:52.200 --> 01:54.200]  Just like a black box voting machine
[01:54.560 --> 01:56.560]  Here's an example
[01:57.040 --> 02:00.600]  20 plus videos just disappeared off our YouTube channel
[02:02.200 --> 02:04.920]  And I called and talked to the people involved with it
[02:04.920 --> 02:09.920]  They didn't delete 20 plus videos, but it says deleted by user
[02:11.000 --> 02:13.280]  And that's just an example of when you're on another
[02:13.960 --> 02:20.240]  Platform where you think it's your website. You think it's your content your ideas your video your art
[02:20.720 --> 02:24.520]  But they can just disappear it whenever they want
[02:25.320 --> 02:31.440]  One time they deleted change the channel. He was out of town visiting family didn't even have his computer with him
[02:31.440 --> 02:35.080]  He was at a picnic. I called his cell phone number
[02:36.720 --> 02:40.400]  Was named Ken Webb nice fella about a year and a half ago
[02:40.400 --> 02:43.000]  I've only had like seven million views on that particular video now
[02:43.000 --> 02:47.520]  It's like 12 million on that particular video plus there's a bunch of different versions of it
[02:47.520 --> 02:50.800]  But he uploads a lot of our documentaries so I and I've had him on as a guest
[02:50.800 --> 02:57.920]  So I found his number in my computer called him up and I said hey Ken. I said
[02:57.920 --> 03:01.600]  Did you delete that and he said no, I'm at a barbecue with family. I
[03:02.840 --> 03:05.240]  Said well, it says you deleted it deleted by user
[03:06.240 --> 03:09.840]  And by the way when a user deletes it you can't ever put it back up
[03:10.000 --> 03:17.200]  We raised a stink and Google admitted somebody hacked in and deleted it so they reinstated it
[03:17.840 --> 03:20.880]  Something they've said before and ever since is impossible
[03:20.880 --> 03:27.440]  So I don't know what's going on and we've got four or five big channels
[03:27.600 --> 03:35.160]  We've got over four hundred something million views and YouTube's an important outreach. It's maybe 15% of our outreach
[03:36.360 --> 03:38.360]  But it's a very wide diverse audience
[03:40.480 --> 03:44.000]  Our biggest audience is on terrestrial AM and FM radio
[03:44.000 --> 03:51.760]  That reaches the lion's share of the three million a day, but it's mainly a conservative libertarian type audience
[03:51.760 --> 03:55.680]  And it's great to talk to the choir, but it's important to reach out
[03:57.200 --> 04:02.200]  Places like YouTube. That's why it's important to buy the DVDs at
[04:03.240 --> 04:05.640]  info wars store.com and
[04:06.400 --> 04:11.520]  Have a library of them and also give them to people because then you have a hard copy
[04:11.520 --> 04:15.880]  Or if you're going to go watch the videos at
[04:16.520 --> 04:21.920]  Prison Planet TV our site so we have a backup or on YouTube download them
[04:23.200 --> 04:27.880]  Save them, you know, I've talked a lot about web 2.0. That's why we started
[04:30.240 --> 04:33.200]  The magazine because the globalists are moving to censor the web
[04:33.360 --> 04:38.320]  So we call it print 2.0 to have a hard copy of each month's key articles
[04:38.320 --> 04:42.080]  60 pages of it in info wars magazine, but
[04:43.200 --> 04:48.600]  Just interesting a little tidbit here at the start of the broadcast that that they can delete your videos
[04:51.640 --> 04:53.640]  And then
[04:54.000 --> 04:56.000]  It says you did it
[04:56.200 --> 05:02.640]  All right, we'll be right back stay with us big show sick of the globalist you Genesis control freaks adding poison to your water
[05:02.640 --> 05:07.840]  And laughing as you get sick and die start purifying your water with propure my friends
[05:07.840 --> 05:13.800]  I've done a lot of research and the best gravity filter out there bar none is propure and it's available
[05:14.040 --> 05:21.200]  Discounted at info wars.com its filters are silver and pregnant to prevent bacterial growth. There's no priming required
