[00:00.000 --> 00:07.000]  There is a war. It's happening now. It will decide the fate of humanity.
[00:30.000 --> 00:37.000]  The time to choose sides has come. We are the resistance. We are the Info War.
[00:43.000 --> 00:46.000]  Ladies and gentlemen, it's 4-4.
[00:46.000 --> 00:56.000]  Already, the fourth day of April 2017.
[01:01.000 --> 01:10.000]  The plot is thickening and President Donald John Trump is striking back against the globalist. It is a very, very exciting time to be alive.
[01:10.000 --> 01:25.000]  Isn't it funny how fate works? Mike Cernovich, who is a lawyer and filmmaker and a activist the last few years really exploding onto the scene with his dogged determination to take on tyranny,
[01:26.000 --> 01:34.000]  was profiled a week and a half ago in 60 minutes as the ultimate fake news prepared because he reported Hillary Clinton fell down and was ill.
[01:34.000 --> 01:41.000]  And then they didn't show the full video of her falling down, only showed her wobbling. Wow, very impressive 60 minutes.
[01:44.000 --> 01:53.000]  Danger and play. It's his website. Guess what happens then? Yesterday, we covered it some, but I didn't realize how big it would be,
[01:54.000 --> 02:00.000]  how the media would panic and go into damage mode because we've known Susan Rice was involved. That's who's over it.
[02:00.000 --> 02:09.000]  They bragged in the New York Times on March 1st that Obama was saving all the evidence and ferreting it away illegally.
[02:10.000 --> 02:16.000]  But see, there is no evidence. They just keep saying, we have the evidence and then Trump says, oh, you have evidence and you've illegally leaked it.
[02:17.000 --> 02:21.000]  Let us see the evidence. The president has access to everything. He knows there is no evidence.
[02:21.000 --> 02:36.000]  So then folks inside Bloomberg know that this is all being sat on for months and who exactly leaked it and then who pervaded.
[02:37.000 --> 02:44.000]  We have all the names and then the purveyor of it is so arrogant. She goes on TV last week and admits that they were spying.
[02:44.000 --> 02:53.000]  And it turns out a month before that, she said they were spying on him. It's incredible.
[02:54.000 --> 03:01.000]  Evelyn Farkas, head of the State Department and Pentagon's Russia operations.
[03:02.000 --> 03:07.000]  So they're admitting they're doing it in the newspapers. Then they say they weren't.
[03:07.000 --> 03:14.000]  And then Bloomberg is sitting on top of the story and Cernovich hasn't told me this, but I know some of the same people.
[03:15.000 --> 03:21.000]  That gets leaked to him. They have the full story waiting, laying there on their desk.
[03:22.000 --> 03:29.000]  And because the information gets leaked, boom, it comes out that yes, Bloomberg's forced to report.
[03:29.000 --> 03:37.000]  We're talking an hour after Cernovich put it out. They're forced to admit that indeed she gave the orders
[03:38.000 --> 03:42.000]  and that they had detailed breakdowns on everything that the entire Trump operation was doing.
[03:43.000 --> 03:47.000]  And you know they were doing it during the campaign too, ladies and gentlemen. Read all the WikiLeaks.
[03:48.000 --> 03:52.000]  They've got everybody under surveillance. I've come out in federal wiretaps.
[03:52.000 --> 04:00.000]  So has Roger Stone. I had to get rid of so many phones. They get on my phone, start calling people, start going to websites,
[04:01.000 --> 04:05.000]  start doing things in live times. Sometimes I'll wake up, the phone's turned on and it will be going places.
[04:06.000 --> 04:08.000]  People say, well, why do you have one of these horrible things? I think Matt Drudge is right.
[04:09.000 --> 04:12.000]  I should just get rid of it, just go back to a flip phone. Problem is I can do so much with it.
[04:13.000 --> 04:18.000]  If it wasn't filled with all this crap, all these Trojan horses, but here they are caught red-handed
[04:18.000 --> 04:27.000]  and then you notice the key words that are used by people like Chris Como.
[04:28.000 --> 04:33.000]  He calls it a fake scandal. Does it call it fake news? He calls it a fake scandal.
[04:34.000 --> 04:41.000]  Does it call it a hoax? A fake scandal. Oh, so this whole scandal's fake. Can't say the story's fake.
[04:41.000 --> 04:47.000]  Just the whole, it's a scandal. No, it's a scandal that you're a bunch of whores selling this country out
[04:48.000 --> 04:54.000]  and that you think we're all stupid and that you're better than us, Como, you and your bully brother.
[04:54.000 --> 05:21.000]  Well, fill your hand, you un-American piece of trash.
[05:21.000 --> 05:27.000]  Good afternoon, we got the manufactured Blackwater found secret Seychelles meeting to establish Trump-Putin back channel.
[05:28.000 --> 05:33.000]  That's right, Trump-Putin back channel could be found in thousands of articles all released within two hours of each other
[05:34.000 --> 05:41.000]  and they claim that Eric Prince of Blackwater was having secret meetings at an Indian Ocean Island with Russia to set up a secret back channel with Putin.
[05:41.000 --> 05:51.000]  The proof we do have are the NSA request logs with Susan Rice's name all over them which is asking for the unmasking of Donald Trump and his associates
[05:51.000 --> 06:11.000]  so she, Obama and others could spy on them. Rob Dew reporting for Infowars.com and Infowars Nightly News.
[06:21.000 --> 06:25.000]  Some 110 appliances at your house, like a small refrigerator so you can keep food from spoiling.
[06:26.000 --> 06:31.000]  Plus, you can take it with you to jumpstart cars, trucks, buses, 18-wheelers, heavy equipment, even airplanes.
[06:32.000 --> 06:38.000]  The system provides an endless supply of off-the-grid electricity, allowing you to create your own private power grid, literally anywhere in the world.
[06:39.000 --> 06:43.000]  Perfect for cabins, remote locations, any time you need to get off the grid for a while.
[06:43.000 --> 06:54.000]  Go to privatepowergrid.com to watch this thing in action. That's privatepowergrid.com. Even better, use coupon code private at checkout and get a second PPX Energy Unit for free.
[06:54.000 --> 07:16.000]  Check it out at privatepowergrid.com. That's privatepowergrid.com.
[07:25.000 --> 07:36.000]  Deep Cleanse doesn't hold back. Instead of buying five, six or even seven different cleansing products, we use decades old scientific research that puts together the Rolls Royce of all-in-one cleansing.
[07:37.000 --> 07:43.000]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary SpyJurex herbal processing technique.
[07:44.000 --> 07:49.000]  We use only the highest quality organic herbs backed by serious research and we still bring it to you at the best price out there.
[07:49.000 --> 07:54.000]  If you wish to find Deep Cleanse and experience the all-in-one cleansing, visit infowarslife.com.
[07:54.000 --> 08:19.000]  That's infowarslife.com or call 888-253-3139.
[08:24.000 --> 08:30.000]  The first report to say that President Kennedy has been seriously wounded by the shooting.
[08:31.000 --> 08:34.000]  It is a big idea. A neutral order.
[08:38.000 --> 08:43.000]  It was almost as if you were planned in force to get just pancakes.
[08:43.000 --> 09:01.000]  Either you were with us or you were with the terrorists.
[09:01.000 --> 09:15.000]  I also believe a lot of governments agree that the AK-47 is the one with the hands of soldiers, not the hands of criminals.
[09:16.000 --> 09:19.000]  For many of the police and guard troops, it is an uncomfortable job to do this in America.
[09:20.000 --> 09:24.000]  The city's global governance at last. Is it one world? The central bank is in charge.
[09:25.000 --> 09:27.000]  Aren't we all just living and dying for what the central banks do?
[09:27.000 --> 09:33.000]  1776 will commence again. If you're proud to take our firearms, do you understand?
[09:34.000 --> 09:39.000]  Live from the infowars.com studios, it's Alex Jones.
[09:41.000 --> 09:47.000]  I don't do like CNN, MSNBC and other globalist media outlets do.
[09:48.000 --> 09:52.000]  When Trump's in crisis and when Trump's starting to slide backwards, I'll tell you.
[09:52.000 --> 09:57.000]  That's been happening the last few weeks.
[09:58.000 --> 10:04.000]  But I can smell it and I can see it and I can taste it and I can feel it in the wind.
[10:05.000 --> 10:13.000]  I can intellectually analyze it. The whole house of cards is starting to completely tumble on the Democrats and on George Soros.
[10:13.000 --> 10:27.000]  And massive momentum has shifted against them because moles inside the major corporate media that are patriots are beginning to leak everything.
[10:28.000 --> 10:32.000]  They're beginning to record the executives telling them how to lie.
[10:32.000 --> 10:42.000]  They are beginning to find their conscience and you are now going to see floods of leaks from the corporate media combine.
[10:43.000 --> 10:45.000]  Like what you just saw with rice.
[10:47.000 --> 10:48.000]  And it's better than that.
[10:49.000 --> 10:59.000]  The entire special forces community basically, I mean we're talking 90 plus percent has decided on their own to go operational against the globalist.
[10:59.000 --> 11:02.000]  Way bigger than they did during the campaign.
[11:03.000 --> 11:12.000]  I mean hell you saw Tonto one of the most famous veterans alive say without me prompting, he's ready to go operational.
[11:13.000 --> 11:17.000]  They try to overthrow Trump. They're going to hit the streets. They're going to engage.
[11:18.000 --> 11:22.000]  There's no way the globalist can win if Trump just stays the course and they don't kill him.
[11:22.000 --> 11:31.000]  That's why they're trying to undermine him and say he's a fraud and saying he hasn't had success when he's had anything but failure.
[11:32.000 --> 11:36.000]  It's been almost total success and ridiculous in the last 74 days what he's gotten done.
[11:37.000 --> 11:39.000]  I don't have to chronicle that again here do I.
[11:40.000 --> 11:42.000]  But you need to everybody you know that's still in the dark.
[11:42.000 --> 11:59.000]  It is biblical that Mike Cernovich investigative journalist lawyer filmmaker would be profiled as the epitome of fake news when he's the epitome of cutting edge smart news.
[12:00.000 --> 12:01.000]  The guys got a great brain.
[12:02.000 --> 12:03.000]  He gets it. He sees it.
[12:04.000 --> 12:05.000]  He's a thin slicer.
[12:07.000 --> 12:08.000]  My dad calls it.
[12:08.000 --> 12:10.000]  And notice only zero hedge and info wars.
[12:11.000 --> 12:12.000]  Of course drudge link to it.
[12:13.000 --> 12:19.000]  Gave the guy any credit on the biggest story so far in this whole spy gate Russia gate garbage.
[12:21.000 --> 12:24.000]  He got the leak directly from the big outfit.
[12:25.000 --> 12:26.000]  Our intel is it's Bloomberg.
[12:27.000 --> 12:28.000]  But he wants to leave his source alone.
[12:28.000 --> 12:44.000]  Bloomberg within an hour of him publishing publishes their own thing confirming everything Cernovich said and no one on the news will even say his name one time on CNN.
[12:45.000 --> 12:46.000]  They said oh he's fake news.
[12:47.000 --> 12:54.000]  They don't attack the fact that it's a real story or CNN calls it a fake scandal.
[12:54.000 --> 12:58.000]  They don't call it a fake story. They say oh the whole the scandals fake.
[13:01.000 --> 13:06.000]  Look at the arrogance of these parasitic sacks of crap to think they're better than everybody else.
[13:07.000 --> 13:08.000]  Just look at Como and his dirtbag bully brother.
[13:09.000 --> 13:11.000]  They're gonna get put in their place real soon.
[13:12.000 --> 13:13.000]  Better believe it.
[13:14.000 --> 13:16.000]  Running their mouths constantly trying to bankrupt this country.
[13:19.000 --> 13:20.000]  Pigs.
