[00:00:04.776 --> 00:00:06.758]  Worldwide transmission.
[00:00:06.758 --> 00:00:08.440]  Gotta love it.
[00:00:08.440 --> 00:00:11.183]  Mainstream media.
[00:00:11.183 --> 00:00:13.826]  Government cover us.
[00:00:13.826 --> 00:00:15.988]  You want answers?
[00:00:15.988 --> 00:00:18.171]  Well, so does he.
[00:00:18.171 --> 00:00:20.473]  Live from Austin, Texas.
[00:00:20.473 --> 00:00:22.075]  Broadcasting worldwide.
[00:00:22.075 --> 00:00:25.018]  It's the Potbelly Telescopy, Alex Jones!
[00:00:40.456 --> 00:00:43.018]  Yeah, we're live, ladies and gentlemen.
[00:00:43.018 --> 00:00:45.420]  Live on Friday evening, taping this.
[00:00:45.420 --> 00:00:45.640]  Ha ha!
[00:00:47.128 --> 00:00:49.309]  Yeah, it's a retransmission coming up.
[00:00:49.309 --> 00:00:51.670]  This is fresh, never-before-heard info.
[00:00:51.670 --> 00:00:52.890]  Very important rebroadcast.
[00:00:52.890 --> 00:00:59.353]  Sometimes when I have a week that's so powerful, I've got to do a rebroadcast on Sunday or a clip show because it's so important.
[00:00:59.353 --> 00:01:05.435]  But I will be listening with you today through the entire two hours of Hillbilly Magic.
[00:01:05.435 --> 00:01:07.296]  Again, thank you for tuning in.
[00:01:07.296 --> 00:01:09.857]  It is June 17, 2012, Year of Our Lord.
[00:01:13.160 --> 00:01:17.722]  That makes Madeleine Marie O'Hare very angry from her Hades pit.
[00:01:17.722 --> 00:01:20.663]  And we are going to be here for the next two hours.
[00:01:20.663 --> 00:01:30.467]  Listen, I get really creeped out by stories like what's coming up after a couple segments of Lou Rockwell on Rand Paul, the New World Order, and more.
[00:01:30.467 --> 00:01:34.589]  We're going to premiere here on the radio that only played part of this Friday, ran out of time.
[00:01:36.047 --> 00:01:43.234]  Aaron Dykes and others on the street in Austin talking about the secret nuclear reactor under UT.
[00:01:43.234 --> 00:01:52.704]  Yes, I know that you can find a few news articles from the 80s and that UT quietly admits it's going on, but it might as well be a secret.
