[00:00:00.394 --> 00:00:00.857]  We've got it!
[00:00:07.455 --> 00:00:10.056]  Waging war on corruption.
[00:00:10.056 --> 00:00:17.299]  It's Alex Jones coming to you live from the front lines of the Infowar.
[00:00:17.299 --> 00:00:25.823]  Well, this is going to be a very important radio broadcast coming to you from
[00:00:36.912 --> 00:00:38.273]  Virginia.
[00:00:38.273 --> 00:00:47.121]  In the last two hours, I pulled out with my fellow info warriors out of Chantilly, a suburb of D.C., and pointed south.
[00:00:47.121 --> 00:00:55.969]  Then I will turn east, west, and then go to my beloved home state of Texas.
[00:00:55.969 --> 00:00:59.713]  Again, thank you so much for joining us today.
[00:00:59.713 --> 00:01:03.937]  Obviously, my voice is laboring a bit because I've been bullhorning
[00:01:05.302 --> 00:01:11.426]  Since last Wednesday straight through to just about two hours ago.
[00:01:11.426 --> 00:01:11.826]  What was it?
[00:01:11.826 --> 00:01:13.407]  Two hours ago, guys?
[00:01:13.407 --> 00:01:19.451]  That we, Aaron, that we got back from the protest and the globalists leaving early?
[00:01:20.379 --> 00:01:22.801]  Henry Kissinger, Bill Gates, all of them getting caught on tape.
[00:01:22.801 --> 00:01:27.964]  We have some of those photos up at InfoWars.com right now and on our Twitter at RealAlexJones.
[00:01:27.964 --> 00:01:44.053]  I should also add that before I come back from this break and get into all the big developments geopolitically, but also Bilderberg and how big a deal it is that it's been blown wide open, I will be on Coast to Coast AM for a full hour tonight in the first hour with George Norrie.
[00:01:44.053 --> 00:01:45.734]  So that's midnight central, 1am eastern, 11am
[00:01:49.286 --> 00:01:52.095]  We're 11 p.m.
[00:01:52.095 --> 00:01:55.826]  Mountain, 10 p.m.
[00:01:55.826 --> 00:01:56.288]  Pacific.
[00:01:58.300 --> 00:02:27.472]  so that is coming up tonight as well coast-to-coast am dot com is their website i'm alex jones of info wars dot com and prison planet dot tv i'm a bit shell-shocked just by shaking thousands of hands in between bullhorning filing reports talking to uh... insiders and sources and dealing with the police it has been a circus of the last four days really thursday friday saturday and sunday were just wild
[00:02:28.312 --> 00:02:33.195]  Saturday was pretty darn wild as well.
[00:02:33.195 --> 00:02:37.038]  We've learned a lot of the inside scoop from Bilderberg 2012.
[00:02:37.038 --> 00:02:41.601]  The establishment is not pleased.
[00:02:41.601 --> 00:02:45.364]  The bullhorning was so loud that I'm even more deaf.
[00:02:46.714 --> 00:02:47.775]  than I was before.
[00:02:47.775 --> 00:02:50.897]  In fact, I've got to put a note here about bullhorning.
[00:02:50.897 --> 00:02:52.078]  I've got to tell you about this.
[00:02:52.078 --> 00:02:56.761]  We learned how to take megaphones and bullhorn into one and then to another.
[00:02:56.761 --> 00:03:05.768]  Not just everybody talking on different bullhorns, but have one person through a string of bullhorns, like something out of Dr. Seuss book, and it does something with the resonance.
[00:03:05.768 --> 00:03:08.130]  Like when I scream in a bullhorn, it's even louder.
[00:03:08.130 --> 00:03:09.671]  It somehow puts out more sound.
[00:03:09.671 --> 00:03:10.571]  People don't understand that.
[00:03:10.571 --> 00:03:12.293]  It's not just talking into one, it's the yelling into one.
