[00:00:02.861 --> 00:00:03.522]  Yeah.
[00:00:18.779 --> 00:00:23.422]  Defending the Republic from enemies foreign and domestic.
[00:00:23.422 --> 00:00:25.263]  It's Alex Jones.
[00:00:25.263 --> 00:00:27.165]  You should have seen it coming.
[00:00:27.165 --> 00:00:28.726]  You should have been prepared.
[00:00:28.726 --> 00:00:29.906]  Now you're gonna pay.
[00:00:29.906 --> 00:00:31.648]  Yeah, everybody knew it.
[00:00:31.648 --> 00:00:32.708]  Red skies in the night.
[00:00:32.708 --> 00:00:33.889]  Now you're running scared.
[00:00:33.889 --> 00:00:34.069]  Hey!
[00:00:34.069 --> 00:00:35.370]  Here comes the revolution.
[00:00:35.370 --> 00:00:39.993]  Time is running out.
[00:00:39.993 --> 00:00:47.358]  But I got the solution.
[00:01:03.723 --> 00:01:09.864]  We are live, we are broadcasting worldwide on this Sunday, June 7th, 2020 transmission.
[00:01:09.864 --> 00:01:14.605]  I am your host, Alex Jones, and we have a very important broadcast lined up for you today.
[00:01:14.605 --> 00:01:24.267]  I came in yesterday and I spent four hours preparing and researching to put together the report that we're going to be airing coming up at the start of the next segment.
[00:01:24.267 --> 00:01:29.428]  That will take approximately a segment and a half to get through.
[00:01:29.428 --> 00:01:31.668]  And then I am going to lay out
[00:01:33.399 --> 00:01:38.102]  For you, who is behind this cultural revolution?
[00:01:38.102 --> 00:01:46.066]  Who is behind this Maoist-style takeover from the words of David Rockefeller himself in the New York Times?
[00:01:46.066 --> 00:01:51.709]  This whole thing is a Rockefeller-UN globalist experiment in China.
[00:01:51.709 --> 00:01:53.129]  They believe it's been successful.
[00:01:53.129 --> 00:01:56.171]  They're taking the planet over.
[00:01:56.171 --> 00:01:57.492]  And that is the ideology.
[00:01:57.492 --> 00:02:01.694]  That is what this entire system is, ladies and gentlemen.
[00:02:05.051 --> 00:02:20.805]  And so if you want to know who wants to own you, who wants to run you, who controls this entire thing, we are going to be laying it out coming up here on the broadcast on this Sunday Worldwide Transmission.
[00:02:20.805 --> 00:02:25.570]  Now, if you want to see the report we're about to air and share it because that's how it gets legs, that's how we crush the enemy.
[00:02:26.707 --> 00:02:32.350]  It's posted on Infowars.com and Newswars.com.
[00:02:32.350 --> 00:02:34.751]  And of course you'll be punished by Big Tech for sharing it.
[00:02:34.751 --> 00:02:35.491]  Screw them!
[00:02:35.491 --> 00:02:37.272]  They're a bunch of authoritarian trash.
[00:02:37.272 --> 00:02:38.372]  Share it by email.
[00:02:38.372 --> 00:02:39.633]  Share it by word of mouth.
[00:02:39.633 --> 00:02:41.734]  Share it by text messages while you still can.
[00:02:41.734 --> 00:02:43.815]  It's titled, Tucker Carlson is right.
[00:02:43.815 --> 00:02:46.136]  The culture revolution has come to America.
[00:02:47.398 --> 00:02:48.698]  We're going to define it.
[00:02:48.698 --> 00:02:50.059]  We're going to lay it out.
[00:02:50.059 --> 00:02:52.680]  We're going to break down this system.
