[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones, coming to you live from the front lines of the Info War.
[00:30.000 --> 00:48.000]  It is the 29th day of January 2012. We're going to be here for the next two hours on this live Sunday edition.
[00:48.000 --> 00:59.000]  I want to thank you all for joining us. I am particularly focused today and I will cover all of this news and information in front of us.
[00:59.000 --> 01:14.000]  I'm going to run down some of that in a moment. But first, I wrote up just in a few minutes before the show just some of the crimes that tie together.
[01:14.000 --> 01:21.000]  And in a project, I'm going to work on a graphic that ties these different pieces of the new order together.
[01:21.000 --> 01:27.000]  And then basically you zoom back from it and it's a big spider sitting on the planet because that's basically what we're facing.
[01:27.000 --> 01:40.000]  And I have a list of issues here. This is just a small list. I'm going to add a lot more and tie it all together. This is just a brainstorm of the crimes the globalists are committing.
[01:40.000 --> 01:49.000]  I think there's probably about 20 or so. I didn't number these points.
[01:49.000 --> 02:07.000]  We're going to be going over that today and just beginning to tie it together in the organized global standardized scientific dictatorship system that is not in complete control, that is not managing everything, but is close to it.
[02:07.000 --> 02:27.000]  And it's trying to standardize the entire planet not to empower humanity, but to absolutely regulate it and control it and shut down the industrial world as we know it, except for high powered government, university and corporate reservations.
[02:27.000 --> 02:40.000]  The rest of us will be reduced down to chattel and it's stated by the UN by the globalist by Maury Strong and many others that they do want to use economic warfare to turn us into chattel.
[02:40.000 --> 02:55.000]  So that is all coming up here today. Aaron Dykes just posted a big article at infowars.com dealing with a satire piece out of the onion.
[02:55.000 --> 03:07.000]  Satire article quips at least 2.3 billion people must die to save the earth. And I noticed they make jokes about implantable microchips. They make jokes about the NDAA.
[03:07.000 --> 03:13.000]  And then all that does is the people that don't really pay attention is I get emails saying you got that from the onion.
[03:13.000 --> 03:26.000]  I noticed this years ago and then later discovered that it's actually a government program. They do have CIA and others inside major tabloids. You can look this up.
[03:26.000 --> 03:34.000]  It's been leaked from time to time that I'll be going through the checkout line, you know, the 18 years or so have been awake the 17 years on air.
[03:34.000 --> 03:43.000]  And I'll always notice bat boy at the capital bat boy, you know, a president meets with aliens. President meets with the creature from the black lagoon.
[03:43.000 --> 03:52.000]  Always something obviously ridiculous. And then around it real things. Governments establishing camps. Governments want you to have an implantable chip.
[03:52.000 --> 04:06.000]  Polio vaccine had cancer virus in it. And then you read the articles and they're written like jokes next to bat boy. So that grandma gets it and thinks, wow, it's all real.
[04:06.000 --> 04:11.000]  And so her son comes home and laughs at her. That's the target audience, mainly.
[04:11.000 --> 04:25.000]  And it's all done so yuppies and people can feel official and just almost subliminally pick up those ridiculous headlines. Mixed in with real stuff like John Edwards caught cheating on his wife.
[04:25.000 --> 04:34.000]  Mixed in with Arnold Schwarzenegger was a Nazi and fish man to visit parliament.
[04:34.000 --> 04:43.000]  So they mixed it all in on purpose and it's been a long term tactic. And it's just very, very sad. All right, we're going to get into that.
[04:43.000 --> 04:59.000]  But huge news on the Second Amendment front. Huge news on the slave factories in China. Huge news on Iran, Bill Gates, the economy. It's all coming up.
[04:59.000 --> 05:04.000]  You may be arrested and or subject to other police action.
[05:04.000 --> 05:09.000]  Tyranny is here. The grim future foretold in 1984 has become reality.
[05:09.000 --> 05:11.000]  It really says that the state is God.
[05:11.000 --> 05:17.000]  The United States is now recognized globally as one of the most oppressive police states on earth.
[05:17.000 --> 05:23.000]  This film conclusively proves the existence of a secret network of FEMA camps now being expanded nationwide.
[05:23.000 --> 05:29.000]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[05:29.000 --> 05:33.000]  Police State 4 chronicles the sickening depths to which our republic has fallen.
[05:33.000 --> 05:43.000]  Repair to enter the secretive world of emergency dictatorship, body scammers, sound cameras, citizen spies, stage terror and cameras on every street corner.
[05:43.000 --> 05:50.000]  It's only the beginning of the New World Order's hellish plan. The police state isn't coming. It's here.
[05:50.000 --> 05:58.000]  Secure your copy today at infowars.com or see it online in the highest quality at prismplanet.tv.
[06:21.000 --> 06:31.000]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide its Alex Jones.
[06:31.000 --> 06:47.000]  That's right. This radio broadcast worldwide is the number one hardcore voice of reality and true scientific analysis of what is truly happening on this planet.
[06:47.000 --> 06:58.000]  We are number one when it comes to podcasts, number one when it comes to people listening on the internet and exploding on XM and on the AM and FM dial.
[06:58.000 --> 07:05.000]  In fact, I'm going to have my producers flog me tomorrow if I don't mention the 16 new stations we've gotten the last month.
[07:05.000 --> 07:10.000]  The men who do that all last week, but there's just so much news and we are reaching now.
[07:10.000 --> 07:21.000]  Conservatively, if you add up all the different ways we reach people, YouTube, prismplanet.tv, the nightly news, shortwave, AM, FM, XM.
[07:21.000 --> 07:30.000]  Conservatively, 15 million people a week. 15 million people.
[07:30.000 --> 07:36.000]  Rush Limbaugh, it's 22 million, mainly terrestrial radio. 15 million.
[07:36.000 --> 07:48.000]  At this growth rate within one year will be bigger than any U.S.-based political so-called talk show.
[07:48.000 --> 07:55.000]  But you see the old dinosaur media, and that includes neocon outfits, still are legends in their own mind.
