[00:00:01.002 --> 00:00:06.786]  And ladies and gentlemen, thank you for joining us on this February 11, 2018 Global Transmission.
[00:00:06.786 --> 00:00:11.990]  I'm going to be hosting the first hour, and then coming on the second hour, Owen Schroyer is going to be joining you.
[00:00:11.990 --> 00:00:20.175]  He's working on a big story with Dr. Jerome Corsi and this Russian aircraft that blew up today that may have been carrying members of Uranium One.
[00:00:20.175 --> 00:00:21.076]  That's coming up.
[00:00:21.076 --> 00:00:22.857]  But first, a John Bowne report.
[00:00:22.857 --> 00:00:26.019]  Americans want Obama investigated.
[00:00:26.019 --> 00:00:27.180]  They want Obama indicted.
[00:00:28.171 --> 00:00:30.173]  Well, it's pretty simple, Mockingbird Media.
[00:00:30.173 --> 00:00:32.495]  The American people don't believe you.
[00:00:32.495 --> 00:00:43.845]  And furthermore, your nagging wife mentality targeting our president has translated into an attack on the future of our republic and the very citizens inhabiting that republic.
[00:00:43.885 --> 00:00:47.048]  We're getting more North Korean every day in this country.
[00:00:47.048 --> 00:00:53.593]  I mean, you know, yesterday, the president says people who don't cheer are un-American and treasonous.
[00:00:53.593 --> 00:00:58.877]  And today, we're going to start having big parades with tanks and missiles.
[00:00:58.877 --> 00:01:04.101]  And, you know, people have to decide whether they want to have that kind
[00:01:04.661 --> 00:01:13.328]  I mean, we have a country where we celebrate our troops, as Barbara said, when they come home from battle in lower Manhattan and we throw ticker tape.
[00:01:13.328 --> 00:01:25.617]  But the idea in peacetime, simply to have tanks roll through the streets of Washington, that's, to use a phrase that the president likes to use, in my experience, that's un-American.
[00:01:25.617 --> 00:01:32.122]  There are certain issues that are Rosetta Stones, or skeleton cases, I call them, that open up
[00:01:33.160 --> 00:01:34.181]  What we're facing.
[00:01:34.181 --> 00:01:36.103]  The leftist globalists hate America.
[00:01:36.103 --> 00:01:37.865]  They've always hated our military.
[00:01:37.865 --> 00:01:41.548]  They're quoted as calling the military dumb animals.
[00:01:41.548 --> 00:01:48.295]  They're really scared of people that sacrifice or have courage because they're a bunch of cloistered chicken neck academics who are threatened by it.
[00:01:48.295 --> 00:01:48.836]  They're scared of them.
[00:01:50.936 --> 00:02:00.583]  Leftists are just horrified of any individual that they have an idea has any physical or mental prowess that isn't fully in the state's hands.
[00:02:00.583 --> 00:02:14.893]  The latest IBD-TIPP poll shows how closely are you following news stories about the role played by the FBI and the Department of Justice during the 2016 presidential election of those who responded
[00:02:16.394 --> 00:02:23.418]  72% said they were following the story either very closely, 39%, or somewhat closely, 33%.
[00:02:23.418 --> 00:02:32.142]  Some 55% of those said it was likely that the Obama administration improperly surveilled the Trump campaign during the 2016 election.
[00:02:33.223 --> 00:02:44.721]  There was an obvious partisan split among the responses with 87% of Republicans and 55% of Independents saying the improper spying took place, but only 31% of Democrats.
[00:02:46.696 --> 00:02:57.545]  On the question of whether a special counsel was needed to investigate whether the FBI and the Department of Justice improperly surveilled the Trump campaign during the 2016 presidential election, 54% responded yes and 44% no.
[00:02:57.545 --> 00:03:02.690]  Again, 74% of Republicans and 50% of Independents wanted a special counsel appointed, but even 44% of Democrats thought it would be a good idea.
[00:03:13.399 --> 00:03:15.080]  Let's cut to the chase.
[00:03:15.080 --> 00:03:27.749]  Americans want the Steele dossier, its funding, and the members of the Obama administration that were involved in its dissemination and distribution, including Obama himself, investigated.
[00:03:27.749 --> 00:03:31.431]  Pete, the Democrats have forfeited all credibility on this case.
[00:03:31.431 --> 00:03:33.592]  They haven't told the truth from day one.
[00:03:33.592 --> 00:03:37.095]  Pete, here's what's even more tragically amusing about the Democrats.
[00:03:37.515 --> 00:03:41.316]  They lie so much they step on their own stories.
[00:03:41.316 --> 00:03:45.338]  They told us before the release of the Nunez Republican memo, remember this?
[00:03:45.338 --> 00:03:47.659]  They said, oh my gosh, sources and methods.
[00:03:47.659 --> 00:03:49.499]  It's going to jeopardize national security.
[00:03:49.499 --> 00:03:50.640]  Nobody should see this.
[00:03:50.640 --> 00:03:51.220]  Cover it up.
[00:03:51.220 --> 00:03:52.521]  Sweep it under the rug.
[00:03:52.521 --> 00:03:54.281]  And then the memo came out.
[00:03:54.281 --> 00:03:55.902]  Oh, this is a big nothing burger.
[00:03:55.902 --> 00:03:57.162]  It's a total dud.
[00:03:57.162 --> 00:03:58.503]  Nothing to see here, folks.
[00:03:58.503 --> 00:03:59.023]  Move along.
[00:03:59.883 --> 00:04:02.746]  They have not told the truth from day one on this.
[00:04:02.746 --> 00:04:16.658]  They have forfeited all their credibility, and this is important, they are covering up what I believe to be the biggest scandal in modern political history, and that is the spying on of the Trump team by the Obama administration with no evidence to do so.
[00:04:17.619 --> 00:04:24.926]  The full-blown Russia Trump collusion propaganda debacle has failed in the eyes of a majority of Americans.
[00:04:24.926 --> 00:04:31.512]  How long will this treasonous media continue to destroy itself before they find themselves under investigation?
[00:04:31.512 --> 00:04:34.515]  John Bowne reporting for InfoWars.com
[00:05:00.194 --> 00:05:04.578]  Fill your body with Carnivore, the new digestive enzyme product by InfoWars Life.
[00:05:04.578 --> 00:05:12.665]  Digestive enzymes assist in the digestive process and increase the bioavailability of nutrients by breaking down foods into easily absorbable components.
[00:05:12.665 --> 00:05:17.969]  They also help prevent discomfort from indigestion caused by fermentation of undigested food particles in the gut.
[00:05:17.969 --> 00:05:20.491]  Digestive enzyme production declines as we age.
[00:05:20.491 --> 00:05:24.715]  Carnivore is filled with digestive enzymes like those naturally present in the body.
[00:05:24.715 --> 00:05:27.157]  Enjoy the full potential of protein-rich foods again.
[00:05:27.837 --> 00:05:35.080]  You can eat protein-heavy foods now, while minimizing the later indigestion and discomfort commonly associated with high-meat diets.
[00:05:35.080 --> 00:05:43.143]  Just one pill with every high-protein meal helps increase the bioavailability and absorption of amino acids, the building blocks to your muscles.
[00:05:43.143 --> 00:05:50.326]  Carnivore also contains digestive enzymes to help digest fats and carbohydrates, so you can fully digest all types of meals.
[00:05:50.326 --> 00:05:51.806]  Don't let a meal go to waste.
[00:05:51.806 --> 00:05:53.607]  Use Carnivore by Infowars Life.
[00:05:54.407 --> 00:05:57.888]  Head to InfoWarsLife.com and secure your bottle now.
[00:05:57.888 --> 00:06:11.692]  That's InfoWarsLife.com.
[00:06:11.692 --> 00:06:15.774]  InfoWars.com is tomorrow's news.
[00:06:15.774 --> 00:06:19.995]  Today, you're listening to The Alex Jones Show.
[00:06:37.131 --> 00:06:42.114]  If you are receiving this transmission, you are the resistance.
[00:06:42.114 --> 00:06:49.859]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:49.859 --> 00:06:54.381]  It is February 11, 2018, my 44th birthday.
[00:06:54.381 --> 00:06:59.805]  I'm exactly where I want to be, fighting the globalists at point-blank range.
[00:06:59.805 --> 00:06:59.985]  But
[00:07:01.115 --> 00:07:02.917]  Owen Schroyer with big breaking news.
[00:07:02.917 --> 00:07:15.026]  Of course he will be hosting the second hour because they're busy working on this big story of the Russian downed passenger jet that blew up in midair like 8,000 feet, appears to be a bomb.
[00:07:15.026 --> 00:07:22.332]  And QAnon had predicted this and some of our other sources saying it could be connected to getting rid of evidence of Uranium One and the Hillary connection.
[00:07:22.332 --> 00:07:25.274]  That's coming up in the second hour.
[00:07:25.274 --> 00:07:25.835]  That said,
[00:07:27.537 --> 00:07:31.560]  The illusion of globalism is beginning to fade.
[00:07:31.560 --> 00:07:43.788]  And once you've taken your blinders off, or you could reverse that and said, taken the sunglasses that the establishment doesn't want you to wear and put them on like they live, you then
[00:07:45.012 --> 00:07:55.601]  See for yourself that you've been lied to over and over again by so-called mainstream media that's simply bought and paid for by multinational interests that have conquered this country.
[00:07:55.601 --> 00:08:09.793]  And it doesn't mean that when you support Impel Wars or President Trump or nationalism or free market capitalism that you think you're perfect or you think we're perfect, but we know it works a thousand times better
[00:08:10.902 --> 00:08:14.103]  And is what builds big, open, free, wealthy societies.
[00:08:14.103 --> 00:08:17.725]  Now that creates the byproduct of decadence, so that's certainly a real issue.
[00:08:17.725 --> 00:08:38.995]  But, globalists like George Soros that have been openly bragging that they are funding, trying to keep the EU in control of countries that never voted to enter it, like the UK, the fact that he's so brazen and so out in the open only will accelerate the planetary awakening to their tyranny.
[00:08:40.003 --> 00:08:44.364]  Soros, quote, proud of donating $500,000 to overturn Brexit vote.
[00:08:44.364 --> 00:08:45.424]  Amazing.
[00:08:45.424 --> 00:09:07.669]  Proud to be involved in $5 billion to overthrow the elected government in Ukraine four years ago and start that whole crisis and then bring in 10 million military-age men from the Middle East and now the EU says, give us more funding, give us an EU army or we can't protect you from the migrant ghettos that will become, quote, nuclear bombs in the future.
[00:09:09.141 --> 00:09:15.002]  Create the crisis, offer the solution, the Hegelian dialectic.
[00:09:15.002 --> 00:09:19.263]  Now that said, there are always outrages going on.
[00:09:19.263 --> 00:09:25.524]  And I saw an outrage yesterday morning that I knew I was going to come in here and cover on Sunday.
[00:09:25.524 --> 00:09:27.825]  But I wondered, I said, will anyone pay attention?
[00:09:27.825 --> 00:09:28.945]  Will anybody get upset?
[00:09:28.945 --> 00:09:30.665]  Will anybody think something's going on here?
[00:09:30.665 --> 00:09:33.886]  Because usually people don't get upset.
[00:09:33.886 --> 00:09:34.866]  At least the rate I do.
[00:09:35.854 --> 00:09:37.115]  And people did, though.
[00:09:37.115 --> 00:09:41.677]  By last night, it was the hottest thing on Twitter, Facebook, YouTube, you name it.
[00:09:41.677 --> 00:09:50.140]  And NBC that had shot the footage was using their bots to ban anybody showing the footage, even though it's clearly fair use.
[00:09:50.140 --> 00:09:51.401]  In fact, I saw it yesterday morning.
[00:09:51.401 --> 00:09:52.381]  I saw it last night.
