[00:00.000 --> 00:10.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:10.000 --> 00:31.000]  Well, I'm back in the saddle again Sunday, the 26th day of April 2015. I'm your host Alex Jones.
[00:31.000 --> 00:36.000]  We'll be here for two hours as we are every Sunday, 4 to 6 p.m. Central Standard Time.
[00:36.000 --> 00:41.000]  And I'll be back, Lord willing, tomorrow, 11 a.m. Central, the three-hour daily broadcast.
[00:41.000 --> 00:46.000]  There's also InfoWars Nightly News, 7 o'clock Central, weeknightsinfowarsnews.com.
[00:46.000 --> 00:53.000]  Wow! I say this at the beginning of almost every broadcast now, but this is really a heavy news day.
[00:53.000 --> 01:02.000]  It's so important. Everything we've got here in front of us and the connection points, how all this ties together is just over the top.
[01:02.000 --> 01:09.000]  Protesters vowed to shut down Baltimore over Freddie Gray killing.
[01:09.000 --> 01:17.000]  You mean they vowed to attack white people and folks in restaurants over a questionable police activity?
[01:17.000 --> 01:25.000]  You mean they vowed to make it racial even though Baltimore, to a great extent, is basically black run, just like Chicago to many extents?
[01:25.000 --> 01:32.000]  This is done because of the racial politics of the Democratic Party. There are problems with the police.
[01:32.000 --> 01:38.000]  There are issues with the police being militarized like Marine Corps.
[01:38.000 --> 01:42.000]  The military is designed to kill people and break things.
[01:42.000 --> 01:48.000]  So if you militarize police, they're going to use excessive force more often.
[01:48.000 --> 01:52.000]  And you're going to have some departments that are out of control.
[01:52.000 --> 02:04.000]  But why is it constantly Democratic Party run cities like Chicago and Baltimore and New York City and D.C.,
[02:04.000 --> 02:12.000]  where you see some of the most egregious black cop on black violence, but that never becomes a big news issue?
[02:12.000 --> 02:16.000]  The system wants us at each other's throats, period.
[02:16.000 --> 02:26.000]  And randomly shooting a cop in the head because a white cop shoots a black guy or going in restaurants and attacking white people because they're white does not make a protest.
[02:26.000 --> 02:36.000]  What it makes is racial politics divide and conquer social manipulation on a grand scale.
[02:36.000 --> 02:44.000]  It's race-based and economic-based class warfare.
[02:44.000 --> 02:49.000]  And it is the strategy of the New World Order, not just here, but worldwide.
[02:49.000 --> 03:02.000]  I mean, if it's somewhere in Latin America, they'll play off Christian versus Catholic, Protestant versus Catholic.
[03:02.000 --> 03:07.000]  Or if it's in Africa, it'll be Christians versus Muslims or Christians versus animists.
[03:07.000 --> 03:15.000]  They just need a social point through anthropology and sociology to manipulate, and that's what's done.
[03:15.000 --> 03:17.000]  It's truly sickening.
[03:17.000 --> 03:20.000]  We're going to break that down coming up today.
[03:20.000 --> 03:25.000]  Rand Paul, tired of GOP, retreating on abortion.
[03:25.000 --> 03:37.000]  Shock video, Ukrainian neo-Nazis, nail rebel, fight it across, burn him alive. We're going to air and play the video and audio of this. Looks like a real execution to me.
[03:37.000 --> 03:43.000]  This is the type of stuff that goes on with the hands of the Muslim Brotherhood and ISIS and Al Qaeda, all the same group by different names.
[03:43.000 --> 03:46.000]  In the Middle East, financed by our government.
[03:46.000 --> 03:50.000]  When Anderson Cooper is up there praising the Arab Spring and the rest of it.
[03:50.000 --> 03:57.000]  But this is by neo-Nazis that are openly being funded by NATO and our government in a proxy war against the Russians.
[03:57.000 --> 04:03.000]  And I don't care how bad you can claim the Russians are. I don't have a dog in this fight. I'm not Ukrainian.
