[00:00.000 --> 00:06.400]  been so affordable at mainmilitary.com one of the last surviving true surplus stores in the country
[00:06.400 --> 00:32.800]  shop now at mainmilitary.com or call 877-608-0179. That's 877-608-0179 today.
[00:32.800 --> 00:41.800]  Hi, I'm Jody Jordan. President-elect Barack Obama tells NBC that the survival of the U.S. auto industry is important,
[00:41.800 --> 00:46.800]  but that any proposed bailout needs to work toward an industry that actually works.
[00:46.800 --> 00:55.800]  It is a huge employer across many states. Millions of people directly or indirectly are reliant on that industry,
[00:55.800 --> 00:58.800]  and so I don't think it's an option to simply allow it to collapse.
[00:58.800 --> 01:04.800]  And a key Michigan lawmaker says he's not sure there's enough votes to pass an auto industry rescue plan,
[01:04.800 --> 01:10.800]  but Senator Carl Levin says he's confident an agreement will be reached on a 15-billion-aid package.
[01:10.800 --> 01:14.800]  Ron Gettelfinger is the president of the United Auto Workers.
[01:14.800 --> 01:25.800]  We're very hopeful that Congress and the administration will be able to pass legislation that will help us out of this economic downturn that we're in.
[01:25.800 --> 01:28.800]  This is IRN USA Radio News.
[01:56.800 --> 02:05.800]  Our newest product category actually grew 21% during the last 12 months while most business categories were dropping like a rock.
[02:05.800 --> 02:14.800]  With the three-step plan, you can help yourself and others develop another stream of income to survive and prosper in today's uncertain business climate.
[02:14.800 --> 02:18.800]  Don't wait for things to get worse. Check out the three-step plan today.
[02:18.800 --> 02:27.800]  Go to 3stepplan.com or call 800-480-2102.
[02:27.800 --> 02:36.800]  Secretary of State Condoleezza Rice says the U.S. took the wrong approach to Iraq after Saddam Hussein was overthrown in 2003.
[02:36.800 --> 02:44.800]  She was the national security advisor at the time, and now tells Fox News Sunday that the Bush administration should not have put a single department,
[02:44.800 --> 02:47.800]  the Pentagon, in charge of running Iraq.
[02:47.800 --> 02:56.800]  India's foreign minister denies charges that he made a threatening phone call to Pakistan's president at the height of last month's Mumbai terror siege.
[02:56.800 --> 03:02.800]  Pakistani officials insist that he or someone else in India's foreign ministry placed the call.
[03:02.800 --> 03:06.800]  NBC is named David Gregory to be moderator of Meet the Press.
[03:06.800 --> 03:11.800]  Tom Brokaw has been serving as Enra moderator since Tim Russer died in June.
[03:11.800 --> 03:15.800]  Gregory is chief White House correspondent for NBC News.
[03:15.800 --> 03:23.800]  And it looks like Florida and Oklahoma are headed for a match-up at college football's national championship game next month in Miami.
[03:23.800 --> 03:49.800]  For more news and analysis, log on to irnnews.com.
[03:54.800 --> 04:07.800]  Senator John McCain says the situation in Afghanistan will get tougher before it gets easier, describing the situation as similar to how things were in Iraq.
[04:07.800 --> 04:13.800]  It's a tough situation there. We're going to have to have additional troops and additional help.
[04:13.800 --> 04:16.800]  McCain has been visiting as part of a Senate delegation.
[04:16.800 --> 04:21.800]  President-elect Barack Obama has asked McCain to report to him on his findings.
[04:21.800 --> 04:30.800]  government have blasted their way into two transport depots in Pakistan and torched scores of vehicles destined for US-led troops in Afghanistan.
[04:30.800 --> 04:39.800]  The bold attack revs up concern that militants are trying to choke key supply routes for Western forces in Afghanistan and drive up the cost of war.
[04:39.800 --> 04:42.800]  This is Lieutenant Colonel Rummy Nelson-Green.
[04:42.800 --> 04:51.800]  We're always concerned and we are always in prudent planning and coordination for viable alternatives if need be.
[04:51.800 --> 04:57.800]  But thus far, these attacks have been militarily insignificant and have not created a great impact on our operations.
[04:57.800 --> 05:01.800]  An offensive Christmas parade in Texas has turned tragic.
[05:01.800 --> 05:08.800]  A 10-year-old girl died yesterday after Beaumont police say she jumped off a float and was run over by a trailer.
[05:08.800 --> 05:11.800]  This is police supervisor Monica Smith.
[05:11.800 --> 05:14.800]  It appeared that she had suffered serious injuries.
[05:14.800 --> 05:23.800]  There was an ambulance that was at the parade that was from the Dover and the child was transported to St. Elizabeth and she was later pronounced deceased at the hospital.
[05:23.800 --> 05:28.800]  I'm Jody Jordan for IRN-USA, Radio News.
[05:28.800 --> 05:32.800]  Now that the election is over and the shock is beginning to wear off,
[05:32.800 --> 05:40.800]  Ready Reserve Foods in an effort to get as many Americans prepared for the promised changes of the new administration and to help you and your families survive the global economic crash.
[05:40.800 --> 05:43.800]  Ready Reserve is offering the pre-inauguration special.
[05:43.800 --> 05:50.800]  Between now and January 20, 2009, all food units U1 through U7 are being offered at wholesale prices.
[05:50.800 --> 05:52.800]  That's a 33% savings.
[05:52.800 --> 05:56.800]  A year's supply of meals starts as low as 73 cents per meal.
[05:56.800 --> 06:00.800]  Ready Reserve Food offers only the highest quality to hydrated food.
[06:00.800 --> 06:06.800]  Packed in doubly-nammeled cans in an inert nitrogen atmosphere, allowing a 15-plus-year shelf life.
[06:06.800 --> 06:12.800]  Ready Reserve has been manufacturing since 1972, giving them the freedom to offer you amazing savings.
[06:12.800 --> 06:15.800]  Great tasting Ready Reserve Foods at wholesale prices.
[06:15.800 --> 06:22.800]  Order now at readyreservefoods.com or call today 1-800-453-2202.
[06:22.800 --> 06:26.800]  That's 1-800-453-2202.
[06:26.800 --> 06:35.800]  Prepare yourself for a topical experience like no other, like no other.
[06:38.800 --> 06:40.800]  He stands for truth.
[06:40.800 --> 06:43.800]  He stands for justice.
[06:43.800 --> 06:46.800]  He stands for what's right.
[06:46.800 --> 06:49.800]  This is the Alex Jones Show.
[06:49.800 --> 06:58.800]  Call Alex now toll-free at 877-590-5525.
[06:58.800 --> 07:03.800]  Now live from Austin, Texas, here's Alex Jones.
[07:06.800 --> 07:08.800]  Welcome, ladies and gentlemen.
[07:08.800 --> 07:10.800]  Welcome and thank you for joining us today.
[07:10.800 --> 07:18.800]  We're going to be live here for the next two hours and we're going to have wide open phones at 877-590-5525.
[07:18.800 --> 07:26.800]  Kurt Nemo, the editor and one of the chief writers over at infowars.com, will be joining us coming up in 30 minutes.
[07:26.800 --> 07:36.800]  He's done a detailed report two weeks after the terrible Lubeye attacks in what was formerly Bombay, India.
[07:36.800 --> 07:46.800]  The implicated being tied to Pakistan, a lot more has now unfolded and developed there and the evidence is clear.
[07:46.800 --> 07:49.800]  This is a Western intelligence operation.
[07:49.800 --> 07:54.800]  By the way, most of the Indian papers happen to be in English.
[07:54.800 --> 08:02.800]  So it's the Times of India and literally scores of other mainstream papers are now reporting this.
[08:02.800 --> 08:07.800]  So that's where our information is coming from, not just out of Pakistan.
