[00:00.000 --> 00:10.000]  When I grow up, I want to be a rock star!
[00:10.000 --> 00:35.000]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:35.000 --> 00:47.000]  You are listening to Alex Jones.
[00:47.000 --> 01:01.000]  You are tuned in to public enemy number one, the number one target of the deep state globalist worldwide, the number one target of the tyrants to shut down because we do our research and we are over the target exposing their criminal operations.
[01:01.000 --> 01:03.000]  Thank you so much for joining us.
[01:03.000 --> 01:20.000]  Now, already 13 days into 2019 on this global Sunday edition, we're here every Sunday, 4-6 p.m. Central, and weekdays I'm here, 11 a.m., 3 p.m. Central, David Knight, of course, recuperating from a heart attack, but thank God getting a lot better plans to come back very soon.
[01:20.000 --> 01:36.000]  We have a great filling crew mornings, 8 a.m., filling in for him, Harrison Smith and others doing a great job, and then of course we have the great Owen Schreuer, 3 o'clock every day with the War Room with Roger Stone and others popping in.
[01:36.000 --> 01:54.000]  I've really learned the formulaic deception of mainstream corporate media, really being inside of how it works, being a target of it, I've really learned how incredibly command and control to this.
[01:54.000 --> 02:15.000]  And now since the days of the Cold War, they got our media in lockstep to put out particular narratives, and now they can swing that around. When was it? It was seven years ago Obama got Congress to quote legalize, was in foreign affairs and foreign policy of the Council on Foreign Relations, the Washington Post.
[02:15.000 --> 02:44.000]  In fact, guys print me those articles please, you have to click web, it's old, and then they try to bury it, but Congress legalizes lying to the American people, or Congress legalizes CIA propaganda in America, and that was the genesis, or the progenitor, or the zenith of the current legislation we live under
[02:44.000 --> 03:00.000]  that Obama signed as he left office, kind of like you'd set a self destruct on a ship that you were about to abandon, but you thought the enemy was about to board and take. So he set the bombs to destroy the First Amendment and wreck the economy, and then jumped out.
[03:00.000 --> 03:26.000]  Anybody can type in US government quietly legalizes domestic propaganda US government quietly legalizes lying, there it is US repeals propaganda ban spreads government made news to Americans by the way, I wasn't just saying how many years ago that was actually or saying who said it to the headline as a parlor trick that I just looked at the article before it went live.
[03:26.000 --> 03:37.000]  I'm showing you that in my research. So I now have the enjoyment of having this very group pointed at me.
[03:37.000 --> 03:46.000]  And the good news is, having this much targeting on you actually gives you another feedback loop into what they're doing.
[03:46.000 --> 04:01.000]  And that's what I had. I had a big dream last night. Because now I work in my sleep. My dad told me to do this in college he could successfully control his dreams. I never could. But I've just under pressure now which has been glorious.
[04:01.000 --> 04:16.000]  So he makes you stronger. I now at least once a week have long like almost month long dreams for my brain projects these big computer screens and I'm in there like with my hands building the timelines and then looking at how they're running operations and what's coming next and moving
[04:16.000 --> 04:31.000]  them in and I mean I what's crazy is I have these dreams now where I'm working and I have all the articles and documents. It's like I'm working in my sleep and then then exactly what I see in the dream.
[04:31.000 --> 04:46.000]  So long that happened in about a year. Now it's not once a week. It's actually almost every night now the last few weeks. My brain's going hey dude they're coming for you. You better get ready. You better. You've got the answers. You know how they're going to hit you and everybody else but you've got to be ready.
[04:46.000 --> 05:02.000]  That's why Trump I guess probably doesn't hardly sleep. No need of stimulants because he's so in the game. He's the same way. It's crazy. We'll be right back. Stay with us.
[05:02.000 --> 05:16.000]  It's a good halogen and pump the environment full of the bad halogens fluoride chlorine bromide you name it that it lowers IQ. It literally dumps the population down and on our quest to bring our listeners and viewers the best idea in the world.
[05:16.000 --> 05:29.000]  We've gone through two permutations. First seaweed based iodine that was pretty good but hard to source and the globalist tried to block us getting a supply of it. So we discovered deep earth crystals of pure nascent iodine and brought you X2.
[05:29.000 --> 05:38.000]  That's been incredible. Now due to the establishment trying to block that we did more research and secured more of the deep earth crystals of nascent iodine.
[05:38.000 --> 05:52.000]  But chemist scientists and others showed us the research that by combining it with three other compounds two forms of iodine and vitamin C it supercharges it and makes it even more bio available.
[05:52.000 --> 06:00.000]  Ladies and gentlemen you want to research it. You want to see it. It's an incredible discovery. X3 now available at infowarslife.com.
[06:22.000 --> 06:36.000]  It is Sunday January 13th 2019. Hard to get used to that. We're already well into the year didn't 2018 go by in a flash.
[06:36.000 --> 06:46.000]  Well I talk a lot about this because if you know this riddle you've got to answer the skeleton key to so much. The globalists don't like this broadcast for a lot of reasons.
[06:46.000 --> 06:59.000]  We're a big audience. We're patriotic. We don't like monopolies. We love America. And we've been studying the corporate global elites and we know how to defeat them.
[06:59.000 --> 07:11.000]  And we've done our research. So if you really want to get a very crisp grasp on wide spectrum analysis of what's happening in the world from a perspective of a kamikaze.
[07:11.000 --> 07:22.000]  Because they do come after you when you do this. You found the place here. You found the media operation that the enemy is working round the clock.
[07:22.000 --> 07:36.000]  From the Democratic Party to leftist arms the CIA to shut down because they can't be engaging in their domestic propaganda operation to bring us into the one world government.
[07:36.000 --> 07:47.000]  If we are awake. If we are aware of what they're doing. So let me for radio listeners read you the headline. But for TV viewers we can do a document cam shot.
[07:47.000 --> 07:58.000]  And I can show folks a few headlines here from the last six seven years. Here's one right here. U.S. repeals.
[07:58.000 --> 08:07.000]  Propaganda ban spreads government made news to Americans. Now that's out of the Washington Post foreign policy.
[08:07.000 --> 08:19.000]  If you read deeper Congress said they've legalized lying to the American people. That's 2013 as Obama was preparing to get into a second administration.
[08:19.000 --> 08:29.000]  Now previous the CIA and others would go lie in foreign countries for political aims. Oh but we're just doing it to beat the bad guys.
[08:29.000 --> 08:35.000]  But of course they knew that news would come right back to the U.S. So it was always blowing back.
[08:35.000 --> 08:50.000]  But then Obama legalized domestic lying against the American people and against companies and groups and political parties in 2013. And that year you saw the media go completely weaponized.
[08:50.000 --> 08:58.000]  Because there wasn't just intelligence agencies involved there was government funding of those buying fake news.
[08:58.000 --> 09:08.000]  Remember Bush got caught spending billions on fake news and then Obama radically expanded it. So what were they going to do when real independent news like news wars dot com
[09:08.000 --> 09:22.000]  or info wars dot com or prison planet dot com or treasure port dot com was actually pointing out. Hey look they said this last month now they're saying this.
[09:22.000 --> 09:30.000]  So if you understand that you understand that when Hillary was saying when I get elected I'm going to take out the fake news.
[09:30.000 --> 09:39.000]  What she meant was groups and individuals that are going to try to counter our narratives.
[09:39.000 --> 09:48.000]  Whether they be telling the truth or whether they've got it wrong or whether they've got it right or whether it's a mix of that we don't want anybody but us putting narratives out.
[09:48.000 --> 09:53.000]  So under this plan we're going to reach out to every newspaper and TV station in the country.
[09:53.000 --> 10:01.000]  And we're going to tell them you're going to work with liaisons from the Department of Defense the CIA Department of Energy and others.
[10:01.000 --> 10:07.000]  And you're going to put out talking points we say or we're going to have your boss fire your ass.
[10:07.000 --> 10:18.000]  And it took them a few years to get this whole thing going. But then we started seeing the talking points leaked that were being sent to TV stations and local papers.
[10:18.000 --> 10:24.000]  And guess what if they didn't play ball suddenly they got audited they got harassed they got shut down.
[10:24.000 --> 10:26.000]  So that's how this is working.
[10:26.000 --> 10:33.000]  So US repeals propaganda ban spreads government made news to Americans.
[10:33.000 --> 10:42.000]  Now I've probably shown this article 500 times or more in the last two and a half years or last two years and three months or whatever.
[10:42.000 --> 10:48.000]  Obama quietly signs the countering disinformation and propaganda act in the law.
[10:48.000 --> 11:02.000]  And then they say if we deem someone's connected to a foreign group in any way we will do anything we need including shilling them shutting them down organizing fake news against them censoring them you name it.
[11:02.000 --> 11:13.000]  And then that's why they would then through groups they hired shinned one tweet to drudge or one tweet to the Washington Post or one tweet to any group.
[11:13.000 --> 11:25.000]  And then if one tweet even went to you and showed up in your feed that's the headline info wars Washington Post and others all were involved in Russian propaganda.
[11:25.000 --> 11:35.000]  Remember those headlines I'll show them to you in a moment and then you read the report it's like Jones is Twitter more than 25 times retweeted something we think was connected to Russians.
[11:35.000 --> 11:37.000]  See how that works.
[11:37.000 --> 11:46.000]  So they they legalize having the CIA involved the takeover media seven years ago.
[11:46.000 --> 12:00.000]  Then they start putting out the propaganda then they hire bots in Russia that are just internet firms anybody can hire 80% of the bots in the last election last presidential election were pro Hillary.
[12:00.000 --> 12:11.000]  So they even ran pro Hillary bots over everybody's site but then turn around and said oh if we even posted a comment on your Twitter or your Facebook you're a Russian agent now.
[12:11.000 --> 12:28.000]  See how that works even though it was like less than one tenth of one percent of total traffic on the whole web Russian bots it didn't matter because just like the data dump leak of last year showed in vault seven the CIA has these tools to then frame people.
[12:28.000 --> 12:36.000]  There it is recode the Washington Post Miami Herald info wars and other US sites spread Russian propaganda from Twitter.
[12:36.000 --> 12:47.000]  Now you read it they consider retweeting an RT story about an airplane blowing up you're a Russian.
[12:47.000 --> 12:57.000]  So then they start having hearings in 2017 saying info wars are Russian agents we've proven they retweet Russian propaganda.
[12:57.000 --> 13:07.000]  20 times or whatever so anything out of Russia just you do it you look at it it's over you're going to you know basically a gulag in the sky.
[13:07.000 --> 13:21.000]  And so once Obama gets in he sets all this up and they put billions of dollars in defense spending before he leaves into this and starts this whole engine up that's paid for the Washington Post is paid by the CIA.
[13:21.000 --> 13:30.000]  The New York Times is paid by the CIA it's all in the act to certain key mockingbird operatives who are actually on the double payroll.
[13:30.000 --> 13:38.000]  So the publishers paid the journalist is paid extra money on top of their salary to put lies out.
[13:38.000 --> 13:49.000]  And then they put the talking points out that's why you see talking points against Trump or myself you'll see a thousand newspapers and it's the same article only basically rewritten.
[13:49.000 --> 13:59.000]  There it is FBI's Russian inquiries reported looking into info wars and Breitbart and see you go well what's the point that's two years later nothing's found.
[13:59.000 --> 14:14.000]  The fact that you're under investigation triggers the the the domestic dis info group coming after you and not just putting out this info about you but financing lawsuits against you.
[14:14.000 --> 14:21.000]  Against info wars against Trump and then they'll just put out outrageous headlines that are all lies.
[14:21.000 --> 14:27.000]  And then have other people respond to those lies to create a total echo chamber of this information is remember.
[14:27.000 --> 14:37.000]  In the Washington Post in the Council on Fine Relations in seen at news congressional hearings I just showed you the articles they said we've legalized lying to you.
[14:37.000 --> 14:50.000]  Using US intelligence agencies what could go wrong well you've seen what could go wrong headline this morning I get up six o'clock I slept in Lake as it was a Sunday.
[14:50.000 --> 15:06.000]  I go to the enemy transmission arm the main command bases CNN enemy of the people works for the chai comms the EU sworn to stop an American recovery headline Trump secretly met with the Russians and destroyed evidence.
