[00:00.000 --> 00:29.000]  When I grow up, I want to be around you guys!
[00:29.000 --> 00:35.000]  We now take you live to the Central Texas Command Center in the heart of the Resistance.
[00:35.000 --> 00:38.000]  You're listening to Alex Jones.
[00:38.000 --> 01:06.000]  Ladies and gentlemen, it was a month ago, back on March 18th that the Russians put out a press release saying the rebels are preparing to launch stage false flag chemical attacks to keep us from pulling out and to keep the Civil War going and to get the United States to strike the central government.
[01:08.000 --> 01:16.000]  Well, that is exactly what then happened.
[01:16.000 --> 01:32.000]  I remember three separate times the rebels got caught by our own Pentagon and by the UN and others, we have the news articles I'm going to be covering them, staging chemical attacks.
[01:32.000 --> 01:48.000]  So even by Friday, the media wasn't saying Assad did it for sure and the Secretary of Defense Mattis was saying we don't have evidence that Assad or the Russians did this.
[01:48.000 --> 02:00.000]  And then at 8 o'clock at night, the cruise missiles start firing from the ships, the bombs start getting dropped from the B-1, aardvark bombers.
[02:00.000 --> 02:22.000]  And then if you go back, you remember all the tweets that Trump put out over and over and over and over and over and over and over again about how the West created the destabilization, brought in al-Qaeda,
[02:22.000 --> 02:30.000]  changed the name to ISIS that Hillary and Obama founded it, that we weren't going to take a shot out, that we're just going to beat ISIS.
[02:30.000 --> 02:39.000]  And then we were going to leave the sovereign nation. And now Trump does a 180 and adopts the policy.
[02:39.000 --> 02:45.000]  Here's Reuters, Hillary Clinton calls for U.S. to bomb Syria and airfields, says Trump's week last year.
[02:45.000 --> 02:52.000]  Here's Elizabeth Warren, Friday praising Trump, saying we must take action.
[02:52.000 --> 02:58.000]  And I've got all these other Democrats. Here was NBC News on Friday afternoon.
[02:58.000 --> 03:03.000]  Trump announced the strikes on Syria following suspected chemical weapons attack by his high forces.
[03:03.000 --> 03:07.000]  But by an hour later, it was a chemical attack.
[03:07.000 --> 03:22.000]  And by Friday night, it was conspiracy theorist Tucker Carlson, Laura Ingram and Alex Jones, our traitors, why they claim that the rebels are behind the chemical attack.
[03:22.000 --> 03:26.000]  No, the former head of British Special Forces has gone public.
[03:26.000 --> 03:28.000]  Now that article here.
[03:28.000 --> 03:36.000]  And he said that Assad had no motive and was winning, that the rebels have a history of staging chemical attacks.
[03:36.000 --> 03:41.000]  See, I have something called a pesky memory.
[03:41.000 --> 03:47.000]  And I was covering last week and Friday and right through yesterday.
[03:47.000 --> 03:52.000]  The RT article, it's in my stack from yesterday. I really want to cover that when we come back.
[03:52.000 --> 03:57.000]  So if you can't find it, Drudge had it in a Drudge search as his top story yesterday.
[03:57.000 --> 04:02.000]  And it was so heartening to go to Drudge and see where the Russians on the 18th said they're going to stage a chemical attack.
[04:02.000 --> 04:08.000]  Here's their history of doing it. Here's the motive. We wouldn't do this. Assad wouldn't do this. Assad gave up his chemicals.
[04:08.000 --> 04:13.000]  We oversaw it. Assad's never used it. Those are the facts.
[04:13.000 --> 04:19.000]  They go, oh, you're going with Russia propaganda. No, I remember the UN. I remember the Pentagon.
[04:19.000 --> 04:26.000]  I remember Senator Paul and Senator Cruz five years ago and Colonel Schaefer exposing that 95% of the rebels were al-Qaeda,
