[00:00.000 --> 00:02.000]  ["Pomp and Circumstance"]
[00:30.000 --> 00:49.000]  ["Pomp and Circumstance"]
[00:49.000 --> 00:50.000]  Hello, viewers.
[00:50.000 --> 00:53.000]  This is a special emergency transmission.
[00:53.000 --> 01:08.000]  I hope that things turn out to be a false alarm put out by the Mexican U.S. government, as well as the British government, the United Nations, the World Health Organization, and others.
[01:08.000 --> 01:22.000]  I'm going to be here live for the next two hours, and we're going to be opening the phones up coming up in about 30 minutes, and I'll give you that special in-studio toll-free line.
[01:22.000 --> 01:34.000]  We will not be using the Genesis phone numbers because this special transmission is only at infowars.com, prisonpana.com, on the audio streams, the radio listeners, and viewers at prisonplanet.tv.
[01:34.000 --> 01:42.000]  Again, thank you so much for joining us this evening with this important news and information that needs to be covered.
[01:42.000 --> 02:10.000]  And I will be asking later in the show four callers from Mexico City, South Texas, Kansas, Montreal, Canada, New York, and other areas where this new strain, this hybrid strain of bird flu, swine flu, i.e. pig flu, and human flu, a mixture from Asia, Europe, and North America.
[02:10.000 --> 02:20.000]  It's very rare to have a mutant strain from two different animals that actually can hurt people.
[02:20.000 --> 02:35.000]  And then to have it from three different continents and mix together and being generated from a single nation is really amazing.
[02:35.000 --> 02:43.000]  So we've got a ton of important information to cover on this front, all the latest news for you tonight.
[02:43.000 --> 02:52.000]  Let me just go over some of the headlines. I'm going to break down what I believe is really behind this and what we're facing.
[02:52.000 --> 03:05.000]  Mexico's Calderon declares emergency amid swine flu outbreak. They've basically locked down Mexico City. They're putting people in quarantine who have the flu.
[03:05.000 --> 03:15.000]  There are reports coming out that at least 68 are dead. Some reports are now saying it's over 200, but that they're covering that up not to create a panic.
[03:15.000 --> 03:28.000]  We're going to do that from the BBC as well coming up. Again, Mexico may take more flu control steps, Calderon says, expanding government power.
[03:28.000 --> 03:35.000]  Reuters headline, global flu pandemic fear grows, more U.S. cases.
[03:35.000 --> 03:43.000]  Venture capital firms set to reap rewards of the swine flu outbreak.
[03:43.000 --> 03:52.000]  Mexico may isolate patients with deadly swine flu. Then you read the articles. That's out of the New York Times. They're already doing it.
[03:52.000 --> 04:06.000]  Officials, eight New York City students probably have swine flu. It's confirmed in Kansas, confirmed in South Texas towns, San Antonio, Texas, confirmed in Canada and Montreal.
[04:06.000 --> 04:14.000]  So that is some of what is coming up. Headline deadly flu strain erupts in Mexico, U.S.
[04:14.000 --> 04:28.000]  Now, why is this so important when we have headlines like this one out of MSNBC? New U.S. swine flu cases spread pandemic fears.
[04:28.000 --> 04:36.000]  Why is that so important? You'll notice that I haven't really over the last four or five years with all the bird flu fear mongering by the governments of the world.
[04:36.000 --> 04:44.000]  Spent a lot of time on it, but in the last few months I have, because we've seen preparatory conditioning in the media for a controlled release.
[04:44.000 --> 04:57.000]  I've seen signs in the propaganda campaign that made me go on air in the last two months and say that I believe they may have some bird flu, swine flu scares
[04:57.000 --> 05:13.000]  that are preparatory trial balloons to test the public to see if the establishment wants to indeed release a controlled pathogen into the general population.
[05:13.000 --> 05:18.000]  There's a lot of facets to this I'm about to go over, so be patient here. This is all important.
[05:18.000 --> 05:24.000]  I'm going to try to be as calm as possible to cover all this in detail.
[05:24.000 --> 05:34.000]  We have to remember that the 1918 Spanish flu that killed between 40 and 60 million people, historians and governments argue about that.
[05:34.000 --> 05:50.000]  We have to remember that between, well some estimates are higher, but at least 40 million people died and that that broke out on U.S. military bases simultaneously in separate geographic areas.
[05:50.000 --> 05:55.000]  That's clearly a bio weapon.
[05:55.000 --> 06:10.000]  We know that the army nine years ago dug up the Spanish flu, went to whaling sites in the Arctic coast, and dug up dead whalers that had been frozen in the permafrost at the different cemeteries
[06:10.000 --> 06:19.000]  that had the very deadly strain of the bird flu, excuse me, of the Spanish flu in them that killed over 40 million people.
[06:19.000 --> 06:23.000]  Now why couldn't they just get it in the environment today? Because it mutates.
[06:23.000 --> 06:33.000]  Viruses always mutate. They mutate to a point, some of them that become deadly or damaging to humans or other animals that they're attacking if they're zoological.
[06:33.000 --> 06:41.000]  But when you have a really big pandemic, especially, they mutate very, very quickly because there's so much of the virus out there.
[06:41.000 --> 06:48.000]  They're always changing their form. That's why a lot of top scientists have looked at HIV, the virus that supposedly causes AIDS and have said that it's weaponized,
[06:48.000 --> 06:56.000]  because you notice it's been around for 30 plus years now, and it just keeps on killing.
[06:56.000 --> 07:05.000]  It's really just a name for a class of weaponized viruses, and we have the U.S. Patent Office documents on that and the Congressional Funding.
[07:05.000 --> 07:09.000]  It's the Weaponized Cancer Virus Research Program.
[07:09.000 --> 07:24.000]  They just had the anniversary a few days ago of Dr. Sox polio vaccine that gave over 200 million Americans the SV40 deadly cancer virus that the government admits has killed millions and millions of people with the formerly rare cancers that are now very, very common that it causes.
[07:24.000 --> 07:35.000]  It's also found in all major sewer supplies of the world, from India to China to the United States, because it is communicable and is continually passed on.
[07:35.000 --> 07:42.000]  It has mutated, and it's not as deadly as when it was first given, but sometimes it mutates to not be dangerous.
[07:42.000 --> 07:44.000]  Sometimes it mutated to be more dangerous.
[07:44.000 --> 07:51.000]  A lot of scientists believe in studies that's actually causing a lot of the autoimmune type diseases we're seeing, but that's amongst others.
[07:51.000 --> 07:53.000]  I'm just giving you some background records.
[07:53.000 --> 07:59.000]  Remember to ski in the black men giving them syphilis, letting them spread it to thousands of people, die over 45 years, painful deaths.
[07:59.000 --> 08:08.000]  You know about them nerve-gassing US troops and British troops and testers, the foster system grabbing children and radiating them to death.
[08:08.000 --> 08:09.000]  You didn't know about that.
[08:09.000 --> 08:10.000]  Just Google it.
[08:10.000 --> 08:11.000]  It's mainstream news.
