[00:00:02.529 --> 00:00:09.615]  We've got it.
[00:00:09.615 --> 00:00:13.998]  Waging war on corruption.
[00:00:13.998 --> 00:00:21.364]  It's Alex Jones coming to you live from the front lines of the Infowar.
[00:00:21.364 --> 00:00:26.868]  President Trump and Senate Majority Leader Mitch McConnell tried tirelessly to get a border wall funded.
[00:00:27.088 --> 00:00:37.114]  With fingers in their ears, Nancy Pelosi and Chuck Schumer wouldn't hear any of it, deceptively claiming it was President Trump and the Republicans that brought the government to a stalemate.
[00:00:37.114 --> 00:00:42.337]  And even though the facts have been presented repeatedly... You hear a lot of talk that there are experts
[00:00:42.677 --> 00:00:42.877]  This is
[00:01:04.841 --> 00:01:08.583]  The President has the support of the American people because they want to feel safe.
[00:01:08.583 --> 00:01:14.447]  The number one duty that the President has, and frankly that Congress shares with him, is to protect the people in this country.
[00:01:14.447 --> 00:01:16.528]  We have a national crisis at our border.
[00:01:16.528 --> 00:01:19.450]  We also have a humanitarian crisis at our border.
[00:01:19.450 --> 00:01:20.731]  And the President's not going to back off.
[00:01:20.931 --> 00:01:28.656]  Out of the 100 freshmen reporting for duty to the House and the 115th Congress, 64 of them were Democrats.
[00:01:28.656 --> 00:01:32.859]  But this is no longer a Democratic Party anyone recognizes.
[00:01:32.859 --> 00:01:40.164]  This new party touted the New Green Agenda, a multi-trillion dollar money pit focusing on a sure path to socialism
[00:01:40.464 --> 00:01:41.084]  People love you, and you win.
[00:01:41.084 --> 00:01:44.265]  And when your son looks at you and says, Mama, look, you won, bullies don't win.
[00:01:44.265 --> 00:01:45.486]  And I said, baby, they don't.
[00:01:45.486 --> 00:01:47.506]  Because we're going to go in there, we're going to impeach them all.
[00:02:04.281 --> 00:02:10.043]  While Governor Cuomo echoed the rise of democratic socialism in his acceptance speech.
[00:02:10.043 --> 00:02:29.390]  Just as FDR turned the frustration of the economic depression into a movement to pass the New Deal, let New York use the frustration of the social depression to pass a new justice agenda advancing social, racial, and economic justice.
[00:02:29.390 --> 00:02:31.991]  And let us address our issues
[00:02:33.351 --> 00:02:39.714]  Our very real issues with a progressive agenda, not a regressive agenda.
[00:02:39.714 --> 00:02:46.457]  An agenda that moves us up, forward, and united, not down, backwards, and divided.
[00:02:47.287 --> 00:02:56.852]  Blue Dog Democrat Tennessee Congressman Jim Cooper summed up the desperation among the eroding Democratic Party, tweeting, And even before Pelosi flubbed her speech and regained the gavel,
[00:03:11.380 --> 00:03:19.888]  The Associated Press reported Representative Brad Sherman intends to introduce articles of impeachment against President Trump.
[00:03:19.888 --> 00:03:30.258]  The LA Times had reported that Sherman's measure will accuse Trump of obstruction of justice in the firing of former FBI Director James Comey, among other things.
[00:03:30.518 --> 00:03:44.189]  So making sure that he, too, is not above it in the way that he has fired his investigator, or the way he's tried to pick his judges, the way that he's tried to, you know, get rid of his attorney general or put in place an attorney general that would try and end the Mueller investigation.
[00:03:44.189 --> 00:03:54.217]  So I think it's really explaining to the American people that investigations matter, whether it's upholding the Constitution, the rule of law, or issues that affect them at their kitchen table.
[00:03:54.217 --> 00:03:59.041]  President Trump reminded the American people that the case for the wall had not met defeat.
[00:03:59.281 --> 00:04:00.622]  You can call it a barrier.
[00:04:00.622 --> 00:04:02.382]  You can call it whatever you want.
[00:04:02.382 --> 00:04:04.663]  But essentially, we need protection in our country.
[00:04:04.663 --> 00:04:07.204]  We're going to make it good.
[00:04:07.204 --> 00:04:09.325]  The people of our country want it.
[00:04:09.325 --> 00:04:23.371]  I have never had so much support as I have in the last week over my stance for border security, for border control, and for, frankly, the wall or the barrier.
[00:04:24.193 --> 00:04:32.024]  I have never had anything like it in terms of calls coming in, in terms of people writing in and tweeting and doing whatever they have to do.
[00:04:32.024 --> 00:04:33.626]  I've never had this much support.
[00:04:33.626 --> 00:04:39.435]  However, Pelosi and company passed a plan in the House to reopen the government without funding the wall.
[00:04:40.355 --> 00:04:43.018]  The wall is an immorality.
[00:04:43.018 --> 00:04:45.139]  It's not who we are as a nation.
[00:04:45.139 --> 00:04:51.244]  And this is not a wall between Mexico and the United States that the president is creating here.
[00:04:51.244 --> 00:04:54.987]  It's a wall between reality and his constituents.
[00:04:55.447 --> 00:05:00.308]  Of course, Pelosi says this, knowing the immoral crimes against American citizens.
[00:05:00.308 --> 00:05:07.750]  Whether you're looking to boost the benefits of our fish oil formula, or just want an alternative, InfoWars Life has the formula for you.
[00:05:07.750 --> 00:05:16.452]  Ultimate Krill Oil is a powerhouse formula that takes advantages of the EPA, DHA, and Omega-3s found in our high-quality, ultra-pure krill oil concentrate.
[00:05:17.012 --> 00:05:26.090]  Containing powerful antioxidants such as acid xanthin and omega-3s, Ultimate Krill Oil can help you experience the benefits of fish oil with less required DHA and ETA.
[00:05:27.032 --> 00:05:38.479]  This incredible formula can help your body in many ways, including supporting heart health, joint health, and cognitive health, aiding and regulating fat metabolism, helping to maintain cognitive function, and more.
[00:05:38.479 --> 00:05:50.787]  And while other krill oil formulas may chemically modify their formulas, we're giving you the benefits of a simple formula that contains unmodified, high-quality krill oil concentrate, paired with our Ultimate Fish Oil or used separately.
[00:05:50.787 --> 00:05:54.109]  It's time to see what krill oil can do for you with Ultimate Krill Oil.
[00:05:54.429 --> 00:06:04.536]  Now available at InfoWarsStore.com.
[00:06:04.536 --> 00:06:07.198]  Waging war on corruption.
[00:06:07.198 --> 00:06:12.402]  It's Alex Jones, coming to you live from the front lines of the InfoWars.
[00:06:22.108 --> 00:06:44.446]  Well, it's the first day of the full new Congress, and the addled, dementia-ridden crime boss, Nancy Pelosi, has wasted no time with her cohorts as the Democratic Party moves into high gear to start the impeachment process of President Trump.
[00:06:44.446 --> 00:06:47.328]  And of course, that would start in the House with a vote for the indictment.
[00:06:49.076 --> 00:06:50.978]  And then that would go to the Senate.
[00:06:50.978 --> 00:06:55.522]  One branch of government trying to remove the head of another branch of government.
[00:06:55.522 --> 00:07:07.974]  And if President Trump doesn't take action against these criminals, and use the authority he has as the executive, it's a battle between sections of government, then he will deserve to be removed by these criminals.
[00:07:10.748 --> 00:07:38.050]  But looking at that collection of garbage yesterday on the Democratic side, the clown suits that the people were wearing, the bizarre mentally ill faces, you would think that it was a collection of homeless people who had been taken to a shopping mall by some joke reality show and dressed up in cartoon fancy suits.
[00:07:38.050 --> 00:07:40.092]  I mean, the Republicans have got their own problems.
[00:07:41.118 --> 00:07:57.988]  But the Democrats are a group of low IQ mentally ill criminals who've been put in place by mega corporations that have bought and paid for them so that they know they will do their exact bidding.
[00:07:57.988 --> 00:08:07.813]  Now, I got to the office a while ago today, but I didn't come sit in the chair until the broadcast had already started.
[00:08:07.813 --> 00:08:08.614]  And that's because
[00:08:13.368 --> 00:08:21.292]  I've been doing a lot of research on the Globalist Master Plan, and I've studied it in great detail.
[00:08:21.292 --> 00:08:35.399]  Not just what they put on the surface, but what their founding documents are, and what their real beliefs are, and what they actually follow, and what they actually stand for, and what they actually believe.
[00:08:41.656 --> 00:08:49.818]  I've told listeners that my biggest blind spot is that I don't watch a lot of movies, and I don't watch a lot of popular culture.
[00:08:49.818 --> 00:09:06.682]  I study news, I study technology, I study history, I study developments, but I tend to shy away from pop culture because there's so much programming in it, and it's so incredibly
[00:09:08.522 --> 00:09:15.225]  Overt that it's painful and a little bit of time that I'm not working.
[00:09:15.225 --> 00:09:18.587]  I choose not to look at it.
[00:09:18.587 --> 00:09:23.649]  Or I go into escapism and try to watch the good, the bad, the uglier.
[00:09:23.649 --> 00:09:27.051]  Something like that.
[00:09:27.051 --> 00:09:31.473]  I'm going to come in and work basically all day tomorrow.
[00:09:31.473 --> 00:09:35.275]  For my children and for myself and for you.
[00:09:35.275 --> 00:09:37.456]  And I'm doing it not because I'm some wonderful hero.
[00:09:38.928 --> 00:10:04.273]  I'm doing it because I want to survive and I want to try to control my own destiny and there is no doubt that there is a scientific elite on this planet who are in competition with each other but only in their competition to become absolutely dominant and to then carry out the orderly extinction
[00:10:06.414 --> 00:10:13.238]  They'd call it obsolete of the species.
[00:10:13.238 --> 00:10:14.238]  And that's a fact!
[00:10:14.238 --> 00:10:21.722]  And so, we can play the bizarre, bug-eyed Democrat-Islamicist, saying we're going to impeach that mother-effort.
[00:10:21.722 --> 00:10:29.546]  And we can play the bizarre Nancy Pelosi daughter on TV saying, my mother will cut the President's head off and he'll never know it.
[00:10:29.546 --> 00:10:33.988]  We can go through all these incredibly interesting clips and show it.
[00:10:33.988 --> 00:10:34.849]  The huge train wreck.
[00:10:36.226 --> 00:10:50.116]  You know, women from Islamic countries coming here and waving Palestinian and Islamic flags on election night and not even allowed to serve in government in most Muslim countries or drive cars.
[00:10:50.116 --> 00:10:54.418]  And they don't come here to try to get us to put pressure on those nations to free women.
[00:10:54.418 --> 00:10:55.499]  No, no.
[00:10:55.499 --> 00:11:03.705]  They come here and wear hijabs and go to our public schools and teach our little girls how to wear them like it's a fetishized, cool, feminist thing.
[00:11:13.490 --> 00:11:15.832]  So it's a plan.
[00:11:15.832 --> 00:11:17.373]  Yeah, I remember what they reported on last week.
[00:11:17.373 --> 00:11:23.219]  Women's march in mostly white city cancelled for being too white.
[00:11:23.219 --> 00:11:23.839]  Print me that again.
[00:11:23.839 --> 00:11:24.640]  I never covered that.
