[00:00.000 --> 00:10.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[00:10.000 --> 00:39.000]  Ladies and gentlemen, we're live. Thank you for joining us. It's the 28th day of January, 2018. I'm your host Alex Jones. We're going to be live here for the next two hours as we are every Sunday.
[00:40.000 --> 00:48.000]  4-6 p.m. Central. Dr. Jerome Corsi is going to host the last two segments of the broadcast today because I want to give him the floor.
[00:48.000 --> 01:11.000]  I have plenty to add about the phenomenon of QAnon that millions of people read on the H&N message boards and much of what QAnon has put out has turned out to be very accurate information. Some of it has not transpired exactly how QAnon said, but things are fluid and no one knows the future exactly.
[01:11.000 --> 01:33.000]  I know that we have some really high level military and intelligence agency sources that have been extremely accurate, in fact more accurate even, and they're stunning not just predictions, but exposing huge stories like Zach, who we should get back on here very, very soon, who's laid out the secrets of the storm.
[01:33.000 --> 01:58.000]  There is a storm worldwide of nationalism against globalism, a storm of populism taking place, and the globalists, the insiders, the monopoly men, are in a full panic to stop it and to brand it as racist or evil or all the rest of it because they are the people using race.
[01:58.000 --> 02:12.000]  They are the people using region. They are the people dumbing down the population and playing people off against each other. And so court seat will be on in the last two segments of today's transmission.
[02:12.000 --> 02:41.000]  Coming up at the bottom of the hour, I'm going to basically parallel World War II and some of the factors and some of the factions that the United States, Russia, and England faced versus the factions that you'll find the very same alliances face yet again because history does repeat, but it's been said it also rhymes.
[02:41.000 --> 02:54.000]  So that's coming up and what spurred me to think about this was I was invited to speak a few years ago at the Oxford Union, and then I was invited to speak at Cambridge as well.
[02:54.000 --> 03:21.000]  But I refused. I was in the middle of a contentious divorce with my first wife and a custody bottle at the time, so I didn't do that. But Roger Stone is going to speak there. And we were talking last night about what he was going to talk about and just the parallels of what he was going to talk about versus what we talk about here and what I was going to talk about are basically the same because we're looking at the same thing.
[03:21.000 --> 03:32.000]  But it really struck me how really black and white the issues are here and really how authoritarian and truly evil.
[03:32.000 --> 03:53.000]  It's globalist are but we'll have cameras there covering that because the Oxford Union and speaking to the faculty, you know, that's where Gandhi and Martin Luther King and Kennedy and everybody else has spoken. It's one of the most prestigious places to speak. And I didn't refuse it to snub them. I was just a hunkered down here, but I'm glad that Roger's going over there to do that.
[03:53.000 --> 04:16.000]  The invitation's open. I'll probably go do that sometime as well. But why not just give you kind of a little foretaste of what I intend when I speak someplace like Oxford to say here on air because it has an anglophilic vein through it.
[04:16.000 --> 04:28.000]  That's a particular speech I would give in England. But then I was thinking about that speech that I would give in England that I never gave because I didn't go. And I was thinking about, well, why not just give that speech here today.
[04:28.000 --> 04:35.000]  So I never wrote the speech that's in my head, but you're going to get that speech coming up at the bottom of the hour.
[04:35.000 --> 04:46.000]  I'm even thinking about putting a lectern in an area here in one of our studios where I can go give speeches. It's something about being an lectern and maybe even have a studio audience then sometimes.
[04:46.000 --> 05:00.000]  And I do that because as folks know, I haven't given a lot of speeches in years, but I did previously and folks said that's particularly where I shine is to a large group of audience. We'll be back. Stay with us.
[05:00.000 --> 05:10.000]  Climb to the top of the food chain with alpha power by info wars life for those who want to increase testosterone and energy levels.
[05:10.000 --> 05:18.000]  Most men know that testosterone levels begin to decline starting around 30 at a rate of about 1 to 2% per year.
[05:18.000 --> 05:25.000]  This drop can show signs such as fatigue, low energy, low sex drive and muscle loss.
[05:25.000 --> 05:31.000]  Alpha power is packed with some of the most potent and clinically tested ingredients on the market.
[05:31.000 --> 05:44.000]  The secret is in the synergistic blend of ancient ingredients that have been concentrated into their most potent forms, including uricoma, longifolia originally from Malaysia,
[05:44.000 --> 06:01.000]  makaroo from Peru, horny goatweed from China and tribulus from India. Reach your alpha male potential with alpha power. Get alpha power now at 50% off and secure your bottle today.
[06:15.000 --> 06:26.000]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[06:26.000 --> 06:33.000]  Ladies and gentlemen, I am your host Alex Jones. We're going to be here for the next two hours. Thank you so much for joining us.
[06:33.000 --> 06:38.000]  This is the live Sunday transmission. I've been doing this for 10 years.
[06:38.000 --> 06:45.000]  10 years here in the Sunday slot, 4 to 6 p.m. Then of course the weekday transmission, 11 a.m. to 3 p.m. Central.
[06:45.000 --> 06:54.000]  I've been doing that for 20 years. I've been on air for 23 years. It'll be 23 years coming up in April.
[06:54.000 --> 06:57.000]  Wow. Where to start?
[06:57.000 --> 07:03.000]  When you're embedded in the news and you really pay attention to what's going on and you actually know the facts
[07:03.000 --> 07:10.000]  versus what the mainstream corporate media is saying and you see their talking points, it's really frustrating.
[07:10.000 --> 07:16.000]  And I know most Americans have caught the lies, the propaganda, the twisting for themselves.
[07:16.000 --> 07:21.000]  But so much of the real brainwashing goes on inside entertainment.
[07:21.000 --> 07:27.000]  And have you ever asked why the so-called left, really the modern authoritarians, posing as liberals,
