[00:00:00.149 --> 00:00:03.451]  The GCN Radio Network.
[00:00:03.451 --> 00:00:14.437]  Blake Manson is an investigative journalist, nationally distributed columnist, and author who has covered DC politics, national security, and intelligence issues since 1994 when he got out of government.
[00:00:14.437 --> 00:00:21.161]  He's written for The Village Voice, The Progressive, CAQ, Counterpunch, The Intelligence Newsletter, based in Paris, Madison.
[00:00:21.161 --> 00:00:24.143]  He is an author of Genocide and Covert Operations in Africa.
[00:00:25.356 --> 00:00:32.231]  A co-author of America's Nightmare, The Presidency of George Bush II, and the forthcoming Jaded Test, Big Oil, Black Ops, Brass Place.
[00:00:32.231 --> 00:00:35.699]  I want to get that book in our bookstore when he comes out with it.
[00:00:36.597 --> 00:00:37.738]  And, uh, so much more.
[00:00:37.738 --> 00:00:40.900]  The Handbook of Personal Data Protection, London Macmillan, 92.
[00:00:40.900 --> 00:00:42.201]  That was a best seller.
[00:00:42.201 --> 00:00:43.723]  Madison is a former U.S.
[00:00:43.723 --> 00:00:47.265]  Naval officer who was assigned to the National Security Agency during the Reagan Administration.
[00:00:47.265 --> 00:00:50.328]  He also had some 20 years' experience in computer security and data privacy.
[00:00:50.328 --> 00:01:00.675]  He's also worked at the National Data Automation Command, Department of State, RCA Corporation, and Computer Science Corporation that bought Dyncor, by the way, and doesn't like me too much.
[00:01:00.675 --> 00:01:03.277]  Got the direct word they're angry with me here locally.
[00:01:03.277 --> 00:01:04.979]  Just say hi to those boys.
[00:01:05.903 --> 00:01:11.572]  And before I go any further, Wayne Madsen, I appreciate joining us today on short notice.
[00:01:11.572 --> 00:01:17.422]  I want to quickly go back to that one caller that I was just talking to before the break.
[00:01:18.421 --> 00:01:19.982]  Thanks for holding me over, Alex.
[00:01:19.982 --> 00:01:22.204]  I'm also looking forward to hearing Wayne's interview with you.
[00:01:22.204 --> 00:01:24.946]  The reason I say I'm optimistic is because here's a guy, Bush.
[00:01:39.901 --> 00:01:47.143]  I mean, it's a blue moon when he does a press release or a press conference and addresses to the nation.
[00:01:47.143 --> 00:01:48.663]  And we got three in a row!
[00:01:48.663 --> 00:01:51.084]  He hates these like the devil hates holy water.
[00:01:51.084 --> 00:01:52.684]  And he's got to do more spinning.
[00:01:52.684 --> 00:01:56.605]  He's done more spinning in the past week than he's done in about three years.
[00:01:56.605 --> 00:02:03.547]  So I think the message is getting out, and I think a lot of these politicians are getting a lot of questions and a lot of very furrowed brows from people.
[00:02:03.547 --> 00:02:05.187]  And one last thing, Alex, before I go.
[00:02:05.768 --> 00:02:12.019]  My new selectman, the old one who wanted to combine the police and the National Guard, got defeated for the last election.
[00:02:12.019 --> 00:02:18.992]  And I told her about your website and she wants some DVDs and I'm going to make them to her and I'm going to give them to her before the end of the year.
[00:02:20.043 --> 00:02:20.383]  Good.
[00:02:20.383 --> 00:02:21.724]  You keep it up and God bless you.
[00:02:21.724 --> 00:02:22.324]  Thank you Alex.
[00:02:22.324 --> 00:02:24.185]  It's people like that that are saving this country.
[00:02:24.185 --> 00:02:25.285]  They didn't about left or right.
[00:02:25.285 --> 00:02:27.986]  Bill Clinton spied on you.
[00:02:27.986 --> 00:02:30.167]  Back in Kennedy's day they did.
[00:02:30.167 --> 00:02:32.368]  But now it's mechanized.
[00:02:32.368 --> 00:02:33.168]  And I hope you're right.
[00:02:33.168 --> 00:02:37.070]  I hope Bush is giving three mindless speeches because he is in trouble.
[00:02:37.070 --> 00:02:37.750]  But I'm telling you,
[00:02:38.633 --> 00:02:42.895]  The globalists can't carry out another attack because people will say, oh, you screwed up.
[00:02:42.895 --> 00:02:50.278]  But if they can act like we defeated the Patriot Act, and then harp on how we tied their hands, they can get a lot of gas mileage out of it.
[00:02:50.278 --> 00:02:52.199]  We've already stopped them carrying out other attacks.
[00:02:52.199 --> 00:02:53.159]  Believe me, folks.
[00:02:53.159 --> 00:02:55.140]  By being bold, by being out in the open.
[00:02:55.140 --> 00:03:00.663]  We'll find out if Wayne Madsen of WayneMadsenReport.com agrees with us on that.
[00:03:00.663 --> 00:03:01.303]  But I know this.
[00:03:01.303 --> 00:03:02.884]  James Bamford reported on it.
[00:03:02.884 --> 00:03:04.845]  He was there at the time.
[00:03:04.845 --> 00:03:05.445]  Our guest was.
