[00:00.000 --> 00:20.000]  You can run on for a long time, run on for a long time, run on for a long time.
[00:20.000 --> 00:28.000]  Sooner or later, gotta cut you down, sooner or later a William Barr gonna cut you down.
[00:28.000 --> 00:31.000]  Go tell that long, don't lie.
[00:31.000 --> 00:50.000]  Yeah, they seem to be real afraid of Mr. Barr. Welcome into the Alex Jones show this Sunday, May 19th, 2019. And we've got a special guest coming up today.
[00:50.000 --> 01:01.000]  Oh, and Troy are filling in for Alex, but we will be hearing from Alex in the next segment with some breaking news on Ilhan Omar.
[01:01.000 --> 01:14.000]  Yes, she's now admitting that we have a problem with immigration and so I think she's gonna go back to Somalia, but Alex has the latest on that.
[01:14.000 --> 01:34.000]  But Soph, the young YouTuber who was kicked off YouTube for hate based videos, 14 year old girl that was really just doing satire, but you're not allowed to make fun of Islam.
[01:34.000 --> 02:03.000]  You can make fun of Christians and everything else, but not Mohammed. And so, Soph joins us in the second hour and there's now what she's gonna be updating us on this news story, police investigating after North Bay teen makes hate based videos.
[02:03.000 --> 02:13.000]  And you know, it's funny because I was thinking about doing something with these viral tweets that show up, you know, I realize a lot of this audience probably doesn't use Twitter.
[02:13.000 --> 02:31.000]  We got a big AM radio audience, FM radio audience today. But there's these viral tweets and a lot of them are always targeting or it's always, let's say you can find, you can quote, find white people in these tweets a lot.
[02:31.000 --> 02:40.000]  And I sometimes want to take these viral tweets and quote them and just replace white with black and just would see what would happen to me.
[02:40.000 --> 02:44.000]  I think I'd be bad.
[02:44.000 --> 02:50.000]  But that's kind of the basis that we have here.
[02:50.000 --> 03:01.000]  And so Soph will be joining us in the second hour. But again, Alex Jones with a breaking report on Ilhan Omar.
[03:01.000 --> 03:10.000]  We hear that she may be going back to Somalia to miss that.
[03:10.000 --> 03:23.000]  There is a major development happening right now about a month ago.
[03:23.000 --> 03:27.000]  And then a few days ago they launched it.
[03:27.000 --> 03:40.000]  They started doing DNA testing at the border when it came to people trying to come in seeking asylum with children.
[03:40.000 --> 04:04.000]  Now, this is just a pilot test of this program and a couple jurisdictions here, but 30% that is almost a third of the DNA test reveal fraudulent migrant families, not related, almost a third in this short pilot test.
[04:04.000 --> 04:10.000]  And we're talking about Texas here, folks.
