[00:00:09.372 --> 00:00:13.456]  The system isn't broken.
[00:00:13.456 --> 00:00:15.998]  The system was built.
[00:00:15.998 --> 00:00:19.121]  The system was designed.
[00:00:19.121 --> 00:00:24.385]  The Globalist Corporate World Government Cashless Society system
[00:00:25.695 --> 00:00:46.219]  is a architecture and infrastructure to scientifically, economically, culturally, spiritually demolish all of the organic human systems that have organically developed and grown our technological world.
[00:00:47.591 --> 00:00:54.533]  And the technological world is now being turned from serving humanity to destroying humanity.
[00:00:54.533 --> 00:00:57.034]  There's always been elements of this.
[00:00:57.034 --> 00:00:59.974]  Look at war making and things like that.
[00:00:59.974 --> 00:01:11.758]  But this, ladies and gentlemen, is a ruling class decision by the aristocracy, that's how they see themselves, against
[00:01:13.061 --> 00:01:20.590]  We the people and the populist movement that they call the tyrants.
[00:01:20.590 --> 00:01:31.483]  Now I know that most listeners don't blame me for not studying ancient Greece and where the modern philosophies came from, but it's very informative to understand the thinking of the globalists.
[00:01:32.549 --> 00:01:52.684]  Developed different systems on the Greek islands that then created competing systems that created the synthesis of the different models of governments that grew into Rome and then during the Dark Ages, of course, the Renaissance and then the United States, which in our modern system became the model of the world.
[00:01:52.684 --> 00:01:56.247]  There is now a systematic program to remove that.
[00:01:57.489 --> 00:02:08.194]  The reason I mention this is later in the hour, I'm going to break down the historical systems and the synthesis out of ancient Greece.
[00:02:08.194 --> 00:02:09.635]  I'm just going to do a quick breakdown on it.
[00:02:09.635 --> 00:02:13.877]  It's much more complex and much more interesting, but we won't have that much time today.
[00:02:13.877 --> 00:02:17.299]  And then I will put it in context to what's currently happening.
[00:02:17.299 --> 00:02:24.283]  I want to thank you all for joining us on this Wednesday worldwide transmission.
[00:02:25.436 --> 00:02:32.420]  I am your host, Alex Jones, and the big news we're going to be breaking down is, well, quite extensive.
[00:02:32.420 --> 00:02:41.585]  But the first big thing I want to lay out is the accelerating purge of what the globalists see as the number one threat.
[00:02:41.585 --> 00:02:45.267]  And they see that as tyrannists or the tyrant.
[00:02:46.414 --> 00:02:50.257]  I am seen as a tyrant model that they fear greatly.
[00:02:50.257 --> 00:02:55.962]  Trump is seen as the ultimate tyrant model that they fear at the greatest level.
[00:02:55.962 --> 00:02:58.785]  Elon Musk is now a competing tyrant.
[00:02:58.785 --> 00:03:00.306]  Now people are going to be confused by this.
[00:03:00.306 --> 00:03:03.849]  They're going to say, aren't tyrants bad?
[00:03:03.849 --> 00:03:10.575]  Words change in their popular meaning in different nomenclature of different cultures.
