[00:00.000 --> 00:08.880]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:08.880 --> 00:15.800]  It's Alex Jones and the GCN Radio Network.
[00:15.800 --> 00:29.960]  Ladies and gentlemen, thank you for joining us on this August 11, 2000.
[00:29.960 --> 00:39.960]  On this Thursday broadcast, we have cleared the deck of guests, though I may still book some as news develops today,
[00:39.960 --> 00:47.960]  so that we can do some in-depth analysis of what's happening in the 2016 election, but also what's happening with the world economy.
[00:47.960 --> 00:53.960]  Major German banks are on the verge of collapsing. That's even mainstream German news.
[00:53.960 --> 01:04.960]  These are much, much bigger financial institutions in magnitude compared to Lehman Brothers that supposedly triggered the 2007-2008 crisis,
[01:04.960 --> 01:10.960]  from which the world has never come out of the Depression.
[01:10.960 --> 01:16.960]  Also, as we've been saying for three years, Hillary is the founder of ISIS along with Obama.
[01:16.960 --> 01:22.960]  I've also made the point that Hillary, when she was the head of the State Department, was the commander of Al Qaeda.
[01:22.960 --> 01:28.960]  Donald Trump is hammering back against them with that information.
[01:28.960 --> 01:33.960]  Now, obviously, that's a fact. Congress has had hearings about it. The generals have gone public.
[01:33.960 --> 01:39.960]  The former head of Defense Intelligence, General Flynn, has gone public. He was relieved of command two years ago,
[01:39.960 --> 01:44.960]  because he was following the orders of the chairman of the Joint Chiefs of Staff at the time.
[01:44.960 --> 01:59.960]  Dempsey to give Russian satellite intel and targeting information on ISIS and to not deliver weapons to Al Qaeda slash ISIS as ordered to do.
[01:59.960 --> 02:07.960]  And General Flynn is on record talking about that. He's also on record saying Hillary should be arrested at the RNC.
[02:07.960 --> 02:13.960]  That's the former head of Defense Intelligence and the guy that reorganized Special Forces and is highly respected.
[02:13.960 --> 02:18.960]  So when we get up here and we talk about putting Hillary in prison, that's not rhetoric.
[02:18.960 --> 02:23.960]  That's not to sound tough. That's the bare minimum.
[02:23.960 --> 02:36.960]  And believe me, in modern U.S. history, when you've got the head of Defense Intelligence going on Al Jazeera and talking about,
[02:36.960 --> 02:44.960]  we were ordered to arm Al Qaeda and ISIS. Oh, so Obama didn't know it was an accident. No, we were ordered. They knew. That's the plan.
[02:44.960 --> 02:48.960]  He's risking his life in a big, big way, and so is Donald Trump.
[02:48.960 --> 02:58.960]  And it's not a love affair with Donald Trump. It's not that I'm fascinated by being, you know, padded on the head by a major presidential contender.
[02:58.960 --> 03:08.960]  It's that he is a trailblazer. He knows what he's talking about, and he's surrounded by a lot of great patriots that are risking everything to tell you what's really happening.
[03:08.960 --> 03:25.960]  Again, I had the state police when he was governor, and then I had the federal marshals once he was first president-elect and secret service reach out to me.
[03:25.960 --> 03:35.960]  That George W. Bush wanted me to say some nice things about him on air, that he was going to be watching, and that he would then invite me over to the governor's mansion.
[03:35.960 --> 03:44.960]  Never told anybody that story. One time they came down to the TV studio and said, he's going to be watching tonight. He really likes you.
[03:44.960 --> 03:55.960]  It's when I'm on local radio, syndicated here and there, but on access television. And he really thinks, you know, that you've got the whole Bush family wrong and stuff. He's really a great guy. He's going to be watching tonight.
[03:55.960 --> 04:00.960]  And maybe next week or something, you come down and visit with him.
[04:00.960 --> 04:06.960]  Did I roll over to George W. Bush because of that? The answer is no.
[04:06.960 --> 04:18.960]  When I'm up here defending Trump with everything I've got, it's because I know he's for real. He's putting his life on the line. And this is a great opportunity for this country to put serious death blows to the New World Order.
[04:18.960 --> 04:24.960]  And look at the alternative, Hillary Clinton, who is coming after this country's jugglers.
[04:24.960 --> 04:38.960]  So when I tell you those stories, I don't tell you those stories to make us sound big. It's because at this point, folks need to understand the history of info wars and what we've already been through and now why we're here today for not compromising.
[04:38.960 --> 04:49.960]  And when I'm sitting here totally behind Trump, it's because I know from 25 years of work that he's the real deal, bonafide for sure.
[04:49.960 --> 04:56.960]  That's why the power structure is throwing everything they've got against him. We'll be back. It's a big broadcast lined up today.
[05:19.960 --> 05:28.960]  Rich was murdered because as a data analyst, he could have been the DNC staffer responsible for leaking the 20,000 damaging DNC emails to WikiLeaks.
