[00:00:01.583 --> 00:00:12.193]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:00:12.193 --> 00:00:18.759]  Already into the third and final hour, eight minutes into the third and final hour of the Alex Jones Show.
[00:00:18.759 --> 00:00:19.880]  It's real talk radio.
[00:00:19.880 --> 00:00:24.044]  We talk about issues that actually affect you and your family.
[00:00:24.044 --> 00:00:27.587]  I do this show Monday through Friday from 11 to 2 Central.
[00:00:28.337 --> 00:00:37.586]  Then back from 9 to midnight central, the websites are InfoWars.com, InfoWars.net, and PrisonPlanet.com.
[00:00:37.586 --> 00:00:49.817]  Now about a year ago, there was a USA Today article about how half of Walmart products by this year, it's what they had said, were going to have these tiny RFID trackers chips in them, developed by the Office of Naval Intelligence.
[00:00:50.848 --> 00:00:53.432]  Itachi manufactures them along with many others.
[00:00:53.432 --> 00:00:58.138]  They're now going to be in all the Gillette products, Target, everybody's going to carry them, Procter & Gamble.
[00:00:58.138 --> 00:00:59.280]  The list goes on and on.
[00:01:01.907 --> 00:01:05.129]  And they want to track and trace you as you drive around town.
[00:01:05.129 --> 00:01:06.651]  Now, the article said that.
[00:01:06.651 --> 00:01:16.097]  And now, in San Francisco, last week, last Monday, the San Mato Times reported that now the whole city is going to be a tollway.
[00:01:16.097 --> 00:01:18.319]  They've got radio readers on the roads.
[00:01:18.319 --> 00:01:22.902]  Your individual transponder in your car, by law, they're going to track and trace you with it.
[00:01:22.902 --> 00:01:26.965]  So this is the plan with these systems.
[00:01:26.965 --> 00:01:27.886]  About two weeks ago,
[00:01:29.131 --> 00:01:44.356]  I was on a radio show that I've been on several times in the hometown of Walmart up in Arkansas and on the Frank Whalen Show and one of his listeners inside Walmart had faxed him, oh I don't know, twenty-something pages of
[00:01:45.146 --> 00:01:47.227]  Internal, not for distribution.
[00:01:47.227 --> 00:01:54.070]  It said the operative word was confidential information about their RFID system.
[00:01:54.070 --> 00:01:57.011]  They've got like a bunker bill for national tracking.
[00:01:57.011 --> 00:01:59.652]  All the Walmart stores are run by it.
[00:01:59.652 --> 00:02:04.794]  And it mentions the toll road capacity for it in one of the pages.
[00:02:04.794 --> 00:02:14.118]  And how Walmart, who has 33% of all retail sales, if they say that they want it in all the products, then all the manufacturers have to put it in standard.
[00:02:15.206 --> 00:02:16.908]  Okay, and they're going to sell through Walmart.
[00:02:16.908 --> 00:02:24.896]  That causes the whole industry to do this, and there was actually an article in CNET News last week, I kept pointing this out, that would cause the whole industry to do this.
[00:02:24.896 --> 00:02:36.968]  CNET News said, yeah, Walmart gets behind RFID, and so by Walmart doing this with 33% now of total retail sales of all products, this will cause everybody to have to do this.
[00:02:38.624 --> 00:02:47.766]  Then I was also told by his sources inside Walmart that they are hooked into Homeland Security, that FBI is inside the infrastructure system.
[00:02:47.766 --> 00:02:48.947]  Well, this has already been announced.
[00:02:48.947 --> 00:03:06.711]  I have read John Tate on C-SPAN last year, early 2000, at a Homeland Security meeting before it was even funded, saying infrastructure protection means troops in all the bridges, the roads, the major factories, power plants, major distribution centers.
[00:03:08.261 --> 00:03:09.234]  This is it.
[00:03:09.234 --> 00:03:09.801]  And, uh...
[00:03:11.030 --> 00:03:14.231]  Catherine Albrecht, if I'm pronouncing that right, we've had her on before.
[00:03:14.231 --> 00:03:16.693]  Albrecht has been on the show.
[00:03:16.693 --> 00:03:38.022]  Catherine Albrecht is the founder and director of Caspian, Consumers Against Supermarket Privacy Invasion, and she got into this years ago over the fact that Kroger's and many other big chains, Safeway, sell the information, upload the data, through the federal government of what you buy, they sell it to junk mailers, they use it in a whole host of issues,
[00:03:38.822 --> 00:03:39.302]  We're good to go.
[00:04:01.048 --> 00:04:04.152]  And Catherine, it's good to have you on the show.
[00:04:04.152 --> 00:04:06.895]  Hey Alex, you've been doing great work.
[00:04:06.895 --> 00:04:08.196]  And am I pronouncing your name right?
[00:04:08.196 --> 00:04:09.318]  It's Albrecht.
[00:04:09.318 --> 00:04:13.342]  It's A-L-B-E-R-E-C-H-T with a silent H. Albrecht.
[00:04:13.342 --> 00:04:14.643]  Albrecht.
[00:04:14.643 --> 00:04:15.685]  I'm public school educated.
[00:04:15.685 --> 00:04:16.165]  I have trouble.
[00:04:16.165 --> 00:04:16.986]  Nice name.
[00:04:16.986 --> 00:04:22.212]  I've had you on before and I'm sitting here in my office with a stack of a ballot the last two weeks.
[00:04:23.425 --> 00:04:24.045]  800 articles.
[00:04:24.045 --> 00:04:25.067]  I've been digging through them.
[00:04:25.067 --> 00:04:26.488]  I have the faxes right here.
[00:04:26.488 --> 00:04:28.390]  I'll give you the number to Frank Whalen.
[00:04:28.390 --> 00:04:31.514]  I keep saying I'll put them on the net, and I'll get to that.
[00:04:31.514 --> 00:04:32.695]  It'll just take hours to do it.
[00:04:32.695 --> 00:04:33.516]  We've been overwhelmed.
[00:04:33.516 --> 00:04:43.768]  But basically, what's in these documents has already been said publicly, but I'm sure Frank will fax them to you, or we will, but you have some of your own information on the RFID in Walmart.
[00:04:44.452 --> 00:04:52.821]  Well, I just got back from spending three days in Chicago last week at probably the world's first annual RFID adoption conference.
[00:04:52.821 --> 00:04:57.286]  And this coincided, it was in Chicago, coincided with the annual retailer conference there.
[00:04:57.286 --> 00:05:00.129]  Tell us what RFID is for those who don't know.
[00:05:00.129 --> 00:05:03.833]  Well, RFID stands for Radio Frequency Identification.
[00:05:03.833 --> 00:05:04.974]  They are tiny computers.
[00:05:05.014 --> 00:05:05.835]  We're good to go.
[00:05:23.078 --> 00:05:32.143]  So, by unique identifying number, we're talking about a computer chip that's so tiny that it can't hold a whole lot of data, but what it can hold is a 64 or a 96-bit number.
[00:05:32.143 --> 00:05:33.964]  Now, I read an article about Hitachi.
[00:05:33.964 --> 00:05:37.126]  They've got a chip half the size of a grain of sand.
[00:05:37.856 --> 00:05:46.983]  With a microscopic, tiny hair size antenna that is made to be woven into fabric so you do not see the antenna.
[00:05:46.983 --> 00:05:47.443]  Right.
[00:05:47.443 --> 00:05:49.385]  So these come in a whole range of sizes.
[00:05:49.385 --> 00:05:52.968]  There are some that actually integrate the antenna with the microchip.
[00:05:52.968 --> 00:05:57.771]  What the antenna size affects is actually the distance of transmission.
[00:05:58.712 --> 00:06:01.473]  Let me just run your listeners through if they're not familiar with this technology.
[00:06:01.473 --> 00:06:08.037]  Let me kind of explain what it is and then we can get into some of the details of how the technology affects it.
[00:06:08.037 --> 00:06:19.463]  The creators of this technology, this actually got its jump start in 1999 when the Massachusetts Institute of Technology and Procter & Gamble got together and formed something called the Otto ID Center.
[00:06:19.463 --> 00:06:22.685]  You can find them online at ottoidcenter.org.
[00:06:22.685 --> 00:06:24.686]  Otto standing for automatic, not automobile.
[00:06:25.166 --> 00:06:33.978]  The Auto ID Center now has over 90 worldwide sponsors, some of the largest consumer product manufacturing companies in the world, the Department of Defense, the U.S.
[00:06:33.978 --> 00:06:41.248]  Postal Service, UPS, Walmart, Target, Home Depot, Procter & Gamble, Philip Morris, Johnson & Johnson.
[00:06:41.768 --> 00:06:42.749]  Big, big companies.
[00:06:42.749 --> 00:06:43.589]  Yeah, exactly.
[00:06:43.589 --> 00:06:54.554]  So, most of the stuff that we buy as consumers are somehow kind of floating around being involved in this, whether they've donated money directly or not, or are sponsors or not.
[00:06:54.554 --> 00:07:02.958]  Now, what happened in 1999, they decided to take this technology, which had been around for a while for military and other applications, and go commercial with it.
[00:07:02.958 --> 00:07:08.841]  And the ultimate goal of these chips is that they ultimately are supposed to replace the barcode.
[00:07:09.401 --> 00:07:11.924]  Now, unlike a barcode, let's talk about a barcode for a minute.
[00:07:11.924 --> 00:07:14.807]  The barcode was introduced in 1973.
[00:07:14.807 --> 00:07:24.717]  It did not gain wide adoption until Walmart once again actually pushed in the 1980s for its suppliers to adopt it, and Walmart was the 800-pound gorilla even back 20 years ago.
[00:07:24.717 --> 00:07:29.603]  Now, again, to explain this, by saying that anybody who sells us has to have this,
[00:07:30.163 --> 00:07:33.544]  That changes a system-wide shift over to the tracking chip.
[00:07:33.544 --> 00:07:43.947]  You've got it, because what you do is you say to, you know, somebody selling one brand of crackers, you know, hey, you either get this barcode on your box, or we're going to switch to your competitor who will get the barcode on their box.
[00:07:43.947 --> 00:07:50.729]  And so the retailers now can drive what the manufacturers are doing, and that's what Walmart's up to today.
[00:07:50.729 --> 00:07:57.931]  So the background on the barcode is that Walmart played a very key instrumental role in getting barcodes on all products around the 1980s.
[00:07:59.231 --> 00:08:05.115]  It's now that we've had the barcode around for about 30 years, they're now ready to move us to the next step of this.
[00:08:05.115 --> 00:08:06.836]  And the next step is this tiny chip.
[00:08:06.836 --> 00:08:09.818]  Now let me explain how the chip is different from a barcode.
[00:08:09.818 --> 00:08:18.403]  Unlike a barcode where your can of Coke and my can of Coke contain the exact same serial number, it's called a UPC or Universal Product Code number,
[00:08:19.023 --> 00:08:21.844]  Right now, Arkans and Coke have the same number on them.
[00:08:21.844 --> 00:08:29.388]  With this new RFID chip, it will contain a number called an EPC, standing for Electronic Product Code.
[00:08:29.388 --> 00:08:36.651]  And what the EPC does, the plan of this, is to put a unique identifying number on every item on the planet.
[00:08:36.651 --> 00:08:37.792]  And let me break this down.
[00:08:37.792 --> 00:08:42.214]  This is the Surveillance Total Information Awareness Network system.
[00:08:42.214 --> 00:08:43.555]  We already know grocery stores.
[00:08:43.555 --> 00:08:46.336]  This is admitted in my new film, Police State 3 Total Enslavement.
[00:08:47.088 --> 00:08:53.679]  We have a local newscast where they say it's hooked into the driver's license database to your digital thumbprint.
[00:08:53.679 --> 00:08:54.941]  It's for security.
[00:08:54.941 --> 00:08:56.885]  You thumb scan when you go to the grocery store.
[00:08:57.905 --> 00:09:06.249]  Then years ago, they made you thumb scan to get a driver's license or an ID, which you have to have a job or a bank account to live.
[00:09:06.249 --> 00:09:13.973]  Now it's a cashless society connection for the global taxation the UN is pushing for the standardization.
