[00:00.000 --> 00:02.000]  ["Pomp and Circumstance"]
[00:30.000 --> 00:34.000]  and
[00:34.000 --> 00:38.000]  and
[00:38.000 --> 00:42.000]  and
[00:42.000 --> 00:46.000]  and
[00:46.000 --> 00:50.000]  and
[00:50.000 --> 00:54.000]  and
[00:54.000 --> 00:58.000]  and
[00:58.000 --> 01:02.000]  and
[01:02.000 --> 01:06.000]  and
[01:06.000 --> 01:10.000]  and
[01:10.000 --> 01:14.000]  and
[01:14.000 --> 01:18.000]  and
[01:18.000 --> 01:22.000]  and
[01:22.000 --> 01:26.000]  and
[01:26.000 --> 01:30.000]  and
[01:30.000 --> 01:34.000]  and
[01:34.000 --> 01:38.000]  and
[01:38.000 --> 01:42.000]  and
[01:42.000 --> 01:46.000]  and
[01:46.000 --> 01:50.000]  and
[01:50.000 --> 01:54.000]  and
[01:54.000 --> 01:58.000]  and
[01:58.000 --> 02:02.000]  and
[02:02.000 --> 02:06.000]  and
[02:06.000 --> 02:10.000]  and
[02:10.000 --> 02:14.000]  and
[02:14.000 --> 02:18.000]  and
[02:18.000 --> 02:22.000]  and
[02:22.000 --> 02:26.000]  and
[02:26.000 --> 02:30.000]  and
[02:30.000 --> 02:34.000]  and
[02:34.000 --> 02:38.000]  and
[02:38.000 --> 02:42.000]  and
[02:42.000 --> 02:46.000]  and
[02:46.000 --> 02:50.000]  and
[02:50.000 --> 02:54.000]  and
[02:54.000 --> 02:58.000]  and
[02:58.000 --> 03:02.000]  and
[03:02.000 --> 03:06.000]  and
[03:06.000 --> 03:10.000]  and
[03:10.000 --> 03:14.000]  and
[03:14.000 --> 03:18.000]  and
[03:48.000 --> 03:52.000]  and
[03:52.000 --> 03:56.000]  and
[03:56.000 --> 04:00.000]  and
[04:00.000 --> 04:04.000]  and
[04:04.000 --> 04:08.000]  and
[04:08.000 --> 04:12.000]  and
[04:12.000 --> 04:16.000]  and
[04:16.000 --> 04:20.000]  and
[04:20.000 --> 04:24.000]  and
[04:24.000 --> 04:28.000]  and
[04:28.000 --> 04:32.000]  and
[04:32.000 --> 04:36.000]  and
[04:36.000 --> 04:40.000]  and
[04:40.000 --> 04:44.000]  and
[04:44.000 --> 04:48.000]  and
[04:48.000 --> 04:52.000]  and
[04:52.000 --> 04:56.000]  and
[04:58.000 --> 05:02.000]  and
[05:02.000 --> 05:06.000]  and
[05:06.000 --> 05:10.000]  and
[05:10.000 --> 05:13.340]  Now, what public safety looks like for us?
[05:13.340 --> 05:15.140]  It means her in charge of the police.
[05:15.140 --> 05:17.860]  You talk about frightening.
[05:17.860 --> 05:19.940]  You talk about delusional crazy people,
[05:19.940 --> 05:23.820]  all funded by Gates, the UN, replacement migration.
[05:23.820 --> 05:26.580]  This is just a nightmare scenario, ladies and gentlemen.
[05:26.580 --> 05:29.340]  And see, it's Stockholm syndrome to love it
[05:29.340 --> 05:32.860]  and think it's your friend and to go along with it
[05:32.860 --> 05:36.540]  when all it's doing is creating a post-human world.
[05:37.980 --> 05:39.900]  And that's why we're taught to hate ourselves.
[05:39.900 --> 05:41.780]  It's why we're taught that America sucks.
[05:41.780 --> 05:43.480]  It's why you're taught that humans are bad.
[05:43.480 --> 05:45.420]  It's so an evil group of people
[05:45.420 --> 05:48.700]  will have you just basically commit cultural suicide
[05:48.700 --> 05:51.100]  and stand down so they rule you,
[05:51.100 --> 05:52.460]  so they can get rid of you.
[05:52.460 --> 05:56.940]  We're live, ladies and gentlemen.
[05:56.940 --> 05:59.740]  There's been a giant explosion in Beirut.
[05:59.740 --> 06:02.460]  The latest on that and so much more.
[06:02.460 --> 06:04.700]  Safe for lockdown being announced.
[06:04.700 --> 06:06.180]  This is the battle for humanity.
[06:06.180 --> 06:11.180]  This is the AI takeover.
[06:11.180 --> 06:12.540]  Been on air in 26 years.
[06:12.540 --> 06:14.700]  Starting about 24 years ago,
[06:14.700 --> 06:17.980]  I began to get calls from major Hollywood directors,
[06:17.980 --> 06:19.700]  producers, actors.
[06:19.700 --> 06:21.500]  They wanted to meet with me and they said,
[06:21.500 --> 06:23.380]  what is your formal education?
[06:23.380 --> 06:25.500]  And I said, well, really nothing but a few years of college.
[06:25.500 --> 06:28.660]  They said, well, how are you one of the best
[06:28.660 --> 06:32.060]  science fiction or cultural writers we've ever heard?
[06:32.060 --> 06:35.860]  The stuff you come up with is just unbelievable.
[06:35.860 --> 06:36.880]  We'd like you to be in movies.
[06:36.880 --> 06:38.100]  We'd like you to write with us.
[06:38.100 --> 06:40.060]  We'd like you to do voiceovers.
[06:40.060 --> 06:41.180]  You're just a Renaissance man.
[06:41.180 --> 06:42.580]  The folks know I was in some movies
[06:42.580 --> 06:44.420]  and Harry Shearer made statements like that
[06:44.420 --> 06:45.260]  and a lot of others.
[06:45.260 --> 06:46.220]  I'm not bragging.
[06:46.220 --> 06:47.220]  I kept explaining to them.
[06:47.220 --> 06:49.260]  I said, do you understand?
[06:49.260 --> 06:51.180]  I didn't come up with any of this.
[06:51.180 --> 06:54.060]  I'm reading globalist MIT white papers
[06:54.060 --> 06:57.140]  and futurist documents and they would just laugh me
[06:57.140 --> 06:58.540]  and say, oh, no way.
[06:58.540 --> 07:00.340]  Then I would give them the documents.
