[00:00:00.249 --> 00:00:01.490]  Stay in anonymity.
[00:00:01.490 --> 00:00:05.754]  They've already been in some news articles, but we're not going to tell you their names because they don't want to.
[00:00:05.754 --> 00:00:11.359]  I think it's frankly safer to come out and stand up, but they're standing up more than most folks here on the air.
[00:00:11.359 --> 00:00:14.662]  There are thousands of these cases that we see every year in the mainstream news.
[00:00:14.662 --> 00:00:16.104]  This is just one of them.
[00:00:16.104 --> 00:00:18.746]  Dr. Sarah Case is a chiropractor.
[00:00:18.746 --> 00:00:22.850]  We have the mother and grandmother, and later, because we can't have four people online, and
[00:00:22.930 --> 00:00:24.851]  I don't think anybody can.
[00:00:24.851 --> 00:00:26.692]  We're going to have the father on.
[00:00:26.692 --> 00:00:28.653]  They wanted to have a home birth.
[00:00:28.653 --> 00:00:30.134]  I'm just going to recap things.
[00:00:30.134 --> 00:00:32.855]  I heard this on Joyce's show today.
[00:00:32.855 --> 00:00:38.398]  Just to recap the story, and I've also seen this in the news, the story a few months ago when this happened.
[00:00:38.398 --> 00:00:42.580]  Just to recap the story briefly, and they can tell me if I'm wrong at any point.
[00:00:42.580 --> 00:00:47.783]  I want to tell you that you're much safer in a home birth if you have a midwife, statistically.
[00:00:47.783 --> 00:00:51.925]  But then, in a rare case, you do have a problem, you've got to go to the hospital.
[00:00:53.235 --> 00:00:57.140]  Uh, the, uh, the baby was too big.
[00:00:57.140 --> 00:00:59.563]  They get to the hospital.
[00:00:59.563 --> 00:01:01.766]  They tell them, we don't want any vaccinations.
[00:01:01.766 --> 00:01:03.608]  They act like that's weird.
[00:01:03.608 --> 00:01:07.273]  They won't sign for a social security number, which I didn't get mine until I was like 14.
[00:01:07.273 --> 00:01:08.435]  Why do they want it at birth now?
[00:01:09.252 --> 00:01:10.533]  They freak out over that.
[00:01:10.533 --> 00:01:13.435]  Suddenly they say, this test says you've got Hepatitis.
[00:01:13.435 --> 00:01:15.737]  When it was a test that 40% of the time is inaccurate.
[00:01:15.737 --> 00:01:18.099]  Just a quick smear test.
[00:01:18.099 --> 00:01:20.020]  Later turned out she didn't have Hepatitis.
[00:01:20.020 --> 00:01:28.787]  They said we've got to vaccinate your baby now for Hepatitis B. They called in a kangaroo court with a bioethicist.
[00:01:28.787 --> 00:01:29.948]  They had a staged event.
[00:01:29.948 --> 00:01:31.289]  Forcibly injected the child.
[00:01:31.289 --> 00:01:32.129]  Took the child away.
[00:01:32.129 --> 00:01:33.170]  Injected it.
[00:01:33.170 --> 00:01:34.051]  Gave it back to them.
[00:01:34.051 --> 00:01:38.074]  The social worker said if you don't give them the other shots next week when you're supposed to get it two months later.
[00:01:39.031 --> 00:01:43.636]  I've had this, the hepatitis shot, because I worked in the medical field in college.
[00:01:43.636 --> 00:01:44.176]  I know about it.
[00:01:44.176 --> 00:01:46.198]  You get it two months later, three shots.
[00:01:46.198 --> 00:01:49.101]  They said, you take it next week or we're going to take your child.
[00:01:49.101 --> 00:01:51.343]  They then got the information that they didn't have hepatitis.
[00:01:51.343 --> 00:01:52.064]  It was made up.
[00:01:52.916 --> 00:01:54.498]  And I think they should sue.
[00:01:54.498 --> 00:01:56.020]  They've got a major lawsuit.
[00:01:56.020 --> 00:02:01.726]  Their civil rights, their God-given rights, their constitutional First Amendment right to practice religion has been violated.
[00:02:01.726 --> 00:02:06.251]  But this is a family that knew what they were doing and still got caught in the clutches.
[00:02:06.251 --> 00:02:12.157]  Dr. Sarah Chase and also the mother and grandmother, who were under attack, and they are patriots.
[00:02:12.157 --> 00:02:13.799]  They know about the New World Order.
[00:02:14.848 --> 00:02:15.969]  Welcome to the airwaves.
[00:02:15.969 --> 00:02:20.150]  Did I, in a nutshell, recap what happened accurately?
[00:02:20.150 --> 00:02:20.990]  Yes, you did.
[00:02:20.990 --> 00:02:22.711]  Thank you so much for having us on, Alex.
[00:02:22.711 --> 00:02:24.872]  This is Dr. Chase.
[00:02:24.872 --> 00:02:26.752]  I do need to correct just a few minor things.
[00:02:26.752 --> 00:02:27.853]  The baby wasn't too big.
[00:02:27.853 --> 00:02:31.274]  The baby was in good shape, good size and everything.
[00:02:31.274 --> 00:02:37.416]  The problem with a home birth is that the baby went transverse and the child cannot be delivered in the transverse.
[00:02:37.416 --> 00:02:38.917]  That's transverse?
[00:02:38.917 --> 00:02:39.877]  It was transverse.
[00:02:40.672 --> 00:02:41.553]  Sideways?
[00:02:41.553 --> 00:02:44.695]  It was sideways instead of in the down position.
[00:02:44.695 --> 00:02:49.058]  Most of the time, with natural intervention methods, we can get the baby to turn.
[00:02:49.058 --> 00:02:54.802]  This is one of those rare instances where we could not get the baby to turn, so the mother had to... I know you've been involved in these.
[00:02:54.802 --> 00:02:57.124]  For those that don't know, I've investigated it.
[00:02:57.124 --> 00:02:57.824]  We've had guests on.
[00:02:57.824 --> 00:02:59.485]  I've even read the mainstream news.
[00:02:59.485 --> 00:03:02.508]  Statistically, home births are safer.
[00:03:02.508 --> 00:03:03.608]  Oh, so much more.
[00:03:03.608 --> 00:03:08.512]  And that's because of the hormones they use, the shots they give, just bad medical care.
[00:03:09.085 --> 00:03:14.570]  Yes, and I will have to say most women that say, oh, I'm so glad I went to the hospital because of this, this, or that.
[00:03:14.570 --> 00:03:18.513]  Most of those things that happened were because of medical intervention.
[00:03:18.513 --> 00:03:24.618]  If they were involved in a home birth with a good midwife and hopefully a chiropractor at hand, that wouldn't have happened.
[00:03:25.682 --> 00:03:34.005]  I recommend people have their babies at home for health reasons and also because of what hospitals are doing as an arm of the government.
