[00:00:01.957 --> 00:00:03.658]  Another world.
[00:00:03.658 --> 00:00:05.959]  Another time.
[00:00:05.959 --> 00:00:07.740]  In the age of wonder.
[00:00:23.304 --> 00:00:43.461]  Why is Infowars under such attack?
[00:00:43.461 --> 00:00:50.306]  Why is it demonized so much by corporate media, by the Republican establishment, by the Democrat establishment, by foreign governments?
[00:00:50.306 --> 00:00:51.347]  What is it we're covering?
[00:00:53.359 --> 00:00:55.741]  Well, it's that there's a breakaway civilization.
[00:00:55.741 --> 00:00:59.283]  That's not just a statement, it's true.
[00:00:59.283 --> 00:01:04.627]  Of the military-industrial complex controlled by a technological elite.
[00:01:04.627 --> 00:01:08.269]  Those are quotes from President Eisenhower in his farewell address in 1961.
[00:01:08.269 --> 00:01:20.317]  In the councils of government, we must guard against the acquisition of unwarranted influence, whether sought or unsought, by the military-industrial complex.
[00:01:20.317 --> 00:01:22.599]  Only an alert and knowledgeable citizenry
[00:01:23.408 --> 00:01:37.558]  ...can compel the proper meshing of the huge industrial and military machinery of defense with our peaceful methods and goals so that security and liberty may prosper together.
[00:01:37.558 --> 00:01:48.687]  Akin to and largely responsible for the sweeping changes in our industrial military posture has been the technological revolution during recent decades.
[00:01:48.687 --> 00:01:51.769]  In this revolution, research has become central.
[00:01:52.968 --> 00:01:58.454]  It also becomes more formalized, complex, and costly.
[00:01:58.454 --> 00:02:05.522]  For every old blackboard, there are now hundreds of new electronic computers.
[00:02:05.522 --> 00:02:13.791]  The prospect of domination of the nation's scholars by federal employment, project allocations, and the power of money is ever-present.
[00:02:14.600 --> 00:02:17.441]  And is gravely to be regarded.
[00:02:17.441 --> 00:02:28.486]  A technological elite of eugenicists, that was the big craze up until the end of World War II, they went underground into the U.S.
[00:02:28.486 --> 00:02:30.788]  DARPA development system.
[00:02:30.788 --> 00:02:32.488]  Most of them were pro-Hitler.
[00:02:32.488 --> 00:02:34.069]  The others were pro-communist.
[00:02:34.069 --> 00:02:38.011]  They all believed in command and control, centralization by elites because they're the elites.
[00:02:40.308 --> 00:02:52.220]  And they've now established much of a world government that's based on austerity and based on racial division and based on balkanization and based on divide and conquer.
[00:02:52.220 --> 00:03:01.270]  And so we are coming at it from a position of it's unelected, it's unaccountable, it's corrupt.
[00:03:03.396 --> 00:03:05.997]  He doesn't have your interest in mind.
[00:03:05.997 --> 00:03:08.197]  It's very, very evil.
[00:03:08.197 --> 00:03:09.918]  We should say no to this.
[00:03:09.918 --> 00:03:12.659]  And people around the world are starting to say no to it.
[00:03:12.659 --> 00:03:15.680]  People around the world are starting to understand this.
[00:03:15.680 --> 00:03:29.524]  And instead of just being tribal about a football team, or a baseball team, or even your church, which isn't about Christ, but about the community of the church and most of these things, they're just social clubs.
[00:03:29.524 --> 00:03:30.044]  What about
[00:03:31.840 --> 00:03:40.383]  The human ethos of renaissance and controlling your own destiny and being free that God really tried to build and give you a chance at.
[00:03:40.383 --> 00:03:46.386]  What about that first understanding of free will?
[00:03:46.386 --> 00:03:54.369]  And globalism is about a worldwide social credit score, a mark of the beast, where if you don't behave and do what they say, you're basically blocked off from society.
[00:03:54.369 --> 00:03:55.229]  You can starve to death.
[00:03:56.052 --> 00:04:01.096]  You try to live out in the country like the Amish or something, here come the armored vehicles because they say you're a cult.
[00:04:01.096 --> 00:04:02.858]  This is manifesting.
[00:04:02.858 --> 00:04:04.339]  This is happening.
[00:04:04.339 --> 00:04:15.389]  This is the big issue that we face as a civilization and as a society right now.
[00:04:15.389 --> 00:04:20.554]  So, that's why they're trying to shut us down.
[00:04:22.333 --> 00:04:42.426]  Is because you can talk about left-wing or right-wing, you can debate fascism versus anti-fascism, you can debate all this window dressing and all the deck chairs and furniture and silverware and cutlery and plates and china and the food being delivered onto the deck of the Titanic right as it hits that iceberg.
[00:04:42.426 --> 00:04:44.467]  But you've hit the iceberg.
[00:04:44.467 --> 00:04:46.729]  And so the question is, what are you going to do about it?
[00:04:52.037 --> 00:04:53.918]  Ladies and gentlemen, we're live.
