[00:00:00.000 --> 00:00:18.000]  InfoWars, tomorrow's news, today.
[00:00:18.000 --> 00:00:29.000]  It's Memorial Day, it's Monday, May 29th, 2023, I'm your host Alex Jones.
[00:00:30.000 --> 00:00:31.000]  I'll be hosting today.
[00:00:31.000 --> 00:00:33.000]  I have returned to the airwaves.
[00:00:33.000 --> 00:00:36.000]  And I'm here on Memorial Day because it's such an important day
[00:00:36.000 --> 00:00:39.000]  when we look at what our country's turned into and where we're going
[00:00:39.000 --> 00:00:42.000]  and what so many have fought and died for,
[00:00:42.000 --> 00:00:44.000]  for the future and the existence of this republic.
[00:00:44.000 --> 00:00:49.000]  But I wanted to talk about someone who fought in the InfoWars so incredibly strong,
[00:00:49.000 --> 00:00:53.000]  and that was Robert Welsh, for the John Birch Society,
[00:00:53.000 --> 00:00:58.000]  who was targeted by the ADL and the CIA, that was declassified two weeks ago,
[00:00:58.000 --> 00:01:04.000]  the national campaign of infiltration, of lies, of lawsuits, of harassment,
[00:01:04.000 --> 00:01:08.000]  of just criminal activity, truly authoritarian, totalitarian activity.
[00:01:08.000 --> 00:01:12.000]  I'm going to air excerpts of an hour-long speech he gave in 1958 here today,
[00:01:12.000 --> 00:01:14.000]  but here's just a few minutes of it.
[00:01:14.000 --> 00:01:19.000]  A part of that plan, of course, is to induce the gradual surrender
[00:01:19.000 --> 00:01:23.000]  of American sovereignty, piece by piece and step by step,
[00:01:23.000 --> 00:01:26.000]  to various international organizations,
[00:01:26.000 --> 00:01:31.000]  of which the United Nations is the outstanding but far from the only example.
[00:01:31.000 --> 00:01:35.000]  Here are the aims for the United States.
[00:01:35.000 --> 00:01:41.000]  One, greatly expanded government spending for every conceivable means
[00:01:41.000 --> 00:01:49.000]  of getting rid of ever-larger sums of American money, as wastefully as possible.
[00:01:49.000 --> 00:01:53.000]  Two, higher and then much higher taxes.
[00:01:53.000 --> 00:01:59.000]  Three, an increasingly unbalanced budget, despite the higher taxes.
[00:01:59.000 --> 00:02:04.000]  Four, wild inflation of our currency.
[00:02:04.000 --> 00:02:09.000]  Five, government controls of prices, wages, and materials,
[00:02:09.000 --> 00:02:12.000]  supposedly to combat inflation.
[00:02:12.000 --> 00:02:19.000]  Six, greatly increased socialistic controls over every operation of our economy
[00:02:19.000 --> 00:02:22.000]  and every activity of our daily lives.
[00:02:22.000 --> 00:02:25.000]  This is to be accompanied naturally and automatically
[00:02:25.000 --> 00:02:30.000]  by a correspondingly huge increase in the size of our bureaucracy
[00:02:30.000 --> 00:02:34.000]  and in both the cost and reach of our domestic government.
[00:02:34.000 --> 00:02:40.000]  Seven, far more centralization of power in Washington.
[00:02:40.000 --> 00:02:44.000]  All right, we're going to come back and air large excerpts of this speech today.
[00:02:44.000 --> 00:02:48.000]  I've done this several times in the last 28 years, 29 years on air,
[00:02:48.000 --> 00:02:51.000]  but it's been a few years since I've played any of this speech,
