[00:00.000 --> 00:02.000]  We've got it
[00:07.500 --> 00:09.500]  Waging war on corruption
[00:09.500 --> 00:31.500]  It's Alex Jones, coming to you live from the front lines of the Info War
[00:31.500 --> 00:44.500]  Ladies and gentlemen, thank you so much for joining us. We're here. We're live. It is Sunday, the 7th day of October 2012.
[00:44.500 --> 00:50.500]  And we are going to be live here for the next two hours as we are every Sunday, 4 to 6 p.m. Central.
[00:50.500 --> 00:57.500]  And back weekdays, of course, 11 a.m. to 2 p.m. Central, that's 12 and 3 p.m. Eastern.
[00:57.500 --> 01:06.500]  Look, we talk about this quite a bit and we talk about it to the point of it becoming almost passé.
[01:06.500 --> 01:15.500]  And just some known quantity, an axe hanging above our head, a sort of Damocles hanging above our head.
[01:15.500 --> 01:20.500]  And then we just get accustomed to it being there. We become fatigued to it. We become acclimated.
[01:20.500 --> 01:30.500]  We become prepared, accepting. It becomes a foregone conclusion, a self-fulfilling prophecy.
[01:30.500 --> 01:40.500]  And it doesn't need to be a self-fulfilling prophecy. We don't need to be mindless spectators that just sit here and let history roll over us.
[01:40.500 --> 01:45.500]  In fact, I keep saying this. You guys keep giving it to me and I keep not covering it on air.
[01:45.500 --> 01:55.500]  You guys print me the Carl Rove History's Actors quote. It was in The New York Times originally, but just New York Times magazine.
[01:55.500 --> 02:03.500]  But it's quoted everywhere, just the part about they control reality. They'll tell us up is down one day and then sideways is down the next.
[02:03.500 --> 02:11.500]  And we'll just believe whatever they say. And yes, if you just sit there and watch television, read the newspaper and don't see them contradicting day to day.
[02:11.500 --> 02:20.500]  Don't see them completely spinning facts. And don't see that there's a public authoritarian agenda going on. You're living in another world.
[02:20.500 --> 02:28.500]  But when I say that we've gotten used to this tyranny, I know I have. Even as by increments, it gets worse and worse.
[02:28.500 --> 02:38.500]  And we become accustomed to now FEMA admitting FEMA camps, admitting reeducation centers, admitting the Rural Affairs Council, the Council of Governors,
[02:38.500 --> 02:49.500]  admitting the gun confiscation plans, the 1.6 billion bullets, the mass grave preparations that we talked about three years ago.
[02:49.500 --> 02:55.500]  We had different county managers and others on and even disguise their voices on air.
[02:55.500 --> 03:04.500]  One from Indiana where they were told prepare for a million dead out of Chicago because they're just 30 miles or so from Chicago.
[03:04.500 --> 03:09.500]  They're on that part of Indiana. And now here it is in Congress.
[03:09.500 --> 03:17.500]  It's passed the House is going to the Senate to codify and fund a preparation for tens of millions of dead.
[03:17.500 --> 03:24.500]  And this story went up Friday afternoon. I've asked Kurt Nemo to repost it up at the top of info wars.com.
[03:24.500 --> 03:33.500]  That's being done right now because some stories come out and just don't get the attention they need. They deserve FEMA to mobilize for mass fatality planning.
[03:33.500 --> 03:39.500]  Bill mandates federal agency to respond to funeral homes, cemeteries and mortuaries being overwhelmed.
[03:39.500 --> 03:42.500]  And that's what we got three years ago was the secret reports.
[03:42.500 --> 03:49.500]  They were getting the funeral homes ready to be federalized and even small cemeteries to hold hundreds of thousands.
[03:49.500 --> 04:02.500]  And then we had the reports coming from all over the country, internal memorandum, not secret but restricted from the different state cemetery regulators from New York to Texas.
[04:02.500 --> 04:09.500]  We were called conspiracy theorists and it was all a big lie. None of it was true. Of course, here it all is now confirming it.
[04:09.500 --> 04:15.500]  So the point is, why is all this being ratcheted up? I mean, some continuity of government's always going on, especially in the Cold War.
[04:15.500 --> 04:21.500]  But this is many magnitudes bigger. So what is the big mobilization and preparation for?
[04:21.500 --> 04:27.500]  I'll be breaking that down, tying it into the designed world financial meltdown that is being engineered.
[04:27.500 --> 04:32.500]  And the fact that there's a war now between Turkey and Syria.
[04:32.500 --> 04:37.500]  It's been a covert war for a while, but now it's getting a lot hotter and a lot more public.
[04:37.500 --> 04:46.500]  And Panetta, the head of the CIA, has come out and said this could turn into a wider giant war, which is exactly what I've been saying.
[04:46.500 --> 04:51.500]  But I'm just saying, well, there's all these wars, but I'm the bad fairmonger. We all know that.
[04:51.500 --> 04:53.500]  Actually, everything's fine in the global economy.
[04:53.500 --> 04:58.500]  The police were saying in Detroit, though, don't visit because it's a war zone and they can't protect you.
[04:58.500 --> 04:59.500]  But, you know...
[04:59.500 --> 05:02.500]  For thousands of years, silver has been used as both a medicine and a preservative.
[05:02.500 --> 05:04.500]  But not all silver is equal.
[05:04.500 --> 05:11.500]  Silver Soul is an amazing new technology that has been clinically shown to be several hundred times more effective than colloid or ionic silvers.
[05:11.500 --> 05:14.500]  It can destroy thousands of times more pathogens than older silver technology.
[05:14.500 --> 05:22.500]  Silver Soul resonates at the same frequency as germicidal light used in labs to kill bacteria and viruses, enabling it to kill without direct contact.
[05:22.500 --> 05:29.500]  Silver Soul is a broad-spectrum microbial that creates no resistance and does not harm beneficial bacteria, making it ideal for daily use.
[05:29.500 --> 05:35.500]  It can be used internally as well as topically and is highly effective against viruses, bacteria, molds, and yeasts.
[05:35.500 --> 05:41.500]  With threats like West Nile virus, colds, flus, or any other emergency situation, arm yourself with supernatural silver.
[05:41.500 --> 05:47.500]  Silver Soul liquid and gel are perfect for on-the-go emergency preparedness and can provide protection at home, school, or work.
[05:47.500 --> 05:51.500]  Go to supernaturalsilver.com and be prepared for any emergency.
[05:51.500 --> 05:54.500]  Remember the promo code Alex says for 20% off.
[05:54.500 --> 06:23.500]  That's www.supernaturalsilver.com and like us on Facebook.
[06:24.500 --> 06:36.500]  It is Sunday, the 7th day of October 2012.
[06:36.500 --> 06:46.500]  I'm Alex Jones, your host coming to you from deep in the heart of Texas, now FEMA Region 6, Austin, Texas.
[06:46.500 --> 06:50.500]  I love America. I love liberty. I love freedom. I love Texas.
[06:50.500 --> 06:54.500]  I love our constitutional republic. I'm a constitutionalist.
[06:54.500 --> 07:01.500]  I believe in rule of law, due process, the family, private property, and the good Lord above.
[07:01.500 --> 07:16.500]  The Second Amendment and the right to defend yourself and all the basic bedrock cannons of our constitutional republic founded on July 4th, 1776.
[07:16.500 --> 07:23.500]  That is why I've been listed by Homeland Security and leaked and declassified documents as a terrorist.
[07:23.500 --> 07:45.500]  That is why I have been listed as one of the main threats, quote, to the federal government because the federal government itself has been taken over by foreign banking cartels that brag that they've conquered Europe and the United States through derivatives fraud publicly in the Associated Press Reuters Time Magazine Newsweek.
[07:45.500 --> 08:01.500]  CNBC, the Financial Times of London, we've played the clips here, we've read the articles, where they brag and declare in our face that we are slaves and that they are bringing in a private global corporate monopoly capitalist mafia government.
[08:01.500 --> 08:12.500]  And so I've drawn my line in the sand. I have committed to stand up and speak out against these people and to mobilize against this evil.
[08:12.500 --> 08:31.500]  I recognize it historically. They've declared it. I see the general public in a zombie-like trance, and I'm here, along with our wonderful listeners, activists for freedom, attempting to shake the sleeping giant that is free humanity, not just America from its slumber.
[08:31.500 --> 08:49.500]  It is Sunday. It is October 7th, 2012, and we have massive news on the economy and the designed QE unlimited meltdown that will accelerate now. The social unrest exploding across Europe now moving to the United States with the media is keeping it quiet.
[08:49.500 --> 09:04.500]  Though, enter at your own risk, police union says war like Detroit is unsafe for visitors. Other cities are seeing similar situations. That's WWJ television reporting that.
[09:04.500 --> 09:13.500]  We're going to be breaking that down. You're going to see more of that in the future. Crime rates are exploding. The Justice Department has even had to admit that.
[09:13.500 --> 09:28.500]  Many cities have had to admit it. Remember, we're seeing cooked numbers because they want to try to have those numbers be a lot lower, but you need to know, folks, you better lock your house, you better carry a firearm, and you'd better watch your six because crime is absolutely going bonkers.
[09:28.500 --> 09:43.500]  A lot more police are getting killed. Police are getting more paranoid and shot five innocent people unarmed in the last few days, including a veteran in the current National Guard person with no criminal record in New York. They say he cut him off.
[09:43.500 --> 09:50.500]  They pulled him over and killed him. Just a lot of craziness going on out there. We're going to be breaking it all down today.
[09:50.500 --> 10:04.500]  Turkey is now in today what five shelling its neighbor, Syria. Turkey has more conventional arms than even Israel and is a serious member of NATO.
[10:04.500 --> 10:23.500]  And they have been bringing in the last nine months at least when they debate the numbers. 40 to 50,000 al-Qaeda jihadis out of Saudi Arabia and other areas US troops are on record. They're training the jihadis. Many of them wear the black al-Qaeda uniform and the black al-Qaeda patch.
[10:23.500 --> 10:38.500]  We have videos of that up at infowars.com. FSA rebel leader. We won't stop until al-Qaeda flag is raised over the White House. Well, you're running out of the White House, so no need. That's already done. Al-Qaeda was founded by Western intelligence in 1979.
[10:38.500 --> 10:53.500]  He's the guy that did it. So there you have it. They are blowing up churches, blowing up mosques, blowing up the oldest outdoor market in the world, a World Heritage site. You can look all this up.
[10:53.500 --> 11:02.500]  They are admittedly bragging on camera with family cell hostage that they will kill the children if the father doesn't go truck bomb the local police station.
[11:02.500 --> 11:17.500]  Our criminal government has never, this publicly, engaged in crimes like this. Our government and NATO and the UN, they're all run by the same megabanks, are publicly turning Libya over al-Qaeda to engage in ethnic cleansing.
[11:17.500 --> 11:33.500]  They are publicly, in nine months, just absolutely bombing military bases, blowing up the police stations, throwing families on video off the roofs of their houses, going house to house, just murdering en masse.
[11:33.500 --> 11:49.500]  With NATO, special forces, that means U.S. special forces. You notice when troops get killed now, they don't say U.S. troops in Afghanistan, they say NATO forces. And NATO forces are, this is L.A. Times, Reuters, look it up, British SAS, put it on screen.
[11:49.500 --> 12:07.500]  We're also streaming video at prisonplanet.tv and link through at infowars.com. You type in western special forces or MI6 or CIA commanding the Free Syrian Army, who even the Red Cross has had to admit about half of them are al-Qaeda.
[12:07.500 --> 12:19.500]  And the CFR two months ago said, we need al-Qaeda, that was the quote, and how they're really doing a good job, attacking preemptively Syria to overthrow a government who hasn't attacked anybody.
[12:19.500 --> 12:39.500]  This is amazing. And I know I talk a lot about this, but now last Thursday, some small mortars reportedly were fired out of Syria to the south that is being attacked by Turkey, pumping in al-Qaeda, trained by NATO and armed right there.
[12:39.500 --> 12:50.500]  And with even anti-aircraft missiles, you name it. They're also bringing in the anti-aircraft missiles, 10,000 of them, at least 2,000 radar or heat seeking, that's admitted out of Libya.
