[00:00.000 --> 00:18.640]  The
[00:18.640 --> 00:24.280]  policies of the Democratic Party have left the realm of reality and are opening the gates
[00:24.280 --> 00:25.280]  of hell.
[00:25.280 --> 00:31.720]  We're back, we were talking about U.S. Catholic bishops who are talking about denying President
[00:31.720 --> 00:36.720]  Biden communion for being pro-choice, Joy, what's your thoughts on this?
[00:36.720 --> 00:42.080]  Instead of really trying to fix things and talk about things that actually matter to
[00:42.080 --> 00:47.160]  people, the most important thing being climate change, they go to these cultural issues to
[00:47.160 --> 00:48.160]  distract.
[00:48.160 --> 00:51.680]  It's very similar to what the Republican Party is up to right now, they're grasping
[00:51.680 --> 00:56.240]  its drawers because they see that they will be extinct very soon, which is why they're
[00:56.240 --> 00:59.680]  trying to stop people from voting in many of the states.
[00:59.680 --> 01:02.800]  While the Republican Party continues to slumber.
[01:02.800 --> 01:07.280]  Since the day Donald Trump was inaugurated, the Democratic Party has been helplessly disorganized
[01:07.280 --> 01:10.480]  and totally ineffective as a political party.
[01:10.480 --> 01:15.480]  They wasted years chasing invisible Russian agents and then making weird and unintelligible
[01:15.480 --> 01:20.360]  sounds about something called Ukraine, it's still not clear what they meant by that.
[01:20.360 --> 01:24.640]  Their entire political strategy was bizarre and in the end it was counterproductive, it
[01:24.640 --> 01:28.000]  hurt them with voters, they went down in the polls.
[01:28.000 --> 01:32.200]  Only buffoons do that in politics, these people couldn't organize your kid's birthday
[01:32.200 --> 01:35.800]  party, they didn't make their beds this morning.
[01:35.800 --> 01:41.480]  And yet suddenly out of nowhere, they roared back and took over the country.
[01:41.480 --> 01:45.800]  They did it in less time than it takes most people to go on spring vacation.
[01:45.800 --> 01:46.800]  What happened?
[01:46.800 --> 01:47.800]  How'd they do that?
[01:47.800 --> 01:50.960]  Well, it's simple, nobody stopped them.
[01:50.960 --> 01:55.040]  Whether it's critical race theory, a lot of things under attack, including critical
[01:55.040 --> 02:00.680]  race theory, which is being misrepresented by a lot of its opponents, you are accused
[02:00.680 --> 02:04.320]  of having little white children hate themselves.
[02:04.320 --> 02:05.960]  Can you please correct the record for me?
[02:05.960 --> 02:11.560]  Clearly, there's nothing in this project or in critical race theory that says anything
[02:11.560 --> 02:16.120]  about little white children and how little white children should feel.
[02:16.120 --> 02:17.960]  What is this Republican strategy?
[02:17.960 --> 02:20.880]  You talk about critical race theory, which is pretty much going to be teaching kids how
[02:20.880 --> 02:28.080]  to hate each other, how to dislike each other, that's pretty much what it's going to all
[02:28.080 --> 02:29.080]  come down to.
[02:29.080 --> 02:32.880]  You're going to deliberately teach kids, this white kid right here got it better than you
[02:32.880 --> 02:33.880]  because he's white.
[02:33.880 --> 02:37.760]  You're going to personally tell a white kid, oh, the black people are all down and suppressed.
[02:37.760 --> 02:40.440]  How do I have two medical degrees if I'm sitting here oppressed?
[02:40.440 --> 02:44.360]  Two medical degrees, no mom, no dad in the house, work my way through college, sat there
[02:44.360 --> 02:47.600]  and hustled my butt off to get new cars, you're going to tell me somebody look like all y'all
[02:47.600 --> 02:49.360]  white folks kept me doing that?
[02:49.360 --> 02:54.600]  Or the desperate lunge towards a one-party government under a new world order.
