[00:00.000 --> 00:07.000]  From his Central Texas Command Center deep behind enemy lines, the Information War continues.
[00:07.000 --> 00:11.000]  It's Alex Jones and the GCN Radio Network.
[00:11.000 --> 00:33.000]  Welcome, ladies and gentlemen. Welcome and thank you so much for joining us.
[00:33.000 --> 00:42.000]  Today is our live Sunday, the 14th day of March 2010 and we're going to be live here for the next two hours.
[00:42.000 --> 00:51.000]  We have a lot of important news to cover today, obviously, but the first thing I want to cover is a Boston News Channel piece.
[00:51.000 --> 01:01.000]  Team 5 investigates after Amesbury pulls sodium fluoride from their water supply and we'll get into why they've done this
[01:01.000 --> 01:04.000]  and how the story itself is a red herring.
[01:04.000 --> 01:16.000]  And Kurt Nemo has written a key article titled, Story on Mystery Substance Distracts from Fact that Fluoride is Deadly Killer.
[01:16.000 --> 01:19.000]  And he wrote the story yesterday. It's excellent.
[01:19.000 --> 01:26.000]  And if you go to the bottom of the featured news section on the front of infowars.com, it's already scrolled to the bottom there.
[01:26.000 --> 01:33.000]  It's very important to read this article and to send it to everyone you know, because it's not just about fluoride.
[01:33.000 --> 01:39.000]  It nexuses in to so many important subjects.
[01:39.000 --> 01:47.000]  Also, Massachusetts High Court rules, Second Amendment is not applied to the states and that they can basically ban firearms.
[01:47.000 --> 01:52.000]  This is treason. We know what the Second Amendment states, we know what the Supreme Court has said.
[01:52.000 --> 01:59.000]  But these parasite states run by complete criminals want to disarm their slaves and it's not going to happen.
[01:59.000 --> 02:05.000]  Also, Kurt Nemo's got a new story out at infowars.com, links to the AP.
[02:05.000 --> 02:10.000]  Guns used in Pentagon and Las Vegas courtroom shootings originated with Tennessee police.
[02:10.000 --> 02:19.000]  Both of the big shootings used to put naked body scanners and courthouses in the demonized 9-11 truth came from law enforcement lockers.
[02:19.000 --> 02:25.000]  Very, very suspicious. Pelosi says she's confident the House will pass the health care bill.
[02:25.000 --> 02:32.000]  We've been hearing that for the last two months, so that is coming up as well today.
[02:32.000 --> 02:40.000]  I also want to get into the nanny state. It's not just New York wanting to ban salt in your food.
[02:40.000 --> 02:43.000]  They want to tax and regulate every facet of your life.
[02:43.000 --> 02:51.000]  They want to break down not just the nanny state, but why they want this nanny state, the type of system that is being set up.
[02:51.000 --> 03:01.000]  Also, Obama supports a national DNA database and we're going to play a video, an audio clip of him promoting that and exactly what that means.
[03:01.000 --> 03:09.000]  Folks in California are revolting. PG and E-custom refuses to take smart meter, locks up old meter.
[03:09.000 --> 03:14.000]  And they're now putting these in an awesome where I live, where they can control your thermostat.
[03:14.000 --> 03:19.000]  They're saying as part of a green initiative, the government may not let you to have your house at 76.
[03:19.000 --> 03:23.000]  They're going to decide how much energy you can have.
[03:23.000 --> 03:31.000]  And this gets into the whole nanny state stack of news that we have here today.
[03:31.000 --> 03:43.000]  But this situation with fluoride is so important and feeds into so many other subjects to really understand the type of society we live in with this deadly poison, this forced medication going on,
[03:43.000 --> 03:47.000]  that we're going to cover that first when we come back.
[03:47.000 --> 03:56.000]  Also, an amazing interview, the best I've ever done of many, in person and on the radio over the phone with former Minnesota Governor Jesse Ventura.
[03:56.000 --> 04:06.000]  I want to talk about that today because I've been told the show been picked up again for a second season after getting record ratings on True TV about a month ago,
