[00:00.000 --> 00:27.860]  Little
[00:27.860 --> 00:42.860]  Okay, but why did you call me at 9 o'clock in the morning to tell me that on the morning
[00:42.860 --> 00:44.860]  that the marined out article comes out?
[00:44.860 --> 00:45.860]  I guess.
[00:45.860 --> 00:46.860]  I didn't know about marined out.
[00:46.860 --> 00:47.860]  Well, you did before he started talking to me.
[00:47.860 --> 00:48.860]  You wouldn't attack me.
[00:48.860 --> 00:49.860]  That you would be a bit more humble.
[00:49.860 --> 00:50.860]  I didn't want to attack you.
[00:50.860 --> 00:51.860]  But I was wrong.
[00:51.860 --> 00:52.860]  And it pissed me off.
[00:52.860 --> 00:53.860]  I didn't attack you.
[00:53.860 --> 00:56.860]  You said I'm going to use against you.
[00:56.860 --> 00:57.860]  No, I said you, Molly.
[00:57.860 --> 00:58.860]  And then you said I haven't.
[00:58.860 --> 01:03.860]  I don't want to give you information about this program because I'm afraid that you'll
[01:03.860 --> 01:05.860]  use it against me as not being in this.
[01:05.860 --> 01:06.860]  I can't keep talking.
[01:06.860 --> 01:07.860]  We're going to go round and round.
[01:07.860 --> 01:08.860]  I'm not arguing, Molly.
[01:08.860 --> 01:09.860]  I'm asking you.
[01:09.860 --> 01:10.860]  Okay.
[01:10.860 --> 01:11.860]  I don't know.
[01:11.860 --> 01:15.860]  I think we should schedule a visit and we'll talk with the therapist.
[01:15.860 --> 01:22.860]  I'm not going to continue to argue and I don't want to talk and make things worse.
[01:22.860 --> 01:33.860]  I don't want to talk and make things worse.
[01:33.860 --> 01:43.860]  I don't want to talk and make things worse.
[01:43.860 --> 01:51.860]  I don't want to talk and make things worse.
[01:51.860 --> 02:01.860]  I don't want to talk and make things worse.
[02:01.860 --> 02:11.860]  I don't want to talk and make things worse.
[02:11.860 --> 02:20.860]  I don't want to talk and make things worse.
[02:20.860 --> 02:30.860]  I don't want to talk and make things worse.
[02:30.860 --> 02:40.860]  I don't want to talk and make things worse.
[02:40.860 --> 02:49.860]  I don't want to talk and make things worse.
[02:49.860 --> 02:59.860]  I don't want to talk and make things worse.
[02:59.860 --> 03:09.860]  I don't want to talk and make things worse.
[03:09.860 --> 03:18.860]  I don't want to talk and make things worse.
[03:18.860 --> 03:28.860]  I don't want to talk and make things worse.
[03:28.860 --> 03:38.860]  I don't want to talk and make things worse.
[03:38.860 --> 03:48.860]  I don't want to talk and make things worse.
[03:48.860 --> 03:58.860]  I don't want to talk and make things worse.
[03:58.860 --> 04:08.860]  I don't want to talk and make things worse.
[04:08.860 --> 04:18.860]  I don't want to talk and make things worse.
[04:18.860 --> 04:28.860]  I don't want to talk and make things worse.
[04:28.860 --> 04:56.860]  I don't want to talk and make things worse.
[04:56.860 --> 05:06.860]  I don't want to talk and make things worse.
[05:26.860 --> 05:55.860]  I don't want to talk and make things worse.
[05:55.860 --> 06:15.860]  I don't want to talk and make things worse.
[06:15.860 --> 06:25.860]  I don't want to talk and make things worse.
[06:25.860 --> 06:53.860]  I don't want to talk and make things worse.
[06:53.860 --> 07:13.860]  I don't want to talk and make things worse.
[07:13.860 --> 07:41.860]  I don't want to talk and make things worse.
[07:41.860 --> 08:07.860]  I don't want to talk and make things worse.
[08:07.860 --> 08:33.860]  I don't want to talk and make things worse.
[08:33.860 --> 08:59.860]  I don't want to talk and make things worse.
[08:59.860 --> 09:25.860]  I don't want to talk and make things worse.
[09:25.860 --> 09:51.860]  I don't want to talk and make things worse.
[09:51.860 --> 10:17.860]  I don't want to talk and make things worse.
[10:17.860 --> 10:43.860]  I don't want to talk and make things worse.
[10:43.860 --> 11:11.860]  I don't want to talk and make things worse.
[11:11.860 --> 11:37.860]  I don't want to talk and make things worse.
[11:37.860 --> 12:03.860]  I don't want to talk and make things worse.
[12:03.860 --> 12:29.860]  I don't want to talk and make things worse.
[12:29.860 --> 12:55.860]  I don't want to talk and make things worse.
[12:55.860 --> 13:21.860]  I don't want to talk and make things worse.
[13:21.860 --> 13:47.860]  I don't want to talk and make things worse.
[13:47.860 --> 14:13.860]  I don't want to talk and make things worse.
[14:13.860 --> 14:41.860]  I don't want to talk and make things worse.
[14:41.860 --> 15:09.860]  I don't want to talk and make things worse.
[15:09.860 --> 15:37.860]  I don't want to talk and make things worse.
[15:37.860 --> 15:59.860]  I don't want to talk and make things worse.
[15:59.860 --> 16:27.860]  I don't want to talk and make things worse.
[16:27.860 --> 16:53.860]  I don't want to talk.
[16:53.860 --> 17:19.860]  I don't want to talk and make things worse.
[17:19.860 --> 17:47.860]  I don't want to talk and make things worse.
