[00:00.000 --> 00:12.000]  Big Brother mainstream media government cover-ups you want answers well so does he
[00:12.000 --> 00:32.000]  he's alex jones on the gcn radio network and now live from austin texas alex jones
[00:32.000 --> 01:01.000]  and the next 10 minutes paul joseph watson is set to to publish a key report at prisonplanet.com dealing with president obama and october or even early november surprise stage terror attacks we've learned to read the signs when they're considering staging an event and they are full court press right now hyping that terrorist may strike the united states and we have obama and clinton advisors like robert shaperum
[01:01.000 --> 01:21.000]  saying what obama needs is a giant terror attack to win the midterm elections and to get a second term in 2012 i mean they're out in the open talking about this the criminals that run our government that run many other governments have been caught staging events hitler did it
[01:21.000 --> 01:40.000]  the zars did it after them the communists russians did it i mean it's a favorite favorite tactic used and so this detailed report that i consulted with paul on has got a lot of key bullet points that's coming out in the near future we'll cover that after we get into the economy coming up
[01:40.000 --> 01:58.000]  well there i was back in late july and we wrote multiple articles at prisonplanet.com and info wars.com predicting stage terror attacks and if you go listen to the full shows that we did on i even of course we're busy pulling those clips up
[01:58.000 --> 02:13.000]  because we don't sit here when i make predictions and just mark them down something we really ought to do so they're easier to pull but listeners are welcome to go to our youtube channel that has most of the shows posted or the mp3's all archived at info wars.com prisonplanet.tv
[02:13.000 --> 02:28.000]  and the video archive there and help us pull all of these predictions out for the general public but it's not hard to make those predictions when you understand the globalist mindset and game plan.
[02:28.000 --> 02:43.000]  And when you see all of these obama advisors out in the open saying if we don't have an oklahoma city or a nine eleven event so obama can look like a strong leader who protects us.
[02:43.000 --> 02:46.000]  We're going to have total political destruction.
[02:46.000 --> 02:58.000]  But i've pointed out that even stage terror isn't going to work for them anymore because the vast majority of people are very suspect of this they don't buy into it anymore.
[02:58.000 --> 03:00.000]  I said last night.
[03:00.000 --> 03:05.000]  That I believe you're going to see more of these packages mailed and bombings.
[03:05.000 --> 03:16.000]  I'm on record saying friday and sunday on friday show and yesterday less than twenty four hours ago.
[03:16.000 --> 03:21.000]  That there's a very good chance we're going to see more events leading right up until tomorrow.
[03:21.000 --> 03:35.000]  Well here is Reuters grease intercepts partial parcel bomb address to sarkozy again grease intercepts parcel.
[03:35.000 --> 03:50.000]  Or package bomb address to sarkozy and greek police intercept a booby trap parcel address to french president nicolas sarkozy on monday after another package exploded at a courier company in Athens slightly wounding an employee.
[03:50.000 --> 03:53.000]  The heat is on.
[03:53.000 --> 04:00.000]  And notice they're claiming a leftist slash communist group did this now i'm no fan of leftist and communist.
[04:00.000 --> 04:11.000]  But if you go back to patty hurst it was declassified last year that she was fbi and those were staged events to basically menace the public into giving up more of their liberty.
[04:11.000 --> 04:17.000]  And nixon got caught wanting to bomb his own conviction his own convention.
[04:17.000 --> 04:20.000]  That's even come out on front line on pbs.
[04:20.000 --> 04:31.000]  But they called it off and we know about operation gladio and the nato option in europe we have the former italian president who was also the former italian intelligence head.
[04:31.000 --> 04:45.000]  What coming out last year talking about the u.s. government staging terror attacks in italy to blame leftist the balonia bombing and other events and that's exactly what we've got going on here the evidence is clear.
[04:45.000 --> 04:56.000]  We've got webster tarply coming on to talk about this paul watson coming on to talk about it we've got wane madson coming on to discuss it all the election news you name it it's coming up.
[04:56.000 --> 05:01.000]  Paul Watson joining us via video skype on the other side of this break.
[05:01.000 --> 05:08.000]  Hello from eFoods direct the end of october is around the corner and there's no shortage of frightening news these days.
[05:08.000 --> 05:15.000]  Global financial meltdown saber rattling with iran and other nations worldwide drought and food shortages.
[05:15.000 --> 05:20.000]  More than 40 million americans on food stamps and tens of millions unemployed.
[05:20.000 --> 05:28.000]  Have eFoods direct help ease your fears this fall season with free shipping on all orders placed between now and november first.
[05:28.000 --> 05:38.000]  Every dollar you spend will buy food and eFoods direct will pay for the shipping throughout the continental united states when you have a supply of delicious nutritious food from eFoods direct.
[05:38.000 --> 05:45.000]  Your future is fearless and the shipping is free that's free shipping on all eFoods direct food products.
[05:45.000 --> 05:59.000]  Call 800-409-5633 on the web eFoods direct dot com slash alex that's 800-409-5633 on the web eFoods direct dot com slash alex.
[06:16.000 --> 06:23.000]  This film conclusively proves the existence of a secret network of FEMA camps now being expanded nationwide.
[06:23.000 --> 06:29.000]  This documentary exposes how the continuity of government program has established an old powerful shadow state.
[06:29.000 --> 06:34.000]  Police state 4 chronicles the sickening depths to which our republic has fallen.
[06:34.000 --> 06:44.000]  Prepare to enter the secret of world of emergency dictatorship body scanners sound cameras citizen spies stage terror and cameras on every street corner.
[06:44.000 --> 06:47.000]  It's only the beginning of the new world order's hellish plan.
[06:47.000 --> 06:49.000]  The police state isn't coming.
[06:49.000 --> 06:50.000]  It's here.
[06:50.000 --> 07:19.000]  Secure your copy today at info wars dot com or see it online in the highest quality at prison planet dot tv.
[07:20.000 --> 07:31.000]  Get a free detailed catalog by calling 800-340-7091 or see them online at 5star soap dot com or info wars dot com.
[07:31.000 --> 07:35.000]  Let's talk to the owner of 5star soap Marty Schachter and see what he has to say.
[07:35.000 --> 07:51.000]  As founder and owner for over 63 years, people keep asking me, how's business? I'm happy to say our business is going down the drain.
[07:51.000 --> 08:20.000]  We're going to be breaking down the economy, the huge developments on the eve of Super Tuesday tomorrow, November 2nd, 2010.
[08:20.000 --> 08:25.000]  Less than 24 hours out right now from this historic midterm elections.
[08:25.000 --> 08:32.000]  It is November 1st, 2010, 2010, extremely long in the tooth.
[08:32.000 --> 08:35.000]  Incredible dirty tricks going on.
[08:35.000 --> 08:37.000]  This is out of the Wall Street Journal.
[08:37.000 --> 08:44.000]  Phone recordings set off Firestorm in Alaska, Republican Senate candidate Joe Miller of Alaska.
[08:44.000 --> 08:55.000]  CBS TV accidentally called and thought they'd hung the phone up but left it on a voicemail, kind of like a pocket call when somebody's cell phone accidentally dials you.
[08:55.000 --> 09:05.000]  And they talked about how they were going to set him up in the strome by basically having child molesters at his events, trying to get fights started, anything they can do.
[09:05.000 --> 09:12.000]  This is the type of dirty tricks that the Democrats, I mean look, Republicans play dirty tricks as well.
[09:12.000 --> 09:18.000]  Politics is a dirty business, but Democrats have sold this image that, oh, Republicans are beating people up everywhere.
[09:18.000 --> 09:22.000]  Oh, Republicans are like brown shirts. They're like Nazis.
[09:22.000 --> 09:38.000]  For every video we find of a Republican beating somebody up at a tea party or a campaign event, there's got to be literally 10, 15, 20 of Democrats cutting people's fingers off, beating them up, beating their heads in with 2x4s, assaulting people.
[09:38.000 --> 09:50.000]  John Stewart's employees beating up and being arrested. We are changed people for politely asking questions. I mean, it's just mad dog attacks.
[09:50.000 --> 09:58.000]  So again, I'm nonpartisan. I just call it like it is. The Democrats are the brown shirts here and they're getting caught.
[09:58.000 --> 10:08.000]  So that's coming up. Great news on Rand Paul headed for easy victory. They've got national polls out on that. He's pulled away in some polls over 15 points.
[10:08.000 --> 10:17.000]  Most polls are 11 points. The lowest polls have him with a nine point lead. That's four points above the margin of error. This is amazing.
[10:17.000 --> 10:28.000]  Bill Clinton campaigns for you in Florida. You lose. He campaigns for you in Kentucky. You lose. He campaigns for you in Pennsylvania. You lose.
[10:28.000 --> 10:37.000]  Newt Gennrich campaigns for you as a Republican in the primary against Rand Paul. You lose. People are sick of these establishment candidates.
[10:37.000 --> 10:49.000]  This is a major political realignment that is taking place. Also, coming up, this is out of the Pittsburgh News Channel, ABC News 4.
[10:49.000 --> 11:05.000]  Team 4 debt collectors accused of fake courtrooms, fake judges. This is exactly what the CPS does. This is exactly what the health department does in Texas claiming you've got to take the Gardasil shot that's killed so many people and named so many others.
[11:05.000 --> 11:19.000]  They just lie and say it's the law and they send out fake letters ordering you to do it. Well, now debt collectors are running the same scam and that integrates in with a Star Tribune story in jail for being in debt.
[11:19.000 --> 11:32.000]  And it turns out they haven't broken a law, but the courts are so corrupt, they'll still send you to jail in some cases for less than $100 that is owed to a private company.
[11:32.000 --> 11:45.000]  Here's another report from the ACLU in for a penny. The rise of America's new debtor prisons and that integrates in with the IMF tax tribunals coming to American soil openly being announced.
[11:45.000 --> 11:52.000]  That's the story at infowars.com by Kurt Nemo.
