[00:00.000 --> 00:30.000]  That's the law required.
[00:30.000 --> 01:00.000]  Stay tuned for the Alex Jones show on Infowars.
[01:00.000 --> 01:19.600]  Welcome ladies and gentlemen. Welcome and thank you so much for joining us on this
[01:19.600 --> 01:30.780]  live Friday edition. The 13th day of April 2007 and we're going to be live here for the
[01:30.780 --> 01:41.480]  next three hours. We have another 9-11 individual, another person going public on 9-11 and questioning
[01:41.480 --> 01:49.000]  the official story. A well known actor from television and film who currently has a highly
[01:49.080 --> 01:56.360]  rated television program coming on to talk about 9-11 and why he believes it is an inside job.
[01:56.360 --> 02:02.480]  That is coming up in the next hour. We'll tell you a little bit more about that individual just a
[02:02.480 --> 02:13.520]  little bit later. I mentioned this story yesterday but I want to at the start today to spend more
[02:13.520 --> 02:25.360]  time on it. That's a report out of News Target. Monsanto's GM corn, M-O-N-8-6-3 shows kidney,
[02:25.360 --> 02:31.840]  liver toxicity in animal studies. At the end of the show I mention this so for those of you
[02:31.840 --> 02:37.520]  listening to a rebroadcast of yesterday's program that bumps right up against my live one, you just
[02:37.520 --> 02:42.000]  heard me talking about it, but for new listeners tuning in on the AM and FM dial or Global Shortwave
[02:42.080 --> 02:50.200]  or other places, we're going to spend some time on this. The corn in question, M-O-N-8-6-3 is made
[02:50.200 --> 02:57.840]  by the Monsanto company. It isn't grown, it's made. I guess it is grown but that's all designed and
[02:57.840 --> 03:04.920]  approved for use in Australia, Canada, China, the European Union, Japan, Mexico and the Philippines
[03:04.920 --> 03:11.760]  and the United States. This is the stuff that's approved. It has had a gene inserted from the
[03:12.400 --> 03:22.480]  bacteria bacillus thronigenesis, BT, which causes the plant cells to produce a pesticide. Researchers
[03:22.480 --> 03:33.360]  fed rats either unmodified corn or diets containing 11 or 30% of M-O-N-8-6-3 for 90 days and we'll
[03:33.360 --> 03:42.720]  tell you when we get back from break what it did exactly to their bodies, what it did to their
[03:42.720 --> 03:52.520]  livers, what it did to their entire metabolic system. In the meantime I'll also just give you
[03:52.520 --> 03:59.560]  a rundown of some of the news here. I don't even know where to start. CBS has fired him from his
[03:59.600 --> 04:07.760]  radio show. He has lost his TV show of course first and most people are running around celebrating
[04:07.760 --> 04:13.880]  including Bill O'Reilly and others because they love censorship. They love to set the precedent
[04:13.880 --> 04:21.000]  of everyone being fired but themselves. Every show O'Reilly seems to do is fire this person,
[04:21.000 --> 04:28.560]  fire that person, arrest this person. I've never liked Don Imus, very abrasive, a big bully,
[04:28.600 --> 04:37.040]  somebody on a power trip relishing their petty power and so it illustrates how transitory power
[04:37.040 --> 04:43.640]  is and well how transitory life itself is. All of this stuff is just going to be blown away. It
[04:43.640 --> 04:49.440]  doesn't matter. All of us die. None of it lasts forever. None of it even lasts really for the
[04:49.440 --> 04:56.900]  twinkling of an eye but it's not just because I'm in the media that I do have a concern and get a
[04:56.900 --> 05:04.020]  chill up my spine to see this because I mean other people are being fired just for repeating
[05:04.020 --> 05:13.500]  what he said like it's some type of blasphemy. So we'll talk a little bit about Don Imus as well
[05:13.500 --> 05:19.100]  and political correctness run amok and we'll take your calls in this first hour, second hour, and
[05:19.100 --> 05:24.980]  third hour. It will be up in lines today 1-800-259-9231. Stay with us.
[05:24.980 --> 05:42.180]  It's here after a year in production and traveling to distant lands my new film Terror Storm is
[05:42.180 --> 05:46.300]  complete. Shocking declassified government documents prove that Western governments are
[05:46.300 --> 05:51.540]  orchestrating terror attacks against their own populations as a pretext to enslave them. Terror
[05:51.540 --> 05:57.300]  Storm proves that not only was 9-11 an inside job but the attacks of 7-7 in London were carried out
[05:57.300 --> 06:02.340]  by British intelligence. Terror Storm chronicles the lies that took us to war in Iran, the White
[06:02.340 --> 06:09.100]  House program to disseminate fake news, NSA spy, secret police torture, the latest 9-11 information,
