whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | 

main: processing './wav/20161019_Wed_Alex.wav' (229100983 samples, 14318.8 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:01.920]   (beep)
[00:00:01.920 --> 00:00:05.200]   - Sound one, we're going with Chevy.
[00:00:05.200 --> 00:00:07.780]   (upbeat music)
[00:00:07.780 --> 00:00:19.840]   - From the Infowars.com News Center,
[00:00:19.840 --> 00:00:23.560]   deep behind enemy lines in occupied Texas,
[00:00:23.560 --> 00:00:25.680]   broadcasting worldwide,
[00:00:25.680 --> 00:00:28.720]   you're listening to the voice of human resistance
[00:00:28.720 --> 00:00:32.640]   against the Technotronic Technocracy takeover.
[00:00:32.640 --> 00:00:35.920]   You're listening to Alex Jones.
[00:00:35.920 --> 00:00:38.500]   (upbeat music)
[00:00:58.520 --> 00:01:00.360]   - As Americans turn the corner
[00:01:00.360 --> 00:01:03.440]   towards the final presidential debate on Wednesday,
[00:01:03.440 --> 00:01:07.000]   the election circus has devolved into personal attacks
[00:01:07.000 --> 00:01:08.600]   and character assassination,
[00:01:08.600 --> 00:01:10.460]   rather than any real focus
[00:01:10.460 --> 00:01:13.280]   on the issues plaguing the United States.
[00:01:13.280 --> 00:01:15.500]   - The media outlets did not even attempt
[00:01:15.500 --> 00:01:18.320]   to confirm the most basic facts,
[00:01:18.320 --> 00:01:20.840]   because even a simple investigation
[00:01:20.840 --> 00:01:25.120]   would have shown that these were nothing more
[00:01:25.120 --> 00:01:27.560]   than false smears.
[00:01:27.560 --> 00:01:30.080]   - Facing an avalanche of new accusations
[00:01:30.080 --> 00:01:31.680]   from women who are coming forward
[00:01:31.680 --> 00:01:34.400]   to claim he kissed and fondled them.
[00:01:34.400 --> 00:01:36.720]   Six women are going public today
[00:01:36.720 --> 00:01:39.560]   with stories that echo what Trump himself said
[00:01:39.560 --> 00:01:42.000]   in that notorious hot mic video.
[00:01:42.000 --> 00:01:44.720]   - He called this woman Miss Piggy.
[00:01:44.720 --> 00:01:47.200]   Her name is Alicia Machado.
[00:01:47.200 --> 00:01:50.160]   Trump spoke out about those claims on Fox News.
[00:01:50.160 --> 00:01:52.020]   - And she was the worst we ever had.
