[00:00.000 --> 00:29.280]  It's for Wars, tomorrow's news, today.
[00:29.280 --> 00:34.280]  You are listening to an Infowars.com frontline report.
[00:34.280 --> 00:44.280]  If you are receiving this transmission, you are the resistance.
[00:44.280 --> 00:47.280]  Humanity's hunger for freedom.
[00:47.280 --> 00:50.280]  Humanity's thirst for justice.
[00:50.280 --> 00:58.280]  Humanity's drive for information understanding is unquenchable.
[00:58.280 --> 01:03.280]  But in the full spectrum of information and knowledge on this planet,
[01:03.280 --> 01:12.280]  this transmission is a fount, is a headwater of what we as a species seek.
[01:12.280 --> 01:18.280]  And that is light, that is freedom, that is God.
[01:18.280 --> 01:28.280]  Tucker Carlson did a splendid job last night in a 11 and a half minute monologue of laying out the compendium of where we are.
[01:28.280 --> 01:39.280]  And I'm going to be airing large portions of that and commenting on it coming up in the next segment.
[01:39.280 --> 01:46.280]  And I like how they describe him as Lord Fauci, Lord Biden.
[01:46.280 --> 02:01.280]  I am quite proud of the fact that my little colloquialism that I tend to add on the fronts of these guys is now being picked up in popular nomenclature, and I guess you could say parlance.
[02:01.280 --> 02:15.280]  But Lord Fauci and Lord Gates and Lord head of the Davos group, Klaus Schwab, are going down or we're going down.
[02:15.280 --> 02:28.280]  And boy have his emails come out with him dismissing colleagues, sending him the actual documents where they give the gain of function sequencing.
[02:28.280 --> 02:34.280]  And you notice the original zero hedge article was sent to Fauci.
[02:34.280 --> 02:38.280]  So I mean I'm giving credit where credit was due in Western media that was the first place.
[02:38.280 --> 02:42.280]  It was the Indian Institute that first scanned it and then others did and we confirmed it.
[02:42.280 --> 02:52.280]  We already knew the back story on Fauci and the age program and Chapel Hill and moving the virus program there.
[02:52.280 --> 03:02.280]  So that's why this has been so frustrating the last 16 months is it was always hiding in plain view, but the bigger issue now, because you're not tuning in to get last year's news today.
[03:02.280 --> 03:09.280]  You're tuning in to get next year's news today and so we'll give you next month and next year's news.
[03:09.280 --> 03:17.280]  But at this juncture, things are getting a little blurry because now there's a real battle inside the power structure.
[03:17.280 --> 03:25.280]  And so the New World Order elite types are going to try to trigger a financial collapse.
[03:25.280 --> 03:28.280]  They're going to try to do that claiming hackers have done it.
[03:28.280 --> 03:35.280]  They've been beta testing shutting down pipelines and shutting down meat packing facilities and shutting down fairies.
[03:35.280 --> 03:44.280]  And then telling you that they're going to be the saviors when it all comes, even though they're the ones that want to disrupt society to consolidate society.
[03:44.280 --> 03:59.280]  Because the hackers never hit the U.N., they never hit Amazon, they never hit Bill Gates and people, they never hit Elon Musk.
[03:59.280 --> 04:03.280]  They always hit infrastructure that hurts the little guy and consolidates power and control from them.
[04:03.280 --> 04:04.280]  They are the ones doing it.
[04:04.280 --> 04:06.280]  They're the ones shutting pipelines off publicly.
[04:06.280 --> 04:08.280]  They are the New World Order.
[04:08.280 --> 04:09.280]  They are the disruptors.
[04:09.280 --> 04:24.280]  They are the ones that want a post-industrial world and created a treaty in 1992 in Rio de Janeiro that our evil globalist president, Mr. New World Order Herbert Walker Bush, may he burn in hell, promoted.
[04:24.280 --> 04:35.280]  So we know the compendium and the trajectory and the river in which we flow, but now we approach the sea, the world government, the dehumanization, the depopulation.
[04:35.280 --> 04:40.280]  Now the journey is beginning to reach its nightmare destination.
[04:40.280 --> 04:51.280]  And we're going to talk about how we stop it and what they're planning and the different possible futures that are rapidly approaching us as if we're driving down a highway at 300 miles an hour.
[04:51.280 --> 04:57.280]  We'll be right back till everybody you know tune in because history's happening now.
[04:57.280 --> 05:09.280]  You've got until June 6 to get free shipping, double Patriot points and up to 50% off on our best selling products.
[05:09.280 --> 05:21.280]  DNA Force Plus, that is the highest quality ultimate product you can get for your telomeres, your cells, the mitochondria, the engines of your cells, PQQ, CoQ10, so much more.
[05:21.280 --> 05:22.280]  It's the flagship product.
[05:22.280 --> 05:28.280]  It is 40% off with free shipping, double Patriot points, pollen block, procedural discomfort, allergies.
[05:28.280 --> 05:29.280]  It's a natural system.
[05:29.280 --> 05:30.280]  People love it.
[05:30.280 --> 05:31.280]  Five star reviews.
[05:31.280 --> 05:34.280]  Back in stock, 40% off again with free shipping.
[05:34.280 --> 05:36.280]  All these products go wide.
[05:36.280 --> 05:41.280]  Free shipping, double Patriot points, vaso beats for your heart, your liver, your cardiovascular.
[05:41.280 --> 05:47.280]  It creates a key compound in your blood that is known as a detoxifying system.
[05:47.280 --> 05:49.280]  It's all there.
[05:49.280 --> 05:52.280]  But again, look into vaso beats with a nitrous oxide.
[05:52.280 --> 05:53.280]  That's 50% off.
[05:53.280 --> 05:55.280]  All for 12 back in stock, 50% off.
[05:55.280 --> 06:00.280]  This is running until Sunday and the deal's over at FullWareStore.com.
[06:11.280 --> 06:14.280]  It's Thursday, June 3, 2021.
[06:14.280 --> 06:16.280]  I'm your host Alex Jones.
[06:16.280 --> 06:18.280]  Thank you so much for joining us today.
[06:18.280 --> 06:29.280]  Well, the fall of the globalist medical tyrant that is now in accelerated free fall, Dr. Anthony Fauci,
[06:29.280 --> 06:39.280]  is truly the first domino to fall that can bring down much of the Anglo-American China globalist system.
[06:39.280 --> 06:44.280]  And we're going to be laying all of that out today, next year's news today.
[06:44.280 --> 06:49.280]  No need to celebrate that we were amongst the first to tell you exactly what's really going on.
[06:49.280 --> 06:51.280]  No need to go back in time.
[06:51.280 --> 06:53.280]  We're not giving you last year's news today.
[06:53.280 --> 06:56.280]  We're going to give you next year's news today.
[06:56.280 --> 07:02.280]  But Tucker Carlson did a really good summation of how far we've come educating the public.
[07:02.280 --> 07:05.280]  So I'm going to air part of that and we're going to come back in the next segment.
