[00:00:00.049 --> 00:00:00.209]  Oh my!
[00:00:26.428 --> 00:00:28.649]  Tuesday, May 6, 2008.
[00:00:28.649 --> 00:00:36.993]  Transmission is going to be quite a revelation for you.
[00:00:36.993 --> 00:00:39.695]  Very special broadcast today.
[00:00:39.695 --> 00:00:54.102]  Jim Tucker, who just covered and got inside info from the Trilateral Commission meeting a few days ago, will be joining us here first to break the news and information more than is just in his article on AmericanFreePress.net and InfoWars.com right now.
[00:00:54.915 --> 00:00:58.436]  We have a surprise top globalist.
[00:00:58.436 --> 00:01:03.336]  We say that because we don't want to foil them coming on blind.
[00:01:03.336 --> 00:01:04.477]  Scheduled for later.
[00:01:04.477 --> 00:01:07.957]  I'm just going to leave that be.
[00:01:07.957 --> 00:01:11.678]  About 95% of the time these little treats do materialize.
[00:01:11.678 --> 00:01:13.118]  We'll see what this one does.
[00:01:13.118 --> 00:01:15.298]  Mike Rivera for his monthly visit pops in.
[00:01:15.298 --> 00:01:24.120]  Perfect timing to cover the latest info on the murder of Deborah Jean Palfrey and the overdrive cover-up by the police, AP, and others.
[00:01:25.153 --> 00:01:27.434]  And then we also have the apartment manager.
[00:01:27.434 --> 00:01:32.337]  They haven't even really released his name yet, but we have it.
[00:01:32.337 --> 00:01:33.818]  And we've talked to him.
[00:01:33.818 --> 00:01:38.200]  He's talked to the TV cameras, but without giving his name, he'll be joining us coming up.
[00:01:38.200 --> 00:01:39.261]  We're not going to give his name out either.
[00:01:39.261 --> 00:01:45.424]  The point is, is that he's going to be on the radio show with us coming up later today.
[00:01:45.424 --> 00:01:48.946]  She told him that she was being followed, thought there was a contract out on her.
[00:01:50.620 --> 00:01:55.842]  Then we have James Whale, who's made the front page of all the major papers in England.
[00:01:55.842 --> 00:01:58.843]  He was fired for giving his political views.
[00:01:58.843 --> 00:02:03.184]  That's right, you're not allowed to do that in England!
[00:02:03.184 --> 00:02:17.568]  Arguably one of the most popular, he's in the top three, arguably the most popular radio talk show host in England, fired for supporting the individual who just won to be the new mayor of London.
[00:02:17.568 --> 00:02:20.209]  The last guy was an open communist.
[00:02:22.683 --> 00:02:25.045]  So, this is just amazing.
[00:02:25.045 --> 00:02:32.210]  A conservative mayor, and his friend is James Whale, and James was fired over this.
[00:02:32.210 --> 00:02:39.235]  He will be joining us in the fourth hour today from London.
[00:02:39.235 --> 00:02:44.979]  And he is going to do his own internet radio show, and he may be arrested.
[00:02:44.979 --> 00:02:47.681]  Because in England, you're not allowed to have free speech.
[00:02:48.627 --> 00:02:54.149]  Jolly old England is a hyper police state today, ladies and gentlemen.
[00:02:54.149 --> 00:02:57.270]  And you're not allowed to have free speech if they don't say so.
[00:02:57.270 --> 00:03:01.751]  Nice men with badges and guns, drop by.
[00:03:01.751 --> 00:03:03.592]  By the way, I'm not bashing police.
[00:03:03.592 --> 00:03:06.873]  I'm against what you're being trained to do and what you're following orders to do.
[00:03:08.740 --> 00:03:23.246]  There was a cop calling himself Anonymous Austin Cop on my message board, in the comment section of InfoWars, commenting on a story today, and he said, typical, blowhard, frothing Alex Jones, making the police look bad.
[00:03:23.246 --> 00:03:35.672]  And the people pointed out, uh, officer, uh, this is a Seattle Times article about how they give the police information on citizens, the telecommunications companies do, without warrants.
[00:03:37.870 --> 00:03:42.612]  And the article, by the way, is pro-destroy the Fourth Amendment.
[00:03:42.612 --> 00:03:57.958]  I mean, I even post articles to point out what the establishment's doing that are saying, get rid of the Fourth Amendment, and this guy's in there saying he's an Austin cop, saying that I'm basically, uh, what'd he call me, trash.
[00:03:57.958 --> 00:03:58.959]  Well, let me tell you something.
[00:03:58.959 --> 00:04:01.300]  I'm not the one destroying your dollar and your future.
[00:04:01.300 --> 00:04:04.021]  I'm not the one that puts sodium fluoride in your water, cop.
[00:04:04.021 --> 00:04:04.721]  Let me tell you something.
[00:04:06.184 --> 00:04:11.006]  There is no doubt that it is eating holes in your brain, attacking every organ in your body.
