[00:00.000 --> 00:10.000]  Big Brother, mainstream media, government cover-ups.
[00:10.000 --> 00:11.000]  You want answers?
[00:11.000 --> 00:13.000]  Well, so does he.
[00:13.000 --> 00:17.000]  He's Alex Jones on the GCN Radio Network.
[00:17.000 --> 00:27.000]  And now, live from Austin, Texas, Alex Jones.
[00:27.000 --> 00:34.000]  Well, Europe is continuing its controlled implosion by the globalists because they consolidate power.
[00:34.000 --> 00:43.000]  And the controlled disintegration is also gaining speed here in the United States and the rest of North America.
[00:43.000 --> 00:49.000]  We are going to be here for the next three hours today, the always thought-provoking.
[00:49.000 --> 00:58.000]  David Ike will be joining us coming up in the second hour. And then Amy Larson, they're going ahead with charges against her.
[00:58.000 --> 01:11.000]  She was arraigned yesterday for riding with chalk on the sidewalk that you should YouTube Building 7, the 47th-story building that the CIA was housed in that blew up on 9-11.
[01:11.000 --> 01:23.000]  And we have the police on tape on CNN saying get back to bringing it down and CNN and BBC saying that it fell in its own footprint from fires before it even fell.
[01:23.000 --> 01:30.000]  That's like if you called 9-11 and said someone just shot my neighbor and the cops pull up and you're shooting the neighbor as they pull up.
[01:30.000 --> 01:35.000]  You need to call the cops after you shoot the neighbor.
[01:35.000 --> 01:41.000]  Not say somebody shot my neighbor and then shoot the neighbor as the cops pull up.
[01:41.000 --> 01:49.000]  You want to have Lee Harvey Oswald in custody before you roll newspapers worldwide that he had been captured with his name.
[01:49.000 --> 01:53.000]  Remember the old days they had newspapers coming out on the hour in big cities?
[01:53.000 --> 01:58.000]  That all happened. But I'm already digressing. She's going to be joining us.
[01:58.000 --> 02:08.000]  And I was talking to my crew and I'm like, yeah, we have time tomorrow or Friday. We've got to get out. I want you to videotape me writing her same message on Austin streets.
[02:08.000 --> 02:16.000]  I said, thank God we don't live in the globalist Republic of California where, you know, chalking is not illegal, something all hopscotchers do.
[02:16.000 --> 02:23.000]  And I searched it and found out they arrest you in Austin with pleasure, including political speech.
[02:23.000 --> 02:27.000]  They call it vandalism. The code doesn't actually fit.
[02:27.000 --> 02:30.000]  So soon I'm going to go out and find police and do it.
[02:30.000 --> 02:33.000]  I'm going to write freedom, have them arrest me and then I'm going to fight it in court.
[02:33.000 --> 02:36.000]  Not that I want a court battle, but it's got to be done.
[02:36.000 --> 02:40.000]  It's not vandalism to write with chalk.
[02:40.000 --> 02:47.000]  The only way it would be is if it was profane and violated community agreed upon standards that have been adjudicated.
[02:47.000 --> 02:51.000]  But they all have this color of law situation.
[02:51.000 --> 03:01.000]  Yeah, I saw where women on 11th Street got arrested for doing it right in front of the Texas Capitol, not even on the state grounds, but on the sidewalk across the street.
[03:01.000 --> 03:08.000]  The state police ran across with pleasure and arrested them, landed the free home of the brave, but you don't have political speech.
[03:08.000 --> 03:19.000]  You see, political speech is demonized in this country, whether it's the Dixie chick saying they're anti-warb or whether it's the government saying we want to restrict criticizing Islam,
[03:19.000 --> 03:23.000]  because it's going to cause unrest.
[03:23.000 --> 03:26.000]  The UN wants to restrict free speech as well.
[03:26.000 --> 03:29.000]  This is the whole move we're going towards.
[03:29.000 --> 03:36.000]  And who would have ever thought, land the free home of the brave, don't write your political messages in chalk that wash away.
[03:36.000 --> 03:46.000]  Every ancient culture from Rome to ancient China, even in those tyrannies, they did not mess with the people drawing on the walls graffiti.
[03:46.000 --> 03:49.000]  That was the people's real newspaper.
[03:49.000 --> 03:50.000]  And the system knows this.
[03:50.000 --> 03:56.000]  They know as they get ready to shut down the internet, as we've known, and if they're successful, they're certainly going to try.
[03:56.000 --> 03:57.000]  Doesn't mean they're going to succeed.
[03:57.000 --> 04:01.000]  People are addicted now to free flow of information.
[04:01.000 --> 04:06.000]  They are going to try to go in and shut down what you call graffiti, which will be emergency messages.
[04:06.000 --> 04:11.000]  Or you notice nobody ever gets in trouble for putting up a yard sign saying, hey, yard sale on the telephone pole.
[04:11.000 --> 04:19.000]  But when it's Obama as the joker, oh, the police were on the news saying, let's arrest whoever's doing this, putting up little pieces of paper.
[04:19.000 --> 04:23.000]  And until the public revolted and said, hey, we're going to go out and do this too.
[04:23.000 --> 04:25.000]  This is America.
[04:25.000 --> 04:29.000]  Political speech is the most protected.
[04:29.000 --> 04:33.000]  The most protected unpopular speech is right up there with it.
[04:33.000 --> 04:34.000]  Okay?
[04:34.000 --> 04:36.000]  That's it.
[04:36.000 --> 04:48.000]  Unless you're talking about obscene messages to minors, that's the only speech that which seeks to corrupt the youth that can be restricted historically under common law.
[04:48.000 --> 04:50.000]  British common law, English common law.
[04:50.000 --> 05:00.000]  You notice, though, they bombard the kids with bad messages to screw them up and destroy their innocence all over television now.
[05:00.000 --> 05:10.000]  Alex Jones here with a very important announcement for truth seekers. We've carried a lot of amazing films and books over the years on the online video bookstore at info wars.com.
[05:10.000 --> 05:16.000]  And out of all the titles we've carried, one stands out because it is just so chillingly convincing.
[05:16.000 --> 05:22.000]  And that's Dreams From My Real Father by Joel Gilbert, available at infowars.com.
[05:22.000 --> 05:26.000]  This film exposes the fraud that Obama is like nothing I've seen.
[05:26.000 --> 05:30.000]  If you want to know who Obama's real daddy is, this is the film for you.
[05:30.000 --> 05:34.000]  Don't forget, your purchase supports our broadcast and our growing media network.
[05:34.000 --> 05:37.000]  You'll also find it in FullWarsHop.com.
[05:37.000 --> 05:41.000]  None dare call a conspiracy by Gary Allen, the book that woke me up.
[05:41.000 --> 05:45.000]  We're also carrying behind the green mask, You and a Gender 21, by Rosa Corey.
[05:45.000 --> 05:48.000]  This book is coffin nails to the globalist takeover.
[05:48.000 --> 05:55.000]  The greater good, the most professional and up-to-date film I've ever seen, exposing the scourge that is vaccines.
[05:55.000 --> 06:00.000]  These titles and a lot more are all available at infowarshop.com.
[06:00.000 --> 06:11.000]  The Silver Lungs Generator is the only all-encompassing professional class product for producing endless colloidal and ionic silver solutions right from the convenience of your home.
[06:11.000 --> 06:22.000]  With recent regulations threatening the sale of silver-based supplements, now you can secure yourself and your family by producing your own silver solutions anywhere, anytime.
[06:22.000 --> 06:30.000]  You can have the peace of mind knowing that you can create endless supply of silver anytime, anywhere, for any application.
[06:30.000 --> 06:37.000]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[06:37.000 --> 06:42.000]  This product was designed to be an invaluable part of your vital preparations.
