[00:00:00.683 --> 00:00:04.754]  Infowars.com is tomorrow's news.
[00:00:04.754 --> 00:00:08.083]  Today, you're listening to the Alex Jones Show.
[00:00:42.555 --> 00:00:49.881]  Ladies and gentlemen, we are live on this Thursday, Global Transmission, the 18th day of October 2018.
[00:00:49.881 --> 00:01:03.752]  News just broke 10 minutes ago that we exclusively have on Infowars.com for Western media.
[00:01:03.752 --> 00:01:09.897]  Putin is holding a huge conference in Russia right now and just 15 minutes ago said this.
[00:01:10.791 --> 00:01:13.773]  We're going to grab it in the next few minutes.
[00:01:13.773 --> 00:01:17.496]  We should have it for you in the next segment so you can actually see it for yourself.
[00:01:17.496 --> 00:01:23.601]  It is the most dramatic thing we've ever seen Putin, who's normally pretty restrained, say.
[00:01:23.601 --> 00:01:30.406]  Just to show you what a dangerous situation this world is in.
[00:01:30.406 --> 00:01:31.727]  This is from our team.
[00:01:31.727 --> 00:01:33.729]  It's on InfoWars.com right now.
[00:01:35.182 --> 00:01:43.367]  And obviously the live stream that we have posted there just got posted under a similar name that everybody needs to share because this is serious.
[00:01:43.367 --> 00:01:48.471]  After nuclear holocaust, we'll go to heaven as martyrs.
[00:01:48.471 --> 00:01:50.092]  Attackers will die as sinners.
[00:01:50.092 --> 00:01:56.756]  That's why I was a little bit late even getting into the chair here because I'd been dealing with this since I was told about it just about 15 minutes ago.
[00:01:59.457 --> 00:02:00.878]  And I've seen the video for myself.
[00:02:00.878 --> 00:02:05.042]  If any nation decides to attack Russia with nuclear weapons, it may end life on Earth.
[00:02:05.042 --> 00:02:08.445]  But unlike the aggressors, the Russians are sure to go to heaven.
[00:02:08.445 --> 00:02:18.574]  President Vladimir Putin has said, any aggressor should know that retribution will be inevitable and he will be destroyed.
[00:02:18.574 --> 00:02:18.955]  And since
[00:02:20.424 --> 00:02:24.446]  We'll be the victims of his aggression.
[00:02:24.446 --> 00:02:26.887]  We will be going to heaven as martyrs.
[00:02:26.887 --> 00:02:28.708]  They will simply drop dead.
[00:02:28.708 --> 00:02:30.629]  Won't even have time to repent.
[00:02:30.629 --> 00:02:43.035]  Putin said during a session of the Valdai Club in Sochi, he added that Russian nuclear forces are not tailored for preemptive
[00:02:44.145 --> 00:02:44.946]  Thank you.
[00:03:09.528 --> 00:03:10.208]  U.S.
[00:03:10.208 --> 00:03:17.892]  latest nuclear posture review says that Washington may use nuclear weapons in response to a non-nuclear attack on itself or allies, including an internet attack.
[00:03:17.892 --> 00:03:19.713]  That's Hillary's work and Obama's.
[00:03:19.713 --> 00:03:23.515]  It remains vague about the exact circumstances that may trigger such an action.
[00:03:23.515 --> 00:03:26.056]  Hillary said it was clear it's even an internet attack they could blame on.
[00:03:26.656 --> 00:03:27.596]  Blame the Russians.
[00:03:27.596 --> 00:03:31.797]  This gave rise to speculation that even a cyber attack may permit a nuclear response.
[00:03:31.797 --> 00:03:39.879]  Meanwhile, a call for the creation of small-yield submarine-launched missiles and nuclear-capable sea-launched cruise missiles have only added to concerns that the U.S.
[00:03:39.879 --> 00:03:45.820]  is stocking up and stocking up for some kind of large-scale conflict.
[00:03:45.820 --> 00:03:49.421]  As more unfolds, this just broke, like I said, like 20 minutes ago now.
[00:03:49.421 --> 00:03:51.221]  We will have the video for you on the other side.
[00:03:52.762 --> 00:03:54.403]  And we will have a lot more, obviously.
[00:03:54.403 --> 00:03:55.704]  This is a big, big deal.
[00:03:55.704 --> 00:04:05.812]  When you look at the rest of the posture of the world, when you look at the globalists trying to derail the peace deal that Trump's got with Saudi Arabia, that's what all this Khashoggi stuff is about.
[00:04:05.812 --> 00:04:14.138]  It's all just amazing, with 19 days out from this obviously incredibly historic, critical midterm election.
[00:04:14.138 --> 00:04:17.101]  Meanwhile, boy, I tell you, the season's right.
[00:04:17.101 --> 00:04:19.663]  Halloween right around the corner.
[00:04:19.663 --> 00:04:22.044]  Sam Hain, only
[00:04:23.596 --> 00:04:30.421]  12 days away, 13 days away in the election, a few days after that, we have all these videos of Democrats all over the U.S.
[00:04:30.421 --> 00:04:35.484]  foaming at the mouth, acting like they're demon possessed, and attacking people.
[00:04:35.484 --> 00:04:38.226]  Tearing down Ted Cruz signs, you name it.
[00:04:38.226 --> 00:04:46.292]  It is all coming up on the other side of this break as these people go into total crazed mode.
[00:04:47.455 --> 00:04:49.696]  There is so much more, obviously, coming up.
[00:04:49.696 --> 00:04:51.396]  Trump threatens to call U.S.
[00:04:51.396 --> 00:04:53.237]  military up to stop the U.N.
[00:04:53.237 --> 00:04:54.697]  breaking down our borders and more.
[00:04:54.697 --> 00:04:57.818]  Whatever you do, tell folks about the broadcast now and break the blockade.
[00:05:06.454 --> 00:05:19.541]  Help the good bacteria thrive and support overall digestive health with our specially formulated prebiotic fiber, a mixture of clinically studied and organic acacia, fruit, and flax fiber.
[00:05:19.541 --> 00:05:30.026]  Prebiotic fiber is soluble fiber that ferments in the gut to help feed good bacteria, which helps you digest food, absorb nutrients, and even support your immune system.
[00:05:30.606 --> 00:05:37.987]  InfoWarsLife's cutting-edge formula only brings you the highest quality organic and clinically studied ingredients.
