[00:00:20.197 --> 00:00:22.038]  It's November 20th.
[00:00:22.038 --> 00:00:22.858]  The year is 2020.
[00:00:22.858 --> 00:00:24.339]  That's 11-20-2020.
[00:00:24.339 --> 00:00:28.902]  Alex Jones here on the road.
[00:00:28.902 --> 00:00:30.983]  I was just at the Georgia Guidestones.
[00:00:30.983 --> 00:00:33.384]  We're about to enter back into Atlanta.
[00:00:33.384 --> 00:00:40.768]  And we're going to be demonstrating again at the Capitol building for several hours today with the protesters.
[00:00:40.768 --> 00:00:43.169]  More and more have been arriving.
[00:00:43.169 --> 00:00:47.891]  As most of you know, Georgia did exactly what Trump and Giuliani predicted.
[00:00:47.891 --> 00:00:48.732]  They ran the recount.
[00:00:50.114 --> 00:00:51.134]  The exact same way.
[00:00:51.134 --> 00:00:52.575]  That's not what the President asked for.
[00:00:52.575 --> 00:00:55.435]  He asked for the signatures to be verified.
[00:00:55.435 --> 00:01:01.416]  He asked for investigations of all the missing ballots that have now been confirmed.
[00:01:01.416 --> 00:01:03.617]  But the fight is far from over.
[00:01:03.617 --> 00:01:12.999]  They were going to certify the key Michigan election in Detroit until it turned out the people that were being threatened to certify it went public.
[00:01:12.999 --> 00:01:18.940]  The great news is the President met, we now learned yesterday, with the leaders of the Republican House and Senate.
[00:01:19.600 --> 00:01:21.041]  They're in Michigan.
[00:01:21.041 --> 00:01:27.806]  And that's really got the Democrats and their fraudsters in the deep state scared because this has all been illegitimate.
[00:01:27.806 --> 00:01:35.012]  And when there's proof of fraud, there's massive proof of fraud, it's got to be the legislatures that call emergency sessions.
[00:01:35.012 --> 00:01:39.815]  That's why we've been in Georgia pushing for an emergency session to be called.
[00:01:39.815 --> 00:01:42.617]  We don't know if the governor is going to certify today or tomorrow.
[00:01:42.617 --> 00:01:48.181]  It was the same bureaucrats and rhino Republicans
[00:01:49.147 --> 00:01:55.935]  That have said that the recount yesterday did show basically the same numbers.
[00:01:55.935 --> 00:02:00.181]  Trump gained some votes, but it's about 13,000 votes now, more for Biden.
[00:02:01.383 --> 00:02:09.612]  Remember Trump was way ahead until days and days after they had frozen the election that night and then found all of these magic ballots.
[00:02:09.612 --> 00:02:21.464]  It's also been confirmed that tens of thousands of ballots are not creased, they've not been folded, they've not been in a machine, they've not been in an envelope, and a perfect machine on the Scantrons has bubbled them in.
[00:02:22.489 --> 00:02:34.513]  But again, CNN stonewalls and says over and over and over again, along with all the other corporate establishment media, that there is no fraud, there is no proof, there's nothing happening.
[00:02:34.513 --> 00:02:41.615]  But now CNN has the headlines of, you should be scared, you should be concerned, there's danger, there's danger, what Trump's doing with the legislatures.
[00:02:41.615 --> 00:02:46.917]  Yeah, because you've been caught with your fraud, just like Russiagate, just like Ukrainegate, just like everything else.
[00:02:46.917 --> 00:02:51.519]  And if the establishment corporate media can't hoodwink people into buying their gaslighting,
[00:02:52.259 --> 00:02:55.441]  They're mass hoax and that's game over for them.
[00:02:55.441 --> 00:03:02.525]  So Trump has a duty, not just a right, to stand up to this fraud and say no to it.
[00:03:02.525 --> 00:03:11.490]  I'm not going to go back over all the numbers, but he won bigger in the battleground states than he did four years ago until they quit the counting.
[00:03:11.490 --> 00:03:12.251]  And remember what happened?
[00:03:13.594 --> 00:03:18.976]  At 1030 at night a water main broke, so for four hours they had to stop counting.
[00:03:18.976 --> 00:03:33.742]  The truth is they put cardboard over the windows, there's video of this, and continued to count, running Joe Biden ballots through three times apiece, the same ballot, until they were able to go past Trump.
[00:03:33.742 --> 00:03:34.703]  Then where were they counting those?
[00:03:36.218 --> 00:03:39.660]  Inside the CNN Center, where they set up the vote counting.
[00:03:39.660 --> 00:03:42.241]  You cannot make up the irony.
[00:03:42.241 --> 00:03:45.623]  CNN doesn't just steal the truth from us.
[00:03:45.623 --> 00:03:48.905]  They steal our birthright, our heritage.
[00:03:48.905 --> 00:03:50.006]  I've been all over Atlanta.
[00:03:50.006 --> 00:03:52.247]  There's Trump signs all over the place in Atlanta.
[00:03:52.247 --> 00:03:54.508]  You don't even see Biden signs.
[00:03:54.508 --> 00:03:59.651]  When you're outside Atlanta, it's all you see is Trump signs, and everybody I talk to
[00:04:00.814 --> 00:04:01.934]  You're saying the same thing.
[00:04:01.934 --> 00:04:16.778]  You know, how is it that Trump did twice as good with Hispanic Americans, three times better than he did with black Americans, just four years ago, but they're to tell us to believe that white males went against the president, and that's magically how this happened.
[00:04:16.778 --> 00:04:17.398]  Yeah.
[00:04:17.398 --> 00:04:19.798]  You mean a bunch of old, dead white people?
[00:04:19.798 --> 00:04:21.819]  Some of which have been dead for a hundred years?
[00:04:21.819 --> 00:04:22.619]  Eighty years?
[00:04:22.619 --> 00:04:23.579]  Tens of thousands of them!
[00:04:23.579 --> 00:04:24.620]  It's all admitted!
[00:04:24.620 --> 00:04:25.600]  Let's see what others say.
[00:04:26.550 --> 00:04:27.690]  There's no proof.
[00:04:27.690 --> 00:04:28.751]  Gaslighting.
[00:04:28.751 --> 00:04:29.551]  We're going to go to break.
[00:04:29.551 --> 00:04:30.031]  Come back.
[00:04:30.031 --> 00:04:31.512]  Owen Schroyer is going to be here.
[00:04:31.512 --> 00:04:36.473]  I want to comment on Tucker Carlson when he had to say last night about Sidney Powell and more.
[00:04:36.473 --> 00:04:39.674]  But remember, InfoWars is the light of liberty.
[00:04:39.674 --> 00:04:41.575]  It's actually exploding under this crisis.
[00:04:41.575 --> 00:04:49.578]  As people know, with the censorship, the one place to find the real debt on analysis is InfoWars.com, NewsWars.com, and Band.Video.
[00:04:49.578 --> 00:04:51.358]  We'll be right back on the side of this break.
[00:04:51.358 --> 00:04:53.559]  Please stay with us, Paul Reveres, and please spread the word.
[00:04:58.766 --> 00:04:59.927]  The games are over.
[00:04:59.927 --> 00:05:00.448]  The waiting is over.
[00:05:00.448 --> 00:05:01.929]  The fight is now out in the open.
[00:05:01.929 --> 00:05:04.632]  World government is here in the latter part of 2020.
[00:05:20.248 --> 00:05:20.708]  We're good to go.
[00:05:50.094 --> 00:05:50.914]  The Alex Jones Show.
[00:05:50.914 --> 00:05:52.715]  Because there is a war on, for your mind.
[00:05:52.715 --> 00:05:53.535]  Build Back Better.
[00:05:53.535 --> 00:05:54.135]  The Great Reset.
[00:05:54.135 --> 00:05:54.635]  Agenda 21.
[00:05:54.635 --> 00:05:58.296]  Welcome my friends.
[00:06:21.084 --> 00:06:25.205]  Thank you for joining us on this live Friday broadcast.
[00:06:25.205 --> 00:06:29.607]  Owen Schroyer is set to take over from Austin, Texas here in a few minutes.
[00:06:29.607 --> 00:06:46.972]  John Kerry has joined the Canadian Prime Minister, the British Prime Minister, the German Chancellor, oh, and a whole bunch of other European presidents in just the last 24 hours coming out and saying, COVID is the Great Reset.
[00:06:48.001 --> 00:07:00.371]  To make populist nations like the UK with Brexit and the United States be punished for what we did so that we submit to them.
[00:07:00.371 --> 00:07:02.512]  Isn't that the most incredible thing ever?
[00:07:02.512 --> 00:07:15.562]  Go read the articles with direct links to John Kerry and Justin Trudeau and Boris Johnson and Angela Merkel and two other EU presidents.
[00:07:15.562 --> 00:07:16.023]  Go read it.
[00:07:17.423 --> 00:07:24.366]  Just last night and today, shooting their demonic, filthy, murdering, scumbag mouths off.
[00:07:24.366 --> 00:07:25.627]  They're attacking us.
[00:07:25.627 --> 00:07:28.448]  This is 21st century war.
[00:07:28.448 --> 00:07:30.649]  It's called siege.
[00:07:30.649 --> 00:07:35.872]  And they've got all these people trained now, 10 months into this, that never take the mask off, and now they're getting ready for lockdown too.
[00:07:35.872 --> 00:07:39.814]  That will put us into a depression and kill the third world.
[00:07:41.067 --> 00:07:42.509]  They talk about Great Reset ending poverty.
[00:07:42.509 --> 00:07:43.770]  Yeah, it'll end poverty.
[00:07:43.770 --> 00:07:44.531]  It's killing people.
[00:07:44.531 --> 00:07:45.573]  The UN even admits it.
[00:07:45.573 --> 00:07:48.036]  The very ones doing it admit, give us billions more.
[00:07:48.036 --> 00:07:54.684]  So now we gotta feed everybody in Africa and places that are starving to death because they've cut the damn economies off.
[00:07:54.684 --> 00:07:59.029]  Because here, you lose your job, you just live on welfare, and then end up losing your house.
[00:08:00.031 --> 00:08:02.253]  But in places like Africa, you starve to death.
[00:08:02.253 --> 00:08:04.214]  And that's where we're buying produce.
[00:08:04.214 --> 00:08:06.115]  The biggest producers are flowers.
[00:08:06.115 --> 00:08:11.079]  All that stuff that is a non-essential economy is essential to them, and they die.
[00:08:11.079 --> 00:08:14.982]  Think about being called non-essential.
[00:08:14.982 --> 00:08:23.148]  But it all hides in plain view with a bunch of simpering leftists, because the left in this country, liberals in this country, have totally abandoned all their morals and everything else.
[00:08:23.148 --> 00:08:24.849]  And they're also a bunch of useful idiots.
[00:08:24.849 --> 00:08:25.630]  The average leftist
[00:08:26.835 --> 00:08:33.601]  He's even being more severely hurt by the lockdowns and the shutdowns and their cult-like subservience but they don't care.
[00:08:33.601 --> 00:08:41.248]  Because they think by going along with mainstream media and supporting endless wars and all the corruption that they're somehow the good guys and they're the resistance.
[00:08:41.248 --> 00:08:42.269]  You're not woke.
[00:08:42.269 --> 00:08:43.790]  You're not the resistance.
[00:08:43.790 --> 00:08:45.312]  You're the problem.
[00:08:45.312 --> 00:08:47.734]  Now I want to play a clip of Tucker Carlson
[00:08:48.991 --> 00:09:07.622]  Talking about Sidney Powell last night, one of the lawyers on Trump's team, and the fact that the last week he's requested many, many times that they give him the proof and that she has not given him the proof of the algorithm manipulation that she says is going on.
[00:09:07.622 --> 00:09:16.147]  Now, I have some comments on this, but first, let's play a few minutes of what Tucker Carlson had to say last night, and I'll come back and give you the actual breakdown.
[00:09:16.147 --> 00:09:16.588]  Stay with us.
[00:09:17.395 --> 00:09:22.177]  ...by former prosecutor Sidney Powell, who has also served as General Mike Flynn's lawyer.
[00:09:22.177 --> 00:09:26.860]  For more than a week, Powell has been all over conservative media with the following story.
[00:09:26.860 --> 00:09:36.784]  This election was stolen by a collection of international leftists who manipulated vote tabulating software in order to flip millions of votes from Donald Trump to Joe Biden.
[00:09:36.784 --> 00:09:44.008]  The other day on television, Powell said of Trump that when the fraud is finally uncovered, quote, I think we'll find he had at least 80 million votes.
[00:09:44.864 --> 00:09:50.807]  In other words, rigged software stole about 7 million votes in this election.
[00:09:50.807 --> 00:09:54.709]  Here's some of what Powell said today about the software.
[00:09:54.709 --> 00:09:59.911]  One of its most characteristic features is its ability to flip votes.
[00:09:59.911 --> 00:10:09.976]  It can set and run an algorithm that probably ran all over the country to take a certain percentage of votes from President Trump and flip them to President Biden.
[00:10:10.516 --> 00:10:22.247]  Which we might never have uncovered had the votes for President Trump not been so overwhelming in so many of these states that it broke the algorithm that had been plugged into the system.
[00:10:22.247 --> 00:10:26.651]  And that's what caused them to have to shut down in the states they shut down in.
[00:10:28.206 --> 00:10:31.868]  That was a few hours ago, but Sidney Powell has been saying similar things for days.
[00:10:31.868 --> 00:10:35.430]  On Sunday night, we texted her after watching one of her segments.
[00:10:35.430 --> 00:10:41.094]  What Powell was describing would amount to the single greatest crime in American history.
[00:10:41.094 --> 00:10:43.855]  Millions of votes stolen in a day.
[00:10:43.855 --> 00:10:45.856]  Democracy destroyed.
[00:10:45.856 --> 00:10:48.758]  The end of our centuries-old system of self-government.
[00:10:48.758 --> 00:10:49.579]  Not a small thing.
[00:10:50.439 --> 00:10:54.262]  Now, to be perfectly clear, we did not dismiss any of it.
[00:10:54.262 --> 00:10:58.606]  We don't dismiss anything anymore, particularly when it's related to technology.
[00:10:58.606 --> 00:11:00.948]  We've talked to too many Silicon Valley whistleblowers.
[00:11:00.948 --> 00:11:02.890]  We've seen too much.
[00:11:02.890 --> 00:11:07.373]  After four years, this may be the single most open-minded show on television.
[00:11:07.373 --> 00:11:17.322]  We literally do UFO segments, not because we're crazy or even been interested in the subject, but because there is evidence that UFOs are real and everyone lies about it.
[00:11:18.117 --> 00:11:24.341]  There's evidence that a lot of things that responsible people use to dismiss out of hand as ridiculous are in fact real.
[00:11:24.341 --> 00:11:26.403]  And we don't care who mocks it.
[00:11:26.403 --> 00:11:32.547]  The louder the Yale Political Science Department and the staff of the Atlantic Magazine scream, Conspiracy Theory!
