[00:00.000 --> 00:16.000]  From the front lines of the Information War, it's Alex Jones.
[00:31.000 --> 00:40.000]  You better set me free.
[00:40.000 --> 00:44.000]  I'm a live wire, ladies and gentlemen.
[00:44.000 --> 00:53.000]  You know, there's a place where having a live transmission wire is transmitting data is illegal.
[00:53.000 --> 01:06.000]  In fact, there's more than just one, and I'm working on a map from publicly available files on where these escape corridors are from the 5G kill grid.
[01:06.000 --> 01:08.000]  Now, you might want to understand something.
[01:08.000 --> 01:09.000]  This is not my opinion.
[01:09.000 --> 01:28.000]  This is fact, and the ultra rich have been building airfields and armored redoubts or fortresses in Kauai, Hawaii, Tasmania, Australia and West Virginia, not to mention areas of northern Canada.
[01:28.000 --> 01:48.000]  And the funniest thing happened last week. I was already planning on either doing a short film or a long film on this and predicting the exodus you're going to see out of the cancer zones from 5G and the rest of it and how the establishment is going to respond to that.
[01:48.000 --> 02:08.000]  And then Friday I came in and there was a huge article that had been out since Thursday in the New York Times admitting all of this, but from the oblique, from an angle, the land where the internet is.
[02:08.000 --> 02:11.000]  Well, you know what this broadcast is all about.
[02:11.000 --> 02:23.000]  You know, I've been thinking, we told you about the world government and the collapse of the EU and the plan to attack the family and to attack the genders and that's in movies I made 20 years ago and in game 11 years ago.
[02:23.000 --> 02:29.000]  And now the world government's out in the open and the surveillance grid is out in the open. Everything we told you, it's like, okay, I already know that.
[02:29.000 --> 02:39.000]  Well, I was thinking how about I start telling folks, like I did 20 years ago or 10 years ago, what's coming next?
[02:39.000 --> 02:44.000]  How about I start telling you all of that?
[02:44.000 --> 02:52.000]  Because by the way, it's not my opinion that cell towers give you cancer. That's all admitted. I'll show you all the main line government documents.
[02:52.000 --> 03:01.000]  But I want to explain something here. It's a lot worse than that.
[03:01.000 --> 03:10.000]  And so I thought, though, instead of just talking about what they're going to do to us, the way the globalists work metaphysically is they follow the rules of metaphysics.
[03:10.000 --> 03:18.000]  They have to give you an escape route and they have to even tell you what they're doing, but then criticize it and make fun of it.
[03:18.000 --> 03:23.000]  If you warn people.
[03:23.000 --> 03:34.000]  The vampire has to be asked to be let in and then you have to let it in.
[03:34.000 --> 03:46.000]  So I'm going to do my best today at the start of the next hour to plunge directly into this.
[03:46.000 --> 03:59.000]  But I'm telling you, for anybody who wants to get together, I'm not saying I'm going to do this, but get together with real investors and real developers and go out to Wyoming, Montana, places like that.
[03:59.000 --> 04:08.000]  And buy enough land and get enough investors and enough people to move into the area to say that you don't want cell phones. You don't want cell towers.
[04:08.000 --> 04:17.000]  You want everything wired. That is going to be the biggest growth industry in the future because the cancer rates are just skyrocketing around the regular cell phones.
[04:17.000 --> 04:24.000]  And now the 5G, it's just unbelievable. And the behavioral problems, the effect it has on this on the central nervous system.
[04:24.000 --> 04:32.000]  I have a stack of scientific American articles admitting that it causes brain damage and mind control.
[04:32.000 --> 04:38.000]  Here's a headline. Mind control by cell phone. It's just, it's just all here.
[04:38.000 --> 04:42.000]  You're like, oh, that's like the movie, The Kingsman. Yeah, but it's not a movie.
[04:42.000 --> 04:47.000]  Makes you irritable. Breaks up your family. Makes you all alone.
[04:47.000 --> 04:53.000]  Well, guess what? There's 14,000 square miles where the U.S. government has made cell phones illegal.
[04:53.000 --> 05:00.000]  Oh, and they did it 40 years ago. Oh, and guess where the elite lives? Oh.
[05:00.000 --> 05:07.000]  You want to nourish a probiotic-friendly environment in your gut with prebiotic fiber by InfoWarsLife.
[05:07.000 --> 05:15.000]  Help the good bacteria thrive and support overall digestive health with our specially formulated prebiotic fiber,
[05:15.000 --> 05:20.000]  a mixture of clinically studied and organic acacia, fruit, and flax fiber.
[05:20.000 --> 05:31.000]  Prebiotic fiber is soluble fiber that ferments in the gut to help feed good bacteria, which helps you digest food, absorb nutrients, and even support your immune system.
[05:31.000 --> 05:38.000]  InfoWarsLife's cutting-edge formula only brings you the highest quality organic and clinically studied ingredients.
[05:38.000 --> 05:42.000]  Cheap prebiotic fibers are used up only at the beginning of the colon,
