[00:00.000 --> 00:29.840]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:29.840 --> 00:36.840]  California skies are the most polluted in the world right now with epic million-acre fires raging.
[00:36.840 --> 00:48.840]  And the sky is gray. California skies.
[00:48.840 --> 00:54.840]  This part's important. I found a church. I got all my knees.
[00:54.840 --> 01:07.840]  This part's key right here. Crank it up.
[01:07.840 --> 01:21.840]  California dream.
[01:21.840 --> 01:36.840]  Now, you know, occasionally I see an article, I see a news story that I already know of one side and down the other.
[01:36.840 --> 01:47.840]  But I see it and it makes me ashamed that I haven't covered it more and discussed it more and talked about what the final destination is.
[01:47.840 --> 02:01.840]  What the end game is of all the apparent deindustrialization and sabotage and corruption where the establishment will go way out of its way to do something corrupt and evil instead of doing something good.
[02:01.840 --> 02:12.840]  Where are they leading us in this scorched earth policy? What is our destination? Where is the world government taking us?
[02:12.840 --> 02:22.840]  And I saw this article. We've linked it up on infowars.com from the Daily Mail.
[02:22.840 --> 02:34.840]  And it gives a headline out here, whistleblower teacher makes shocking claim that most are autistic.
[02:34.840 --> 02:43.840]  That's the headline you say, well, most of what it goes on to say that basically mentally retarded or brain damaged children who don't even know who they are.
[02:43.840 --> 02:51.840]  Are being taught in the public schools that if you're a boy, you're a girl. And if you're a girl, you're a boy. Why? Because.
[02:51.840 --> 03:05.840]  Under Cold Springs Harbor eugenics in this country and the Royal Academy in England and under the Kaiser Wilhelm Institute under Hitler, anyone that is seen as mentally defect must be sterilized.
[03:05.840 --> 03:15.840]  But it's not fashionable to sterilize the mentally retarded or the mentally feeble as the Nazis called it.
[03:15.840 --> 03:28.840]  It goes with bad racial hygiene. And so what you do is you just say, oh, we're teaching the Down syndrome children and the autistic children that they're really another sex and then isn't it cute.
[03:28.840 --> 03:33.840]  They don't go to the Special Olympics. They just get their journals cut off.
[03:33.840 --> 03:38.840]  But it's so cool. It's like a class thing. And that's really what this is.
[03:38.840 --> 03:45.840]  You see, there's a bigger issue here than that, that dwarfs it by multilevels.
[03:45.840 --> 03:50.840]  Why have you go to the CDC's own numbers in 1960?
[03:50.840 --> 03:57.840]  About one in 33,000 had autism spectrum disorders.
[03:57.840 --> 04:04.840]  The last numbers that came out in 2015 for the United States, the numbers are similar for Canada.
[04:04.840 --> 04:19.840]  Show one in 58, we are the leaders in the world in autism spectrum disorders, except for one country, South Korea.
[04:19.840 --> 04:26.840]  What does South Korea do to a level even higher than us? Well, they do a couple of things.
[04:26.840 --> 04:35.840]  They use even more roundup life of sale on their crops, their biggest crop being soybeans. And they take more vaccines than anybody else.
[04:35.840 --> 04:41.840]  And they have more screen time than anybody else. And they have more 5G than anybody else. So I guess it's more than two things.
[04:41.840 --> 04:50.840]  But this is the fact. They're now reporting that in some classrooms, 30% of the children by age five or six cannot even talk.
[04:50.840 --> 04:58.840]  The Holocaust is here. Did anybody notice? Did anybody say no? We'll break it down straight ahead.
[04:58.840 --> 05:06.840]  The globalists know that if they suppress the good halogen and pump the environment full of the bad halogens, fluoride, chlorine, bromide, you name it,
[05:06.840 --> 05:10.840]  that it lowers IQ, it literally dumbs the population down.
[05:10.840 --> 05:17.840]  And on our quest to bring our listeners and viewers the best iodine in the world, we've gone through two permutations.
[05:17.840 --> 05:23.840]  The first seaweed-based iodine that was pretty good, but hard to source, and the globalists tried to block us getting a supply of it.
[05:23.840 --> 05:29.840]  So we discovered deep earth crystals of pure nascent iodine and brought you X2. That's been incredible.
[05:29.840 --> 05:37.840]  Now, due to the establishment trying to block that, we did more research and secured more of the deep earth crystals of nascent iodine.
[05:37.840 --> 05:45.840]  But chemists, scientists and others showed us the research that by combining it with three other compounds, two forms of iodine and vitamin C,
[05:45.840 --> 05:50.840]  it supercharges it and makes it even more bioavailable.
[05:50.840 --> 05:54.840]  Ladies and gentlemen, you want to research it, you want to see it, it's an incredible discovery.
[05:54.840 --> 06:21.840]  X3, now available at InfoWarsLife.com.
[06:21.840 --> 06:27.840]  Riders on the storm, riders on the storm.
[06:27.840 --> 06:36.840]  Into this world we're born, riders on the storm.
[06:36.840 --> 06:40.840]  I like the part he talks about.
[06:40.840 --> 06:44.840]  Take a long holiday.
[06:44.840 --> 06:46.840]  Let your children play.
[06:46.840 --> 06:52.840]  If you give this man a ride.
[06:52.840 --> 06:56.840]  Riders on the storm.
[06:56.840 --> 06:59.840]  There's a killer on the road.
[06:59.840 --> 07:06.840]  If you give this man a ride.
[07:06.840 --> 07:11.840]  Take a long holiday.
[07:11.840 --> 07:13.840]  Let your children play.
[07:13.840 --> 07:22.840]  There's the key. If you give this man a ride.
[07:22.840 --> 07:24.840]  Here's what I'm going to do.
[07:24.840 --> 07:29.840]  You know, I start a lot of broadcasts and I'm galloped right into the incredible news and I don't build it up.
[07:29.840 --> 07:36.840]  There should be like 20th Century Fox music playing.
[07:36.840 --> 07:38.840]  Because this is important stuff.
[07:38.840 --> 07:44.840]  This is everything we ever talked about, now writ large, all of it being confirmed daily.
[07:44.840 --> 07:48.840]  Because we're now in the thick of 2018, about to go into 2019.
[07:48.840 --> 07:52.840]  We're in the future. It's happening.
[07:52.840 --> 07:57.840]  And boy, let me tell you, the globalists, they kept their promises on what they were going to do to us.
[07:57.840 --> 07:59.840]  The type of world government they were going to build.
[07:59.840 --> 08:03.840]  But there's a big old fat, juicy fly in the ointment.
[08:03.840 --> 08:06.840]  And his name is Donald J. Trump.
[08:06.840 --> 08:13.840]  And there's a couple other big old fat, juicy flies called nationalism and populism and the Constitution and the Bill of Rights
[08:13.840 --> 08:19.840]  and the right to keep and bear arms and free speech and just red-blooded instinct.
[08:19.840 --> 08:25.840]  And info wars and our great audience and all the other constellation of wonderful people out there.
[08:25.840 --> 08:34.840]  Two numerous to mention, but Matt Drudge and Tucker Carlson and you.
[08:34.840 --> 08:39.840]  You know, I've got all this exclusive video, the two of our reporters shot in the last five days in San Diego,
[08:39.840 --> 08:43.840]  there at the border crossing with the caravan slamming in, that's coming up.
[08:43.840 --> 08:50.840]  Joe Biggs, who sent the tweet on Friday to Swalwell, Swallowswell, the Democrat, the darling,
[08:50.840 --> 08:57.840]  when he said it, we're going to confiscate all your semi-autos.
[08:57.840 --> 09:00.840]  And if you don't turn them in, we're going to nuke you.
[09:00.840 --> 09:01.840]  He really said that.
[09:01.840 --> 09:04.840]  So Joe Biggs is going to join us for the next hour as well.
[09:04.840 --> 09:07.840]  And we've got all this news.
[09:07.840 --> 09:08.840]  There's so much of it.
[09:08.840 --> 09:16.840]  But I was sitting there on Friday night doing research.
[09:16.840 --> 09:24.840]  And then I came into the office Saturday morning and I saw Greg Reese in here and some of the other crew.
[09:24.840 --> 09:28.840]  And they called me over and they said, have you seen these findings?
[09:28.840 --> 09:34.840]  And I said, yes, I saw those findings 20 plus years ago.
[09:34.840 --> 09:43.840]  And I'd forgotten this, even though I made a film called America Destroyed by Design in 97 that actually predicted it.
[09:43.840 --> 09:44.840]  But I didn't predict it.
[09:44.840 --> 09:46.840]  They said they were going to do it.
[09:46.840 --> 09:50.840]  It's like saying they're going to have Shakespeare in the park at a local park.
[09:50.840 --> 09:57.840]  And you read it a month before in the newspaper and then I predict Shakespeare in the park on whatever date is going to be there.
[09:57.840 --> 10:02.840]  When you go, you tell your girlfriend, look, I'm really psychic, baby.
[10:02.840 --> 10:04.840]  They're having Shakespeare in the park.
[10:04.840 --> 10:06.840]  And she's like, no, you read it in the newspaper.
[10:06.840 --> 10:10.840]  And that's what's so frustrating is there are newspapers.
[10:10.840 --> 10:19.840]  And then there are globalist publications where they communicate with each other and act like we're a bunch of dumb animals and thought that what we said or did would never matter.
[10:19.840 --> 10:27.840]  They're undoing where they admit the whole plan and I'm sitting here, simply going, wow, look at their plan.
[10:27.840 --> 10:30.840]  You know, they've got the search for extraterrestrial life.
[10:30.840 --> 10:35.840]  This is an allegory of a parallel.
[10:35.840 --> 10:45.840]  I'm not going to get to aliens or whether they exist or not, but they're beaming with lasers out to deep space and other solar systems.
[10:45.840 --> 10:49.840]  We are, we're there, six and a half billion, seven million of us, six and a half billion.
[10:49.840 --> 10:51.840]  They sent the signals out and this is what we do.
[10:51.840 --> 10:52.840]  And here's our language.
[10:52.840 --> 10:53.840]  And here we are.
[10:53.840 --> 10:55.840]  And here's how we operate.
[10:55.840 --> 10:56.840]  Who knows if they're nice.
[10:56.840 --> 10:57.840]  Who knows if they're bad.
[10:57.840 --> 11:06.840]  The people sending out the messages are kind of projecting on what's out there, what they think is going to come back to projecting their own selves onto that.
[11:06.840 --> 11:07.840]  Or maybe they have a death wish.
[11:07.840 --> 11:08.840]  I don't know.
[11:08.840 --> 11:09.840]  It remains to be seen.
[11:09.840 --> 11:20.840]  But if you were sending a message out and you got a message back that you could decode how it'll take them 20 light years to get here.
[11:20.840 --> 11:26.840]  But when they get here, here's the weapons they're going to use and they're going to destroy the planet.
[11:26.840 --> 11:32.840]  You might mount some defense against it.
[11:32.840 --> 11:41.840]  And so that's what's frustrating to me is we're not facing aliens from outer space or from some interstellar region.
[11:41.840 --> 11:45.840]  We're facing elite humans.
[11:45.840 --> 11:53.840]  And by elite, I mean who are in control, who have taken on the mantle of total social engineers and who have decided the general public is worthless crap.
[11:53.840 --> 12:19.840]  And who have a planetary program to cut off resources, consolidate control, release bioweapons that are attenuated and dialed back to put us into a position of circling the wagons before the real bioweapons come in and before we're just removed from the face of the earth.
[12:19.840 --> 12:28.840]  Because the establishment has made the decision since the days of Ian Fleming with OSS and MI6 writing books about it like Moonraker.
[12:28.840 --> 12:29.840]  He wrote that in the late fifties.
[12:29.840 --> 12:41.840]  They made it into a movie in the early eighties where the global governmental leader going to release a bioweapon to knock out 99% of the population so they can come back and take it all over and build a garden of Eden.
[12:41.840 --> 12:43.840]  You're like, well, that's Moonraker.
[12:43.840 --> 12:46.840]  But you see, this is their real plan.
[12:46.840 --> 12:51.840]  And now the universities say we need to post it human world and it's going to be a great thing.
[12:51.840 --> 12:53.840]  And you know, thank God for airborne Ebola.
[12:53.840 --> 12:55.840]  You see it now all over.
[12:55.840 --> 12:58.840]  What I covered decades ago has become old news.
[12:58.840 --> 13:02.840]  It's become passe.
[13:02.840 --> 13:24.840]  And so that's what I'm trying to get people to look at and to think about and to understand is that there's a whole nother dimension to this where there were people that came up with equations that were proven to be accurate in the 1890s that were later turned into atomic weapons in the Manhattan Project.
[13:24.840 --> 13:36.840]  So if 1890s equations created atomic weapons and atomic power and then hydrogen power and hydrogen weapons, what has come after that?
[13:36.840 --> 13:40.840]  Well, any matter fission fusion, we know, and it's been leaked as a message to the Chinese and others.
[13:40.840 --> 13:43.840]  And don't worry, they're over there building it themselves.
[13:43.840 --> 13:58.840]  We could be destroyed like that if one of these reactors goes sideways, they get a strange lit or a fission fusion reaction or cyclotronic explosion or a superconducting, super colliding black hole creation.
[13:58.840 --> 14:09.840]  There are thousands of possible permutations with mathematical equations that have been proven doctrinally the third dimension to be absolutely real, not theory.
[14:09.840 --> 14:16.840]  The atomic bomb dropping on your city and vaporizing you is not theorem once it's tested.
[14:16.840 --> 14:30.840]  And so we stand at the precipice of Godlike power and we're more savage and more corrupt and more petulant and more evil than we've ever been.
[14:30.840 --> 14:32.840]  And then I look at the numbers.
[14:32.840 --> 14:41.840]  One in 33,000 had autism in the 1960s. One in 58 has it in North America.
[14:41.840 --> 14:44.840]  It's even worse in South Korea.
[14:44.840 --> 14:48.840]  No breast cancer to speak of in Brazil 23 years ago.
[14:48.840 --> 14:50.840]  Glyphosate is introduced.
[14:50.840 --> 14:53.840]  Their breast cancer rate is as high as ours now.
[14:53.840 --> 15:01.840]  Glyphosate grows breast tumors.
[15:01.840 --> 15:06.840]  And I could give you a thousand other points and a thousand beyond that.
[15:06.840 --> 15:13.840]  And I have an article here that, again, I don't just believe this article, this huge 22 page report.
[15:13.840 --> 15:21.840]  I know it's true because I've read the Tabistock Institute documents and I know the plan.
[15:21.840 --> 15:27.840]  Up to a third of the children are now mentally retarded or autistic.
