[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones, coming to you live from the front lines of the Info War.
[00:30.000 --> 00:48.000]  You got it. We are live. It is the 28th day of October 2012. On this Sunday edition, we are barreling towards the 2012 election here in the United States.
[00:48.000 --> 01:04.000]  We are accelerating towards more and more open conflict with Syria and Iran, an economic implosion, and we are well facing a hurricane that is barreling down on the east coast of the United States.
[01:04.000 --> 01:12.000]  And I've got the National Hurricane Centers breakdown of that. And it's already, they're saying evacuate millions of people. They're saying 50 million to be affected.
[01:12.000 --> 01:22.000]  And now they're talking, yeah, this could mess up the election. A 100 year super storm. I'm no meteorologist, but I've interviewed a lot.
[01:22.000 --> 01:35.000]  And I've watched the media over the years. They tend to hype things up sometimes, kind of like Carmageddon and things, you know, that was going to shut down LA forever, basically, but didn't do anything when they fixed a bridge.
[01:35.000 --> 01:53.000]  I talk about that because I happen to be out there when that happened. It could be hype, but most meteorologists say that if the storms from the north and the west don't blow this thing out to sea and some of the tracks now do have it going out to sea.
[01:53.000 --> 02:06.000]  Just a few days ago, there were not any tracks showing it going out to sea before it first goes inland. Some showed it going out into the Sargasso Sea, out into the Atlantic.
[02:06.000 --> 02:23.000]  So we're going to be looking at all of that hurricane, sandy intermediate advisory and the trajectory and how that could affect the election that is going to be coming up here today.
[02:23.000 --> 02:32.000]  Stuart Rhodes is going to be on because I've talked to a lot of military on the record and off the record. We have a lot of government documents submitting the preparations for civil unrest.
[02:32.000 --> 02:39.000]  That's going to happen, but we know about the demonization, the founding fathers, gun owners, returning veterans, libertarians.
[02:39.000 --> 02:46.000]  And we, of course, last week covered a story that I first saw break out of the Northeast Intelligence Network and Doug Hagman.
[02:46.000 --> 03:03.000]  And a few days after we covered it, it was in the Associated Press confirming that a gentleman with no criminal record was put on a, well, no fly list for what four days, couldn't get out of Hawaii to see his wife where he was traveling to see her in Okinawa, Japan, because they said, you're a prepper.
[03:03.000 --> 03:14.000]  And we see that online. So I'm going to get Stuart Rhodes, the founder and head of Oath Keepers, also a constitutional lawyer, on with us in about 30 minutes to cover that and a bunch of other really important issues.
[03:14.000 --> 03:20.000]  And the intel he's getting from all of his current and active duty serving military and police.
[03:20.000 --> 03:27.000]  So we're going to have Stuart Rhodes with us. And then because we're going to get into the hurricane, the last 30 minutes of the show and more detail.
[03:27.000 --> 03:35.000]  Scott Stevens, a meteorologist, weatherman, or some of the TV stations around the country. He's the Weather Wars author as well.
[03:35.000 --> 03:44.000]  He's going to be getting into chemtrailing and a lot more. And we know they can control hurricanes. They can kill hurricanes. They can speed them up, slow them, strengthen them, weaken them, steer them.
[03:44.000 --> 03:55.000]  So could this be steered? Well, of course it could be. They have the technology. So I thought we'd go over that with Mr. Stevens coming up as well today.
