[00:00.000 --> 00:11.000]  There's a lot of controversy around this network about Alex Jones, for example.
[00:11.000 --> 00:26.000]  Alex Jones, the far-right conspiracy theorist who was a parent.
[00:26.000 --> 00:35.000]  Jones, Scott, Russian, Scott.
[00:35.000 --> 00:40.000]  Until war comes to mind.
[00:40.000 --> 00:51.000]  Reputation's amazing. I will not let you down. You will be very, very impressed, I hope.
[00:51.000 --> 00:57.000]  Ladies and gentlemen, the new counterculture is renaissance.
[00:57.000 --> 01:07.000]  The renaissance that started more than 500 years ago with the Gutenberg press in Europe is now back.
[01:07.000 --> 01:14.000]  You know, they had Jordan Klepper and the opposition, I'm told. I talked to Paul Watson this morning.
[01:14.000 --> 01:20.000]  Attack Paul for saying that conservatism is the new counterculture. And they said that's ridiculous.
[01:20.000 --> 01:28.000]  The Republicans control the House, the Senate, the executive and the judicial.
[01:28.000 --> 01:35.000]  But they don't control any of Hollywood, any of the mainstream media.
[01:35.000 --> 01:43.000]  They don't control the colleges that almost to a college are globalist and socialist and anti-human, anti-family, anti-Christian.
[01:43.000 --> 01:48.000]  They don't control a single of the giant tech companies.
[01:48.000 --> 01:58.000]  Media and money and power on this planet is globalist, is authoritarian, masquerading as leftist and neoliberal.
[01:58.000 --> 02:04.000]  That is an incontrovertible fact.
[02:04.000 --> 02:13.000]  Here's an example, Newsweek. Why hasn't Melania Trump been on the cover of any magazines since becoming first lady they asked last week?
[02:13.000 --> 02:20.000]  It's because she hasn't been approached, because she's seen as a polarizing figure.
[02:20.000 --> 02:26.000]  As if Michael Obama wasn't a polarizing figure. I'm just joking.
[02:26.000 --> 02:30.000]  So, there you go, ladies and gentlemen.
[02:30.000 --> 02:36.000]  She makes Trump look good. She's got incredible positive numbers in national polls.
[02:36.000 --> 02:41.000]  They don't want Trump to look good, so they don't show you as wife. They can't stand it.
[02:41.000 --> 02:48.000]  That's just a little microcosm of all of it and how they know they're the establishment and how people are running from them.
[02:48.000 --> 02:51.000]  Kanye West.
[02:51.000 --> 02:57.000]  I don't really like the Kardashians and all that stuff, so I just said I didn't like him years ago, because I didn't follow him.
[02:57.000 --> 03:08.000]  Now that I've actually followed him the last few years and what he does with Trump and how he's standing up for different journalists and activists and braces,
[03:08.000 --> 03:15.000]  black Trump supporter that we've had in the broadcast many times, and I'm going to try to get on today if we can.
[03:15.000 --> 03:20.000]  And they've been demonizing him for doing that now.
[03:20.000 --> 03:29.000]  And he's got some powerful quotes that we're living in a police state in this country.
[03:29.000 --> 03:37.000]  That we're living in basically a mind control system. In fact, I actually screen-shotted today when I was reading it.
[03:37.000 --> 03:47.000]  One of his quotes, let me pull this up because I wanted to start the broadcast with this here.
[03:47.000 --> 03:50.000]  Here's the quote.
[03:50.000 --> 04:01.000]  Racism is a dated concept. It's not an actual thing that means anything. It's a chain used in the past to hold people back.
[04:01.000 --> 04:09.000]  That is a thousand percent on target. Doesn't mean there aren't people that operate according to that system, but it's being pushed by the left, by the globalists.
[04:09.000 --> 04:14.000]  They're rebooting it all and creating a total victimology culture.
[04:14.000 --> 04:21.000]  And the Me Too movement is about women learning about this valued thing they've got that they're in a victim class,
[04:21.000 --> 04:27.000]  that they can learn how to have giant chips on their shoulders and learn how to not get a good job or be in management
[04:27.000 --> 04:32.000]  because they have fundamental problems that have been injected in their minds.
[04:32.000 --> 04:36.000]  That's what the WikiLeaks say all of this is about.
[04:36.000 --> 04:42.000]  So yes, info wars is the avant-garde. Libertarian Renaissance is the avant-garde.
[04:42.000 --> 04:46.000]  We are the future, not the old state Republican Party.
[04:46.000 --> 04:52.000]  But the whole revolution to take the government back is happening within the Republican Party. We'll take the left back soon as well.
[04:52.000 --> 05:00.000]  We are the counterculture. We are victory. Evidence by our success and the fact we're under total attack.
[05:00.000 --> 05:07.000]  Nourish a probiotic-friendly environment in your gut with prebiotic fiber by info wars life.
[05:07.000 --> 05:15.000]  Help the good bacteria thrive and support overall digestive health with our specially formulated prebiotic fiber,
[05:15.000 --> 05:20.000]  a mixture of clinically studied and organic acacia, fruit and flax fiber.
[05:20.000 --> 05:26.000]  Prebiotic fiber is soluble fiber that ferments in the gut to help feed good bacteria,
[05:26.000 --> 05:31.000]  which helps you digest food, absorb nutrients and even support your immune system.
[05:31.000 --> 05:38.000]  Info wars life's cutting edge formula only brings you the highest quality organic and clinically studied ingredients.
[05:38.000 --> 05:43.000]  Cheap prebiotic fibers are used up only at the beginning of the colon,
[05:43.000 --> 05:53.000]  but our premium organic acacia fiber is slowly digested by the good bacteria throughout the entire colon for maximum prebiotic effect.
[05:53.000 --> 06:01.000]  Head to infowarslife.com or call 1-888-253-3139.
[06:23.000 --> 06:25.000]  It's Alex Jones.
[06:53.000 --> 07:10.000]  You know a man by his enemies and we have amongst the worst people in the world as our enemies and I wear it as an extreme badge of honor.
[07:10.000 --> 07:24.000]  You know there's the victim culture out there and the conservatives have it to a certain extent, the liberals, that is their religion, that is their whole ether in which they swim.
[07:24.000 --> 07:32.000]  The meat tube movement, the whole everybody's that's white is a racist movement pushed by the corporate media.
[07:32.000 --> 07:42.000]  But then you see the self-help groups and the positivity movements out there in fitness and in life coaching.
[07:42.000 --> 07:56.000]  And it's so positive and so about yourself and so about blinders on to not face the negative going on that it allows the negative to grow all around you.
[07:56.000 --> 08:10.000]  So there's a real balance in all of this but the true positivity is taking on the bad guys and defending the innocent.
[08:10.000 --> 08:16.000]  But that means also being willing to be criticized, being willing to be attacked.
[08:16.000 --> 08:41.000]  You see I'm a trailblazer. I'm not here to personally only get ahead monetarily for myself because if I have that worldview like all the other sociopaths or sellouts then there'll be no civilization for me to even spend the money in or a future for my children.
[08:41.000 --> 08:51.000]  It doesn't mean I don't like money or don't like nice things or don't like having been able to travel or be able to take care of my children but it's not my God and I'm not for sale.
[08:51.000 --> 09:03.000]  But so many people are afraid of upsetting anybody and so they live in these isolated little bubbles and then the corporate media can say,
[09:03.000 --> 09:19.000]  well say you don't like mothers and fathers and say you won't use the word he or she, use G or Z and say you think the atomic family is bad and say you think Christianity is bad and say you think heterosexual lifestyles are bad.
[09:19.000 --> 09:26.000]  And people go okay I will because you want to then conform to whatever the norm is that media puts out.
[09:26.000 --> 09:38.000]  Thinking about this just this morning, Candace Owens, super smart, super talented lady, a human being, I hate to say a black lady or a white lady, who cares,
[09:38.000 --> 09:45.000]  who's been on this broadcast several times, who Paul Watson pointed my attention out to like six, eight months ago.
[09:45.000 --> 09:55.000]  And I remember we flew her to Austin to talk to her and get her in studio and I even talked about as soon as we got the budget done and got the studios built trying to hire her and she was very interested.
[09:55.000 --> 10:02.000]  And I remember getting flooded with emails and texts and calls saying you shouldn't have her on from the liberals but also from the alt-right.
[10:02.000 --> 10:05.000]  And I remember some of the crews said well do you have any concerns about her.
